Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dionne Fehler,Rahima Mian,Andrew Scheer,Chris Simmie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 71","Regina",2,30,53,10,1,96,378
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 72","Regina",0,46,62,13,0,121,408
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73","Regina",0,6,79,28,1,114,434
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 74","Regina",2,36,72,11,2,123,384
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 75","Regina",0,31,72,16,1,120,451
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 76","Regina",1,44,67,18,1,131,458
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 77","Regina",1,61,96,24,1,183,428
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 78","Regina",2,52,78,16,0,148,440
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 79","Regina",0,49,71,15,0,135,433
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 80","Regina",2,59,114,18,0,193,490
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 81","Pilot Butte",1,23,115,6,1,146,429
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 82","Pilot Butte",4,20,85,7,1,117,354
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 83","Pilot Butte",2,29,139,5,0,175,447
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 84","Pilot Butte",1,19,103,6,1,130,428
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 85","Pilot Butte",1,20,113,11,1,146,409
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 86","Regina",1,36,56,7,2,102,327
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 87","Regina",0,45,96,13,0,154,357
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 88","Regina",4,62,79,15,0,160,359
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 89","Regina",0,49,94,17,0,160,381
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 90","Regina",1,55,59,17,0,132,363
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 91","Regina",1,35,33,14,0,83,342
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 92","Regina",2,39,81,9,0,131,431
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 93","Regina",1,29,84,10,1,125,466
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 94","Regina",1,35,70,13,0,119,447
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 95","Regina",2,41,71,11,0,125,487
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 96","Regina",0,38,92,15,2,147,425
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 97","Regina",0,43,76,22,2,143,404
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 98","Regina",1,48,80,20,0,149,403
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 99","Regina",2,60,76,11,1,150,347
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 100","Regina",2,46,98,23,0,169,457
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 101","Regina",2,48,79,19,2,150,417
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 102","Regina",1,40,104,10,3,158,480
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 103","Regina",3,44,72,10,0,129,423
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 104","Regina",2,56,85,15,0,158,461
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 105","Regina",1,29,67,10,1,108,414
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 106","Regina",2,50,92,13,0,157,370
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 107","Regina",0,56,99,16,0,171,437
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 108","Regina",1,60,85,13,2,161,468
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 109","Kelliher",2,44,41,23,4,114,497
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 110","Regina",0,54,99,21,1,175,454
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 111","Regina",0,57,106,18,2,183,470
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 112","Regina",0,46,113,17,1,177,397
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 113","Regina",1,28,78,16,3,126,400
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 114","Regina",3,50,78,14,2,147,444
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 115A","Regina",4,35,85,10,1,135,438
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 115B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,6
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 116","Regina",3,39,63,12,0,117,395
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 117","Regina",2,42,86,13,0,143,452
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 118","Regina",2,50,91,15,0,158,445
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 119","Regina",0,34,80,19,0,133,401
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 120","Regina",3,51,65,13,1,133,474
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 121","Regina",0,38,97,15,2,152,470
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 122","Regina",2,22,42,11,0,77,326
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 123","Regina",2,46,70,13,2,133,453
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 124","Regina",1,25,45,6,0,77,399
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 125","Regina",0,39,75,11,1,126,430
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 126","Regina",2,51,98,22,0,173,454
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 127","Regina",2,23,35,11,1,72,435
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 128","Regina",3,21,35,10,1,70,371
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 129","Regina",Combined with No./Résultats combinés à ceux du n°128,,,,,,19
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 130","Regina",3,29,20,15,5,72,396
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 131","Regina",4,30,45,15,1,95,484
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 132","Regina",0,36,74,15,4,129,484
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 133","Regina",5,22,52,9,0,88,378
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 134","Regina",3,31,46,17,4,101,406
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 135","Regina",2,23,51,12,0,88,446
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 136","Regina",2,27,44,9,0,82,323
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 137","Regina",1,26,45,9,1,82,406
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 138","Regina",2,28,42,14,1,87,385
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 139","Regina",1,29,42,15,0,87,419
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 140","Regina",3,28,58,12,0,101,400
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 141","Pilot Butte",1,18,118,3,1,141,442
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 142","Regina",3,41,73,10,0,127,492
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 143","Regina",2,32,47,17,1,99,426
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 144","Regina",1,38,29,14,0,82,413
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 145","Regina",1,45,28,12,0,86,378
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 146","Fort San",3,38,59,12,1,113,188
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 146-1","Wa-Pii Moos-Toosis (White Calf) 83A",Combined with No./Résultats combinés à ceux du n°146,,,,,,23
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 147","Katepwa",1,24,121,5,0,151,461
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 148","Indian Head",1,13,108,7,0,129,385
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 148-1","Carry the Kettle 76-19 and 76-110",Combined with No./Résultats combinés à ceux du n°148,,,,,,2
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 149","Indian Head",4,24,126,21,1,176,405
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 150","Indian Head",1,46,95,13,3,158,398
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 151","Indian Head",3,24,100,9,0,136,428
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 152","Balgonie",4,26,102,7,1,140,344
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 153","Balgonie",2,35,160,11,1,209,522
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 154","Balgonie",5,20,120,11,0,156,427
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 155","Balgonie",0,27,106,1,1,135,404
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 156","Balgonie",3,21,90,12,0,126,310
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 157","McLean",2,28,129,5,0,164,278
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 158","McLean",1,19,149,7,1,177,287
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 159","White City",1,40,184,6,2,233,513
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 160","Edenwold No. 158",1,19,93,3,0,116,425
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 161","White City",1,44,134,11,1,191,473
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 162","Edenwold No. 158",1,34,116,9,1,161,451
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 163","White City",2,37,128,7,0,174,455
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 164","White City",0,40,153,5,0,198,437
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 165","White City",3,45,127,4,0,179,420
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 166","White City",1,32,139,8,1,181,383
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 167","White City",1,21,66,2,1,91,299
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 168","White City",2,42,112,7,0,163,457
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 169","Qu'Appelle",7,40,125,9,0,181,347
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 170","Qu'Appelle",3,32,164,7,0,206,352
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 171","Sintaluta",4,11,101,3,0,119,275
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 172","Wolseley",3,34,159,10,0,206,314
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 173","Wolseley",3,22,123,2,0,150,279
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 500","Wynyard",Combined with No./Résultats combinés à ceux du n°5,,,,,,8
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,52
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 502","Mobile poll/Bureau itinérant",2,10,22,9,0,43,22
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,12
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,18
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 505","Mobile poll/Bureau itinérant",1,10,21,3,0,35,33
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,35
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,11
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,37
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 509","Mobile poll/Bureau itinérant",5,10,21,16,3,55,45
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,10
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 511","Mobile poll/Bureau itinérant",2,11,28,7,3,51,125
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,7
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,6
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 514","Regina",Combined with No./Résultats combinés à ceux du n°59A,,,,,,6
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,7
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,6
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,15
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 518","Mobile poll/Bureau itinérant",4,17,20,4,0,45,28
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 519","Regina",Combined with No./Résultats combinés à ceux du n°96,,,,,,78
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,7
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 521","Mobile poll/Bureau itinérant",1,6,14,8,1,30,37
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 522","Regina",Combined with No./Résultats combinés à ceux du n°114,,,,,,9
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,9
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°528,,,,,,26
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°528,,,,,,17
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 526","White City",Combined with No./Résultats combinés à ceux du n°167,,,,,,10
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 527","Mobile poll/Bureau itinérant",0,7,34,7,1,49,58
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 528","Mobile poll/Bureau itinérant",2,12,27,6,5,52,50
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 600","Raymore",6,87,443,39,4,579,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 601","Beardy's and Okemasis 96 and 97A",Combined with No./Résultats combinés à ceux du n°600,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 602","Day Star 87",Combined with No./Résultats combinés à ceux du n°604,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 603","Poorman 88",Combined with No./Résultats combinés à ceux du n°604,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 604","Raymore",2,58,217,20,7,304,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 605","Wynyard",0,5,89,7,0,101,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 606","Muskowekwan 85",Combined with No./Résultats combinés à ceux du n°604,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 607","Gordon 86",Combined with No./Résultats combinés à ceux du n°604,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 608","Ituna",Combined with No./Résultats combinés à ceux du n°610,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 609","Regina",Combined with No./Résultats combinés à ceux du n°610,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 610","Ituna",1,42,377,12,3,435,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 611","Little Black Bear 84",Combined with No./Résultats combinés à ceux du n°33,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 612","Star Blanket 83",Combined with No./Résultats combinés à ceux du n°33,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 613","Okanese 82",Combined with No./Résultats combinés à ceux du n°33,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 614","Peepeekisis 81",Combined with No./Résultats combinés à ceux du n°35-1,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 615","Balcarres",6,29,178,15,0,228,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 616","Fort Qu'Appelle",1,93,276,40,1,411,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 617","Standing Buffalo 78",0,16,5,0,0,21,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 618","Wa-Pii Moos-Toosis (White Calf) 83A",Combined with No./Résultats combinés à ceux du n°617,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 619","Qu'Appelle",7,186,725,38,0,956,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 620","Carry the Kettle 76-19 and 76-110",Combined with No./Résultats combinés à ceux du n°619,,,,,,
47007,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 621","Edgeley",1,140,444,47,1,633,
