Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michelle Ferreri,Matthew Grove,Emma Harrison,Chad Jewell,Jami-Leigh McMaster,Jazmine Raine,Heather Ray,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Peterborough/Peterborough"," 46","Windward Sands",66,0,41,0,1,1,1,1,111,332
35086,"Peterborough/Peterborough"," 47","Ennismore",81,0,51,0,0,2,6,0,140,406
35086,"Peterborough/Peterborough"," 48","Ennismore",79,0,50,0,0,0,7,2,138,338
35086,"Peterborough/Peterborough"," 49","Ennismore",122,1,70,1,0,1,7,0,202,404
35086,"Peterborough/Peterborough"," 50","Ennismore",90,0,58,1,0,1,1,0,151,380
35086,"Peterborough/Peterborough"," 51","Selwyn",118,2,71,0,4,2,7,1,205,485
35086,"Peterborough/Peterborough"," 52","Selwyn",88,0,74,0,3,2,3,0,170,432
35086,"Peterborough/Peterborough"," 53","Asphodel-Norwood",108,0,65,1,2,3,4,4,187,436
35086,"Peterborough/Peterborough"," 54","Asphodel-Norwood",103,0,50,0,1,1,9,0,164,398
35086,"Peterborough/Peterborough"," 55","Asphodel-Norwood",85,0,36,0,0,4,8,0,133,414
35086,"Peterborough/Peterborough"," 56","Asphodel-Norwood",94,0,59,0,0,2,4,1,160,442
35086,"Peterborough/Peterborough"," 57","Asphodel-Norwood",97,0,63,0,0,1,3,1,165,489
35086,"Peterborough/Peterborough"," 58","Norwood",85,2,58,0,2,1,9,2,159,424
35086,"Peterborough/Peterborough"," 59","Asphodel-Norwood",98,1,52,0,0,1,2,1,155,388
35086,"Peterborough/Peterborough"," 60","Asphodel-Norwood",88,0,42,0,0,2,3,0,135,425
35086,"Peterborough/Peterborough"," 61","Asphodel-Norwood",96,1,85,1,0,2,4,0,189,394
35086,"Peterborough/Peterborough"," 62","Bridgenorth",71,1,66,3,0,1,1,0,143,422
35086,"Peterborough/Peterborough"," 63","Bridgenorth",73,2,80,1,0,4,2,0,162,408
35086,"Peterborough/Peterborough"," 64","Selwyn",77,0,63,0,0,0,4,0,144,367
35086,"Peterborough/Peterborough"," 65","Selwyn",77,0,62,1,0,2,5,0,147,383
35086,"Peterborough/Peterborough"," 66","Douro",91,0,59,0,1,1,3,0,155,358
35086,"Peterborough/Peterborough"," 67","Douro",130,1,85,1,0,6,5,1,229,427
35086,"Peterborough/Peterborough"," 68","Douro",139,0,96,0,3,2,6,2,248,417
35086,"Peterborough/Peterborough"," 69","Five Corners",111,0,70,1,0,3,6,0,191,346
35086,"Peterborough/Peterborough"," 70","Selwyn",74,0,50,1,0,2,0,0,127,317
35086,"Peterborough/Peterborough"," 71","Peterborough",119,2,86,2,0,1,2,0,212,451
35086,"Peterborough/Peterborough"," 72A","Peterborough",21,1,44,1,0,3,4,0,74,302
35086,"Peterborough/Peterborough"," 72B","Peterborough",27,0,38,0,0,1,0,1,67,290
35086,"Peterborough/Peterborough"," 73","Selwyn",59,0,88,0,1,2,4,0,154,392
35086,"Peterborough/Peterborough"," 74","Peterborough",61,0,95,1,1,1,4,0,163,480
35086,"Peterborough/Peterborough"," 75","Peterborough",55,0,55,1,1,0,2,0,114,293
35086,"Peterborough/Peterborough"," 76","Selwyn",129,0,83,2,1,2,8,0,225,455
35086,"Peterborough/Peterborough"," 77","Selwyn",128,0,105,0,1,1,3,0,238,465
35086,"Peterborough/Peterborough"," 78","Bridgenorth",76,0,53,3,0,0,2,0,134,438
35086,"Peterborough/Peterborough"," 79","Selwyn",71,0,67,0,1,0,2,1,142,410
35086,"Peterborough/Peterborough"," 80","Fowlers Corners",115,0,60,0,0,1,4,2,182,424
35086,"Peterborough/Peterborough"," 81","Peterborough",76,0,121,0,1,2,2,0,202,570
35086,"Peterborough/Peterborough"," 82","Peterborough",106,0,113,1,0,2,2,3,227,546
35086,"Peterborough/Peterborough"," 83","Peterborough",38,0,84,0,0,2,9,0,133,386
35086,"Peterborough/Peterborough"," 84","Peterborough",53,0,97,0,1,0,3,0,154,440
35086,"Peterborough/Peterborough"," 85","Peterborough",65,0,87,0,0,2,10,0,164,477
35086,"Peterborough/Peterborough"," 86","Peterborough",55,0,58,1,1,1,8,0,124,433
35086,"Peterborough/Peterborough"," 87","Peterborough",74,0,107,0,0,1,6,1,189,421
35086,"Peterborough/Peterborough"," 88","Peterborough",72,0,68,0,1,0,2,1,144,452
35086,"Peterborough/Peterborough"," 89","Peterborough",41,0,68,1,2,0,2,0,114,403
35086,"Peterborough/Peterborough"," 90","Donwood",43,0,48,0,1,0,0,0,92,231
35086,"Peterborough/Peterborough"," 91","Douro-Dummer",117,0,96,0,1,7,13,0,234,428
35086,"Peterborough/Peterborough"," 92","Douro-Dummer",76,0,78,0,1,0,4,0,159,333
