Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Brassard,Andrew Harrigan,John Olthuis,Mark Sampson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 55","Barrie",109,7,60,3,1,180,629
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 56","Barrie",102,6,53,1,0,162,531
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 57","Barrie",137,14,101,2,2,256,540
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 58","Barrie",119,10,99,4,1,233,588
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 59","Barrie",127,7,90,0,0,224,534
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 60","Barrie",42,4,92,1,4,143,199
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 61","Barrie",159,8,88,3,3,261,620
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 62","Barrie",166,13,93,1,2,275,585
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 63","Barrie",164,10,95,1,5,275,640
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 64","Barrie",183,8,111,1,0,303,536
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 65","Barrie",121,6,105,7,0,239,600
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 66","Barrie",132,12,80,2,0,226,550
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 67","Barrie",150,7,85,5,3,250,542
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 68","Barrie",208,13,109,4,2,336,875
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 69","Barrie",118,5,76,2,0,201,584
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 70","Barrie",117,3,71,4,2,197,536
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 71","Barrie",153,8,63,1,2,227,487
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 72","Barrie",143,10,88,2,1,244,629
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 73","Barrie",127,8,91,2,2,230,550
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 74","Barrie",124,11,80,1,0,216,606
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 75","Barrie",101,9,78,3,3,194,490
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 76","Barrie",107,7,63,3,3,183,479
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 77","Barrie",79,18,79,5,3,184,552
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 78","Barrie",87,3,72,0,0,162,476
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 79","Barrie",133,10,76,0,0,219,619
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 80","Barrie",119,10,81,6,2,218,580
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 81","Barrie",123,6,115,0,1,245,602
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 82","Barrie",84,10,59,1,3,157,472
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 83","Barrie",138,8,98,5,1,250,569
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 84","Barrie",114,5,61,3,4,187,657
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 85","Barrie",154,13,105,2,4,278,643
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 86","Barrie",170,9,94,0,3,276,567
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 87","Barrie",Combined with No./Résultats combinés à ceux du n°64,,,,,,459
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 88","Barrie",116,3,79,3,0,201,599
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 89","Barrie",101,3,63,4,0,171,615
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 90","Barrie",152,7,94,2,2,257,510
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 91","Barrie",191,9,111,1,3,315,601
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 92","Barrie",142,3,72,3,1,221,564
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 93","Barrie",132,5,76,4,4,221,667
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 94","Barrie",86,1,53,3,0,143,490
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 95","Barrie",109,8,79,2,0,198,619
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 96","Barrie",100,4,76,6,0,186,515
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 97","Barrie",122,4,64,1,0,191,495
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 98","Barrie",Combined with No./Résultats combinés à ceux du n°91,,,,,,527
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 99","Barrie",Combined with No./Résultats combinés à ceux du n°90,,,,,,474
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 100","Barrie",142,15,96,2,1,256,791
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 101","Barrie",152,11,71,6,1,241,543
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 102","Barrie",117,7,63,1,1,189,636
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 103","Barrie",95,11,55,1,0,162,579
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 104","Barrie",124,8,53,3,2,190,584
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 105","Barrie",130,15,69,3,3,220,552
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 106","Barrie",107,11,75,2,2,197,591
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 107","Barrie",129,11,93,2,2,237,618
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 108","Innisfil",174,5,60,5,0,244,615
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 109","Innisfil",182,8,61,2,0,253,569
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 110","Innisfil",93,10,44,9,1,157,459
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 111","Innisfil",116,8,56,1,1,182,498
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 112","Innisfil",115,7,63,1,2,188,597
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 113A","Barrie",153,10,92,2,1,258,572
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 113B","Barrie",120,10,81,3,6,220,523
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 114","Barrie",144,3,114,0,0,261,644
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 115A","Barrie",138,7,101,3,0,249,665
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 115B","Barrie",162,4,80,4,0,250,661
