Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andrew Hill,Gerald Irish,Karen Ludwig,Keith Tays,John Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13009,"Saint John--St. Croix/Saint John--St. Croix"," 82","Saint John",8,4,48,0,62,3,125,475
13009,"Saint John--St. Croix/Saint John--St. Croix"," 83","Saint John",3,1,60,0,39,2,105,338
13009,"Saint John--St. Croix/Saint John--St. Croix"," 84","Saint John",2,3,68,1,40,0,114,358
13009,"Saint John--St. Croix/Saint John--St. Croix"," 85","Saint John",10,4,96,4,54,0,168,572
13009,"Saint John--St. Croix/Saint John--St. Croix"," 86","Saint John",4,2,82,1,60,0,149,380
13009,"Saint John--St. Croix/Saint John--St. Croix"," 87","Saint John",4,2,83,0,65,0,154,453
13009,"Saint John--St. Croix/Saint John--St. Croix"," 88","Saint John",5,3,101,2,119,1,231,515
13009,"Saint John--St. Croix/Saint John--St. Croix"," 89","Saint John",7,2,53,1,80,1,144,405
13009,"Saint John--St. Croix/Saint John--St. Croix"," 90","Saint John",7,5,73,1,111,1,198,402
13009,"Saint John--St. Croix/Saint John--St. Croix"," 91","Saint John",14,7,66,2,88,2,179,433
13009,"Saint John--St. Croix/Saint John--St. Croix"," 92","Saint John",4,2,50,1,48,0,105,329
13009,"Saint John--St. Croix/Saint John--St. Croix"," 93","Saint John",9,4,33,1,51,1,99,426
13009,"Saint John--St. Croix/Saint John--St. Croix"," 94","Saint John",8,4,48,3,79,2,144,436
13009,"Saint John--St. Croix/Saint John--St. Croix"," 95","Saint John",5,3,47,3,33,4,95,369
13009,"Saint John--St. Croix/Saint John--St. Croix"," 96","Saint John",3,5,65,2,70,1,146,469
13009,"Saint John--St. Croix/Saint John--St. Croix"," 97","Saint John",7,5,78,3,50,3,146,416
13009,"Saint John--St. Croix/Saint John--St. Croix"," 98A","Saint John",8,0,36,2,37,0,83,337
13009,"Saint John--St. Croix/Saint John--St. Croix"," 98B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,11
13009,"Saint John--St. Croix/Saint John--St. Croix"," 99","Saint John",7,3,53,0,43,1,107,399
