Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Claude Debellefeuille,Tyler Jones,Martin Lévesque,Miguel Perras,Kristian Solarik,Priska St-Pierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 20","Beauharnois",113,3,3,47,3,52,2,223,549
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 21","Beauharnois",61,2,1,30,4,32,3,133,366
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 22","Beauharnois",93,7,3,61,2,56,1,223,566
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 23","Beauharnois",83,6,0,26,2,37,1,155,406
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 24","Beauharnois",140,13,5,63,2,57,6,286,576
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 25","Les Cèdres",41,0,0,37,5,39,1,123,321
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 26","Les Cèdres",47,0,0,37,3,26,3,116,261
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 27","Les Cèdres",50,4,0,40,1,19,1,115,281
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 28","Les Cèdres",59,6,1,23,1,21,1,112,312
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 29","Les Cèdres",44,4,1,40,3,22,0,114,239
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 30","Les Cèdres",69,2,0,63,4,29,1,168,345
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 31","Les Cèdres",55,2,1,59,1,32,3,153,364
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 32","Les Cèdres",46,7,0,48,3,25,2,131,309
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 33","Beauharnois",80,10,2,68,4,30,4,198,653
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 34","Beauharnois",67,6,3,24,1,27,2,130,366
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 35","Beauharnois",61,13,1,22,3,20,4,124,443
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 36","Beauharnois",71,6,1,31,2,26,4,141,398
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 37","Beauharnois",60,3,2,30,3,29,1,128,370
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 38","Beauharnois",73,2,2,23,4,31,0,135,371
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 39","Beauharnois",89,7,1,23,1,31,4,156,336
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 40","Beauharnois",84,2,3,46,4,38,3,180,385
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 41","Beauharnois",96,2,1,43,1,40,2,185,395
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 42","Beauharnois",114,15,3,63,4,66,3,268,693
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 43","Beauharnois",94,4,1,43,4,33,7,186,441
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 44","Beauharnois",108,3,1,59,4,41,4,220,479
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 45","Saint-Clet",62,4,2,47,6,39,7,167,329
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 46","Saint-Clet",84,4,4,56,4,45,4,201,387
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 47","Saint-Clet",42,2,1,61,1,37,0,144,304
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 48","Saint-Clet",81,6,3,36,4,55,4,189,394
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 49","Les Cèdres",58,4,0,70,3,38,2,175,395
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 50","Les Cèdres",55,7,2,55,4,31,2,156,355
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 51","Les Cèdres",86,7,5,51,5,25,2,181,388
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 52","Les Cèdres",82,3,2,44,3,27,1,162,353
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 53","Les Cèdres",65,3,7,57,1,30,0,163,377
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 54","Beauharnois",134,4,3,64,4,45,2,256,424
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 55","Sainte-Justine-de-Newton",108,6,6,64,1,44,4,233,401
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 56","Sainte-Justine-de-Newton",80,9,4,62,1,65,5,226,377
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 57","Salaberry-de-Valleyfield",75,4,4,51,4,26,2,166,450
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 58","Salaberry-de-Valleyfield",100,7,1,59,1,32,2,202,449
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 59","Salaberry-de-Valleyfield",62,6,1,32,2,35,2,140,442
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 60","Salaberry-de-Valleyfield",59,6,5,36,2,33,4,145,409
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 61","Salaberry-de-Valleyfield",86,2,0,34,1,28,7,158,437
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 62","Salaberry-de-Valleyfield",77,7,1,51,2,34,4,176,464
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 63","Salaberry-de-Valleyfield",82,5,2,43,3,29,2,166,444
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 64","Salaberry-de-Valleyfield",81,1,3,18,1,36,2,142,375
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 65","Coteau-du-Lac",96,1,0,61,1,34,3,196,368
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 66","Coteau-du-Lac",58,9,0,43,5,35,4,154,384
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 67","Coteau-du-Lac",71,2,3,46,1,40,3,166,332
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 68","Coteau-du-Lac",85,6,1,76,2,51,1,222,412
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 69","Coteau-du-Lac",105,5,1,107,4,46,4,272,584
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 70","Coteau-du-Lac",64,1,0,49,1,55,5,175,412
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 71","Coteau-du-Lac",79,3,1,38,1,38,3,163,433
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 72","Coteau-du-Lac",66,4,3,33,1,39,2,148,411
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 73","Coteau-du-Lac",99,2,3,46,5,48,1,204,430
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 74","Coteau-du-Lac",42,2,0,60,1,42,2,149,383
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 75","Coteau-du-Lac",67,2,2,75,2,32,6,186,448
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 76","Coteau-du-Lac",83,3,2,52,6,39,1,186,485
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 77","Coteau-du-Lac",94,11,5,37,2,56,5,210,463
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 78","Coteau-du-Lac",70,2,2,52,1,35,2,164,422
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 79","Salaberry-de-Valleyfield",86,2,3,41,2,24,0,158,320
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 80","Salaberry-de-Valleyfield",77,6,2,36,4,54,7,186,443
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 81","Salaberry-de-Valleyfield",82,7,2,35,4,41,4,175,447
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 82","Salaberry-de-Valleyfield",76,2,3,83,2,53,8,227,645
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 83","Salaberry-de-Valleyfield",93,5,4,75,5,57,8,247,580
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 84","Salaberry-de-Valleyfield",66,3,1,23,1,23,4,121,365
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 85","Salaberry-de-Valleyfield",99,10,1,38,2,41,0,191,518
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 86","Salaberry-de-Valleyfield",145,4,1,72,2,46,4,274,450
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 87","Salaberry-de-Valleyfield",61,1,1,33,0,47,2,145,397
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 88","Salaberry-de-Valleyfield",44,7,1,34,0,16,0,102,324
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 89","Salaberry-de-Valleyfield",68,6,0,20,1,22,2,119,339
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 90","Salaberry-de-Valleyfield",78,3,2,27,3,39,4,156,472
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 91","Salaberry-de-Valleyfield",80,3,1,43,2,33,0,162,430
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 92","Salaberry-de-Valleyfield",72,2,2,34,1,32,0,143,377
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 93","Salaberry-de-Valleyfield",92,2,3,43,1,32,0,173,492
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 94","Salaberry-de-Valleyfield",125,4,2,70,0,55,4,260,650
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 95","Salaberry-de-Valleyfield",73,3,1,39,1,30,1,148,400
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 96","Salaberry-de-Valleyfield",73,3,5,30,3,32,4,150,476
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 97","Salaberry-de-Valleyfield",66,2,2,31,3,27,2,133,410
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 98","Salaberry-de-Valleyfield",86,9,0,41,2,33,3,174,438
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 99","Salaberry-de-Valleyfield",88,8,0,40,2,31,1,170,505
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 100","Salaberry-de-Valleyfield",70,4,5,17,2,26,2,126,349
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 101","Salaberry-de-Valleyfield",68,3,4,24,2,32,4,137,409
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 102","Salaberry-de-Valleyfield",74,5,3,44,3,41,2,172,592
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 103","Salaberry-de-Valleyfield",83,1,2,25,1,28,3,143,362
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 104","Salaberry-de-Valleyfield",54,4,1,30,2,21,3,115,333
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 105","Salaberry-de-Valleyfield",51,2,0,44,2,20,5,124,354
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 106","Salaberry-de-Valleyfield",64,2,2,31,1,11,4,115,350
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 107","Saint-Polycarpe",104,1,3,58,4,51,9,230,415
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 108","Saint-Polycarpe",86,10,2,69,7,61,7,242,413
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 109","Saint-Polycarpe",97,5,5,60,4,41,6,218,351
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 110","Saint-Polycarpe",91,4,3,62,2,55,3,220,424
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 111","Saint-Polycarpe",94,3,4,47,1,42,1,192,344
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 112","Salaberry-de-Valleyfield",57,4,3,37,4,28,2,135,433
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 113","Salaberry-de-Valleyfield",74,3,2,51,1,37,3,171,472
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 114","Salaberry-de-Valleyfield",57,3,0,23,3,39,0,125,391
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 115","Salaberry-de-Valleyfield",50,2,4,17,3,23,4,103,418
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 116","Salaberry-de-Valleyfield",52,2,0,20,5,16,5,100,375
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 117","Salaberry-de-Valleyfield",50,6,3,37,3,22,1,122,469
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 118","Salaberry-de-Valleyfield",48,2,1,32,1,23,1,108,390
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 119","Salaberry-de-Valleyfield",28,5,3,18,2,4,0,60,235
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 120","Salaberry-de-Valleyfield",69,4,2,39,5,31,5,155,500
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 121","Salaberry-de-Valleyfield",74,5,1,47,3,27,5,162,410
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 122","Salaberry-de-Valleyfield",50,3,3,14,2,22,2,96,318
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 123","Salaberry-de-Valleyfield",55,3,1,20,1,17,7,104,445
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 124","Salaberry-de-Valleyfield",61,7,3,31,1,21,7,131,427
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 125","Salaberry-de-Valleyfield",96,3,2,33,2,28,2,166,451
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 126","Salaberry-de-Valleyfield",66,5,1,43,2,27,1,145,451
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 127","Salaberry-de-Valleyfield",100,2,1,33,2,34,6,178,464
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 128","Salaberry-de-Valleyfield",48,3,1,16,1,16,0,85,367
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 129","Salaberry-de-Valleyfield",46,1,0,22,3,24,6,102,395
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 130","Salaberry-de-Valleyfield",64,4,0,34,4,12,1,119,415
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 131","Salaberry-de-Valleyfield",40,4,1,19,1,16,1,82,374
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 132","Salaberry-de-Valleyfield",54,3,2,24,4,27,0,114,348
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 133","Salaberry-de-Valleyfield",51,3,1,15,0,12,1,83,332
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 134","Salaberry-de-Valleyfield",56,3,2,23,1,16,4,105,368
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 135","Salaberry-de-Valleyfield",46,7,2,32,1,15,0,103,358
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 136","Salaberry-de-Valleyfield",42,6,2,23,1,14,3,91,350
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 137","Salaberry-de-Valleyfield",91,7,1,50,2,48,7,206,507
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 138","Salaberry-de-Valleyfield",72,3,2,40,4,34,3,158,459
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 139","Salaberry-de-Valleyfield",89,6,4,60,1,36,2,198,479
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 140","Salaberry-de-Valleyfield",45,0,1,23,2,16,0,87,314
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 141","Salaberry-de-Valleyfield",80,7,0,24,1,26,5,143,362
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 142","Salaberry-de-Valleyfield",79,8,3,31,1,34,2,158,457
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 143","Les Coteaux",124,9,3,52,9,62,1,260,398
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 144A","Les Coteaux",66,6,2,49,4,62,3,192,429
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 144B","Les Coteaux",68,6,0,34,8,41,2,159,350
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 145","Les Coteaux",114,5,1,71,3,59,2,255,553
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 146","Les Coteaux",90,4,3,48,2,55,4,206,541
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 147","Les Coteaux",86,2,1,48,3,27,1,168,444
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 148","Les Coteaux",91,3,3,58,1,51,0,207,499
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 149","Les Coteaux",85,6,1,60,7,52,1,212,494
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 150","Les Coteaux",70,4,3,35,1,35,3,151,401
24007,"Beauharnois--Salaberry--Soulanges--Huntingdon/Beauharnois--Salaberry--Soulanges--Huntingdon"," 151","Les Coteaux",Combined with No./Résultats combinés à ceux du n°143,,,,,,,,122
