Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Natasha Akiwenzie,Ann Gillies,Christopher Neudorf,Alex Ruff,Pavel Smolko,Anne Marie Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 59","East Linton",2,1,5,96,0,74,0,178,375
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 60","Bayview Point",2,0,2,67,1,40,0,112,275
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 61","Owen Sound",3,3,1,60,0,42,0,109,287
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 62","Owen Sound",5,0,2,68,0,35,0,110,379
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 63","Georgian Bluffs",4,0,3,57,2,47,0,113,324
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 64","Owen Sound",5,2,8,66,2,43,0,126,357
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 65","Brooke",4,0,7,110,0,46,0,167,380
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 66","Owen Sound",1,0,1,61,2,64,1,130,345
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 67","Meaford",3,1,4,46,0,54,0,108,312
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 68","Meaford",0,1,4,66,1,60,0,132,352
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 69","Meaford",0,1,4,70,1,39,0,115,294
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 70","Keppel",2,0,2,90,0,41,0,135,373
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 71","Shallow Lake",4,0,3,121,1,44,1,174,457
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 72","Keppel",0,2,7,119,1,71,0,200,514
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 73","Cruickshank",1,0,2,94,1,31,0,129,343
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 74","Shallow Lake",6,1,3,108,0,34,1,153,371
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 75","Springmount",2,1,8,137,0,46,2,196,468
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 76","Meaford",0,1,1,55,0,39,0,96,414
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 77","Owen Sound",4,2,4,59,1,45,0,115,424
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 78","Owen Sound",6,0,8,103,3,63,0,183,616
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 79","Owen Sound",1,0,4,68,1,49,8,131,400
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 80","Owen Sound",2,1,5,39,0,39,0,86,294
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 81A","Owen Sound",6,3,7,74,1,58,1,150,537
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 81B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,98
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 81C","Mobile poll/Bureau itinérant",3,1,8,39,1,44,2,98,61
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 82","Owen Sound",2,0,9,52,1,48,1,113,396
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 83","Owen Sound",3,1,5,63,0,56,0,128,416
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 84","Meaford",11,2,5,108,2,77,0,205,530
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 85","Meaford",5,0,5,88,0,51,2,151,415
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 86","Meaford",1,3,1,43,0,28,1,77,222
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 87","Meaford",6,0,5,95,0,61,2,169,255
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 88","Meaford",1,4,3,134,0,54,0,196,324
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 89","Massie",2,2,3,88,4,48,0,147,392
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 90","Owen Sound",6,1,3,52,2,34,0,98,385
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 91","Owen Sound",5,3,9,96,1,48,1,163,518
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 92","Owen Sound",1,0,8,64,1,61,2,137,350
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 93","Owen Sound",3,1,9,70,0,63,0,146,374
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 94","Meaford",1,0,7,93,2,49,0,152,342
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 95","Meaford",3,0,2,70,0,41,0,116,401
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 96","Owen Sound",3,1,7,61,3,51,1,127,371
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 97","Owen Sound",7,0,5,82,2,75,0,171,498
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 98","Owen Sound",8,1,14,95,0,84,1,203,519
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 99","Owen Sound",3,3,6,95,0,73,1,181,493
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 100","Owen Sound",7,1,12,69,0,98,1,188,488
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 101","Owen Sound",8,2,8,70,0,96,0,184,482
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 102","Owen Sound",3,2,13,100,0,80,0,198,487
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 103","Owen Sound",16,2,11,81,7,83,2,202,575
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 104","Owen Sound",7,0,9,80,0,69,2,167,426
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 105","Owen Sound",5,2,11,42,0,47,1,108,358
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 106","Owen Sound",3,2,6,51,1,61,1,125,360
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 107","South Bruce Peninsula",6,1,13,109,0,64,1,194,455
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 108","South Bruce Peninsula",8,6,7,116,0,56,1,194,502
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 109","South Bruce Peninsula",0,2,1,54,2,32,0,91,399
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 110","Owen Sound",5,4,8,71,0,57,2,147,399
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 111","Owen Sound",6,3,8,74,0,91,1,183,387
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 112","Owen Sound",6,1,13,49,3,77,1,150,378
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 113","Owen Sound",3,5,6,81,0,104,1,200,445
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 114","Owen Sound",8,0,1,52,0,77,0,138,358
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 115","Owen Sound",3,0,3,128,1,120,0,255,519
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 116","Owen Sound",4,0,6,91,1,116,0,218,483
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 117","Owen Sound",3,1,3,84,0,107,1,199,347
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 118","Owen Sound",3,3,1,42,0,74,0,123,311
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 119","Inglis Falls",5,2,3,104,0,100,1,215,493
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 120","Saugeen 29 -- Chief's Point 28",Combined with No./Résultats combinés à ceux du n°121,,,,,,,,394
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 121","Saugeen 29",11,3,37,56,4,105,1,217,311
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 122","Springmount",4,0,6,98,3,49,0,160,400
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 123","Meaford",2,2,4,81,0,38,0,127,346
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 124","Kilsyth",2,3,6,89,3,38,1,142,301
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 125","Rockford",1,8,6,89,0,53,0,157,445
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 126","Rocklyn",0,0,4,76,1,46,0,127,253
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 127","Wodehouse",4,2,3,137,1,62,0,209,353
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 128","Kimberley",5,0,0,66,1,84,0,156,328
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 129","Wodehouse",6,4,4,85,3,53,0,155,405
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 130","Chatsworth",0,0,6,85,1,24,1,117,282
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 131","Massie",6,0,1,115,4,47,0,173,353
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 132","Hemstock Mills",5,3,3,118,3,60,4,196,485
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 133","Arnott",2,2,1,104,1,56,1,167,430
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 134","Holland Centre",0,3,1,62,1,31,0,98,287
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 135","Holland Centre",0,0,4,59,0,40,0,103,265
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 136","Kilsyth",2,0,2,75,0,31,0,110,259
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 137","Elsinore",4,5,4,147,1,44,2,207,475
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 138","Kilsyth",1,5,2,94,1,25,0,128,349
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 139","Invermay",6,0,6,116,1,50,1,180,436
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 140","Invermay",3,0,2,85,1,34,0,125,307
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 141","Invermay",9,3,4,71,0,33,0,120,420
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 142","Invermay",2,1,4,71,0,24,0,102,217
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 143","Desboro",1,2,5,101,2,45,0,156,371
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 144","Arranvale",4,4,3,70,0,19,0,100,333
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 145","Rob Roy",0,0,1,67,0,51,0,119,337
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 146","Rob Roy",5,0,2,55,1,36,0,99,242
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 147","Feversham",6,3,6,156,0,68,0,239,601
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 148","McIntyre",2,0,5,103,2,22,2,136,425
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 149","Eugenia",3,1,0,46,1,48,0,99,347
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 150","Maxwell",3,1,7,142,3,37,1,194,558
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 151","Williamsford",5,1,4,148,5,46,1,210,436
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 152","Desboro",5,5,9,167,2,74,0,262,453
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 153","Holford",2,6,7,77,8,68,0,168,389
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 154","Kinghurst",5,1,10,158,1,72,0,247,421
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 155","Berkeley",3,1,7,93,2,53,0,159,493
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 156","Grey Highlands",2,0,3,95,1,37,1,139,576
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 157","Barhead",4,3,2,52,1,28,1,91,315
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 158","Grey Highlands",3,1,7,93,2,68,2,176,516
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 159","Grey Highlands",5,1,7,61,1,24,1,100,365
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 160","Lauriston",0,0,2,69,1,20,1,93,349
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 161","Lauriston",2,0,2,53,2,37,0,96,281
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 162","Barhead",0,0,5,79,2,55,0,141,420
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 163","Eugenia",4,0,1,81,3,43,0,132,434
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 164","Grey Highlands",5,0,4,73,2,35,2,121,449
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 165","Dobbinton",5,2,5,68,0,14,0,94,226
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 166","Peabody",5,5,3,86,3,38,2,142,380
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 167","Chesley",8,8,10,98,0,37,0,161,361
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 168","Chesley",6,0,5,74,1,34,0,120,345
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 169","Chesley",3,0,8,66,0,42,1,120,368
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 170","Arran-Elderslie",4,2,7,78,1,27,1,120,320
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 171","Chesley",6,1,5,102,3,49,0,166,401
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 172","Elmwood",3,0,6,133,0,39,0,181,493
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 173","Kimberley",3,0,0,62,1,65,0,131,338
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 174","Flesherton",5,0,4,87,0,45,0,141,391
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 175","Port Law",2,0,9,98,3,33,0,145,545
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 176","Grey Highlands",5,1,0,79,0,34,1,120,407
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 177","Flesherton",5,2,8,166,0,69,0,250,687
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 178","Paisley",7,2,13,176,8,87,0,293,479
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 179","Arran-Elderslie",13,0,5,146,6,106,1,277,476
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 180","Paisley",6,0,10,116,1,83,1,217,365
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 181","Traverston",7,2,3,65,0,37,0,114,257
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 182","Traverston",2,3,4,64,0,26,0,99,279
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 183","Glenelg Centre",2,2,3,98,2,74,1,182,483
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 184","Habermehl",3,2,2,149,2,65,0,223,638
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 185","Hanover",5,1,4,94,7,40,1,152,410
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 186","Hanover",5,1,10,88,0,48,0,152,428
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 187","Hanover",3,2,14,90,1,48,1,159,440
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 188","Welbeck",3,1,7,94,3,31,0,139,417
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 189","West Grey",1,11,2,77,2,24,0,117,422
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 190","West Grey",4,2,5,80,1,33,0,125,412
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 191","West Grey",5,3,6,69,0,64,3,150,531
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 192","West Grey",2,0,8,71,0,29,0,110,337
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 193","West Grey",1,0,3,44,1,37,0,86,283
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 194","Durham",3,1,7,112,4,27,1,155,498
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 195","West Grey",4,1,6,75,3,31,2,122,376
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 196","Durham",2,1,6,87,1,25,2,124,492
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 197","West Grey",2,1,6,69,0,9,0,87,290
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 198","Durham",3,2,6,88,4,42,1,146,374
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 199","Tartan",5,4,8,130,3,79,0,229,569
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 200","Dundalk",1,0,2,52,0,44,1,100,393
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 201","Dundalk",4,0,5,46,0,33,0,88,358
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 202","Southgate",6,1,13,134,2,58,2,216,561
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 203","Southgate",6,2,5,137,4,50,1,205,512
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 204","Dundalk",0,2,4,77,1,96,0,180,623
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 205","Dundalk",0,2,3,53,1,18,1,78,300
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 206","Dundalk",1,0,2,40,2,17,0,62,196
35016,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 207","Hopeville",2,1,5,94,3,29,1,135,447
