Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michelle Foxton,Jesse Pauley,Danielle Rae,Scott Reid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"Lanark--Frontenac/Lanark--Frontenac"," 38","Mississippi Mills",76,2,3,100,1,182,393
35051,"Lanark--Frontenac/Lanark--Frontenac"," 39","Mississippi Mills",88,4,6,146,0,244,393
35051,"Lanark--Frontenac/Lanark--Frontenac"," 40","Mississippi Mills",63,2,4,181,0,250,436
35051,"Lanark--Frontenac/Lanark--Frontenac"," 41","French Line",50,1,5,103,0,159,372
35051,"Lanark--Frontenac/Lanark--Frontenac"," 42","Beckwith",49,1,3,75,0,128,412
35051,"Lanark--Frontenac/Lanark--Frontenac"," 43","Beckwith",69,2,1,85,0,157,437
35051,"Lanark--Frontenac/Lanark--Frontenac"," 44","Beckwith",69,1,6,78,0,154,419
35051,"Lanark--Frontenac/Lanark--Frontenac"," 45","Ashton Station",37,0,2,87,1,127,335
35051,"Lanark--Frontenac/Lanark--Frontenac"," 46","Ashton",40,3,1,47,0,91,414
35051,"Lanark--Frontenac/Lanark--Frontenac"," 47","Beckwith",23,0,5,52,1,81,270
35051,"Lanark--Frontenac/Lanark--Frontenac"," 48","Ashton Station",87,1,7,91,0,186,551
35051,"Lanark--Frontenac/Lanark--Frontenac"," 49","Prospect",53,2,5,84,0,144,370
35051,"Lanark--Frontenac/Lanark--Frontenac"," 50","Carleton Place",81,2,2,106,4,195,520
35051,"Lanark--Frontenac/Lanark--Frontenac"," 51","Carleton Place",29,2,3,58,1,93,323
35051,"Lanark--Frontenac/Lanark--Frontenac"," 52","Beckwith",51,2,2,48,1,104,285
35051,"Lanark--Frontenac/Lanark--Frontenac"," 53","Franktown",67,0,2,96,1,166,533
35051,"Lanark--Frontenac/Lanark--Frontenac"," 54","Beckwith",48,3,3,56,2,112,370
35051,"Lanark--Frontenac/Lanark--Frontenac"," 55","Beckwith",43,1,3,57,0,104,393
35051,"Lanark--Frontenac/Lanark--Frontenac"," 56","Beckwith",46,3,3,67,2,121,395
35051,"Lanark--Frontenac/Lanark--Frontenac"," 57","Mississippi Mills",59,2,3,87,0,151,442
35051,"Lanark--Frontenac/Lanark--Frontenac"," 58","Carleton Place",67,5,11,80,0,163,352
35051,"Lanark--Frontenac/Lanark--Frontenac"," 59","Carleton Place",69,2,7,69,0,147,451
35051,"Lanark--Frontenac/Lanark--Frontenac"," 60","Carleton Place",70,4,8,92,1,175,424
35051,"Lanark--Frontenac/Lanark--Frontenac"," 61","Carleton Place",65,1,6,53,0,125,417
35051,"Lanark--Frontenac/Lanark--Frontenac"," 62","Carleton Place",51,0,4,69,1,125,385
35051,"Lanark--Frontenac/Lanark--Frontenac"," 63","Carleton Place",81,5,9,67,1,163,479
35051,"Lanark--Frontenac/Lanark--Frontenac"," 64","McDiarmid's Shore",25,3,3,53,0,84,251
35051,"Lanark--Frontenac/Lanark--Frontenac"," 65","Mississippi Mills",57,4,7,83,0,151,432
35051,"Lanark--Frontenac/Lanark--Frontenac"," 66","Scotch Corners",30,2,2,43,0,77,292
35051,"Lanark--Frontenac/Lanark--Frontenac"," 67","Carleton Place",80,1,5,84,2,172,371
35051,"Lanark--Frontenac/Lanark--Frontenac"," 68","Carleton Place",52,1,10,78,0,141,460
35051,"Lanark--Frontenac/Lanark--Frontenac"," 69","Carleton Place",98,2,6,103,1,210,538
35051,"Lanark--Frontenac/Lanark--Frontenac"," 70","Carleton Place",39,4,4,42,1,90,376
35051,"Lanark--Frontenac/Lanark--Frontenac"," 71","Carleton Place",81,5,8,83,1,178,454
35051,"Lanark--Frontenac/Lanark--Frontenac"," 72A","Carleton Place",69,2,10,91,0,172,401
35051,"Lanark--Frontenac/Lanark--Frontenac"," 72B","Carleton Place",72,0,5,95,0,172,417
35051,"Lanark--Frontenac/Lanark--Frontenac"," 73","Beckwith",59,0,6,82,4,151,466
35051,"Lanark--Frontenac/Lanark--Frontenac"," 74","Lloyd",48,0,3,103,0,154,313
35051,"Lanark--Frontenac/Lanark--Frontenac"," 75","Lanark Highlands",42,5,5,104,1,157,436
35051,"Lanark--Frontenac/Lanark--Frontenac"," 76","Hopetown",56,6,9,65,3,139,450
35051,"Lanark--Frontenac/Lanark--Frontenac"," 77","Beckwith",63,0,2,84,4,153,454
35051,"Lanark--Frontenac/Lanark--Frontenac"," 78","Beckwith",30,2,4,56,0,92,272
35051,"Lanark--Frontenac/Lanark--Frontenac"," 79","Beckwith",41,3,4,116,0,164,350
35051,"Lanark--Frontenac/Lanark--Frontenac"," 80","Montague",54,7,4,106,0,171,364
35051,"Lanark--Frontenac/Lanark--Frontenac"," 81","Gillies Corners",54,2,3,85,1,145,435
