Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Catherine Dansereau-Redhead,Fayçal El-Khoury,Étienne Loiselle-Schiettekatte,Konstantinos Merakos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laval--Les Îles/Laval--Les Îles"," 107","Laval",53,154,11,79,3,300,512
24038,"Laval--Les Îles/Laval--Les Îles"," 108","Laval",39,51,14,45,3,152,481
24038,"Laval--Les Îles/Laval--Les Îles"," 109","Laval",58,76,12,37,4,187,516
24038,"Laval--Les Îles/Laval--Les Îles"," 110","Laval",Combined with No./Résultats combinés à ceux du n°90,,,,,,78
24038,"Laval--Les Îles/Laval--Les Îles"," 111","Laval",52,73,9,65,2,201,526
24038,"Laval--Les Îles/Laval--Les Îles"," 112","Laval",43,79,8,71,2,203,557
24038,"Laval--Les Îles/Laval--Les Îles"," 113","Laval",54,75,10,47,1,187,551
24038,"Laval--Les Îles/Laval--Les Îles"," 114","Laval",50,60,11,23,1,145,398
24038,"Laval--Les Îles/Laval--Les Îles"," 115","Laval",36,76,6,59,2,179,474
24038,"Laval--Les Îles/Laval--Les Îles"," 116","Laval",51,53,8,53,1,166,430
24038,"Laval--Les Îles/Laval--Les Îles"," 117","Laval",55,90,6,38,0,189,420
24038,"Laval--Les Îles/Laval--Les Îles"," 118","Laval",48,64,13,34,1,160,423
24038,"Laval--Les Îles/Laval--Les Îles"," 119","Laval",35,84,9,61,3,192,464
24038,"Laval--Les Îles/Laval--Les Îles"," 120A","Laval",24,50,8,43,3,128,278
24038,"Laval--Les Îles/Laval--Les Îles"," 120B","Laval",36,90,9,53,3,191,419
24038,"Laval--Les Îles/Laval--Les Îles"," 121","Laval",13,128,5,74,2,222,540
24038,"Laval--Les Îles/Laval--Les Îles"," 122","Laval",16,84,2,90,0,192,495
24038,"Laval--Les Îles/Laval--Les Îles"," 123","Laval",5,154,3,109,4,275,606
24038,"Laval--Les Îles/Laval--Les Îles"," 124","Laval",12,129,6,97,1,245,577
24038,"Laval--Les Îles/Laval--Les Îles"," 125","Laval",17,97,7,74,1,196,463
24038,"Laval--Les Îles/Laval--Les Îles"," 126","Laval",9,83,8,85,5,190,421
24038,"Laval--Les Îles/Laval--Les Îles"," 127","Laval",38,76,6,37,2,159,373
24038,"Laval--Les Îles/Laval--Les Îles"," 128","Laval",11,155,5,103,3,277,543
24038,"Laval--Les Îles/Laval--Les Îles"," 129","Laval",15,77,3,64,5,164,372
24038,"Laval--Les Îles/Laval--Les Îles"," 130","Laval",48,110,12,90,8,268,496
24038,"Laval--Les Îles/Laval--Les Îles"," 131","Laval",52,115,6,79,4,256,503
24038,"Laval--Les Îles/Laval--Les Îles"," 132","Laval",13,102,7,61,4,187,493
24038,"Laval--Les Îles/Laval--Les Îles"," 133","Laval",39,107,24,87,4,261,565
24038,"Laval--Les Îles/Laval--Les Îles"," 134","Laval",29,61,8,59,0,157,420
24038,"Laval--Les Îles/Laval--Les Îles"," 135","Laval",48,92,5,90,5,240,566
24038,"Laval--Les Îles/Laval--Les Îles"," 136","Laval",33,90,7,35,0,165,368
24038,"Laval--Les Îles/Laval--Les Îles"," 137","Laval",13,107,8,71,1,200,456
24038,"Laval--Les Îles/Laval--Les Îles"," 138","Laval",7,82,4,91,1,185,426
24038,"Laval--Les Îles/Laval--Les Îles"," 139","Laval",50,97,4,63,5,219,471
24038,"Laval--Les Îles/Laval--Les Îles"," 140","Laval",10,63,1,86,1,161,413
24038,"Laval--Les Îles/Laval--Les Îles"," 141","Laval",20,96,4,73,1,194,466
24038,"Laval--Les Îles/Laval--Les Îles"," 142","Laval",3,76,1,85,3,168,404
24038,"Laval--Les Îles/Laval--Les Îles"," 143","Laval",14,93,1,63,0,171,478
24038,"Laval--Les Îles/Laval--Les Îles"," 144","Laval",0,77,1,93,1,172,436
24038,"Laval--Les Îles/Laval--Les Îles"," 145","Laval",29,81,11,84,2,207,465
24038,"Laval--Les Îles/Laval--Les Îles"," 146","Laval",44,107,6,50,4,211,414
24038,"Laval--Les Îles/Laval--Les Îles"," 147","Laval",39,57,7,66,2,171,420
24038,"Laval--Les Îles/Laval--Les Îles"," 148","Laval",28,131,3,100,0,262,575
24038,"Laval--Les Îles/Laval--Les Îles"," 149","Laval",18,97,8,100,2,225,539
24038,"Laval--Les Îles/Laval--Les Îles"," 150","Laval",54,93,7,95,1,250,540
24038,"Laval--Les Îles/Laval--Les Îles"," 151","Laval",36,99,8,53,1,197,563
24038,"Laval--Les Îles/Laval--Les Îles"," 152","Laval",21,108,7,68,2,206,518
24038,"Laval--Les Îles/Laval--Les Îles"," 153","Laval",38,111,7,70,1,227,506
24038,"Laval--Les Îles/Laval--Les Îles"," 154","Laval",13,65,2,48,2,130,334
24038,"Laval--Les Îles/Laval--Les Îles"," 155","Laval",20,107,7,91,1,226,544
24038,"Laval--Les Îles/Laval--Les Îles"," 156","Laval",23,77,1,42,1,144,448
24038,"Laval--Les Îles/Laval--Les Îles"," 157","Laval",51,88,18,58,7,222,488
24038,"Laval--Les Îles/Laval--Les Îles"," 158A","Laval",29,54,12,44,3,142,335
24038,"Laval--Les Îles/Laval--Les Îles"," 158B","Laval",20,62,8,42,1,133,307
24038,"Laval--Les Îles/Laval--Les Îles"," 159","Laval",73,109,14,61,5,262,556
24038,"Laval--Les Îles/Laval--Les Îles"," 160","Laval",46,88,13,76,5,228,488
24038,"Laval--Les Îles/Laval--Les Îles"," 161","Laval",56,82,19,74,6,237,565
24038,"Laval--Les Îles/Laval--Les Îles"," 162","Laval",27,73,3,45,0,148,342
24038,"Laval--Les Îles/Laval--Les Îles"," 163","Laval",23,143,7,61,4,238,532
24038,"Laval--Les Îles/Laval--Les Îles"," 164","Laval",40,120,9,80,3,252,583
24038,"Laval--Les Îles/Laval--Les Îles"," 165","Laval",59,143,8,52,1,263,547
24038,"Laval--Les Îles/Laval--Les Îles"," 166","Laval",53,105,17,52,2,229,545
24038,"Laval--Les Îles/Laval--Les Îles"," 167A","Laval",27,66,3,53,0,149,368
24038,"Laval--Les Îles/Laval--Les Îles"," 167B","Laval",11,76,4,43,2,136,328
24038,"Laval--Les Îles/Laval--Les Îles"," 168","Laval",33,87,5,44,0,169,501
24038,"Laval--Les Îles/Laval--Les Îles"," 169","Laval",71,119,6,71,1,268,584
24038,"Laval--Les Îles/Laval--Les Îles"," 170","Laval",8,69,6,80,1,164,398
24038,"Laval--Les Îles/Laval--Les Îles"," 171","Laval",43,84,4,62,2,195,429
24038,"Laval--Les Îles/Laval--Les Îles"," 172","Laval",61,92,5,36,1,195,396
24038,"Laval--Les Îles/Laval--Les Îles"," 400","Laval",83,142,3,21,9,258,372
24038,"Laval--Les Îles/Laval--Les Îles"," 401","Laval",41,164,2,21,5,233,304
24038,"Laval--Les Îles/Laval--Les Îles"," 402","Laval",34,57,1,14,0,106,187
24038,"Laval--Les Îles/Laval--Les Îles"," 403","Laval",43,132,0,23,0,198,293
24038,"Laval--Les Îles/Laval--Les Îles"," 404","Laval",18,89,3,17,1,128,177
24038,"Laval--Les Îles/Laval--Les Îles"," 405","Laval",Combined with No./Résultats combinés à ceux du n°94B,,,,,,1
24038,"Laval--Les Îles/Laval--Les Îles"," 406","Laval",7,17,0,2,0,26,218
24038,"Laval--Les Îles/Laval--Les Îles"," 407","Laval",8,15,0,3,0,26,234
24038,"Laval--Les Îles/Laval--Les Îles"," 408","Laval",28,68,5,36,2,139,428
24038,"Laval--Les Îles/Laval--Les Îles"," 409","Laval",33,40,0,9,3,85,103
24038,"Laval--Les Îles/Laval--Les Îles"," 410","Laval",50,143,4,13,3,213,298
24038,"Laval--Les Îles/Laval--Les Îles"," 500","Mobile poll/Bureau itinérant",14,30,3,6,0,53,136
24038,"Laval--Les Îles/Laval--Les Îles"," 501","Mobile poll/Bureau itinérant",15,29,2,4,2,52,56
24038,"Laval--Les Îles/Laval--Les Îles"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,92
24038,"Laval--Les Îles/Laval--Les Îles"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,31
24038,"Laval--Les Îles/Laval--Les Îles"," 504","Mobile poll/Bureau itinérant",3,47,2,25,5,82,71
24038,"Laval--Les Îles/Laval--Les Îles"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,11
24038,"Laval--Les Îles/Laval--Les Îles"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,26
24038,"Laval--Les Îles/Laval--Les Îles"," 507","Mobile poll/Bureau itinérant",7,13,2,2,3,27,47
24038,"Laval--Les Îles/Laval--Les Îles"," 508","Mobile poll/Bureau itinérant",29,62,4,1,4,100,154
24038,"Laval--Les Îles/Laval--Les Îles"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,91
24038,"Laval--Les Îles/Laval--Les Îles"," 600","Laval",291,664,49,273,20,1297,
24038,"Laval--Les Îles/Laval--Les Îles"," 601","Laval",250,597,28,258,12,1145,
24038,"Laval--Les Îles/Laval--Les Îles"," 602","Laval",318,570,42,225,15,1170,
24038,"Laval--Les Îles/Laval--Les Îles"," 603","Laval",349,484,52,194,13,1092,
24038,"Laval--Les Îles/Laval--Les Îles"," 604","Laval",298,478,35,211,16,1038,
24038,"Laval--Les Îles/Laval--Les Îles"," 605","Laval",290,730,26,291,8,1345,
24038,"Laval--Les Îles/Laval--Les Îles"," 606","Laval",55,458,27,260,7,807,
24038,"Laval--Les Îles/Laval--Les Îles"," 607","Laval",43,453,21,316,7,840,
24038,"Laval--Les Îles/Laval--Les Îles"," 608","Laval",45,340,36,217,10,648,
24038,"Laval--Les Îles/Laval--Les Îles"," 609","Laval",26,519,22,393,5,965,
24038,"Laval--Les Îles/Laval--Les Îles"," 610","Laval",33,359,27,225,5,649,
24038,"Laval--Les Îles/Laval--Les Îles"," 611","Laval",190,583,18,206,11,1008,
24038,"Laval--Les Îles/Laval--Les Îles"," 612","Laval",119,513,17,195,5,849,
24038,"Laval--Les Îles/Laval--Les Îles"," 613","Laval",102,516,18,229,3,868,
24038,"Laval--Les Îles/Laval--Les Îles"," 614","Laval",111,726,38,329,7,1211,
24038,"Laval--Les Îles/Laval--Les Îles"," 615","Laval",197,657,27,289,10,1180,
24038,"Laval--Les Îles/Laval--Les Îles"," 616","Laval",234,752,40,298,15,1339,
24038,"Laval--Les Îles/Laval--Les Îles"," 617","Laval",261,943,27,275,15,1521,
24038,"Laval--Les Îles/Laval--Les Îles",,Group 1/Groupe 1, 65,325,43,112,26,571,153
24038,"Laval--Les Îles/Laval--Les Îles",,Group 2/Groupe 2, 142,1090,40,486,38,1796,
