Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eugène Duplessis,Mathieu Fournier,Steven Guilbeault,Michel Labelle,Emmanuel Lapierre,Simon-Pierre Lauzon,Nimâ Machouf,Dimitri Mourkes,Dylan Perceval-Maxwell,Chantal Poulin,Adrien Welsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 67","Montréal",2,17,117,1,27,0,38,0,11,0,0,2,215,532
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 68","Montréal",3,10,75,0,33,0,59,0,5,1,0,1,187,409
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 69","Montréal",0,13,54,1,24,0,53,0,5,2,1,3,156,354
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 70","Montréal",0,10,74,1,24,0,62,0,3,1,1,0,176,413
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 71","Montréal",2,19,96,1,38,0,53,0,4,2,0,3,218,608
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 72","Montréal",1,16,74,1,40,0,39,0,7,0,0,0,178,351
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 73","Montréal",0,17,104,1,30,0,29,0,2,0,1,2,186,414
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 74","Montréal",0,9,82,0,42,0,34,0,8,2,1,1,179,460
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 75","Montréal",2,19,97,0,19,0,40,0,9,0,0,3,189,465
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 76","Montréal",3,20,97,0,28,1,54,0,7,2,0,3,215,484
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 77","Montréal",0,15,103,0,31,0,36,0,5,0,1,0,191,460
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 78","Montréal",4,11,82,1,29,2,54,1,8,1,0,2,195,568
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 79","Montréal",1,12,94,0,34,0,34,2,4,1,0,3,185,505
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 80","Montréal",2,23,114,0,44,0,69,0,8,3,2,7,272,598
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 81","Montréal",4,16,84,1,27,0,34,0,7,1,0,3,177,439
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 82","Montréal",0,25,60,0,20,2,32,0,4,0,2,2,147,455
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 83","Montréal",0,9,59,0,35,1,38,0,9,0,0,0,151,369
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 84","Montréal",1,34,77,2,19,0,38,0,4,2,1,1,179,439
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 85","Montréal",4,11,43,0,21,0,24,0,5,1,0,1,110,395
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 86","Montréal",0,15,64,1,37,1,34,0,6,0,1,2,161,515
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 87","Montréal",0,10,51,1,15,0,29,0,2,0,0,0,108,416
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 88","Montréal",0,9,69,1,32,0,22,0,5,0,0,1,139,422
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 89","Montréal",0,9,74,0,25,2,24,0,6,0,1,1,142,483
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 90","Montréal",0,21,87,1,25,0,29,0,4,0,0,2,169,476
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 91","Montréal",0,19,77,0,29,1,35,0,12,1,1,0,175,488
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 92","Montréal",0,6,72,1,24,0,19,0,10,0,0,0,132,355
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 93","Montréal",1,12,32,1,8,0,14,0,1,0,0,1,70,233
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 94","Montréal",0,17,98,0,15,0,24,0,7,0,0,0,161,500
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 95","Montréal",5,24,104,0,15,0,20,0,10,0,0,0,178,555
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 96","Montréal",0,13,52,0,13,0,16,0,2,0,0,3,99,525
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 97","Montréal",0,24,93,0,27,1,34,0,6,1,0,1,187,557
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 98","Montréal",2,6,76,0,28,0,25,1,6,0,0,1,145,390
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 99","Montréal",0,8,52,0,30,0,28,0,10,0,0,0,128,370
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 100","Montréal",1,4,73,0,28,0,42,0,9,0,0,2,159,371
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 101","Montréal",0,16,58,1,13,0,12,0,4,0,2,0,106,496
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 102","Montréal",2,16,71,0,19,1,27,0,3,1,2,2,144,393
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 103","Montréal",0,11,130,1,38,0,51,0,7,1,0,4,243,563
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 104","Montréal",0,21,89,0,49,0,61,0,9,2,0,1,232,520
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 105","Montréal",1,11,76,0,35,0,50,0,4,0,0,1,178,385
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 106","Montréal",3,20,97,0,22,0,23,0,4,2,1,0,172,522
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 107","Montréal",1,18,76,1,19,1,46,0,9,1,2,4,178,428
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 108","Montréal",0,19,111,1,28,0,41,1,9,1,0,0,211,436
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 109","Montréal",1,30,170,2,29,1,41,0,17,3,0,1,295,575
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 110","Montréal",2,10,78,0,14,0,20,0,5,1,0,0,130,305
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 111","Montréal",2,24,134,1,30,0,76,0,13,2,0,1,283,621
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 112","Montréal",0,27,118,1,28,0,49,0,10,2,1,0,236,553
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 113","Montréal",5,25,52,1,12,1,18,0,2,1,1,1,119,382
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 114","Montréal",3,18,66,0,11,0,6,0,0,0,1,0,105,306
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 115","Montréal",0,57,156,0,25,0,8,0,1,0,0,0,247,800
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 116","Montréal",1,27,99,2,40,0,37,0,2,2,0,1,211,520
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 117","Montréal",2,24,126,2,33,0,35,0,5,1,0,1,229,529
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 118","Montréal",0,28,101,4,22,2,39,0,7,3,1,1,208,556
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 119","Montréal",0,10,69,1,21,1,16,0,4,2,0,0,124,336
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 120","Montréal",2,7,36,1,12,0,12,0,1,0,0,2,73,327
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 121","Montréal",0,23,104,1,30,0,25,1,4,2,0,0,190,555
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 122","Montréal",0,14,61,0,19,1,21,0,4,0,0,0,120,364
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 123","Montréal",1,21,96,1,19,0,30,0,5,2,1,1,177,505
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 124","Montréal",1,15,67,1,10,1,30,0,6,1,0,2,134,468
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 125","Montréal",0,31,40,1,17,0,11,0,1,0,1,0,102,422
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 126A","Montréal",0,8,49,0,4,0,11,0,4,1,0,1,78,303
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 126B","Montréal",2,7,26,0,15,0,3,0,0,0,0,2,55,96
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 127","Montréal",2,48,93,2,14,0,17,1,3,1,0,0,181,551
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 128","Montréal",0,43,110,1,19,1,7,0,5,0,0,0,186,582
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 129","Montréal",0,60,122,1,17,0,23,1,4,0,0,0,228,627
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 130","Montréal",4,34,57,0,18,0,9,0,2,0,0,0,124,404
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 131","Montréal",1,30,107,0,26,0,14,0,2,1,0,1,182,441
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 132","Montréal",0,21,33,0,8,0,7,0,3,0,1,0,73,430
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 133","Montréal",0,30,151,0,25,0,11,0,1,1,0,0,219,436
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 134","Montréal",1,21,86,0,32,0,4,0,1,0,0,2,147,452
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 135","Montréal",0,24,80,0,10,0,6,0,0,0,0,1,121,374
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 136","Montréal",0,44,126,0,15,0,6,0,0,0,0,1,192,521
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 137","Montréal",0,8,62,1,16,0,7,0,2,0,0,0,96,365
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 138","Montréal",0,44,184,6,16,0,29,1,8,1,0,10,299,611
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 139","Montréal",0,13,98,0,23,0,34,0,6,3,1,4,182,440
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 140","Montréal",3,22,138,0,16,0,43,0,8,1,2,2,235,573
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 141","Montréal",0,18,124,0,18,1,40,0,9,1,3,0,214,569
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 142","Montréal",2,26,64,0,18,0,34,0,6,0,0,0,150,418
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 143","Montréal",0,27,50,0,12,0,16,0,1,0,0,1,107,427
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 144","Montréal",0,0,4,0,1,2,3,0,0,0,0,0,10,355
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 145","Montréal",1,18,105,1,11,1,47,0,7,0,0,1,192,547
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 146","Montréal",0,18,76,1,17,0,26,0,7,0,1,0,146,331
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 147","Montréal",1,17,89,0,19,0,38,0,6,0,1,1,172,557
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 148","Montréal",0,24,80,2,17,0,14,0,7,0,0,1,145,482
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 149","Montréal",2,30,103,2,16,0,28,0,2,0,1,1,185,514
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 150","Montréal",0,29,74,1,9,0,8,0,2,2,0,0,125,540
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 151","Montréal",0,18,84,0,25,0,26,0,2,0,0,1,156,641
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 152","Montréal",2,19,105,1,24,0,49,0,2,2,1,0,205,514
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 153","Montréal",0,26,87,0,11,0,23,1,3,1,0,0,152,417
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 154A","Montréal",0,33,78,0,8,0,11,0,3,0,0,0,133,476
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 154B","Montréal",1,18,55,1,5,0,9,0,6,0,0,0,95,264
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 155","Montréal",0,29,43,0,4,0,5,0,0,2,0,1,84,572
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 156","Montréal",1,43,109,0,20,0,12,0,4,1,1,1,192,493
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 157","Montréal",2,52,116,1,15,0,12,0,4,0,0,8,210,668
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 158","Montréal",0,69,131,0,11,1,15,0,4,0,0,1,232,657
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 159","Montréal",3,64,138,0,10,0,19,0,9,0,1,0,244,655
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 400","Montréal",2,9,31,0,19,0,1,0,1,0,0,4,67,306
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 401","Montréal",2,7,28,1,16,0,7,0,1,1,0,2,65,305
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 402","Montréal",1,12,33,0,29,0,10,0,2,0,0,2,89,287
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 403","Montréal",0,6,20,1,10,2,0,1,0,2,1,2,45,180
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 404","Montréal",1,23,149,0,74,0,37,0,4,1,0,1,290,482
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 405","Montréal",0,5,3,0,3,0,0,0,0,0,0,1,12,98
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 406","Montréal",1,7,32,0,3,0,5,0,2,0,0,1,51,179
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 407A","Montréal",1,5,40,1,34,1,4,0,0,0,0,1,87,120
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 407B","Montréal",0,7,39,0,23,1,5,0,0,0,0,2,77,126
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 408","Montréal",2,18,76,0,71,0,16,0,2,1,0,4,190,314
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 409","Montréal",0,10,36,1,22,1,7,0,3,2,0,0,82,163
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 410","Montréal",0,3,35,1,8,1,2,1,0,2,1,0,54,224
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 411","Montréal",1,11,83,0,29,0,7,0,2,1,0,1,135,193
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 412","Montréal",0,22,70,0,13,0,6,0,0,0,0,1,112,176
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 413","Montréal",1,7,35,0,8,0,0,0,1,0,0,1,53,96
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 500","Mobile poll/Bureau itinérant",3,24,52,0,13,3,5,1,2,1,0,3,107,92
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,,,,52
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 502","Mobile poll/Bureau itinérant",1,4,50,1,21,2,3,1,1,1,2,2,89,137
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,,,,80
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 504","Mobile poll/Bureau itinérant",1,4,24,0,1,0,0,0,0,0,1,0,31,110
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 505","Mobile poll/Bureau itinérant",1,6,45,0,26,1,4,1,4,0,0,3,91,160
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,,,,116
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,,,,,66
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,,,,,20
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 600","Montréal",2,27,573,1,202,0,284,0,29,2,3,7,1130,
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 601","Montréal",6,59,814,1,221,0,311,0,26,4,2,5,1449,
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 602","Montréal",4,53,773,0,210,1,283,0,34,2,3,3,1366,
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 603","Montréal",2,46,641,2,215,0,278,0,33,4,4,2,1227,
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 604","Montréal",0,45,495,1,195,1,238,0,26,3,3,3,1010,
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 605","Montréal",6,81,552,3,219,1,257,0,22,2,0,10,1153,
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 606","Montréal",8,113,716,7,363,1,144,1,18,3,4,19,1397,
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 607","Montréal",5,68,553,1,189,1,235,1,21,4,1,9,1088,
24037,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 608","Montréal",2,85,632,4,241,2,201,0,13,3,2,8,1193,
