Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patrick Agbokou,Tchad Deschenes,Danielle Dubuc,Marie Louis-Seize,Christine Normandin,Vincent Piette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 109","Saint-Jean-sur-Richelieu",32,1,3,27,56,6,5,130,381
24067,"Saint-Jean/Saint-Jean"," 110","Saint-Jean-sur-Richelieu",33,0,4,38,69,2,3,149,347
24067,"Saint-Jean/Saint-Jean"," 111","Saint-Jean-sur-Richelieu",31,2,6,24,69,3,1,136,413
24067,"Saint-Jean/Saint-Jean"," 112","Saint-Jean-sur-Richelieu",37,1,2,29,80,3,5,157,351
24067,"Saint-Jean/Saint-Jean"," 113","Saint-Jean-sur-Richelieu",35,1,11,20,55,7,5,134,425
24067,"Saint-Jean/Saint-Jean"," 114","Saint-Jean-sur-Richelieu",55,2,5,20,81,3,9,175,477
24067,"Saint-Jean/Saint-Jean"," 115","Saint-Jean-sur-Richelieu",28,3,2,21,56,1,0,111,384
24067,"Saint-Jean/Saint-Jean"," 116","Saint-Jean-sur-Richelieu",26,3,4,29,69,7,0,138,373
24067,"Saint-Jean/Saint-Jean"," 117","Saint-Jean-sur-Richelieu",43,5,8,47,89,5,2,199,506
24067,"Saint-Jean/Saint-Jean"," 118","Saint-Jean-sur-Richelieu",32,2,7,27,60,6,4,138,380
24067,"Saint-Jean/Saint-Jean"," 119","Saint-Jean-sur-Richelieu",66,1,6,31,69,6,5,184,548
24067,"Saint-Jean/Saint-Jean"," 120","Saint-Jean-sur-Richelieu",46,1,6,21,70,2,3,149,365
24067,"Saint-Jean/Saint-Jean"," 121","Saint-Jean-sur-Richelieu",38,3,1,28,89,1,5,165,345
24067,"Saint-Jean/Saint-Jean"," 122","Saint-Jean-sur-Richelieu",67,3,4,31,61,2,5,173,383
24067,"Saint-Jean/Saint-Jean"," 123","Saint-Jean-sur-Richelieu",68,4,6,30,82,5,2,197,468
24067,"Saint-Jean/Saint-Jean"," 124","Saint-Jean-sur-Richelieu",63,6,5,57,92,2,2,227,523
24067,"Saint-Jean/Saint-Jean"," 125","Saint-Jean-sur-Richelieu",57,0,7,31,85,2,3,185,447
24067,"Saint-Jean/Saint-Jean"," 126","Saint-Jean-sur-Richelieu",28,2,3,34,64,4,3,138,430
24067,"Saint-Jean/Saint-Jean"," 127","Saint-Jean-sur-Richelieu",52,0,4,33,76,1,6,172,426
24067,"Saint-Jean/Saint-Jean"," 128","Saint-Jean-sur-Richelieu",37,2,7,28,52,6,4,136,430
