Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mark Gerretsen,Fintan Hartnett,Daria Juüdi-Hope,Bryan Paterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Kingston and the Islands/Kingston et les Îles"," 102","Kingston",90,2,7,76,1,176,500
35046,"Kingston and the Islands/Kingston et les Îles"," 103","Kingston",99,2,5,64,2,172,448
35046,"Kingston and the Islands/Kingston et les Îles"," 104","Kingston",63,1,4,40,1,109,352
35046,"Kingston and the Islands/Kingston et les Îles"," 105","Kingston",68,0,2,46,0,116,390
35046,"Kingston and the Islands/Kingston et les Îles"," 106A","Kingston",Combined with No./Résultats combinés à ceux du n°116A,,,,,,72
35046,"Kingston and the Islands/Kingston et les Îles"," 106B","Kingston",Combined with No./Résultats combinés à ceux du n°116B,,,,,,75
35046,"Kingston and the Islands/Kingston et les Îles"," 107","Kingston",111,4,13,78,1,207,500
35046,"Kingston and the Islands/Kingston et les Îles"," 108","Kingston",114,3,8,48,1,174,345
35046,"Kingston and the Islands/Kingston et les Îles"," 109","Kingston",97,4,17,28,0,146,420
35046,"Kingston and the Islands/Kingston et les Îles"," 110","Kingston",127,4,18,42,1,192,461
35046,"Kingston and the Islands/Kingston et les Îles"," 111","Kingston",151,4,20,49,1,225,546
35046,"Kingston and the Islands/Kingston et les Îles"," 112","Kingston",69,6,16,59,1,151,317
35046,"Kingston and the Islands/Kingston et les Îles"," 113","Kingston",85,3,1,84,2,175,466
35046,"Kingston and the Islands/Kingston et les Îles"," 114","Kingston",50,2,7,38,2,99,341
35046,"Kingston and the Islands/Kingston et les Îles"," 115","Kingston",73,4,6,48,0,131,433
35046,"Kingston and the Islands/Kingston et les Îles"," 116A","Kingston",117,3,4,63,0,187,307
35046,"Kingston and the Islands/Kingston et les Îles"," 116B","Kingston",105,1,7,40,2,155,248
35046,"Kingston and the Islands/Kingston et les Îles"," 117","Kingston",Combined with No./Résultats combinés à ceux du n°91,,,,,,389
35046,"Kingston and the Islands/Kingston et les Îles"," 118","Kingston",182,4,23,48,4,261,456
35046,"Kingston and the Islands/Kingston et les Îles"," 119","Kingston",119,5,17,37,0,178,502
35046,"Kingston and the Islands/Kingston et les Îles"," 120","Kingston",Combined with No./Résultats combinés à ceux du n°118,,,,,,347
35046,"Kingston and the Islands/Kingston et les Îles"," 121","Kingston",41,2,8,70,0,121,430
35046,"Kingston and the Islands/Kingston et les Îles"," 122","Kingston",85,4,5,76,0,170,454
35046,"Kingston and the Islands/Kingston et les Îles"," 123","Kingston",143,5,27,68,4,247,462
35046,"Kingston and the Islands/Kingston et les Îles"," 124","Kingston",107,5,30,26,1,169,477
35046,"Kingston and the Islands/Kingston et les Îles"," 125","Kingston",146,7,28,18,0,199,458
35046,"Kingston and the Islands/Kingston et les Îles"," 126","Kingston",83,5,11,31,0,130,336
35046,"Kingston and the Islands/Kingston et les Îles"," 127","Kingston",108,7,19,48,0,182,425
35046,"Kingston and the Islands/Kingston et les Îles"," 128","Kingston",91,3,17,58,3,172,435
35046,"Kingston and the Islands/Kingston et les Îles"," 129","Kingston",117,3,10,46,0,176,570
35046,"Kingston and the Islands/Kingston et les Îles"," 130","Kingston",79,2,5,59,0,145,388
35046,"Kingston and the Islands/Kingston et les Îles"," 131","Kingston",92,2,3,59,0,156,385
35046,"Kingston and the Islands/Kingston et les Îles"," 132","Kingston",118,4,9,63,4,198,486
35046,"Kingston and the Islands/Kingston et les Îles"," 133A","Kingston",151,1,8,92,1,253,638
35046,"Kingston and the Islands/Kingston et les Îles"," 133B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,4
35046,"Kingston and the Islands/Kingston et les Îles"," 134","Kingston",90,3,7,51,0,151,380
35046,"Kingston and the Islands/Kingston et les Îles"," 135","Kingston",Combined with No./Résultats combinés à ceux du n°161,,,,,,284
35046,"Kingston and the Islands/Kingston et les Îles"," 136","Kingston",103,1,9,55,0,168,398
35046,"Kingston and the Islands/Kingston et les Îles"," 137","Kingston",80,1,2,50,0,133,384
35046,"Kingston and the Islands/Kingston et les Îles"," 138","Kingston",122,2,3,50,0,177,422
35046,"Kingston and the Islands/Kingston et les Îles"," 139","Kingston",86,5,12,50,0,153,401
35046,"Kingston and the Islands/Kingston et les Îles"," 140","Kingston",65,0,4,34,1,104,330
35046,"Kingston and the Islands/Kingston et les Îles"," 141","Kingston",108,1,12,60,0,181,344
35046,"Kingston and the Islands/Kingston et les Îles"," 142","Kingston",Combined with No./Résultats combinés à ceux du n°99,,,,,,246
35046,"Kingston and the Islands/Kingston et les Îles"," 143","Kingston",75,2,3,51,0,131,328
35046,"Kingston and the Islands/Kingston et les Îles"," 144","Kingston",59,2,9,64,0,134,382
35046,"Kingston and the Islands/Kingston et les Îles"," 145","Kingston",88,0,9,69,1,167,465
35046,"Kingston and the Islands/Kingston et les Îles"," 146","Kingston",46,3,8,54,1,112,321
35046,"Kingston and the Islands/Kingston et les Îles"," 147","Kingston",72,4,18,64,0,158,545
35046,"Kingston and the Islands/Kingston et les Îles"," 148","Kingston",78,3,19,37,1,138,468
35046,"Kingston and the Islands/Kingston et les Îles"," 149","Kingston",78,2,10,42,2,134,479
35046,"Kingston and the Islands/Kingston et les Îles"," 150","Kingston",48,1,8,26,2,85,318
35046,"Kingston and the Islands/Kingston et les Îles"," 151","Kingston",90,4,4,34,1,133,385
35046,"Kingston and the Islands/Kingston et les Îles"," 152","Kingston",93,4,7,54,1,159,451
35046,"Kingston and the Islands/Kingston et les Îles"," 153","Kingston",97,4,16,64,0,181,468
35046,"Kingston and the Islands/Kingston et les Îles"," 154","Kingston",73,1,11,59,1,145,325
35046,"Kingston and the Islands/Kingston et les Îles"," 155","Kingston",94,2,4,64,1,165,405
35046,"Kingston and the Islands/Kingston et les Îles"," 156","Kingston",103,4,12,41,2,162,414
35046,"Kingston and the Islands/Kingston et les Îles"," 157","Kingston",123,4,31,40,4,202,495
35046,"Kingston and the Islands/Kingston et les Îles"," 158","Kingston",85,2,11,32,1,131,548
35046,"Kingston and the Islands/Kingston et les Îles"," 159","Kingston",104,1,15,40,1,161,276
35046,"Kingston and the Islands/Kingston et les Îles"," 160","Kingston",78,2,0,35,0,115,356
35046,"Kingston and the Islands/Kingston et les Îles"," 161","Kingston",233,4,10,133,0,380,586
35046,"Kingston and the Islands/Kingston et les Îles"," 162","Kingston",95,2,6,61,1,165,381
35046,"Kingston and the Islands/Kingston et les Îles"," 163","Kingston",93,5,6,69,0,173,424
35046,"Kingston and the Islands/Kingston et les Îles"," 164","Kingston",59,2,8,18,0,87,349
35046,"Kingston and the Islands/Kingston et les Îles"," 165","Kingston",74,3,10,29,1,117,318
35046,"Kingston and the Islands/Kingston et les Îles"," 166","Kingston",94,5,14,26,2,141,330
35046,"Kingston and the Islands/Kingston et les Îles"," 167","Kingston",67,1,9,26,0,103,304
35046,"Kingston and the Islands/Kingston et les Îles"," 168","Kingston",69,2,15,26,0,112,367
35046,"Kingston and the Islands/Kingston et les Îles"," 169","Kingston",91,1,8,59,0,159,425
35046,"Kingston and the Islands/Kingston et les Îles"," 170","Kingston",105,0,1,57,3,166,464
35046,"Kingston and the Islands/Kingston et les Îles"," 171","Kingston",79,0,6,34,0,119,398
35046,"Kingston and the Islands/Kingston et les Îles"," 172","Kingston",80,3,10,71,1,165,374
35046,"Kingston and the Islands/Kingston et les Îles"," 173","Kingston",151,2,9,75,1,238,457
35046,"Kingston and the Islands/Kingston et les Îles"," 174","Kingston",139,2,7,59,0,207,428
35046,"Kingston and the Islands/Kingston et les Îles"," 175","Kingston",172,2,22,57,4,257,570
35046,"Kingston and the Islands/Kingston et les Îles"," 176","Kingston",56,9,7,25,0,97,293
35046,"Kingston and the Islands/Kingston et les Îles"," 177","Kingston",56,3,9,20,0,88,276
35046,"Kingston and the Islands/Kingston et les Îles"," 178","Kingston",125,5,5,42,1,178,425
35046,"Kingston and the Islands/Kingston et les Îles"," 179","Kingston",182,3,14,73,6,278,507
35046,"Kingston and the Islands/Kingston et les Îles"," 180","Kingston",93,4,8,73,4,182,466
35046,"Kingston and the Islands/Kingston et les Îles"," 181","Kingston",74,2,10,60,2,148,499
35046,"Kingston and the Islands/Kingston et les Îles"," 182","Kingston",121,4,15,66,0,206,464
35046,"Kingston and the Islands/Kingston et les Îles"," 183","Kingston",101,7,9,60,1,178,380
35046,"Kingston and the Islands/Kingston et les Îles"," 184","Kingston",105,1,7,75,0,188,508
35046,"Kingston and the Islands/Kingston et les Îles"," 185","Kingston",126,1,6,58,0,191,466
35046,"Kingston and the Islands/Kingston et les Îles"," 186","Kingston",101,1,7,75,1,185,449
35046,"Kingston and the Islands/Kingston et les Îles"," 187","Kingston",71,1,11,64,0,147,408
35046,"Kingston and the Islands/Kingston et les Îles"," 188","Kingston",72,2,2,20,0,96,384
35046,"Kingston and the Islands/Kingston et les Îles"," 189","Kingston",106,2,14,25,0,147,407
35046,"Kingston and the Islands/Kingston et les Îles"," 190","Kingston",86,2,10,20,2,120,419
35046,"Kingston and the Islands/Kingston et les Îles"," 191","Kingston",112,2,11,36,0,161,426
35046,"Kingston and the Islands/Kingston et les Îles"," 192","Kingston",77,3,18,42,0,140,389
35046,"Kingston and the Islands/Kingston et les Îles"," 193","Kingston",129,6,5,49,0,189,435
35046,"Kingston and the Islands/Kingston et les Îles"," 194","Kingston",92,2,4,30,8,136,465
35046,"Kingston and the Islands/Kingston et les Îles"," 195","Kingston",116,3,18,37,2,176,474
35046,"Kingston and the Islands/Kingston et les Îles"," 196","Kingston",49,1,10,19,0,79,367
35046,"Kingston and the Islands/Kingston et les Îles"," 197","Kingston",54,5,1,39,0,99,291
35046,"Kingston and the Islands/Kingston et les Îles"," 198","Kingston",79,0,4,30,0,113,245
35046,"Kingston and the Islands/Kingston et les Îles"," 199","Kingston",54,0,4,23,0,81,243
35046,"Kingston and the Islands/Kingston et les Îles"," 200","Kingston",19,1,5,6,0,31,246
35046,"Kingston and the Islands/Kingston et les Îles"," 201","Kingston",59,1,2,15,0,77,322
35046,"Kingston and the Islands/Kingston et les Îles"," 202","Kingston",116,1,5,39,1,162,503
35046,"Kingston and the Islands/Kingston et les Îles"," 203","Kingston",72,6,9,31,0,118,401
35046,"Kingston and the Islands/Kingston et les Îles"," 204","Kingston",81,4,11,44,1,141,357
35046,"Kingston and the Islands/Kingston et les Îles"," 205","Kingston",101,3,4,46,0,154,412
35046,"Kingston and the Islands/Kingston et les Îles"," 206","Kingston",108,6,6,66,1,187,528
35046,"Kingston and the Islands/Kingston et les Îles"," 207","Kingston",94,0,4,55,1,154,479
35046,"Kingston and the Islands/Kingston et les Îles"," 208","Kingston",85,3,10,44,1,143,440
35046,"Kingston and the Islands/Kingston et les Îles"," 209","Kingston",75,3,7,44,0,129,373
35046,"Kingston and the Islands/Kingston et les Îles"," 210","Kingston",99,2,11,27,0,139,423
35046,"Kingston and the Islands/Kingston et les Îles"," 211","Kingston",77,1,24,51,1,154,492
35046,"Kingston and the Islands/Kingston et les Îles"," 212","Kingston",98,10,11,38,3,160,485
35046,"Kingston and the Islands/Kingston et les Îles"," 213","Kingston",91,2,5,64,3,165,364
35046,"Kingston and the Islands/Kingston et les Îles"," 214","Kingston",105,4,5,63,1,178,473
35046,"Kingston and the Islands/Kingston et les Îles"," 215","Kingston",102,1,4,66,0,173,440
35046,"Kingston and the Islands/Kingston et les Îles"," 216","Kingston",104,3,6,47,0,160,458
35046,"Kingston and the Islands/Kingston et les Îles"," 217","Kingston",74,1,5,41,1,122,400
35046,"Kingston and the Islands/Kingston et les Îles"," 218","Kingston",86,6,6,66,1,165,418
35046,"Kingston and the Islands/Kingston et les Îles"," 219","Kingston",100,56,9,5,0,170,447
35046,"Kingston and the Islands/Kingston et les Îles"," 220","Kingston",71,0,2,56,0,129,346
35046,"Kingston and the Islands/Kingston et les Îles"," 221","Kingston",81,4,8,70,0,163,459
35046,"Kingston and the Islands/Kingston et les Îles"," 222","Kingston",118,2,8,48,0,176,386
35046,"Kingston and the Islands/Kingston et les Îles"," 223","Kingston",75,4,18,33,0,130,413
35046,"Kingston and the Islands/Kingston et les Îles"," 224","Kingston",104,3,11,40,1,159,476
35046,"Kingston and the Islands/Kingston et les Îles"," 225","Kingston",94,5,12,51,1,163,436
35046,"Kingston and the Islands/Kingston et les Îles"," 226","Kingston",72,5,4,27,1,109,461
35046,"Kingston and the Islands/Kingston et les Îles"," 227","Kingston",98,8,9,64,2,181,466
35046,"Kingston and the Islands/Kingston et les Îles"," 228","Kingston",60,1,5,34,0,100,332
35046,"Kingston and the Islands/Kingston et les Îles"," 229","Kingston",74,1,1,55,0,131,423
35046,"Kingston and the Islands/Kingston et les Îles"," 230","Kingston",90,4,5,47,0,146,450
35046,"Kingston and the Islands/Kingston et les Îles"," 231","Kingston",86,0,4,51,0,141,484
35046,"Kingston and the Islands/Kingston et les Îles"," 232","Kingston",123,2,12,64,0,201,597
35046,"Kingston and the Islands/Kingston et les Îles"," 233","Kingston",73,1,5,32,0,111,366
35046,"Kingston and the Islands/Kingston et les Îles"," 234","Kingston",87,1,7,52,0,147,445
35046,"Kingston and the Islands/Kingston et les Îles"," 235","Kingston",61,2,2,32,0,97,411
35046,"Kingston and the Islands/Kingston et les Îles"," 236","Kingston",167,3,3,46,3,222,501
35046,"Kingston and the Islands/Kingston et les Îles"," 237","Kingston",67,3,13,26,0,109,360
35046,"Kingston and the Islands/Kingston et les Îles"," 238","Kingston",103,4,6,34,1,148,416
35046,"Kingston and the Islands/Kingston et les Îles"," 239","Kingston",68,6,2,25,0,101,405
35046,"Kingston and the Islands/Kingston et les Îles"," 240","Frontenac Islands",125,3,5,103,1,237,399
35046,"Kingston and the Islands/Kingston et les Îles"," 241","Frontenac Islands",144,9,12,73,3,241,326
35046,"Kingston and the Islands/Kingston et les Îles"," 242","Frontenac Islands",136,5,11,89,0,241,360
35046,"Kingston and the Islands/Kingston et les Îles"," 400","Kingston",124,1,11,53,1,190,265
35046,"Kingston and the Islands/Kingston et les Îles"," 401","Kingston",91,1,3,52,1,148,277
35046,"Kingston and the Islands/Kingston et les Îles"," 402","Mobile poll/Bureau itinérant",129,2,8,36,6,181,165
35046,"Kingston and the Islands/Kingston et les Îles"," 403","Kingston",160,2,4,37,2,205,184
35046,"Kingston and the Islands/Kingston et les Îles"," 404","Kingston",Combined with No./Résultats combinés à ceux du n°406,,,,,,177
35046,"Kingston and the Islands/Kingston et les Îles"," 405","Kingston",Combined with No./Résultats combinés à ceux du n°403,,,,,,171
35046,"Kingston and the Islands/Kingston et les Îles"," 406","Kingston",138,3,5,58,1,205,249
35046,"Kingston and the Islands/Kingston et les Îles"," 407","Kingston",159,5,19,74,0,257,256
35046,"Kingston and the Islands/Kingston et les Îles"," 408","Kingston",Combined with No./Résultats combinés à ceux du n°407,,,,,,171
35046,"Kingston and the Islands/Kingston et les Îles"," 409","Kingston",Combined with No./Résultats combinés à ceux du n°410,,,,,,151
35046,"Kingston and the Islands/Kingston et les Îles"," 410","Kingston",109,2,12,33,1,157,177
35046,"Kingston and the Islands/Kingston et les Îles"," 411","Mobile poll/Bureau itinérant",36,6,7,23,3,75,61
35046,"Kingston and the Islands/Kingston et les Îles"," 412","Mobile poll/Bureau itinérant",74,4,9,20,5,112,127
35046,"Kingston and the Islands/Kingston et les Îles"," 413","Kingston",Combined with No./Résultats combinés à ceux du n°414,,,,,,125
35046,"Kingston and the Islands/Kingston et les Îles"," 414","Kingston",90,8,13,38,2,151,174
35046,"Kingston and the Islands/Kingston et les Îles"," 415","Kingston",133,3,19,77,5,237,160
35046,"Kingston and the Islands/Kingston et les Îles"," 416","Kingston",Combined with No./Résultats combinés à ceux du n°415,,,,,,138
35046,"Kingston and the Islands/Kingston et les Îles"," 417","Kingston",Combined with No./Résultats combinés à ceux du n°415,,,,,,156
35046,"Kingston and the Islands/Kingston et les Îles"," 418","Kingston",Combined with No./Résultats combinés à ceux du n°419,,,,,,161
35046,"Kingston and the Islands/Kingston et les Îles"," 419","Kingston",202,2,6,55,0,265,187
35046,"Kingston and the Islands/Kingston et les Îles"," 420","Kingston",Combined with No./Résultats combinés à ceux du n°419,,,,,,141
35046,"Kingston and the Islands/Kingston et les Îles"," 421","Mobile poll/Bureau itinérant",69,3,2,22,3,99,87
35046,"Kingston and the Islands/Kingston et les Îles"," 422","Kingston",106,3,7,18,0,134,165
35046,"Kingston and the Islands/Kingston et les Îles"," 423","Kingston",Combined with No./Résultats combinés à ceux du n°203,,,,,,10
35046,"Kingston and the Islands/Kingston et les Îles"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°61B,,,,,,51
35046,"Kingston and the Islands/Kingston et les Îles"," 501","Kingston",Combined with No./Résultats combinés à ceux du n°61A,,,,,,1
35046,"Kingston and the Islands/Kingston et les Îles"," 502","Mobile poll/Bureau itinérant",107,1,3,30,8,149,116
35046,"Kingston and the Islands/Kingston et les Îles"," 503","Mobile poll/Bureau itinérant",109,3,7,23,2,144,148
35046,"Kingston and the Islands/Kingston et les Îles"," 504","Mobile poll/Bureau itinérant",112,0,3,26,5,146,134
35046,"Kingston and the Islands/Kingston et les Îles"," 505A","Kingston",Combined with No./Résultats combinés à ceux du n°116A,,,,,,9
35046,"Kingston and the Islands/Kingston et les Îles"," 505B","Kingston",Combined with No./Résultats combinés à ceux du n°116B,,,,,,8
35046,"Kingston and the Islands/Kingston et les Îles"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,48
35046,"Kingston and the Islands/Kingston et les Îles"," 507","Mobile poll/Bureau itinérant",71,4,6,18,2,101,43
