Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gabrielle Dupont,Brendan Hanley,Ryan Leef,Katherine McCallum,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
60001,"Yukon/Yukon"," 56F","Whitehorse",Combined with No./Résultats combinés à ceux du n°54F,,,,,,58
60001,"Yukon/Yukon"," 57A","Whitehorse",Combined with No./Résultats combinés à ceux du n°54A,,,,,,51
60001,"Yukon/Yukon"," 57B","Whitehorse",Combined with No./Résultats combinés à ceux du n°54B,,,,,,49
60001,"Yukon/Yukon"," 57C","Whitehorse",Combined with No./Résultats combinés à ceux du n°54C,,,,,,58
60001,"Yukon/Yukon"," 57D","Whitehorse",Combined with No./Résultats combinés à ceux du n°54D,,,,,,81
60001,"Yukon/Yukon"," 57E","Whitehorse",Combined with No./Résultats combinés à ceux du n°54E,,,,,,54
60001,"Yukon/Yukon"," 57F","Whitehorse",Combined with No./Résultats combinés à ceux du n°54F,,,,,,62
60001,"Yukon/Yukon"," 58A","Whitehorse",Combined with No./Résultats combinés à ceux du n°54A,,,,,,57
60001,"Yukon/Yukon"," 58B","Whitehorse",Combined with No./Résultats combinés à ceux du n°54B,,,,,,72
60001,"Yukon/Yukon"," 58C","Whitehorse",Combined with No./Résultats combinés à ceux du n°54C,,,,,,49
60001,"Yukon/Yukon"," 58D","Whitehorse",Combined with No./Résultats combinés à ceux du n°54D,,,,,,49
60001,"Yukon/Yukon"," 58E","Whitehorse",Combined with No./Résultats combinés à ceux du n°54E,,,,,,78
60001,"Yukon/Yukon"," 58F","Whitehorse",Combined with No./Résultats combinés à ceux du n°54F,,,,,,72
60001,"Yukon/Yukon"," 59A","Whitehorse",Combined with No./Résultats combinés à ceux du n°54A,,,,,,59
60001,"Yukon/Yukon"," 59B","Whitehorse",Combined with No./Résultats combinés à ceux du n°54B,,,,,,69
60001,"Yukon/Yukon"," 59C","Whitehorse",Combined with No./Résultats combinés à ceux du n°54C,,,,,,44
60001,"Yukon/Yukon"," 59D","Whitehorse",Combined with No./Résultats combinés à ceux du n°54D,,,,,,66
60001,"Yukon/Yukon"," 59E","Whitehorse",Combined with No./Résultats combinés à ceux du n°54E,,,,,,55
60001,"Yukon/Yukon"," 59F","Whitehorse",Combined with No./Résultats combinés à ceux du n°54F,,,,,,78
60001,"Yukon/Yukon"," 60A","Whitehorse",Combined with No./Résultats combinés à ceux du n°54A,,,,,,44
60001,"Yukon/Yukon"," 60B","Whitehorse",Combined with No./Résultats combinés à ceux du n°54B,,,,,,69
60001,"Yukon/Yukon"," 60C","Whitehorse",Combined with No./Résultats combinés à ceux du n°54C,,,,,,56
60001,"Yukon/Yukon"," 60D","Whitehorse",Combined with No./Résultats combinés à ceux du n°54D,,,,,,68
60001,"Yukon/Yukon"," 60E","Whitehorse",Combined with No./Résultats combinés à ceux du n°54E,,,,,,75
60001,"Yukon/Yukon"," 60F","Whitehorse",Combined with No./Résultats combinés à ceux du n°54F,,,,,,66
60001,"Yukon/Yukon"," 61","Whitehorse",3,62,46,13,2,126,395
60001,"Yukon/Yukon"," 62","Whitehorse",6,83,35,16,0,140,419
60001,"Yukon/Yukon"," 63","Whitehorse",2,62,27,15,1,107,351
60001,"Yukon/Yukon"," 64A","Whitehorse",5,57,24,7,0,93,120
60001,"Yukon/Yukon"," 64B","Whitehorse",4,42,26,6,1,79,103
60001,"Yukon/Yukon"," 64C","Whitehorse",4,35,40,7,0,86,128
60001,"Yukon/Yukon"," 65A","Whitehorse",Combined with No./Résultats combinés à ceux du n°64A,,,,,,115
60001,"Yukon/Yukon"," 65B","Whitehorse",Combined with No./Résultats combinés à ceux du n°64B,,,,,,96
60001,"Yukon/Yukon"," 65C","Whitehorse",Combined with No./Résultats combinés à ceux du n°64C,,,,,,109
60001,"Yukon/Yukon"," 66A","Whitehorse",Combined with No./Résultats combinés à ceux du n°64A,,,,,,122
60001,"Yukon/Yukon"," 66B","Whitehorse",Combined with No./Résultats combinés à ceux du n°64B,,,,,,129
60001,"Yukon/Yukon"," 66C","Whitehorse",Combined with No./Résultats combinés à ceux du n°64C,,,,,,132
60001,"Yukon/Yukon"," 67","Whitehorse",6,69,23,4,2,104,365
60001,"Yukon/Yukon"," 68","Whitehorse",1,59,31,5,2,98,381
60001,"Yukon/Yukon"," 69","Whitehorse",2,69,28,12,0,111,379
60001,"Yukon/Yukon"," 70","Whitehorse",4,83,39,17,0,143,445
60001,"Yukon/Yukon"," 71","Whitehorse",1,69,49,13,1,133,429
60001,"Yukon/Yukon"," 72","Whitehorse",7,80,39,12,0,138,461
60001,"Yukon/Yukon"," 73","Whitehorse",3,93,44,11,1,152,415
60001,"Yukon/Yukon"," 74","Whitehorse",4,87,25,13,0,129,386
60001,"Yukon/Yukon"," 75","Whitehorse",4,76,69,5,0,154,420
60001,"Yukon/Yukon"," 76","Whitehorse",0,80,75,11,1,167,482
60001,"Yukon/Yukon"," 77","Whitehorse",3,84,81,13,1,182,499
60001,"Yukon/Yukon"," 78A","Whitehorse",0,23,34,6,0,63,183
60001,"Yukon/Yukon"," 78B","Whitehorse",8,64,90,14,3,179,330
60001,"Yukon/Yukon"," 500","Mobile poll/Bureau itinérant",6,28,23,14,5,76,124
60001,"Yukon/Yukon"," 501","Mobile poll/Bureau itinérant",0,28,7,11,2,48,80
60001,"Yukon/Yukon"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,23
60001,"Yukon/Yukon"," 600","Old Crow",0,3,4,1,0,8,
60001,"Yukon/Yukon"," 601","Dawson",Combined with No./Résultats combinés à ceux du n°603,,,,,,
60001,"Yukon/Yukon"," 602","Eagle Plains",Combined with No./Résultats combinés à ceux du n°603,,,,,,
60001,"Yukon/Yukon"," 603","Dawson",7,151,133,30,2,323,
60001,"Yukon/Yukon"," 604","Steward Crossing",Combined with No./Résultats combinés à ceux du n°606,,,,,,
60001,"Yukon/Yukon"," 605","Keno Hill",Combined with No./Résultats combinés à ceux du n°606,,,,,,
60001,"Yukon/Yukon"," 606","Mayo",2,16,18,3,0,39,
60001,"Yukon/Yukon"," 607","Mayo",Combined with No./Résultats combinés à ceux du n°606,,,,,,
60001,"Yukon/Yukon"," 608","Beaver Creek",0,6,10,1,0,17,
60001,"Yukon/Yukon"," 609","Pelly Crossing",0,15,3,1,0,19,
60001,"Yukon/Yukon"," 610","Faro",1,25,50,4,0,80,
60001,"Yukon/Yukon"," 611","Ross River",0,3,16,0,0,19,
60001,"Yukon/Yukon"," 612","Carmacks",2,13,34,4,0,53,
60001,"Yukon/Yukon"," 613","Destruction Bay",0,13,7,1,0,21,
60001,"Yukon/Yukon"," 614","Burwash Landing",Combined with No./Résultats combinés à ceux du n°613,,,,,,
60001,"Yukon/Yukon"," 615","Haines Junction",5,109,96,14,0,224,
60001,"Yukon/Yukon"," 616","Carcross",Combined with No./Résultats combinés à ceux du n°631,,,,,,
60001,"Yukon/Yukon"," 617","Tagish",Combined with No./Résultats combinés à ceux du n°631,,,,,,
60001,"Yukon/Yukon"," 618","Teslin",Combined with No./Résultats combinés à ceux du n°620,,,,,,
60001,"Yukon/Yukon"," 619","Johnsons Crossing",Combined with No./Résultats combinés à ceux du n°620,,,,,,
60001,"Yukon/Yukon"," 620","Teslin",1,33,33,3,0,70,
60001,"Yukon/Yukon"," 621","Swift River",0,0,0,0,0,0,
60001,"Yukon/Yukon"," 622","Tuchitua",Combined with No./Résultats combinés à ceux du n°624,,,,,,
60001,"Yukon/Yukon"," 623","Upper Liard",Combined with No./Résultats combinés à ceux du n°624,,,,,,
60001,"Yukon/Yukon"," 624","Watson Lake",4,62,144,11,1,222,
60001,"Yukon/Yukon"," 625","Little River",Combined with No./Résultats combinés à ceux du n°627,,,,,,
60001,"Yukon/Yukon"," 626","Lake Laberge 1",Combined with No./Résultats combinés à ceux du n°627,,,,,,
60001,"Yukon/Yukon"," 627","Takhini",8,325,279,29,1,642,
60001,"Yukon/Yukon"," 628","Whitehorse",12,494,274,34,1,815,
60001,"Yukon/Yukon"," 629","Whitehorse",12,516,305,36,1,870,
60001,"Yukon/Yukon"," 630","Whitehorse",15,755,242,63,7,1082,
60001,"Yukon/Yukon"," 631","Whitehorse--Marsh Lake",14,263,172,16,1,466,
60001,"Yukon/Yukon",,Group 1/Groupe 1, 10,332,151,22,15,530,135
60001,"Yukon/Yukon",,Group 2/Groupe 2, 86,2895,1846,253,26,5106,
