Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ehsan Arjmand,Tammy Bentz,Stephen Curran,Oliver King,Andrew Robinson,Jonathan Wilkinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 16","West Vancouver",0,2,54,0,3,62,0,121,418
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 17","West Vancouver",0,6,60,0,1,69,1,137,449
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 18","West Vancouver",1,5,58,0,0,87,0,151,452
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 19","West Vancouver",0,3,76,0,0,62,1,142,482
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 20","West Vancouver",3,3,53,0,2,71,0,132,491
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 21","West Vancouver",Combined with No./Résultats combinés à ceux du n°22,,,,,,,,99
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 22","West Vancouver",1,4,32,0,1,18,0,56,199
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 23","North Vancouver",0,3,55,1,0,72,0,131,353
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 24","North Vancouver",0,5,87,0,7,90,1,190,421
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 25","North Vancouver",0,2,87,0,1,110,1,201,388
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 26","North Vancouver",0,0,67,0,0,124,0,191,381
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 27","North Vancouver",1,2,60,0,5,76,1,145,515
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 28","North Vancouver",0,4,78,0,1,108,0,191,499
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 29","North Vancouver",0,4,53,0,4,70,1,132,402
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 30","North Vancouver",0,3,68,0,3,65,0,139,457
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 31","North Vancouver",1,2,55,0,1,85,0,144,462
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 32","West Vancouver",2,2,65,0,2,86,2,159,417
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 33","West Vancouver",2,4,39,0,3,52,0,100,402
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 34","West Vancouver",2,2,40,0,4,66,1,115,435
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 35","West Vancouver",0,3,55,0,2,77,0,137,535
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 36","West Vancouver",0,6,68,0,3,85,2,164,467
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 37","West Vancouver",1,0,65,0,7,85,1,159,510
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 38","West Vancouver",0,4,45,0,4,75,0,128,442
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 39","West Vancouver",1,4,67,0,3,96,4,175,513
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 40","West Vancouver",0,2,75,0,0,64,1,142,556
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 41","West Vancouver",0,0,53,0,1,41,0,95,336
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 42","West Vancouver",1,2,81,0,2,83,1,170,521
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 43","West Vancouver",0,9,97,0,2,79,0,187,597
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 44","North Vancouver",3,11,75,4,3,94,6,196,567
