Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kerry-Lynne Findlay,Christine Kinnie,Ernie Klassen,Jureun Park,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 52","Surrey",106,3,120,7,1,237,514
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 53","Surrey",73,1,84,3,0,161,399
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 54","Surrey",78,4,89,7,0,178,475
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 55","Surrey",48,0,39,3,1,91,485
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 56","Surrey",73,0,51,2,0,126,474
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 57","Surrey",52,2,53,3,1,111,417
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 58","Surrey",48,2,42,3,0,95,366
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 59","Surrey",97,3,71,3,0,174,552
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 60","Surrey",106,2,93,7,1,209,576
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 61","Surrey",61,2,58,5,0,126,494
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 62","Surrey",66,0,65,6,1,138,435
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 63","Surrey",61,3,54,2,1,121,433
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 64","Surrey",70,2,48,0,0,120,594
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 65","Surrey",87,2,68,1,0,158,459
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 66","Surrey",73,1,83,3,0,160,405
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 67","Surrey",108,2,72,3,1,186,473
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 68","Surrey",87,2,95,0,1,185,421
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 69","Surrey",70,8,84,6,0,168,512
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 70","Surrey",116,5,100,2,0,223,535
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 71","Surrey",67,2,67,3,0,139,427
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 72","Surrey",79,2,53,5,0,139,505
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 73","Surrey",81,1,64,7,0,153,513
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 74","Surrey",63,0,108,3,2,176,445
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 75","Surrey",46,3,75,6,1,131,488
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 76","Surrey",47,1,32,2,0,82,354
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 77","Surrey",44,0,60,2,0,106,462
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 78","Surrey",51,3,67,1,1,123,429
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 79","Surrey",73,0,56,3,0,132,456
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 80","Surrey",87,4,75,13,3,182,545
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 81","Surrey",87,1,76,8,1,173,504
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 82","Surrey",119,5,71,13,0,208,524
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 83","Surrey",93,1,91,3,0,188,547
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 84","Surrey",64,5,76,3,0,148,476
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 85","Surrey",48,0,49,4,0,101,352
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 86","Surrey",77,3,79,5,2,166,430
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 87","Surrey",82,5,83,2,0,172,503
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 88","Surrey",52,1,75,7,1,136,515
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 89","Surrey",46,0,46,6,0,98,517
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 90","Surrey",66,1,54,2,0,123,502
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 91","Surrey",27,2,26,5,0,60,401
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 92","Surrey",91,1,67,5,1,165,519
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 93","Surrey",81,1,62,3,0,147,494
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 94","Surrey",77,0,51,1,0,129,500
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 95","Surrey",80,3,45,2,0,130,522
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 96","Surrey",80,1,58,3,3,145,604
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 97","Surrey",89,1,76,3,2,171,490
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 98","Surrey",94,0,64,0,0,158,474
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 99","Surrey",101,3,72,4,1,181,592
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 100","Surrey",85,5,54,9,1,154,529
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 101","Surrey",53,1,61,8,0,123,466
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 102","Surrey",37,1,49,5,0,92,433
