Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Pat Kelly,Shahnaz Munir,Nanette Nerland,Jim Samuelson,Yvonne Snyder,Lachlan Van Egmond,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Crowfoot/Calgary Crowfoot"," 91","Calgary",147,103,2,9,5,0,1,267,945
48006,"Calgary Crowfoot/Calgary Crowfoot"," 92","Calgary",218,120,1,6,3,2,0,350,677
48006,"Calgary Crowfoot/Calgary Crowfoot"," 93","Calgary",101,68,1,6,2,1,1,180,602
48006,"Calgary Crowfoot/Calgary Crowfoot"," 94","Calgary",84,41,0,4,0,0,1,130,431
48006,"Calgary Crowfoot/Calgary Crowfoot"," 95","Calgary",189,99,0,4,2,0,2,296,731
48006,"Calgary Crowfoot/Calgary Crowfoot"," 96","Calgary",115,63,1,5,1,0,0,185,606
48006,"Calgary Crowfoot/Calgary Crowfoot"," 97","Calgary",91,61,2,4,2,1,1,162,517
48006,"Calgary Crowfoot/Calgary Crowfoot"," 98","Calgary",112,66,0,4,2,1,0,185,691
48006,"Calgary Crowfoot/Calgary Crowfoot"," 99","Calgary",58,35,0,2,0,0,1,96,402
48006,"Calgary Crowfoot/Calgary Crowfoot"," 100","Calgary",79,88,1,9,2,0,2,181,671
48006,"Calgary Crowfoot/Calgary Crowfoot"," 101","Calgary",119,86,0,3,1,0,0,209,699
48006,"Calgary Crowfoot/Calgary Crowfoot"," 102","Calgary",97,82,3,7,1,0,0,190,614
48006,"Calgary Crowfoot/Calgary Crowfoot"," 103","Calgary",66,46,2,4,0,2,0,120,414
48006,"Calgary Crowfoot/Calgary Crowfoot"," 104","Calgary",90,63,1,5,1,0,1,161,584
48006,"Calgary Crowfoot/Calgary Crowfoot"," 105","Calgary",49,33,0,4,1,0,2,89,369
48006,"Calgary Crowfoot/Calgary Crowfoot"," 106","Calgary",135,82,2,10,0,0,1,230,863
48006,"Calgary Crowfoot/Calgary Crowfoot"," 107","Calgary",108,63,1,2,0,0,1,175,729
48006,"Calgary Crowfoot/Calgary Crowfoot"," 108","Calgary",79,47,3,0,0,1,0,130,433
48006,"Calgary Crowfoot/Calgary Crowfoot"," 109","Calgary",131,108,0,9,3,1,2,254,727
48006,"Calgary Crowfoot/Calgary Crowfoot"," 110","Calgary",99,75,0,4,0,1,0,179,596
48006,"Calgary Crowfoot/Calgary Crowfoot"," 111","Calgary",124,55,2,4,0,1,2,188,713
48006,"Calgary Crowfoot/Calgary Crowfoot"," 112","Calgary",118,75,0,6,1,0,1,201,704
48006,"Calgary Crowfoot/Calgary Crowfoot"," 113","Calgary",126,103,1,3,0,2,0,235,676
48006,"Calgary Crowfoot/Calgary Crowfoot"," 114","Calgary",124,88,1,9,1,0,0,223,684
48006,"Calgary Crowfoot/Calgary Crowfoot"," 115","Calgary",117,81,5,14,5,0,5,227,724
48006,"Calgary Crowfoot/Calgary Crowfoot"," 116","Calgary",160,85,3,10,5,0,1,264,719
48006,"Calgary Crowfoot/Calgary Crowfoot"," 117","Calgary",91,58,1,3,0,3,0,156,455
48006,"Calgary Crowfoot/Calgary Crowfoot"," 118","Calgary",124,74,2,5,1,0,0,206,634
48006,"Calgary Crowfoot/Calgary Crowfoot"," 119","Calgary",158,86,1,7,0,0,0,252,747
48006,"Calgary Crowfoot/Calgary Crowfoot"," 120","Calgary",151,88,4,2,2,0,0,247,679
48006,"Calgary Crowfoot/Calgary Crowfoot"," 121","Calgary",98,83,0,8,0,1,0,190,534
48006,"Calgary Crowfoot/Calgary Crowfoot"," 122","Calgary",135,64,2,11,3,1,0,216,705
48006,"Calgary Crowfoot/Calgary Crowfoot"," 123","Calgary",82,44,2,1,2,1,1,133,410
48006,"Calgary Crowfoot/Calgary Crowfoot"," 124","Calgary",135,89,2,15,2,0,5,248,776
48006,"Calgary Crowfoot/Calgary Crowfoot"," 125","Calgary",173,120,6,14,3,0,0,316,822
48006,"Calgary Crowfoot/Calgary Crowfoot"," 126","Calgary",200,119,4,14,2,0,1,340,765
48006,"Calgary Crowfoot/Calgary Crowfoot"," 127","Calgary",85,73,0,15,0,0,1,174,513
48006,"Calgary Crowfoot/Calgary Crowfoot"," 128","Calgary",87,69,0,18,3,0,2,179,556
48006,"Calgary Crowfoot/Calgary Crowfoot"," 129","Calgary",106,83,2,9,1,0,2,203,677
48006,"Calgary Crowfoot/Calgary Crowfoot"," 130","Calgary",114,65,3,5,2,0,0,189,533
48006,"Calgary Crowfoot/Calgary Crowfoot"," 131","Calgary",69,45,1,0,2,1,1,119,462
48006,"Calgary Crowfoot/Calgary Crowfoot"," 132","Calgary",148,69,2,10,0,4,1,234,785
48006,"Calgary Crowfoot/Calgary Crowfoot"," 133","Calgary",102,67,0,7,1,1,0,178,587
48006,"Calgary Crowfoot/Calgary Crowfoot"," 134","Calgary",137,64,0,4,1,1,0,207,565
48006,"Calgary Crowfoot/Calgary Crowfoot"," 135","Calgary",98,85,2,3,1,0,0,189,515
48006,"Calgary Crowfoot/Calgary Crowfoot"," 136","Calgary",124,72,3,7,2,0,0,208,647
48006,"Calgary Crowfoot/Calgary Crowfoot"," 137","Calgary",115,86,2,8,1,0,0,212,704
48006,"Calgary Crowfoot/Calgary Crowfoot"," 138","Calgary",172,87,6,9,1,0,1,276,754
48006,"Calgary Crowfoot/Calgary Crowfoot"," 139","Calgary",136,63,2,9,1,1,1,213,515
48006,"Calgary Crowfoot/Calgary Crowfoot"," 140","Calgary",102,63,0,7,3,1,1,177,474
48006,"Calgary Crowfoot/Calgary Crowfoot"," 400","Calgary",120,70,1,3,2,0,2,198,337
48006,"Calgary Crowfoot/Calgary Crowfoot"," 500","Mobile poll/Bureau itinérant",106,61,1,4,0,2,3,177,111
48006,"Calgary Crowfoot/Calgary Crowfoot"," 501","Mobile poll/Bureau itinérant",112,61,1,7,0,1,3,185,121
48006,"Calgary Crowfoot/Calgary Crowfoot"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,105
48006,"Calgary Crowfoot/Calgary Crowfoot"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,105
48006,"Calgary Crowfoot/Calgary Crowfoot"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,91
48006,"Calgary Crowfoot/Calgary Crowfoot"," 505","Mobile poll/Bureau itinérant",104,35,0,8,4,2,3,156,149
48006,"Calgary Crowfoot/Calgary Crowfoot"," 600","Calgary",338,254,1,12,1,0,3,609,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 601","Calgary",419,240,2,9,1,0,0,671,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 602","Calgary",351,253,2,19,4,4,7,640,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 603","Calgary",339,178,1,17,3,0,2,540,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 604","Calgary",385,217,3,20,1,0,5,631,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 605","Calgary",447,334,2,27,6,0,6,822,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 606","Calgary",238,240,1,11,3,0,3,496,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 607","Calgary",281,214,0,5,2,0,1,503,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 608","Calgary",536,351,4,12,9,1,3,916,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 609","Calgary",507,399,3,22,5,3,3,942,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 610","Calgary",418,332,1,19,2,1,1,774,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 611","Calgary",542,299,1,20,4,1,4,871,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 612","Calgary",430,257,7,19,4,2,4,723,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 613","Calgary",568,421,1,33,9,1,2,1035,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 614","Calgary",542,349,4,14,3,1,10,923,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 615","Calgary",739,410,7,26,2,2,9,1195,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 616","Calgary",603,357,3,16,6,2,3,990,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 617","Calgary",351,188,0,2,2,0,0,543,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 618","Calgary",477,370,6,20,3,1,5,882,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 619","Calgary",840,455,7,32,8,2,3,1347,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 620","Calgary",456,366,6,18,1,0,4,851,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 621","Calgary",531,311,2,9,1,0,1,855,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 622","Calgary",429,299,1,19,6,1,2,757,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 623","Calgary",506,339,5,27,2,4,0,883,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 624","Calgary",478,337,1,20,4,1,1,842,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 625","Calgary",602,441,6,19,4,2,1,1075,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 626","Calgary",572,381,3,18,10,1,1,986,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 627","Calgary",387,300,4,32,8,1,3,735,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 628","Calgary",338,263,3,16,3,0,0,623,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 629","Calgary",309,278,5,24,4,0,3,623,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 630","Calgary",474,344,2,24,2,4,1,851,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 631","Calgary",432,314,3,21,2,1,8,781,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 632","Calgary",438,292,3,19,5,0,0,757,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 633","Calgary",462,252,1,22,8,2,3,750,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 634","Calgary",652,468,7,33,5,1,3,1169,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 635","Calgary",731,453,2,40,5,4,9,1244,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 636","Calgary",889,519,4,23,4,3,3,1445,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 637","Calgary",532,266,2,7,8,6,0,821,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 638","Calgary",556,443,1,34,5,1,1,1041,
48006,"Calgary Crowfoot/Calgary Crowfoot"," 639","Calgary",574,419,7,34,15,0,3,1052,
48006,"Calgary Crowfoot/Calgary Crowfoot",,Group 1/Groupe 1, 629,733,14,66,9,0,42,1493,564
48006,"Calgary Crowfoot/Calgary Crowfoot",,Group 2/Groupe 2, 1853,945,15,55,14,3,76,2961,
