Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Niki Ashton,Rebecca Chartrand,Lachlan De Nardi,Dylan Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 16","Pukatawagan 198",30,141,6,2,0,179,592
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 17","York Landing",38,85,3,0,2,128,234
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 18","Nelson House 170",101,117,13,5,4,240,1380
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 19","Nelson House",Combined with No./Résultats combinés à ceux du n°18,,,,,,89
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 20","Thompson",41,30,42,1,0,114,425
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 21","Thompson",24,47,53,1,0,125,412
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 22","Thompson",30,55,56,6,1,148,443
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 23","Thompson",14,24,35,3,0,76,397
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 24","Thompson",24,42,45,6,1,118,436
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 25","Thompson",31,53,57,3,0,144,522
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 26","Thompson",9,20,15,3,0,47,339
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 27","Thompson",22,37,25,4,0,88,398
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 28","Mystery Lake",24,21,19,1,0,65,420
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 29A","Thompson",7,13,10,2,0,32,225
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 29B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,43
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 30A","Thompson",10,8,11,0,0,29,276
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 30B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,16
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 31A","Thompson",18,25,11,2,0,56,433
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 31B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,2
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 32","Thompson",19,60,50,4,1,134,389
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 33","Thompson",33,35,26,1,2,97,405
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 34","Thompson",22,18,35,0,3,78,346
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 35","Thompson",26,50,63,1,0,140,409
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 36","Thompson",15,10,19,2,1,47,282
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 37","Thompson",24,31,24,1,1,81,361
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 38","Thompson",17,19,33,2,1,72,321
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 39","Thompson",24,35,36,2,2,99,317
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 40","Ilford",19,2,2,0,0,23,89
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 41","Sherridon",9,3,19,0,2,33,63
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 42","Pikwitonei",2,2,10,1,0,15,28
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 43","Flin Flon (Part)",22,43,73,3,2,143,413
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 44","Flin Flon (Part)",29,50,75,4,1,159,398
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 45","Flin Flon (Part)",29,40,73,2,0,144,374
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 46","Thicket Portage",21,1,0,0,1,23,68
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 47","Flin Flon",26,24,47,1,0,98,383
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 48","Flin Flon (Part)",22,12,40,7,0,81,361
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 49","Flin Flon (Part)",31,28,51,4,1,115,393
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 50","Snow Lake",21,33,74,7,0,135,381
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 51","Snow Lake",18,8,58,2,0,86,300
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 52","Oxford House 24",103,55,2,3,2,165,507
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 53","Flin Flon (Part)",36,41,91,5,1,174,409
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 54","Flin Flon (Part)",28,33,75,2,0,138,365
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 55","Flin Flon (Part)",43,39,75,4,0,161,444
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 56","Bakers Narrows",26,82,107,2,0,217,496
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 57A","Wabowden",48,36,32,0,1,117,404
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 57B","Wabowden",Combined with No./Résultats combinés à ceux du n°13A,,,,,,14
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 58","God's River 86A",46,23,1,0,1,71,228
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 58-1","Gods Lake",Void/Supprimé,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 59","Cranberry Portage--Payuk Lake",Combined with No./Résultats combinés à ceux du n°60,,,,,,199
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 60","Cranberry Portage",63,120,100,9,2,294,370
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 61","Cross Lake 19A",100,157,3,3,5,268,1155
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 62","Cross Lake 19",41,88,1,3,3,136,503
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 63","Cross Lake",96,120,2,2,2,222,1092
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 64","Wanless",22,24,64,3,0,113,227
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 65","Gods Lake Narrows",11,99,3,0,3,116,659
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 65-1","God's Lake 23",Combined with No./Résultats combinés à ceux du n°65,,,,,,241
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 66","Cormorant",48,13,13,1,0,75,232
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 67","Red Sucker Lake 1976",18,113,1,1,4,137,389
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 68","Clearwater Lake",23,87,89,1,2,202,349
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 69","Opaskwayak Cree Nation 21E",139,102,13,3,3,260,1545
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 69-1","Opaskwayak Cree Nation 21B",Combined with No./Résultats combinés à ceux du n°69-2,,,,,,143
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 69-2","Opaskwayak Cree Nation 21A",54,60,12,3,1,130,229
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 70","Kelsey",4,9,0,1,0,14,54
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 71","The Pas",Combined with No./Résultats combinés à ceux du n°70,,,,,,65
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 72","Norway House",32,65,13,1,0,111,1
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 73","Norway House",Combined with No./Résultats combinés à ceux du n°72,,,,,,7
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 74","Norway House",Combined with No./Résultats combinés à ceux du n°72,,,,,,776
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 75","The Pas",37,31,38,3,1,110,321
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 76","The Pas",29,50,67,6,0,152,422
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 77","The Pas",30,33,55,6,0,124,448
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 78","The Pas",23,26,34,2,0,85,308
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 79","The Pas",26,40,38,2,2,108,384
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 80","Ralls Island",17,43,90,8,0,158,339
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 81","The Pas",29,52,53,3,0,137,347
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 82","The Pas",29,62,50,2,2,145,432
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 83","The Pas",7,22,17,1,0,47,197
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 84","The Pas",15,40,48,2,0,105,328
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 85","The Pas",26,38,57,2,0,123,419
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 86","Moose Lake 31",66,22,7,4,0,99,631
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 87","Island Lake",15,132,2,0,15,164,149
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 87-1","Garden Hill First Nation",Combined with No./Résultats combinés à ceux du n°87,,,,,,1039
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 88","Wasagamack",4,66,1,2,1,74,488
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 89","Crooked Turn",43,133,6,0,2,184,82
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 89-1","Norway House 17",Combined with No./Résultats combinés à ceux du n°89,,,,,,1690
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 90","Norway House",40,117,2,1,7,167,0
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 91","Crooked Turn",83,163,8,0,0,254,25
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 92","St. Theresa Point",6,279,0,2,3,290,1337
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 93","Kelsey",19,42,88,2,0,151,314
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 94","Young Point--Overflowing River",12,32,53,1,0,98,248
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 95","Grand Rapids",30,80,15,1,3,129,360
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 95-1","Grand Rapids 33",27,55,1,0,0,83,383
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 96","Easterville",70,153,9,1,5,238,145
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 96-1","Chemawawin 2",Combined with No./Résultats combinés à ceux du n°96,,,,,,619
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 97","St. Theresa Point",4,4,11,0,0,19,264
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 98","Poplar River 16",68,32,9,2,1,112,285
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 99","Pauingassi First Nation",29,74,1,0,0,104,200
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 100","Dauphin River",22,29,6,1,0,58,92
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 101","Berens River 13",53,154,1,0,2,210,640
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 102","Fairford",48,198,19,1,2,268,104
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 102-1","Fairford 50",Combined with No./Résultats combinés à ceux du n°102,,,,,,379
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 103","Jackhead 43",21,42,1,0,0,64,63
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 104","Obushkudayang",24,122,6,2,2,156,239
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 105","Grahamdale",18,87,11,4,1,121,239
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 106","Bloodvein 12",71,22,10,1,0,104,357
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 106-1","Princess Harbour",Void/Supprimé,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 107","Matheson Island",35,4,9,2,0,50,69
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 108","Little Grand Rapids",25,18,3,0,10,56,148
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 108-1","Little Grand Rapids 14",Combined with No./Résultats combinés à ceux du n°108,,,,,,222
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 109","Dallas",2,5,0,0,0,7,34
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 110","Little Bullhead",13,11,5,0,0,29,46
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 111","Peguis",18,36,1,0,1,56,291
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 112","Fisher River 44",79,126,8,0,0,213,692
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 113","Peguis 1B",78,325,2,13,14,432,698
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 114","Peguis 1B",Combined with No./Résultats combinés à ceux du n°113,,,,,,600
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 115","Peguis 1B",Combined with No./Résultats combinés à ceux du n°113,,,,,,630
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 116","Hole or Hollow Water 10",59,100,14,0,1,174,476
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 117","Manigotagan",18,24,17,2,0,61,98
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 118","Bissett",9,7,42,1,0,59,100
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 119","Black River 9",44,93,10,1,2,150,349
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 120","Fort Alexander 3",52,112,8,1,0,173,426
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 121","Fort Alexander 3",33,118,5,2,3,161,702
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,20
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 501","Mobile poll/Bureau itinérant",43,35,15,2,1,96,45
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,34
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 503","Flin Flon (Part)",Combined with No./Résultats combinés à ceux du n°53,,,,,,15
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 504","Flin Flon (Part)",Combined with No./Résultats combinés à ceux du n°48,,,,,,15
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,24
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 506","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 507","Mobile poll/Bureau itinérant",33,21,12,8,0,74,30
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 508","Mobile poll/Bureau itinérant",25,11,11,2,2,51,35
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,23
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 510","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 511","	Fort Alexander 3",Combined with No./Résultats combinés à ceux du n°120,,,,,,2
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 600","Lac Brochet 197A",Combined with No./Résultats combinés à ceux du n°602,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 601","Churchill 1",Combined with No./Résultats combinés à ceux du n°602,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 602","Churchill",36,50,19,1,1,107,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 603","Churchill",Combined with No./Résultats combinés à ceux du n°602,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 604","Bird",Combined with No./Résultats combinés à ceux du n°605,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 605","Gillam",54,41,65,3,1,164,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 606","Split Lake 171",19,9,0,0,0,28,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 607","South Indian Lake",4,4,0,0,0,8,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 608","Brochet 197",Combined with No./Résultats combinés à ceux du n°602,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 609","Lynn Lake--Leaf Rapids",24,26,8,3,1,62,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 610","Black Sturgeon",Combined with No./Résultats combinés à ceux du n°609,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 611","Granville Lake",Combined with No./Résultats combinés à ceux du n°609,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 612","Pukatawagan 198",3,6,0,0,0,9,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 613","Nelson House",Combined with No./Résultats combinés à ceux du n°614,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 614","Nelson House 170",19,24,1,0,0,44,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 615","Flin Flon",138,282,354,16,5,795,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 616","Snow Lake",23,45,135,2,2,207,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 617","Thompson",114,142,108,11,2,377,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 618","Thompson",252,391,361,11,8,1023,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 619","York Landing",Combined with No./Résultats combinés à ceux du n°618,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 620","Ilford",Combined with No./Résultats combinés à ceux du n°619,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 621","Pikwitonei",Combined with No./Résultats combinés à ceux du n°619,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 622","Oxford House 24",Combined with No./Résultats combinés à ceux du n°618,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 623","Cross Lake",31,29,7,1,0,68,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 624","Cross Lake",Combined with No./Résultats combinés à ceux du n°623,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 625","Gods Lake Narrows",Combined with No./Résultats combinés à ceux du n°626,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 626","God's Lake 23",12,48,2,0,0,62,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 627","Gods Lake",Combined with No./Résultats combinés à ceux du n°618,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 628","God's River 86A",Combined with No./Résultats combinés à ceux du n°618,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 629","Shamattawa 1",Combined with No./Résultats combinés à ceux du n°618,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 630","Red Sucker Lake 1976",Combined with No./Résultats combinés à ceux du n°632,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 631","Island Lake",Combined with No./Résultats combinés à ceux du n°632,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 632","Garden Hill First Nation",7,56,0,1,4,68,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 633","Wasagamack",Combined with No./Résultats combinés à ceux du n°632,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 634","St. Theresa Point",13,122,3,2,1,141,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 635","Poplar River 16",Combined with No./Résultats combinés à ceux du n°98,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 636","Norway House",Combined with No./Résultats combinés à ceux du n°637,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 637","Norway House 17",64,77,6,0,0,147,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 638","Grand Rapids",22,24,1,1,0,48,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 639","Grand Rapids 33",Combined with No./Résultats combinés à ceux du n°638,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 640","Moose Lake 31",Combined with No./Résultats combinés à ceux du n°642,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 641","The Pas - Kelsey",47,115,89,5,2,258,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 642","Opaskwayak Cree Nation 21E",114,134,101,4,1,354,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 643","The Pas",38,111,81,7,1,238,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 644","Chemawawin 2",25,20,1,0,1,47,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 645","Fairford",Combined with No./Résultats combinés à ceux du n°662,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 646","Dauphin River",Combined with No./Résultats combinés à ceux du n°663,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 647","Berens River 13",Combined with No./Résultats combinés à ceux du n°655,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 648","Pauingassi First Nation",Combined with No./Résultats combinés à ceux du n°650,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 649","Little Grand Rapids",Combined with No./Résultats combinés à ceux du n°650,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 650","Little Grand Rapids 14",105,30,8,4,0,147,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 651","Manigotagan - Bissett",Combined with No./Résultats combinés à ceux du n°652,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 652","Black River 9",32,20,5,1,0,58,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 653","Fort Alexander",27,13,3,0,0,43,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 654","Hole or Hollow Water 10",No poll held/Pas de scrutin,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 655","Bloodvein 12",5,7,2,0,0,14,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 656","Princess Harbour",Combined with No./Résultats combinés à ceux du n°655,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 657","Bullhead--Matheson Island",Combined with No./Résultats combinés à ceux du n°655,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 658","Jackhead 43",Combined with No./Résultats combinés à ceux du n°103,,,,,,
46002,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski"," 659","Fisher River 44",68,85,11,1,1,166,
