Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Chris d'Entremont,Ingrid Deon,Ronnie LeBlanc,Matthew Piggott,James Strange,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Acadie--Annapolis/Acadie--Annapolis"," 59","Carleton Corner",36,1,46,2,0,0,85,300
12001,"Acadie--Annapolis/Acadie--Annapolis"," 60","West Dalhousie",27,4,19,3,2,2,57,130
12001,"Acadie--Annapolis/Acadie--Annapolis"," 61","Young Cove",58,7,38,3,0,0,106,269
12001,"Acadie--Annapolis/Acadie--Annapolis"," 62","Hillsburn",108,12,72,3,2,0,197,398
12001,"Acadie--Annapolis/Acadie--Annapolis"," 63","Belleisle",50,6,64,3,1,2,126,376
12001,"Acadie--Annapolis/Acadie--Annapolis"," 64","Granville Ferry",58,6,94,4,2,1,165,419
12001,"Acadie--Annapolis/Acadie--Annapolis"," 65","Port Wade",58,6,81,2,1,0,148,420
12001,"Acadie--Annapolis/Acadie--Annapolis"," 66","Annapolis Royal",21,8,55,2,1,0,87,322
12001,"Acadie--Annapolis/Acadie--Annapolis"," 67","Annapolis Royal",18,1,39,3,1,0,62,261
12001,"Acadie--Annapolis/Acadie--Annapolis"," 68","Round Hill",54,0,76,4,2,1,137,379
12001,"Acadie--Annapolis/Acadie--Annapolis"," 69","Mochelle",46,4,60,0,1,2,113,362
12001,"Acadie--Annapolis/Acadie--Annapolis"," 70","Lequille",66,4,55,4,3,2,134,291
12001,"Acadie--Annapolis/Acadie--Annapolis"," 70-1","Bear River 6B",Combined with No./Résultats combinés à ceux du n°70,,,,,,,6
12001,"Acadie--Annapolis/Acadie--Annapolis"," 71","Upper Clements",40,3,80,0,1,1,125,301
12001,"Acadie--Annapolis/Acadie--Annapolis"," 72","Clementsport",42,4,39,0,2,0,87,273
12001,"Acadie--Annapolis/Acadie--Annapolis"," 73","Cornwallis",51,7,58,0,1,1,118,394
12001,"Acadie--Annapolis/Acadie--Annapolis"," 74","Deep Brook",73,10,58,3,1,2,147,379
12001,"Acadie--Annapolis/Acadie--Annapolis"," 75","South Milford",131,12,73,3,3,2,224,452
12001,"Acadie--Annapolis/Acadie--Annapolis"," 76","Maitland Bridge",30,1,33,0,2,0,66,101
12001,"Acadie--Annapolis/Acadie--Annapolis"," 77","Bear River East",97,17,64,2,1,2,183,419
12001,"Acadie--Annapolis/Acadie--Annapolis"," 78","Bear River East",102,6,48,3,2,2,163,337
12001,"Acadie--Annapolis/Acadie--Annapolis"," 78-1","Bear River (Part 6)",Combined with No./Résultats combinés à ceux du n°78,,,,,,,23
12001,"Acadie--Annapolis/Acadie--Annapolis"," 79","Morganville",62,11,54,12,5,0,144,254
12001,"Acadie--Annapolis/Acadie--Annapolis"," 80","Bear River",58,3,58,5,3,1,128,399
12001,"Acadie--Annapolis/Acadie--Annapolis"," 81","Smiths Cove",79,7,76,0,1,2,165,405
12001,"Acadie--Annapolis/Acadie--Annapolis"," 82","Acaciaville",98,11,47,4,2,2,164,447
12001,"Acadie--Annapolis/Acadie--Annapolis"," 83","Conway",30,3,8,2,3,0,46,264
12001,"Acadie--Annapolis/Acadie--Annapolis"," 84","Digby",78,5,78,4,5,0,170,529
12001,"Acadie--Annapolis/Acadie--Annapolis"," 85","Digby",56,2,54,0,2,2,116,430
12001,"Acadie--Annapolis/Acadie--Annapolis"," 86","Digby",72,8,36,1,0,2,119,405
12001,"Acadie--Annapolis/Acadie--Annapolis"," 87","Digby",53,8,30,6,2,0,99,375
12001,"Acadie--Annapolis/Acadie--Annapolis"," 88","Mount Pleasant",83,7,48,2,0,1,141,446
12001,"Acadie--Annapolis/Acadie--Annapolis"," 89","Culloden",77,5,40,0,2,0,124,386
12001,"Acadie--Annapolis/Acadie--Annapolis"," 90","Rossway",81,2,32,2,3,1,121,252
12001,"Acadie--Annapolis/Acadie--Annapolis"," 91","Sandy Cove",47,4,21,3,1,0,76,268
12001,"Acadie--Annapolis/Acadie--Annapolis"," 92","East Ferry",53,3,23,1,2,0,82,240
12001,"Acadie--Annapolis/Acadie--Annapolis"," 93","Tiverton",64,3,48,4,0,0,119,186
12001,"Acadie--Annapolis/Acadie--Annapolis"," 94","Freeport",66,3,79,2,1,0,151,241
12001,"Acadie--Annapolis/Acadie--Annapolis"," 95","Westport",74,2,36,1,1,0,114,174
12001,"Acadie--Annapolis/Acadie--Annapolis"," 96","Brighton",82,10,50,4,4,1,151,317
12001,"Acadie--Annapolis/Acadie--Annapolis"," 97","North Range",101,6,39,5,0,3,154,355
