Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Khalis Ahmed,Paul Godard,David GL McKenzie,Grant Strem,Bryndis Whitson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Calgary Signal Hill/Calgary Signal Hill"," 119","Calgary",9,0,57,1,60,0,127,444
48013,"Calgary Signal Hill/Calgary Signal Hill"," 120","Calgary",1,0,65,0,27,0,93,350
48013,"Calgary Signal Hill/Calgary Signal Hill"," 121","Calgary",2,0,99,1,43,0,145,477
48013,"Calgary Signal Hill/Calgary Signal Hill"," 122","Calgary",0,0,93,1,23,0,117,455
48013,"Calgary Signal Hill/Calgary Signal Hill"," 123","Calgary",2,1,102,2,59,0,166,526
48013,"Calgary Signal Hill/Calgary Signal Hill"," 124","Calgary",1,0,78,1,36,2,118,436
48013,"Calgary Signal Hill/Calgary Signal Hill"," 125","Calgary",2,0,85,1,51,0,139,436
48013,"Calgary Signal Hill/Calgary Signal Hill"," 126A","Calgary",3,1,114,3,58,0,179,603
48013,"Calgary Signal Hill/Calgary Signal Hill"," 126B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°186B,,,,,,,21
48013,"Calgary Signal Hill/Calgary Signal Hill"," 127","Calgary",5,0,125,2,44,1,177,480
48013,"Calgary Signal Hill/Calgary Signal Hill"," 128","Calgary",0,0,75,2,49,0,126,439
48013,"Calgary Signal Hill/Calgary Signal Hill"," 129","Calgary",5,0,82,3,53,0,143,479
48013,"Calgary Signal Hill/Calgary Signal Hill"," 130","Calgary",7,1,69,0,49,0,126,392
48013,"Calgary Signal Hill/Calgary Signal Hill"," 131","Calgary",3,0,94,3,62,1,163,497
48013,"Calgary Signal Hill/Calgary Signal Hill"," 132","Calgary",1,0,95,0,43,0,139,423
48013,"Calgary Signal Hill/Calgary Signal Hill"," 133","Calgary",5,0,77,2,53,0,137,384
48013,"Calgary Signal Hill/Calgary Signal Hill"," 134","Calgary",3,2,66,5,50,0,126,414
48013,"Calgary Signal Hill/Calgary Signal Hill"," 135","Calgary",4,1,96,3,53,1,158,447
48013,"Calgary Signal Hill/Calgary Signal Hill"," 136","Calgary",2,2,81,1,73,0,159,401
48013,"Calgary Signal Hill/Calgary Signal Hill"," 137","Calgary",10,3,69,0,47,0,129,369
48013,"Calgary Signal Hill/Calgary Signal Hill"," 138","Calgary",1,0,120,2,33,0,156,469
48013,"Calgary Signal Hill/Calgary Signal Hill"," 139","Calgary",5,0,139,0,57,1,202,508
48013,"Calgary Signal Hill/Calgary Signal Hill"," 140","Calgary",2,0,84,1,48,0,135,382
48013,"Calgary Signal Hill/Calgary Signal Hill"," 141","Calgary",0,2,79,1,44,0,126,347
