Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kulbir Chawla,You-Ju Choi,Alan Clarke,Brian Deheer,Laila Goodridge,Kaitlyn Staines,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 85","Wood Buffalo",0,3,0,0,107,7,0,117,344
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 86","Wood Buffalo",0,5,0,0,98,11,1,115,353
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 87","Wood Buffalo",0,2,3,1,215,22,3,246,683
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 88","Wood Buffalo",0,4,0,2,172,32,0,210,592
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 89","Wood Buffalo",0,10,4,0,193,36,0,243,743
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 90","Wood Buffalo",0,0,4,2,168,17,1,192,488
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 91","Wood Buffalo",0,4,4,1,146,7,1,163,585
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 92","Wood Buffalo",1,2,4,0,153,22,1,183,617
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 93","Wood Buffalo",0,7,3,1,187,33,1,232,729
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 94","Wood Buffalo",0,6,2,1,120,33,0,162,596
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 95","Wood Buffalo",0,7,6,2,194,30,2,241,344
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 96","Wood Buffalo",0,0,0,0,96,14,1,111,415
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 97A","Wood Buffalo",0,4,2,1,60,20,0,87,330
