Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Juanita Nathan,Jamie Nye,Zainab Rana,Lisa Robinson,Alicia Vianga,Andrea Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Pickering--Brooklin/Pickering--Brooklin"," 28A","Whitby",61,1,0,0,53,0,0,115,290
35087,"Pickering--Brooklin/Pickering--Brooklin"," 28B","Whitby",62,3,0,0,46,1,0,112,279
35087,"Pickering--Brooklin/Pickering--Brooklin"," 29A","Whitby",44,3,0,0,47,2,0,96,280
35087,"Pickering--Brooklin/Pickering--Brooklin"," 29B","Whitby",45,5,0,2,69,2,0,123,332
35087,"Pickering--Brooklin/Pickering--Brooklin"," 30","Whitby",84,6,0,0,90,0,1,181,523
35087,"Pickering--Brooklin/Pickering--Brooklin"," 31","Whitby",51,1,0,0,55,1,0,108,312
35087,"Pickering--Brooklin/Pickering--Brooklin"," 32A","Whitby",53,2,0,0,68,1,0,124,316
35087,"Pickering--Brooklin/Pickering--Brooklin"," 32B","Whitby",33,2,0,0,60,2,0,97,283
35087,"Pickering--Brooklin/Pickering--Brooklin"," 33","Whitby",91,11,0,0,93,2,0,197,534
35087,"Pickering--Brooklin/Pickering--Brooklin"," 34","Pickering",86,4,0,2,58,2,0,152,510
35087,"Pickering--Brooklin/Pickering--Brooklin"," 35","Pickering",73,4,0,2,55,1,0,135,356
35087,"Pickering--Brooklin/Pickering--Brooklin"," 36","Pickering",42,0,0,1,59,2,0,104,304
35087,"Pickering--Brooklin/Pickering--Brooklin"," 37","Pickering",45,3,1,4,74,2,0,129,331
35087,"Pickering--Brooklin/Pickering--Brooklin"," 38","Pickering",62,3,0,1,80,1,0,147,356
35087,"Pickering--Brooklin/Pickering--Brooklin"," 39","Pickering",72,5,0,0,84,1,0,162,356
35087,"Pickering--Brooklin/Pickering--Brooklin"," 40","Pickering",46,6,0,2,66,3,0,123,297
35087,"Pickering--Brooklin/Pickering--Brooklin"," 41","Pickering",40,3,0,1,47,3,0,94,281
35087,"Pickering--Brooklin/Pickering--Brooklin"," 42A","Pickering",108,10,1,0,102,2,3,226,567
35087,"Pickering--Brooklin/Pickering--Brooklin"," 42B","Pickering",95,5,2,1,90,0,1,194,498
35087,"Pickering--Brooklin/Pickering--Brooklin"," 42C","Pickering",119,4,3,3,123,2,3,257,624
35087,"Pickering--Brooklin/Pickering--Brooklin"," 42D","Pickering",137,6,2,3,119,0,0,267,599
35087,"Pickering--Brooklin/Pickering--Brooklin"," 43A","Pickering",77,10,0,2,54,1,1,145,301
35087,"Pickering--Brooklin/Pickering--Brooklin"," 43B","Pickering",52,2,3,0,47,1,0,105,321
35087,"Pickering--Brooklin/Pickering--Brooklin"," 44","Pickering",99,3,0,2,81,0,0,185,517
35087,"Pickering--Brooklin/Pickering--Brooklin"," 45","Pickering",82,5,3,0,80,2,1,173,525
35087,"Pickering--Brooklin/Pickering--Brooklin"," 46","Pickering",69,4,3,0,42,1,1,120,331
35087,"Pickering--Brooklin/Pickering--Brooklin"," 47A","Pickering",76,1,1,0,51,0,2,131,394
35087,"Pickering--Brooklin/Pickering--Brooklin"," 47B","Pickering",65,1,0,1,38,0,0,105,348
35087,"Pickering--Brooklin/Pickering--Brooklin"," 48","Pickering",97,11,2,4,72,4,2,192,611
35087,"Pickering--Brooklin/Pickering--Brooklin"," 49","Pickering",126,3,7,0,83,0,1,220,618
35087,"Pickering--Brooklin/Pickering--Brooklin"," 50","Pickering",85,8,1,1,57,1,0,153,458
