Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Stephen Campbell,David Goodwin,Andrew Lawton,Paul Pighin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 68","St. Thomas",3,81,79,12,0,175,444
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 69","St. Thomas",11,88,103,13,1,216,608
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 70","St. Thomas",6,66,73,20,2,167,557
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 71","St. Thomas",6,91,146,18,0,261,756
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 72","St. Thomas",3,97,103,18,0,221,645
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 73","St. Thomas",7,142,106,25,0,280,671
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 74","St. Thomas",6,110,70,19,3,208,486
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 75","St. Thomas",4,90,92,17,1,204,666
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 76","St. Thomas",9,66,99,12,2,188,632
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 77","St. Thomas",5,129,154,19,1,308,757
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 78","St. Thomas",9,99,120,28,2,258,627
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 79","St. Thomas",5,62,70,18,0,155,594
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 80","St. Thomas",2,97,60,7,0,166,417
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 81","St. Thomas",3,126,106,21,3,259,650
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 82","St. Thomas",6,74,94,26,3,203,503
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 83","St. Thomas",0,119,75,8,3,205,566
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 84","St. Thomas",2,81,75,10,2,170,443
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 85","St. Thomas",4,61,99,14,0,178,515
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 86","St. Thomas",1,71,69,17,1,159,594
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 87","St. Thomas",2,130,145,31,0,308,822
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 88","St. Thomas",8,85,107,19,2,221,703
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 89","St. Thomas",0,60,59,11,0,130,400
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 90","St. Thomas",3,106,105,7,0,221,638
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 91","Central Elgin",3,84,102,14,1,204,527
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 92","Central Elgin",5,88,67,18,1,179,504
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 93","Central Elgin",7,101,125,11,8,252,693
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 94","Yarmouth",6,100,156,13,2,277,671
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 95","St. Thomas",2,118,99,11,0,230,563
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 96","St. Thomas",2,75,65,9,0,151,422
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 97","St. Thomas",4,118,110,13,0,245,549
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 98","St. Thomas",9,83,122,13,0,227,754
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 99","St. Thomas",3,131,156,16,0,306,735
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 100","St. Thomas",4,131,114,16,0,265,652
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 101","Aylmer",9,70,132,13,0,224,612
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 102","Malahide",5,44,191,6,0,246,618
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 103","St. Thomas",4,79,97,14,0,194,543
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 104","St. Thomas",4,119,85,4,1,213,653
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 105","St. Thomas",5,97,102,6,3,213,522
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 106","St. Thomas",3,90,99,7,1,200,562
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 107","St. Thomas",2,128,131,8,4,273,846
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 108","St. Thomas",7,107,133,12,0,259,583
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 109","Southwold",4,61,67,2,0,134,317
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 110","Southwold",8,76,206,6,1,297,662
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 111","Southwold",1,89,211,15,2,318,686
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 112","Southwold",5,80,135,18,0,238,611
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 113","Aylmer",7,43,159,14,2,225,570
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 114","Malahide",4,76,189,10,4,283,683
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 115","Malahide",9,41,224,8,5,287,709
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 116","Malahide",6,42,212,10,2,272,745
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 117A","Port Burwell",4,61,94,14,0,173,391
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 117B","Port Burwell",4,53,82,13,1,153,414
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 118A","Bayham",10,43,214,10,2,279,775
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 118B","Bayham",19,41,156,12,1,229,711
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 119A","Malahide",6,139,177,14,3,339,744
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 119B","Malahide",11,117,193,17,2,340,720
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 120","Southwold",9,178,109,25,2,323,737
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 121","Central Elgin",3,226,115,11,3,358,883
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 122","Southwold",5,172,145,19,0,341,786
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 123","St. Thomas",2,104,105,10,0,221,635
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 124A","St. Thomas",2,61,91,11,0,165,488
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 124B","St. Thomas",1,93,96,5,1,196,565
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 125","St. Thomas",4,99,96,13,4,216,650
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 126","St. Thomas",8,81,86,5,0,180,557
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 127","St. Thomas",2,100,72,5,0,179,586
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 128","Central Elgin",5,143,150,20,1,319,714
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 129","Central Elgin",6,111,136,5,3,261,545
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 130A","Port Stanley",3,73,84,5,1,166,595
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 130B","Port Stanley",4,95,98,9,1,207,645
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 131","Dutton",1,91,192,21,0,305,738
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 132","Dunwich",6,72,184,20,0,282,596
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 133","Dutton/Dunwich",5,126,148,23,0,302,775
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 134","Dutton/Dunwich",10,98,185,28,0,321,731
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 135","Wallacetown",3,74,176,22,0,275,658
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 136","West Lorne",5,67,102,9,0,183,437
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 137A","West Lorne",13,68,127,21,0,229,608
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 137B","West Lorne",6,84,132,20,2,244,669
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 138","Eagle",3,86,149,7,1,246,611
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 139","Rodney",10,76,174,11,1,272,576
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 140","Rodney",15,95,170,19,1,300,627
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 141","Rodney",12,123,215,26,3,379,832
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 400A","London",Combined with No./Résultats combinés à ceux du n°3A,,,,,,98
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 400B","London",Combined with No./Résultats combinés à ceux du n°3B,,,,,,83
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 401A","London",Combined with No./Résultats combinés à ceux du n°1A,,,,,,132
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 401B","London",Combined with No./Résultats combinés à ceux du n°1B,,,,,,119
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 402A","London",Combined with No./Résultats combinés à ceux du n°4A,,,,,,93
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 402B","London",Combined with No./Résultats combinés à ceux du n°4B,,,,,,110
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 403A","London",Combined with No./Résultats combinés à ceux du n°1A,,,,,,136
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 403B","London",Combined with No./Résultats combinés à ceux du n°1B,,,,,,103
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 404A","London",Combined with No./Résultats combinés à ceux du n°2A,,,,,,149
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 404B","London",Combined with No./Résultats combinés à ceux du n°2B,,,,,,130
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 405A","London",Combined with No./Résultats combinés à ceux du n°2A,,,,,,68
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 405B","London",Combined with No./Résultats combinés à ceux du n°2B,,,,,,71
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 406A","London",Combined with No./Résultats combinés à ceux du n°2A,,,,,,129
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 406B","London",Combined with No./Résultats combinés à ceux du n°2B,,,,,,113
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 500","Mobile poll/Bureau itinérant",8,141,52,13,1,215,302
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 501","Mobile poll/Bureau itinérant",7,59,25,17,3,111,58
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,56
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 503","Mobile poll/Bureau itinérant",7,35,27,13,1,83,90
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 504","Aylmer",Combined with No./Résultats combinés à ceux du n°45,,,,,,24
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 505","Mobile poll/Bureau itinérant",3,15,15,4,3,40,54
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,39
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 507","Mobile poll/Bureau itinérant",8,103,34,6,4,155,126
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,76
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,73
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 510","Mobile poll/Bureau itinérant",3,31,39,6,1,80,90
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,26
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,14
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,36
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 514","Mobile poll/Bureau itinérant",8,35,31,8,10,92,74
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 515","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 516","Mobile poll/Bureau itinérant",3,29,25,5,0,62,25
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 517","Mobile poll/Bureau itinérant",1,14,23,1,0,39,41
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,21
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 600","London",17,1458,1316,46,15,2852,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 601","London",12,746,499,45,6,1308,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 602","Belmont",17,587,539,31,9,1183,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 603","Bayham",30,396,753,49,4,1232,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 604","Malahide",27,421,937,53,9,1447,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 605","Central Elgin",37,876,1177,60,19,2169,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 606","Central Elgin",38,963,1067,104,6,2178,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 607","St. Thomas",29,634,563,73,10,1309,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 608","St. Thomas",25,717,518,79,5,1344,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 609","St. Thomas--Central Elgin",12,451,368,40,2,873,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 610","St. Thomas",21,487,340,42,4,894,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 611","St. Thomas",15,861,566,66,11,1519,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 612","Central Elgin",16,1124,923,54,14,2131,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 613","Port Stanley",10,820,411,31,3,1275,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 614","Shedden",15,402,485,34,3,939,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 615","Dutton",23,385,661,55,5,1129,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud"," 616","Rodney",32,453,615,68,6,1174,
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud",,Group 1/Groupe 1, 10,266,185,18,27,506,190
35027,"Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud",,Group 2/Groupe 2, 31,1186,954,88,25,2284,
