Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Carol Anstey,Don Bradshaw,Robbie Coles,Pamela Geiger,Sarah Parsons,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 153","Stephenville",45,49,2,1,4,4,105,358
10005,"Long Range Mountains/Long Range Mountains"," 154","Kippens",67,71,1,4,9,2,154,402
10005,"Long Range Mountains/Long Range Mountains"," 155","Kippens",94,45,4,5,9,0,157,408
10005,"Long Range Mountains/Long Range Mountains"," 156","Kippens",86,85,2,3,7,2,185,447
10005,"Long Range Mountains/Long Range Mountains"," 157","Kippens",67,79,3,3,6,2,160,418
10005,"Long Range Mountains/Long Range Mountains"," 158","Stephenville",45,51,1,0,4,0,101,350
10005,"Long Range Mountains/Long Range Mountains"," 159","Stephenville",109,86,0,0,13,0,208,523
10005,"Long Range Mountains/Long Range Mountains"," 160","Stephenville",86,74,0,5,7,1,173,438
10005,"Long Range Mountains/Long Range Mountains"," 161","Stephenville",74,106,1,5,9,1,196,449
10005,"Long Range Mountains/Long Range Mountains"," 162","Stephenville",67,27,1,0,5,2,102,342
10005,"Long Range Mountains/Long Range Mountains"," 163","Stephenville",36,46,1,4,2,0,89,293
10005,"Long Range Mountains/Long Range Mountains"," 164","Stephenville",38,44,1,4,5,1,93,322
10005,"Long Range Mountains/Long Range Mountains"," 165","Stephenville",79,84,0,2,4,1,170,396
10005,"Long Range Mountains/Long Range Mountains"," 166","Stephenville",71,59,2,7,10,0,149,364
10005,"Long Range Mountains/Long Range Mountains"," 167","Stephenville",88,51,1,2,7,3,152,475
10005,"Long Range Mountains/Long Range Mountains"," 168","Port au Port East",67,66,2,3,7,2,147,341
10005,"Long Range Mountains/Long Range Mountains"," 169","Port au Port East",77,48,4,2,7,0,138,334
10005,"Long Range Mountains/Long Range Mountains"," 170","Port au Port West-Aguathuna-Felix Cove",68,35,2,4,7,0,116,434
10005,"Long Range Mountains/Long Range Mountains"," 171","Port au Port West-Aguathuna-Felix Cove",86,57,1,5,13,0,162,338
10005,"Long Range Mountains/Long Range Mountains"," 172","St. George's",110,78,0,6,8,1,203,518
10005,"Long Range Mountains/Long Range Mountains"," 173","St. George's",86,52,2,5,3,0,148,313
10005,"Long Range Mountains/Long Range Mountains"," 174","St. George's",43,53,1,6,5,0,108,271
10005,"Long Range Mountains/Long Range Mountains"," 175","Piccadilly",125,29,2,5,4,1,166,326
10005,"Long Range Mountains/Long Range Mountains"," 176","St. Teresa--Flat Bay",58,57,2,6,6,0,129,194
10005,"Long Range Mountains/Long Range Mountains"," 177","Campbells Creek",19,3,0,0,0,1,23,66
10005,"Long Range Mountains/Long Range Mountains"," 178","Mainland",115,33,1,9,2,1,161,247
10005,"Long Range Mountains/Long Range Mountains"," 179","Sheaves Cove",28,2,1,6,1,0,38,49
10005,"Long Range Mountains/Long Range Mountains"," 180","Cape St. George--Red Brook--Marches Point",143,40,2,11,7,3,206,375
10005,"Long Range Mountains/Long Range Mountains"," 181","Cape St. George--Red Brook--Marches Point",132,40,1,4,10,0,187,372
10005,"Long Range Mountains/Long Range Mountains"," 182","Heatherton",101,44,2,5,8,4,164,224
10005,"Long Range Mountains/Long Range Mountains"," 183","François",11,12,1,2,3,1,30,49
10005,"Long Range Mountains/Long Range Mountains"," 184","Burgeo",54,28,0,0,8,0,90,228
10005,"Long Range Mountains/Long Range Mountains"," 185","Burgeo",63,45,3,1,3,0,115,301
10005,"Long Range Mountains/Long Range Mountains"," 186","Burgeo",74,50,1,2,1,1,129,284
10005,"Long Range Mountains/Long Range Mountains"," 187","Burgeo",57,45,3,2,7,0,114,248
10005,"Long Range Mountains/Long Range Mountains"," 188","Jeffrey's--Cartyville",101,82,0,6,9,5,203,476
10005,"Long Range Mountains/Long Range Mountains"," 189","Grey River",6,19,0,0,0,0,25,76
10005,"Long Range Mountains/Long Range Mountains"," 190","St. David's--St. Fintan's",114,64,2,5,11,1,197,274
10005,"Long Range Mountains/Long Range Mountains"," 191","La Poile",18,12,1,0,0,0,31,57
10005,"Long Range Mountains/Long Range Mountains"," 192","Highlands",16,20,1,0,1,0,38,40
10005,"Long Range Mountains/Long Range Mountains"," 193","Ramea",83,73,0,2,8,9,175,359
10005,"Long Range Mountains/Long Range Mountains"," 194","Coal Brook--South Branch",78,48,3,3,5,4,141,198
10005,"Long Range Mountains/Long Range Mountains"," 195","Codroy",179,88,4,1,12,4,288,455
10005,"Long Range Mountains/Long Range Mountains"," 196","Upper Ferry--Searston",178,98,2,1,16,2,297,528
10005,"Long Range Mountains/Long Range Mountains"," 197","Rose Blanche-Harbour le Cou",72,85,1,2,5,10,175,359
10005,"Long Range Mountains/Long Range Mountains"," 198","Burnt Islands",66,25,0,0,2,1,94,219
10005,"Long Range Mountains/Long Range Mountains"," 199","Burnt Islands",64,39,0,0,2,0,105,262
10005,"Long Range Mountains/Long Range Mountains"," 200","St. Andrew's",110,54,2,2,10,4,182,241
10005,"Long Range Mountains/Long Range Mountains"," 201","Isle aux Morts",87,49,2,2,0,3,143,244
10005,"Long Range Mountains/Long Range Mountains"," 202","Isle aux Morts",93,42,2,1,1,3,142,292
10005,"Long Range Mountains/Long Range Mountains"," 203","Cape Ray",124,50,0,4,4,4,186,259
10005,"Long Range Mountains/Long Range Mountains"," 204","Channel-Port aux Basques",61,25,1,5,1,4,97,212
10005,"Long Range Mountains/Long Range Mountains"," 205","Channel-Port aux Basques",116,59,1,1,6,0,183,481
10005,"Long Range Mountains/Long Range Mountains"," 206","Channel-Port aux Basques",83,49,0,1,3,0,136,344
10005,"Long Range Mountains/Long Range Mountains"," 207","Fox Roost-Margaree",85,33,2,0,5,1,126,97
10005,"Long Range Mountains/Long Range Mountains"," 208","Channel-Port aux Basques",124,68,1,0,7,8,208,493
10005,"Long Range Mountains/Long Range Mountains"," 209","Channel-Port aux Basques",62,62,1,2,4,2,133,320
10005,"Long Range Mountains/Long Range Mountains"," 210","Channel-Port aux Basques",76,47,1,1,5,0,130,338
10005,"Long Range Mountains/Long Range Mountains"," 211","Channel-Port aux Basques",63,59,1,0,3,0,126,495
10005,"Long Range Mountains/Long Range Mountains"," 212","Channel-Port aux Basques",80,90,0,0,5,0,175,382
10005,"Long Range Mountains/Long Range Mountains"," 213","Channel-Port aux Basques",85,35,0,0,1,1,122,340
10005,"Long Range Mountains/Long Range Mountains"," 500","Mobile poll/Bureau itinérant",9,43,1,0,3,3,59,54
10005,"Long Range Mountains/Long Range Mountains"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,55
10005,"Long Range Mountains/Long Range Mountains"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,17
10005,"Long Range Mountains/Long Range Mountains"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,29
10005,"Long Range Mountains/Long Range Mountains"," 504","Mobile poll/Bureau itinérant",7,22,2,0,0,6,37,16
10005,"Long Range Mountains/Long Range Mountains"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,15
10005,"Long Range Mountains/Long Range Mountains"," 506","Mobile poll/Bureau itinérant",14,18,2,1,2,2,39,40
10005,"Long Range Mountains/Long Range Mountains"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,2
10005,"Long Range Mountains/Long Range Mountains"," 508","Mobile poll/Bureau itinérant",23,31,1,1,2,2,60,10
10005,"Long Range Mountains/Long Range Mountains"," 509","Mobile poll/Bureau itinérant",3,5,1,1,2,0,12,13
10005,"Long Range Mountains/Long Range Mountains"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,3
10005,"Long Range Mountains/Long Range Mountains"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,48
10005,"Long Range Mountains/Long Range Mountains"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,49
10005,"Long Range Mountains/Long Range Mountains"," 513","Mobile poll/Bureau itinérant",21,84,1,1,4,0,111,73
10005,"Long Range Mountains/Long Range Mountains"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,90
10005,"Long Range Mountains/Long Range Mountains"," 515","Mobile poll/Bureau itinérant",16,46,2,1,2,0,67,45
10005,"Long Range Mountains/Long Range Mountains"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,24
10005,"Long Range Mountains/Long Range Mountains"," 517","Mobile poll/Bureau itinérant",24,54,0,2,10,0,90,98
10005,"Long Range Mountains/Long Range Mountains"," 518","Mobile poll/Bureau itinérant",6,16,0,3,6,0,31,39
10005,"Long Range Mountains/Long Range Mountains"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,3
10005,"Long Range Mountains/Long Range Mountains"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,20
10005,"Long Range Mountains/Long Range Mountains"," 521","Mobile poll/Bureau itinérant",20,23,2,1,4,6,56,53
10005,"Long Range Mountains/Long Range Mountains"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,17
10005,"Long Range Mountains/Long Range Mountains"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,20
10005,"Long Range Mountains/Long Range Mountains"," 524","Mobile poll/Bureau itinérant",11,15,0,0,1,7,34,55
10005,"Long Range Mountains/Long Range Mountains"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,32
10005,"Long Range Mountains/Long Range Mountains"," 526","Mobile poll/Bureau itinérant",22,37,4,6,7,0,76,48
10005,"Long Range Mountains/Long Range Mountains"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,27
10005,"Long Range Mountains/Long Range Mountains"," 528","Mobile poll/Bureau itinérant",10,12,2,0,3,2,29,29
10005,"Long Range Mountains/Long Range Mountains"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°528,,,,,,,12
10005,"Long Range Mountains/Long Range Mountains"," 600","St. Anthony",194,205,7,4,4,6,420,
10005,"Long Range Mountains/Long Range Mountains"," 601","Flower's Cove",126,56,3,4,8,0,197,
10005,"Long Range Mountains/Long Range Mountains"," 602","Plum Point",93,40,0,2,0,0,135,
10005,"Long Range Mountains/Long Range Mountains"," 603","Roddickton",114,29,2,0,1,1,147,
10005,"Long Range Mountains/Long Range Mountains"," 604","Port au Choix",313,85,0,4,5,1,408,
10005,"Long Range Mountains/Long Range Mountains"," 605","Parson's Pond",64,33,12,1,2,0,112,
10005,"Long Range Mountains/Long Range Mountains"," 606","Sop's Arm",56,22,0,1,2,0,81,
10005,"Long Range Mountains/Long Range Mountains"," 607","Cormack",597,283,15,2,9,2,908,
10005,"Long Range Mountains/Long Range Mountains"," 608","Rocky Harbour",132,184,4,4,12,4,340,
10005,"Long Range Mountains/Long Range Mountains"," 609","Woody Point",57,61,3,1,6,3,131,
10005,"Long Range Mountains/Long Range Mountains"," 610","Meadows",161,139,2,4,19,0,325,
10005,"Long Range Mountains/Long Range Mountains"," 611","Pasadena",401,565,4,0,44,5,1019,
10005,"Long Range Mountains/Long Range Mountains"," 612","Corner Brook",220,588,11,3,38,3,863,
10005,"Long Range Mountains/Long Range Mountains"," 613","Benoit's cove",214,124,3,4,22,6,373,
10005,"Long Range Mountains/Long Range Mountains"," 614","Corner Brook",173,315,3,0,22,0,513,
