Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Robert Frasch,Gul Khan,Tom Kmiec,Donald Legere,Tory Tomblin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Calgary Shepard/Calgary Shepard"," 72","Calgary",2,96,185,0,4,0,287,566
48012,"Calgary Shepard/Calgary Shepard"," 73","Calgary",4,70,158,1,5,1,239,583
48012,"Calgary Shepard/Calgary Shepard"," 74","Calgary",2,62,165,1,8,2,240,503
48012,"Calgary Shepard/Calgary Shepard"," 75","Calgary",0,62,120,0,10,2,194,529
48012,"Calgary Shepard/Calgary Shepard"," 76","Calgary",1,72,173,1,6,0,253,585
48012,"Calgary Shepard/Calgary Shepard"," 77","Calgary",2,53,148,0,12,0,215,515
48012,"Calgary Shepard/Calgary Shepard"," 78","Calgary",0,68,166,1,9,0,244,533
48012,"Calgary Shepard/Calgary Shepard"," 79","Calgary",1,54,130,3,4,1,193,380
48012,"Calgary Shepard/Calgary Shepard"," 80","Calgary",2,59,166,3,10,2,242,621
48012,"Calgary Shepard/Calgary Shepard"," 81","Calgary",2,58,159,0,4,1,224,511
48012,"Calgary Shepard/Calgary Shepard"," 82","Calgary",1,79,166,1,3,1,251,603
48012,"Calgary Shepard/Calgary Shepard"," 83","Calgary",2,53,139,0,7,1,202,549
48012,"Calgary Shepard/Calgary Shepard"," 84","Calgary",0,61,133,1,5,0,200,611
48012,"Calgary Shepard/Calgary Shepard"," 85","Calgary",2,34,123,3,5,2,169,458
48012,"Calgary Shepard/Calgary Shepard"," 86","Calgary",1,53,139,2,7,0,202,502
48012,"Calgary Shepard/Calgary Shepard"," 87","Calgary",0,57,167,1,7,0,232,529
48012,"Calgary Shepard/Calgary Shepard"," 88","Calgary",0,48,123,2,6,0,179,526
48012,"Calgary Shepard/Calgary Shepard"," 89","Calgary",2,40,129,0,14,0,185,435
48012,"Calgary Shepard/Calgary Shepard"," 90","Calgary",0,34,106,1,6,0,147,415
48012,"Calgary Shepard/Calgary Shepard"," 91","Calgary",0,52,136,0,4,1,193,616
48012,"Calgary Shepard/Calgary Shepard"," 92","Calgary",0,64,132,0,9,0,205,599
48012,"Calgary Shepard/Calgary Shepard"," 93","Calgary",0,22,112,1,2,0,137,395
48012,"Calgary Shepard/Calgary Shepard"," 94","Calgary",1,26,137,1,1,0,166,470
48012,"Calgary Shepard/Calgary Shepard"," 95","Calgary",0,33,99,1,11,0,144,455
48012,"Calgary Shepard/Calgary Shepard"," 96","Calgary",0,52,104,0,3,1,160,427
48012,"Calgary Shepard/Calgary Shepard"," 97","Calgary",1,43,110,0,3,0,157,495
48012,"Calgary Shepard/Calgary Shepard"," 98","Calgary",2,27,87,1,5,1,123,402
48012,"Calgary Shepard/Calgary Shepard"," 99","Calgary",4,55,119,0,10,1,189,550
48012,"Calgary Shepard/Calgary Shepard"," 100","Calgary",0,71,157,2,5,1,236,506
48012,"Calgary Shepard/Calgary Shepard"," 101","Calgary",1,70,226,1,7,1,306,710
48012,"Calgary Shepard/Calgary Shepard"," 102","Calgary",0,59,169,0,5,2,235,498
48012,"Calgary Shepard/Calgary Shepard"," 103","Calgary",2,70,192,0,5,0,269,642
48012,"Calgary Shepard/Calgary Shepard"," 104","Calgary",0,50,99,1,3,0,153,461
48012,"Calgary Shepard/Calgary Shepard"," 105","Calgary",0,71,168,1,4,0,244,664
48012,"Calgary Shepard/Calgary Shepard"," 106","Calgary",2,52,146,2,4,0,206,505
48012,"Calgary Shepard/Calgary Shepard"," 107","Calgary",1,33,111,1,7,0,153,454
48012,"Calgary Shepard/Calgary Shepard"," 108","Calgary",0,72,175,3,7,1,258,618
48012,"Calgary Shepard/Calgary Shepard"," 109","Calgary",1,44,74,3,5,0,127,346
48012,"Calgary Shepard/Calgary Shepard"," 110","Calgary",1,65,182,0,13,0,261,567
48012,"Calgary Shepard/Calgary Shepard"," 111","Calgary",1,44,144,0,3,1,193,558
48012,"Calgary Shepard/Calgary Shepard"," 112","Calgary",2,68,160,2,12,1,245,582
48012,"Calgary Shepard/Calgary Shepard"," 113","Calgary",2,84,193,4,8,1,292,595
48012,"Calgary Shepard/Calgary Shepard"," 114","Calgary",0,66,152,2,1,0,221,484
48012,"Calgary Shepard/Calgary Shepard"," 115","Calgary",0,44,132,0,4,1,181,480
48012,"Calgary Shepard/Calgary Shepard"," 116","Calgary",1,56,148,0,3,0,208,500
48012,"Calgary Shepard/Calgary Shepard"," 117","Calgary",2,61,147,1,5,1,217,462
48012,"Calgary Shepard/Calgary Shepard"," 118","Calgary",3,81,193,2,9,2,290,700
48012,"Calgary Shepard/Calgary Shepard"," 119","Calgary",0,65,163,1,4,1,234,604
48012,"Calgary Shepard/Calgary Shepard"," 120","Calgary",0,97,183,3,6,0,289,674
48012,"Calgary Shepard/Calgary Shepard"," 121","Calgary",1,63,122,2,7,1,196,567
48012,"Calgary Shepard/Calgary Shepard"," 122","Calgary",0,53,155,1,5,0,214,620
48012,"Calgary Shepard/Calgary Shepard"," 123","Calgary",1,71,141,1,5,0,219,567
48012,"Calgary Shepard/Calgary Shepard"," 124","Calgary",1,52,186,0,7,0,246,590
48012,"Calgary Shepard/Calgary Shepard"," 125","Calgary",1,66,155,1,7,0,230,572
48012,"Calgary Shepard/Calgary Shepard"," 126","Calgary",2,68,136,0,4,0,210,586
48012,"Calgary Shepard/Calgary Shepard"," 127","Calgary",1,63,148,1,5,0,218,652
48012,"Calgary Shepard/Calgary Shepard"," 128","Calgary",0,52,111,0,3,0,166,548
48012,"Calgary Shepard/Calgary Shepard"," 129","Calgary",1,55,200,1,4,2,263,600
48012,"Calgary Shepard/Calgary Shepard"," 130","Calgary",0,24,92,0,0,0,116,340
48012,"Calgary Shepard/Calgary Shepard"," 131","Calgary",3,59,182,2,12,1,259,626
48012,"Calgary Shepard/Calgary Shepard"," 132","Calgary",0,64,187,2,4,3,260,561
48012,"Calgary Shepard/Calgary Shepard"," 133","Calgary",2,89,208,3,7,0,309,782
48012,"Calgary Shepard/Calgary Shepard"," 134","Calgary",3,86,203,0,1,2,295,700
48012,"Calgary Shepard/Calgary Shepard"," 135","Calgary",0,61,182,1,5,4,253,627
48012,"Calgary Shepard/Calgary Shepard"," 136A","Calgary",1,43,141,1,6,0,192,463
48012,"Calgary Shepard/Calgary Shepard"," 136B","Calgary",3,51,159,0,2,0,215,499
48012,"Calgary Shepard/Calgary Shepard"," 137","Calgary",0,46,150,2,7,1,206,564
48012,"Calgary Shepard/Calgary Shepard"," 138","Calgary",3,71,122,0,10,0,206,555
48012,"Calgary Shepard/Calgary Shepard"," 139","Calgary",1,38,146,2,3,0,190,607
48012,"Calgary Shepard/Calgary Shepard"," 140","Calgary",1,57,125,0,3,0,186,401
48012,"Calgary Shepard/Calgary Shepard"," 141","Calgary",0,42,130,3,4,0,179,621
48012,"Calgary Shepard/Calgary Shepard"," 142","Calgary",0,49,133,0,3,0,185,456
48012,"Calgary Shepard/Calgary Shepard"," 143","Calgary",2,43,149,4,1,0,199,508
48012,"Calgary Shepard/Calgary Shepard"," 144","Calgary",0,50,115,0,4,0,169,465
48012,"Calgary Shepard/Calgary Shepard"," 145","Calgary",0,59,144,2,10,0,215,664
48012,"Calgary Shepard/Calgary Shepard"," 146","Calgary",0,59,124,1,8,1,193,527
48012,"Calgary Shepard/Calgary Shepard"," 147","Calgary",2,41,118,0,2,0,163,441
48012,"Calgary Shepard/Calgary Shepard"," 148","Calgary",0,55,160,0,5,1,221,561
48012,"Calgary Shepard/Calgary Shepard"," 149","Calgary",0,37,74,0,0,0,111,379
48012,"Calgary Shepard/Calgary Shepard"," 150","Calgary",0,37,130,0,5,0,172,388
48012,"Calgary Shepard/Calgary Shepard"," 151","Calgary",0,69,120,0,6,0,195,438
48012,"Calgary Shepard/Calgary Shepard"," 152","Calgary",2,44,89,1,5,1,142,431
48012,"Calgary Shepard/Calgary Shepard"," 153","Calgary",5,33,94,2,5,0,139,376
48012,"Calgary Shepard/Calgary Shepard"," 154","Calgary",2,43,100,1,7,0,153,396
48012,"Calgary Shepard/Calgary Shepard"," 155","Calgary",0,63,187,4,3,0,257,544
48012,"Calgary Shepard/Calgary Shepard"," 156","Calgary",0,53,110,2,6,0,171,489
48012,"Calgary Shepard/Calgary Shepard"," 157","Calgary",0,55,153,0,3,1,212,618
48012,"Calgary Shepard/Calgary Shepard"," 158A","Calgary",2,42,99,0,1,0,144,514
48012,"Calgary Shepard/Calgary Shepard"," 158B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,158
48012,"Calgary Shepard/Calgary Shepard"," 159","Calgary",1,47,108,2,2,1,161,594
48012,"Calgary Shepard/Calgary Shepard"," 160","Calgary",3,76,148,5,6,0,238,734
48012,"Calgary Shepard/Calgary Shepard"," 161A","Calgary",0,34,110,0,2,0,146,431
48012,"Calgary Shepard/Calgary Shepard"," 161B","Calgary",1,34,109,0,2,0,146,435
48012,"Calgary Shepard/Calgary Shepard"," 162A","Calgary",3,84,208,1,6,0,302,709
48012,"Calgary Shepard/Calgary Shepard"," 162B","Calgary",0,75,203,4,4,1,287,728
48012,"Calgary Shepard/Calgary Shepard"," 163A","Calgary",2,69,138,3,7,0,219,585
48012,"Calgary Shepard/Calgary Shepard"," 163B","Calgary",1,60,159,6,7,0,233,632
48012,"Calgary Shepard/Calgary Shepard"," 164A","Calgary",1,70,178,1,11,7,268,714
48012,"Calgary Shepard/Calgary Shepard"," 164B","Calgary",2,74,195,1,1,7,280,747
48012,"Calgary Shepard/Calgary Shepard"," 500","Mobile poll/Bureau itinérant",2,27,54,1,8,3,95,141
48012,"Calgary Shepard/Calgary Shepard"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,104
48012,"Calgary Shepard/Calgary Shepard"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,117
48012,"Calgary Shepard/Calgary Shepard"," 503","Mobile poll/Bureau itinérant",0,56,115,1,6,6,184,222
48012,"Calgary Shepard/Calgary Shepard"," 504","Mobile poll/Bureau itinérant",2,53,118,1,5,3,182,290
48012,"Calgary Shepard/Calgary Shepard"," 600","Calgary",2,304,654,5,29,0,994,
48012,"Calgary Shepard/Calgary Shepard"," 601","Calgary",1,246,465,4,31,1,748,
48012,"Calgary Shepard/Calgary Shepard"," 602","Calgary",11,563,1319,8,53,5,1959,
48012,"Calgary Shepard/Calgary Shepard"," 603","Calgary",2,291,584,3,22,2,904,
48012,"Calgary Shepard/Calgary Shepard"," 604","Calgary",4,322,736,10,23,0,1095,
48012,"Calgary Shepard/Calgary Shepard"," 605","Calgary",2,262,556,6,23,2,851,
48012,"Calgary Shepard/Calgary Shepard"," 606","Calgary",4,270,665,3,25,3,970,
48012,"Calgary Shepard/Calgary Shepard"," 607","Calgary",7,342,708,7,24,1,1089,
48012,"Calgary Shepard/Calgary Shepard"," 608","Calgary",3,323,800,8,24,7,1165,
48012,"Calgary Shepard/Calgary Shepard"," 609","Calgary",9,579,1487,14,34,1,2124,
48012,"Calgary Shepard/Calgary Shepard"," 610","Calgary",2,392,942,2,32,0,1370,
48012,"Calgary Shepard/Calgary Shepard"," 611","Calgary",7,415,970,4,22,3,1421,
48012,"Calgary Shepard/Calgary Shepard"," 612","Calgary",8,463,1176,7,44,2,1700,
48012,"Calgary Shepard/Calgary Shepard"," 613","Calgary",5,443,1147,14,57,1,1667,
48012,"Calgary Shepard/Calgary Shepard"," 614","Calgary",7,502,1331,10,60,6,1916,
48012,"Calgary Shepard/Calgary Shepard"," 615","Calgary",4,464,1210,7,33,3,1721,
48012,"Calgary Shepard/Calgary Shepard"," 616","Calgary",11,533,1132,10,47,5,1738,
48012,"Calgary Shepard/Calgary Shepard",,Group 1/Groupe 1, 2,383,661,5,39,52,1142,317
48012,"Calgary Shepard/Calgary Shepard",,Group 2/Groupe 2, 10,1413,3504,21,102,79,5129,
