Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nikita Mahood,Dan Muys,Anita Payne,Chuck Phillips,Peter Werhun,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 27B","Hamilton",1,92,0,70,2,4,169,445
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 28A","Hamilton",1,129,0,115,7,0,252,583
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 28B","Hamilton",1,133,2,89,5,1,231,565
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 29A","Hamilton",1,93,0,57,2,0,153,359
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 29B","Hamilton",0,94,2,68,2,0,166,394
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 30A","Hamilton",2,116,2,115,11,1,247,506
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 30B","Hamilton",2,157,4,73,4,2,242,546
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 31","Hamilton",2,115,3,73,0,1,194,522
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 32","Hamilton",2,51,5,44,6,0,108,432
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 33","Hamilton",0,107,0,117,4,0,228,435
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 34","Hamilton",1,122,0,103,7,0,233,564
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 35","Hamilton",0,102,1,78,1,0,182,463
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 36","Hamilton",1,85,2,62,0,0,150,336
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 37","Hamilton",1,111,2,77,3,0,194,391
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 38","Hamilton",Combined with No./Résultats combinés à ceux du n°39,,,,,,,262
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 39","Hamilton",1,111,4,91,8,0,215,291
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 40","Hamilton",1,92,2,94,3,2,194,457
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 41","Hamilton",0,97,2,61,3,1,164,430
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 42","Hamilton",0,120,3,105,6,1,235,492
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 43","Hamilton",1,103,1,77,6,3,191,557
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 44","Hamilton",5,167,1,97,4,1,275,323
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 45","Hamilton",1,122,2,93,4,0,222,554
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 46","Hamilton",2,58,3,70,9,1,143,404
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 47","Hamilton",0,128,1,85,0,7,221,453
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 48","Hamilton",1,110,6,98,7,1,223,565
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 49","Hamilton",0,80,1,101,8,2,192,418
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 50","Hamilton",1,142,2,87,3,1,236,543
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 51","Hamilton",2,82,1,83,1,1,170,352
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 52","Hamilton",2,85,1,101,5,1,195,504
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 53","Hamilton",2,122,1,100,4,1,230,471
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 54","Hamilton",1,85,1,97,0,0,184,558
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 55","Hamilton",2,99,2,97,5,1,206,500
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 56","Hamilton",2,125,1,59,1,14,202,407
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 57","Hamilton",Combined with No./Résultats combinés à ceux du n°44,,,,,,,309
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 58","Hamilton",3,110,2,78,10,1,204,461
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 59","Hamilton",3,171,0,82,8,0,264,410
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 60","Hamilton",1,208,6,94,11,0,320,494
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 61","Hamilton",4,143,1,68,4,0,220,443
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 62","Hamilton",1,153,1,104,4,0,263,545
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 63","Hamilton",3,63,2,73,7,0,148,489
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 64","Hamilton",0,112,2,44,1,0,159,320
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 65","Hamilton",7,137,2,50,4,1,201,487
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 66","Hamilton",3,75,0,41,3,0,122,425
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 67","Hamilton",2,63,0,57,2,1,125,303
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 68","Hamilton",0,84,1,73,1,0,159,545
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 69","Hamilton",1,91,1,77,4,1,175,386
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 70","Hamilton",1,90,1,88,3,0,183,407
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 71","Hamilton",1,133,1,68,4,0,207,382
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 72","Hamilton",3,93,3,113,6,0,218,442
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 73","Hamilton",3,139,4,36,3,2,187,460
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 74","Hamilton",5,139,2,71,8,2,227,436
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 75","Hamilton",3,159,4,82,4,5,257,484
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 76","Hamilton",6,104,1,60,2,2,175,454
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 77","Hamilton",3,80,4,112,5,0,204,334
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 78","Hamilton",1,97,2,91,2,1,194,389
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 79","Hamilton",0,124,1,109,2,0,236,510
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 80","Hamilton",3,111,2,68,9,0,193,459
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 81","Hamilton",4,119,3,80,1,1,208,477
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 82","Hamilton",1,78,1,45,2,0,127,295
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 83","Hamilton",2,169,5,93,2,1,272,484
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 84","Hamilton",2,122,0,69,10,1,204,498
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 85","Hamilton",5,103,2,62,7,1,180,417
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 86","Hamilton",5,143,2,54,8,1,213,442
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 87","Brant",6,160,1,112,7,0,286,520
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 88","Brant",2,131,7,76,5,0,221,436
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 89","Hamilton",4,145,0,100,2,1,252,569
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 90","Hamilton",3,75,2,172,10,1,263,441
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 91","Hamilton",1,98,4,160,18,3,284,545
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 92","Hamilton",1,121,3,105,2,0,232,562
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 93","Brant",1,156,1,31,1,1,191,464
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 94","Brant",2,155,2,67,1,0,227,576
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 95","Brant",0,69,0,56,1,1,127,400
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 96","Brant",1,104,3,77,5,0,190,506
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 97","Brant",5,121,1,69,2,0,198,523
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 98","Brant",3,128,0,72,4,1,208,511
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 99","Brant",1,131,2,65,8,2,209,267
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 100","Brant",0,84,0,37,6,1,128,346
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 101","Brant",0,97,2,48,2,1,150,421
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 102","Brant",1,133,2,66,5,0,207,434
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 103","Brant",Combined with No./Résultats combinés à ceux du n°99,,,,,,,235
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 104","Hamilton",12,185,1,99,13,0,310,357
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 105","Hamilton",Combined with No./Résultats combinés à ceux du n°104,,,,,,,283
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 106","Hamilton",5,152,1,95,13,1,267,448
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 107","Hamilton",6,204,5,126,7,0,348,329
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 108","Hamilton",2,56,3,169,9,2,241,371
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 109","Hamilton",2,43,0,136,1,1,183,349
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 110","Hamilton",1,75,1,171,1,5,254,406
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 111","Hamilton",1,54,1,148,3,2,209,395
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 112","Hamilton",0,80,2,126,9,2,219,339
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 113","Hamilton",Combined with No./Résultats combinés à ceux du n°114,,,,,,,276
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 114","Hamilton",5,139,5,86,10,1,246,320
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 115","Hamilton",3,127,2,51,6,0,189,466
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 116","Hamilton",1,80,1,47,9,1,139,310
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 117","Hamilton",0,123,1,66,5,1,196,566
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 118","Hamilton",3,156,2,80,9,0,250,417
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 119","Hamilton",3,157,5,71,7,0,243,412
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 120","Hamilton",0,129,0,79,5,0,213,421
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 121","Hamilton",Combined with No./Résultats combinés à ceux du n°107,,,,,,,276
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 122","Hamilton",4,85,1,53,3,0,146,377
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 123","Hamilton",1,132,1,53,2,1,190,426
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 124","Hamilton",0,135,3,115,3,0,256,524
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 125","Hamilton",1,164,4,76,6,0,251,465
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 126","Brant",0,129,1,75,6,0,211,362
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 127","Brant",Combined with No./Résultats combinés à ceux du n°129,,,,,,,298
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 128","Brant",0,86,0,71,2,2,161,464
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 129","Brant",0,101,3,71,3,1,179,257
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 130","North Dumfries",Combined with No./Résultats combinés à ceux du n°126,,,,,,,194
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 131","Brant",1,125,2,99,6,1,234,542
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 132","Brant",0,132,7,97,14,1,251,620
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 133","Brant",2,88,5,73,10,0,178,546
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 134","Brant",1,98,4,101,9,1,214,549
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 135","Brant",0,125,2,109,10,1,247,624
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 136","Brant",1,74,1,49,6,0,131,359
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 137","Brant",0,83,4,53,7,0,147,506
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 138","Brant",0,84,3,97,6,0,190,530
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 139","Brant",5,79,10,80,12,0,186,528
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 140","Hamilton",7,142,0,42,11,1,203,485
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 141","Hamilton",3,161,3,77,2,2,248,496
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 142A","Hamilton",2,85,1,71,5,5,169,419
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 142B","Hamilton",0,117,3,46,5,0,171,366
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 143","Hamilton",2,131,0,68,4,2,207,517
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 144","Hamilton",0,113,2,49,7,5,176,515
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 145","Hamilton",1,130,1,88,11,0,231,503
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 146","Hamilton",1,90,3,42,9,1,146,384
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 147","Hamilton",3,87,0,73,11,1,175,407
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 148","Hamilton",1,182,3,63,13,2,264,571
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 149","Hamilton",0,79,0,20,9,1,109,272
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 150","Hamilton",1,84,0,40,9,0,134,388
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 151A","Hamilton",2,71,2,16,6,0,97,317
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 151B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,36
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 152","Hamilton",1,152,2,92,12,4,263,642
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 153","Hamilton",1,134,1,73,3,0,212,535
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 154","Hamilton",Combined with No./Résultats combinés à ceux du n°157,,,,,,,292
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 155","Hamilton",3,38,1,56,3,1,102,326
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 156","Hamilton",0,108,0,80,1,0,189,477
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 157","Hamilton",3,136,0,95,6,3,243,335
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 158","Hamilton",1,90,1,81,8,0,181,411
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 159","Hamilton",1,148,3,83,10,0,245,584
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 160","Hamilton",1,124,1,58,4,1,189,384
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 161","Hamilton",2,125,3,105,11,2,248,510
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 162","Hamilton",3,97,1,49,1,0,151,411
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 163","Hamilton",2,91,3,36,12,0,144,414
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 164","Brant",1,116,0,71,2,1,191,465
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 165","Brant",1,64,6,54,3,0,128,408
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 166","Brant",0,114,6,108,6,0,234,431
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 167","Brantford",Combined with No./Résultats combinés à ceux du n°166,,,,,,,198
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 168","Brant",2,111,9,97,12,2,233,552
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 169","Brant",1,120,7,84,9,0,221,582
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 170","Brant",3,101,5,138,10,0,257,569
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 171","Brant",0,118,5,95,10,2,230,484
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 172","Brant",4,140,2,123,9,1,279,577
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 173","Brant",0,137,3,158,5,1,304,634
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 174","Brant",3,112,2,81,9,1,208,483
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 175","Brant",0,123,2,121,5,0,251,527
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 176","Brant",2,144,4,118,7,5,280,653
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 177","Brant",1,144,0,80,7,7,239,573
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 178","Brant",4,159,3,129,9,6,310,639
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 179","Brant",1,164,3,105,1,3,277,701
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 180","Hamilton",2,130,1,73,10,2,218,565
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 181","Hamilton",1,80,1,71,2,1,156,381
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 182","Hamilton",2,138,0,103,11,3,257,480
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 183","Hamilton",2,136,0,106,6,3,253,566
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 184","Hamilton",1,113,2,88,6,1,211,510
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 185","Hamilton",1,121,1,78,5,0,206,476
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 186","Hamilton",7,182,3,112,11,2,317,690
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 187","Hamilton",2,112,2,78,4,2,200,467
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 188","Hamilton",2,99,3,64,10,1,179,440
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,31
35032,"Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord"," 501","Hamilton",Combined with No./Résultats combinés à ceux du n°15,,,,,,,32
