Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Claude Dussault,Joël Lightbound,Jean-Paul Lussiaà-Berdou,Vatthana Maholy,Valérie Savard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Louis-Hébert/Louis-Hébert"," 31","Québec",16,61,4,0,26,1,108,354
24043,"Louis-Hébert/Louis-Hébert"," 32","Québec",16,111,1,0,25,1,154,394
24043,"Louis-Hébert/Louis-Hébert"," 33","Québec",36,133,1,0,32,0,202,472
24043,"Louis-Hébert/Louis-Hébert"," 34","Québec",36,112,0,1,25,1,175,451
24043,"Louis-Hébert/Louis-Hébert"," 35","Québec",38,94,7,0,56,2,197,494
24043,"Louis-Hébert/Louis-Hébert"," 36","Québec",26,105,2,0,50,2,185,423
24043,"Louis-Hébert/Louis-Hébert"," 37","Québec",39,95,3,0,45,1,183,453
24043,"Louis-Hébert/Louis-Hébert"," 38","Québec",34,94,5,0,27,1,161,401
24043,"Louis-Hébert/Louis-Hébert"," 39","Québec",28,80,1,1,28,2,140,346
24043,"Louis-Hébert/Louis-Hébert"," 40","Québec",33,123,7,1,33,1,198,384
24043,"Louis-Hébert/Louis-Hébert"," 41","Québec",30,89,6,1,44,5,175,394
24043,"Louis-Hébert/Louis-Hébert"," 42","Québec",19,58,2,1,19,3,102,394
24043,"Louis-Hébert/Louis-Hébert"," 43","Québec",28,85,7,1,44,2,167,426
24043,"Louis-Hébert/Louis-Hébert"," 44","Québec",23,56,3,2,36,2,122,368
24043,"Louis-Hébert/Louis-Hébert"," 45","Québec",43,76,8,4,18,1,150,364
24043,"Louis-Hébert/Louis-Hébert"," 46","Québec",28,107,3,1,46,3,188,458
24043,"Louis-Hébert/Louis-Hébert"," 47","Québec",25,131,10,1,59,2,228,436
24043,"Louis-Hébert/Louis-Hébert"," 48","Québec",30,68,10,1,47,3,159,373
24043,"Louis-Hébert/Louis-Hébert"," 49","Québec",39,116,5,3,44,3,210,464
24043,"Louis-Hébert/Louis-Hébert"," 50","Québec",35,100,6,3,54,1,199,414
24043,"Louis-Hébert/Louis-Hébert"," 51A","Québec",55,59,8,2,36,2,162,441
24043,"Louis-Hébert/Louis-Hébert"," 51B","Mobile poll/Bureau itinérant",12,53,3,1,26,5,100,110
24043,"Louis-Hébert/Louis-Hébert"," 52","Québec",47,61,8,0,38,2,156,397
24043,"Louis-Hébert/Louis-Hébert"," 53","Québec",40,58,8,3,23,3,135,390
24043,"Louis-Hébert/Louis-Hébert"," 54","Québec",52,80,22,2,32,4,192,503
24043,"Louis-Hébert/Louis-Hébert"," 55","Québec",38,62,4,1,44,0,149,364
24043,"Louis-Hébert/Louis-Hébert"," 56","Québec",51,88,2,4,38,4,187,437
24043,"Louis-Hébert/Louis-Hébert"," 57","Québec",54,115,8,1,37,5,220,423
24043,"Louis-Hébert/Louis-Hébert"," 58","Québec",50,70,4,0,34,1,159,354
24043,"Louis-Hébert/Louis-Hébert"," 59","Québec",27,56,15,1,34,4,137,331
24043,"Louis-Hébert/Louis-Hébert"," 60","Québec",25,56,7,0,18,3,109,302
24043,"Louis-Hébert/Louis-Hébert"," 61","Québec",33,69,7,0,32,1,142,391
24043,"Louis-Hébert/Louis-Hébert"," 62","Québec",41,84,5,0,51,4,185,387
24043,"Louis-Hébert/Louis-Hébert"," 63","Québec",29,67,7,3,43,0,149,343
24043,"Louis-Hébert/Louis-Hébert"," 64","Québec",19,74,9,2,35,2,141,372
24043,"Louis-Hébert/Louis-Hébert"," 65","Québec",33,72,6,2,24,3,140,347
24043,"Louis-Hébert/Louis-Hébert"," 66","Québec",57,82,3,1,34,1,178,483
24043,"Louis-Hébert/Louis-Hébert"," 67","Québec",33,89,6,1,49,1,179,440
24043,"Louis-Hébert/Louis-Hébert"," 68","Québec",38,121,7,1,50,3,220,534
24043,"Louis-Hébert/Louis-Hébert"," 69","Québec",23,68,9,2,33,0,135,355
24043,"Louis-Hébert/Louis-Hébert"," 70","Québec",44,93,11,0,28,0,176,386
24043,"Louis-Hébert/Louis-Hébert"," 71","Québec",55,129,9,2,43,0,238,445
24043,"Louis-Hébert/Louis-Hébert"," 72","Québec",22,88,8,1,26,3,148,345
24043,"Louis-Hébert/Louis-Hébert"," 73","Québec",39,67,1,0,54,1,162,348
24043,"Louis-Hébert/Louis-Hébert"," 74","Québec",73,66,3,0,28,3,173,367
24043,"Louis-Hébert/Louis-Hébert"," 75","Québec",75,114,7,4,43,3,246,611
24043,"Louis-Hébert/Louis-Hébert"," 76","Québec",46,114,3,0,42,3,208,412
24043,"Louis-Hébert/Louis-Hébert"," 77","Québec",55,107,6,0,35,2,205,392
24043,"Louis-Hébert/Louis-Hébert"," 78","Québec",48,91,6,0,41,4,190,395
24043,"Louis-Hébert/Louis-Hébert"," 79","Québec",56,91,1,1,50,2,201,392
24043,"Louis-Hébert/Louis-Hébert"," 80","Québec",55,56,3,0,49,4,167,392
24043,"Louis-Hébert/Louis-Hébert"," 81","Québec",51,66,2,1,48,1,169,361
24043,"Louis-Hébert/Louis-Hébert"," 82","Québec",83,45,7,3,34,3,175,510
24043,"Louis-Hébert/Louis-Hébert"," 83","Québec",37,69,5,3,22,6,142,376
24043,"Louis-Hébert/Louis-Hébert"," 84","Québec",85,41,2,5,26,3,162,423
24043,"Louis-Hébert/Louis-Hébert"," 85","Québec",74,41,2,4,29,2,152,381
24043,"Louis-Hébert/Louis-Hébert"," 86","Québec",55,57,2,1,35,1,151,413
24043,"Louis-Hébert/Louis-Hébert"," 87","Québec",66,70,6,1,34,3,180,417
24043,"Louis-Hébert/Louis-Hébert"," 88","Québec",95,70,3,2,52,3,225,463
24043,"Louis-Hébert/Louis-Hébert"," 89","Québec",26,109,1,4,44,2,186,432
24043,"Louis-Hébert/Louis-Hébert"," 90","Québec",16,66,4,2,21,1,110,352
24043,"Louis-Hébert/Louis-Hébert"," 91","Québec",44,118,4,1,23,0,190,502
24043,"Louis-Hébert/Louis-Hébert"," 92","Québec",21,63,0,0,28,0,112,355
24043,"Louis-Hébert/Louis-Hébert"," 93","Québec",26,70,7,1,21,0,125,391
24043,"Louis-Hébert/Louis-Hébert"," 94","Québec",31,101,6,0,44,1,183,409
24043,"Louis-Hébert/Louis-Hébert"," 95","Québec",39,142,5,1,38,1,226,445
24043,"Louis-Hébert/Louis-Hébert"," 96","Québec",38,86,12,4,43,4,187,329
24043,"Louis-Hébert/Louis-Hébert"," 97","Québec",54,127,5,5,50,2,243,523
24043,"Louis-Hébert/Louis-Hébert"," 98","Québec",46,139,9,1,48,4,247,478
24043,"Louis-Hébert/Louis-Hébert"," 99","Québec",43,140,5,0,37,0,225,435
24043,"Louis-Hébert/Louis-Hébert"," 100","Québec",63,107,4,0,35,4,213,358
24043,"Louis-Hébert/Louis-Hébert"," 101","Québec",36,127,8,1,58,2,232,404
24043,"Louis-Hébert/Louis-Hébert"," 102","Québec",66,107,7,0,46,0,226,412
24043,"Louis-Hébert/Louis-Hébert"," 103","Québec",30,103,5,0,44,1,183,335
24043,"Louis-Hébert/Louis-Hébert"," 104","Québec",32,92,5,0,46,1,176,355
24043,"Louis-Hébert/Louis-Hébert"," 105","Québec",23,91,8,1,42,3,168,308
24043,"Louis-Hébert/Louis-Hébert"," 106","Québec",43,79,7,2,36,4,171,331
24043,"Louis-Hébert/Louis-Hébert"," 107","Québec",17,107,2,0,36,2,164,378
24043,"Louis-Hébert/Louis-Hébert"," 108","Québec",17,57,6,1,35,4,120,331
24043,"Louis-Hébert/Louis-Hébert"," 109","Québec",51,101,8,0,40,3,203,420
24043,"Louis-Hébert/Louis-Hébert"," 110","Québec",54,114,10,0,62,3,243,477
24043,"Louis-Hébert/Louis-Hébert"," 111","Québec",16,62,4,1,36,1,120,326
24043,"Louis-Hébert/Louis-Hébert"," 112","Québec",23,57,5,0,36,4,125,401
24043,"Louis-Hébert/Louis-Hébert"," 113","Québec",60,77,14,0,32,4,187,477
24043,"Louis-Hébert/Louis-Hébert"," 114","Québec",22,58,10,0,24,0,114,327
24043,"Louis-Hébert/Louis-Hébert"," 115","Québec",38,119,11,1,54,5,228,510
24043,"Louis-Hébert/Louis-Hébert"," 116","Québec",35,101,11,1,30,1,179,388
24043,"Louis-Hébert/Louis-Hébert"," 117","Québec",32,88,11,3,34,2,170,445
24043,"Louis-Hébert/Louis-Hébert"," 118","Québec",27,76,9,1,22,0,135,396
24043,"Louis-Hébert/Louis-Hébert"," 119","Québec",23,63,9,1,21,2,119,316
24043,"Louis-Hébert/Louis-Hébert"," 120","Québec",29,97,10,1,35,1,173,376
24043,"Louis-Hébert/Louis-Hébert"," 121","Québec",36,78,5,2,40,4,165,482
24043,"Louis-Hébert/Louis-Hébert"," 122","Québec",33,104,6,0,37,3,183,389
24043,"Louis-Hébert/Louis-Hébert"," 123","Québec",44,66,8,2,28,1,149,373
24043,"Louis-Hébert/Louis-Hébert"," 124","Québec",25,79,4,0,21,3,132,361
24043,"Louis-Hébert/Louis-Hébert"," 125","Québec",28,57,6,2,19,3,115,319
24043,"Louis-Hébert/Louis-Hébert"," 126A","Québec",13,51,1,0,27,0,92,374
24043,"Louis-Hébert/Louis-Hébert"," 126B","Québec",9,40,2,0,16,1,68,245
24043,"Louis-Hébert/Louis-Hébert"," 127","Québec",22,75,3,1,29,3,133,487
24043,"Louis-Hébert/Louis-Hébert"," 128","Québec",26,52,1,3,14,2,98,373
24043,"Louis-Hébert/Louis-Hébert"," 129","Québec",17,90,3,1,37,2,150,435
24043,"Louis-Hébert/Louis-Hébert"," 130","Québec",12,75,2,1,33,3,126,447
24043,"Louis-Hébert/Louis-Hébert"," 131","Québec",26,67,5,1,25,3,127,349
24043,"Louis-Hébert/Louis-Hébert"," 132","Québec",74,156,6,0,66,4,306,611
24043,"Louis-Hébert/Louis-Hébert"," 133","Québec",55,147,5,2,24,1,234,477
24043,"Louis-Hébert/Louis-Hébert"," 134","Québec",53,98,2,0,35,3,191,417
24043,"Louis-Hébert/Louis-Hébert"," 135","Québec",86,152,2,0,44,1,285,560
24043,"Louis-Hébert/Louis-Hébert"," 136","Québec",47,96,2,1,21,0,167,401
24043,"Louis-Hébert/Louis-Hébert"," 137","Québec",61,98,4,0,35,1,199,470
24043,"Louis-Hébert/Louis-Hébert"," 138","Québec",47,108,4,0,41,1,201,516
24043,"Louis-Hébert/Louis-Hébert"," 139","Québec",28,76,10,0,41,1,156,331
24043,"Louis-Hébert/Louis-Hébert"," 140","Québec",41,107,4,0,55,0,207,478
24043,"Louis-Hébert/Louis-Hébert"," 141","Québec",23,94,3,0,22,0,142,357
24043,"Louis-Hébert/Louis-Hébert"," 142","Québec",47,68,1,0,26,1,143,345
24043,"Louis-Hébert/Louis-Hébert"," 143","Québec",27,71,6,1,37,0,142,342
24043,"Louis-Hébert/Louis-Hébert"," 144","Québec",60,79,2,0,39,0,180,408
24043,"Louis-Hébert/Louis-Hébert"," 145","Québec",21,114,0,1,45,0,181,400
24043,"Louis-Hébert/Louis-Hébert"," 146","Québec",55,92,1,1,27,1,177,470
24043,"Louis-Hébert/Louis-Hébert"," 147","Québec",39,57,7,2,26,2,133,327
24043,"Louis-Hébert/Louis-Hébert"," 148","Québec",65,81,3,3,41,2,195,447
24043,"Louis-Hébert/Louis-Hébert"," 149","Québec",56,67,2,0,29,6,160,375
24043,"Louis-Hébert/Louis-Hébert"," 150","Québec",67,76,7,1,33,1,185,384
24043,"Louis-Hébert/Louis-Hébert"," 151","Québec",92,78,7,3,46,2,228,501
24043,"Louis-Hébert/Louis-Hébert"," 152","Québec",64,68,2,0,40,1,175,447
24043,"Louis-Hébert/Louis-Hébert"," 153","Québec",20,77,0,1,34,0,132,351
24043,"Louis-Hébert/Louis-Hébert"," 154","Québec",16,37,1,0,38,1,93,381
24043,"Louis-Hébert/Louis-Hébert"," 155","Québec",20,56,1,0,13,0,90,402
24043,"Louis-Hébert/Louis-Hébert"," 156","Québec",23,71,0,1,25,1,121,427
24043,"Louis-Hébert/Louis-Hébert"," 157","Québec",40,119,3,1,58,2,223,511
24043,"Louis-Hébert/Louis-Hébert"," 158","Québec",25,101,8,1,37,3,175,379
24043,"Louis-Hébert/Louis-Hébert"," 159","Québec",46,125,6,1,55,4,237,410
24043,"Louis-Hébert/Louis-Hébert"," 160","Québec",46,135,2,1,62,1,247,428
24043,"Louis-Hébert/Louis-Hébert"," 161","Québec",23,89,12,3,26,2,155,351
24043,"Louis-Hébert/Louis-Hébert"," 162","Québec",46,96,5,1,31,0,179,441
24043,"Louis-Hébert/Louis-Hébert"," 163","Québec",25,72,6,1,34,1,139,352
24043,"Louis-Hébert/Louis-Hébert"," 164","Québec",24,72,3,1,33,2,135,364
24043,"Louis-Hébert/Louis-Hébert"," 165","Québec",29,111,2,2,51,3,198,448
24043,"Louis-Hébert/Louis-Hébert"," 166","Québec",41,80,2,0,46,0,169,336
24043,"Louis-Hébert/Louis-Hébert"," 167","Québec",59,76,3,1,30,5,174,431
24043,"Louis-Hébert/Louis-Hébert"," 168","Québec",30,53,9,0,28,2,122,328
24043,"Louis-Hébert/Louis-Hébert"," 169","Québec",26,116,2,0,29,0,173,363
24043,"Louis-Hébert/Louis-Hébert"," 170","Québec",32,99,6,0,32,3,172,422
24043,"Louis-Hébert/Louis-Hébert"," 171","Québec",42,78,7,3,32,5,167,365
24043,"Louis-Hébert/Louis-Hébert"," 172","Québec",36,89,6,4,30,0,165,412
24043,"Louis-Hébert/Louis-Hébert"," 173","Québec",29,81,1,2,32,0,145,387
24043,"Louis-Hébert/Louis-Hébert"," 174","Québec",37,78,2,0,31,2,150,346
24043,"Louis-Hébert/Louis-Hébert"," 175","Québec",37,100,1,1,25,1,165,350
24043,"Louis-Hébert/Louis-Hébert"," 176","Québec",35,97,5,0,43,1,181,488
24043,"Louis-Hébert/Louis-Hébert"," 177","Québec",22,78,4,1,36,2,143,364
24043,"Louis-Hébert/Louis-Hébert"," 178","Québec",71,99,7,1,56,2,236,547
24043,"Louis-Hébert/Louis-Hébert"," 179","Québec",47,110,4,1,45,1,208,431
24043,"Louis-Hébert/Louis-Hébert"," 180","Québec",47,118,2,0,48,1,216,474
24043,"Louis-Hébert/Louis-Hébert"," 181","Québec",50,103,1,3,56,1,214,485
24043,"Louis-Hébert/Louis-Hébert"," 182","Québec",56,125,2,1,38,1,223,450
24043,"Louis-Hébert/Louis-Hébert"," 400","Québec",16,80,0,1,38,0,135,179
24043,"Louis-Hébert/Louis-Hébert"," 401","Québec",36,242,4,0,81,6,369,444
24043,"Louis-Hébert/Louis-Hébert"," 402","Québec",28,74,8,0,25,1,136,386
24043,"Louis-Hébert/Louis-Hébert"," 403","Québec",13,43,6,0,19,2,83,197
24043,"Louis-Hébert/Louis-Hébert"," 404","Québec",18,30,3,0,16,1,68,113
24043,"Louis-Hébert/Louis-Hébert"," 405","Québec",76,83,4,1,36,3,203,431
24043,"Louis-Hébert/Louis-Hébert"," 406","Québec",30,75,7,0,39,0,151,209
24043,"Louis-Hébert/Louis-Hébert"," 407","Québec",18,77,0,0,35,1,131,281
24043,"Louis-Hébert/Louis-Hébert"," 500","Mobile poll/Bureau itinérant",7,42,1,2,20,4,76,136
24043,"Louis-Hébert/Louis-Hébert"," 501","Québec",16,204,3,1,62,13,299,370
24043,"Louis-Hébert/Louis-Hébert"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,42
24043,"Louis-Hébert/Louis-Hébert"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,107
24043,"Louis-Hébert/Louis-Hébert"," 504","Mobile poll/Bureau itinérant",7,143,2,0,40,14,206,179
24043,"Louis-Hébert/Louis-Hébert"," 505","Mobile poll/Bureau itinérant",22,150,1,1,41,5,220,127
24043,"Louis-Hébert/Louis-Hébert"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,33
24043,"Louis-Hébert/Louis-Hébert"," 507","Mobile poll/Bureau itinérant",18,82,2,0,29,5,136,256
24043,"Louis-Hébert/Louis-Hébert"," 508","Mobile poll/Bureau itinérant",6,47,1,0,12,2,68,83
24043,"Louis-Hébert/Louis-Hébert"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,34
24043,"Louis-Hébert/Louis-Hébert"," 510A","Québec",16,149,2,0,33,10,210,261
24043,"Louis-Hébert/Louis-Hébert"," 510B","Québec",13,148,2,0,39,18,220,259
24043,"Louis-Hébert/Louis-Hébert"," 511","Mobile poll/Bureau itinérant",23,132,1,3,30,5,194,226
24043,"Louis-Hébert/Louis-Hébert"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,40
24043,"Louis-Hébert/Louis-Hébert"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,8
24043,"Louis-Hébert/Louis-Hébert"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,73
24043,"Louis-Hébert/Louis-Hébert"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,45
24043,"Louis-Hébert/Louis-Hébert"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,71
24043,"Louis-Hébert/Louis-Hébert"," 517","Mobile poll/Bureau itinérant",5,27,2,0,9,3,46,64
24043,"Louis-Hébert/Louis-Hébert"," 518","Mobile poll/Bureau itinérant",13,58,0,0,24,3,98,105
24043,"Louis-Hébert/Louis-Hébert"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°51B,,,,,,,39
24043,"Louis-Hébert/Louis-Hébert"," 520A","Québec",11,103,2,0,18,8,142,196
24043,"Louis-Hébert/Louis-Hébert"," 520B","Québec",9,114,0,1,37,3,164,216
24043,"Louis-Hébert/Louis-Hébert"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,32
24043,"Louis-Hébert/Louis-Hébert"," 600","Québec",485,491,20,12,255,18,1281,
24043,"Louis-Hébert/Louis-Hébert"," 601","Québec",373,737,25,3,271,11,1420,
24043,"Louis-Hébert/Louis-Hébert"," 602","Québec",322,1204,25,3,356,10,1920,
24043,"Louis-Hébert/Louis-Hébert"," 603","Québec",331,1180,37,14,433,20,2015,
24043,"Louis-Hébert/Louis-Hébert"," 604","Québec",398,831,18,1,278,14,1540,
24043,"Louis-Hébert/Louis-Hébert"," 605","Québec",268,846,22,7,265,5,1413,
24043,"Louis-Hébert/Louis-Hébert"," 606","Québec",174,449,24,10,192,5,854,
24043,"Louis-Hébert/Louis-Hébert"," 607","Québec",251,718,35,6,290,12,1312,
24043,"Louis-Hébert/Louis-Hébert"," 608","Québec",197,685,12,5,256,8,1163,
24043,"Louis-Hébert/Louis-Hébert"," 609","Québec",216,1102,26,5,420,16,1785,
24043,"Louis-Hébert/Louis-Hébert"," 610","Québec",238,1164,29,4,401,14,1850,
24043,"Louis-Hébert/Louis-Hébert"," 611","Québec",171,709,14,1,250,12,1157,
24043,"Louis-Hébert/Louis-Hébert"," 612","Québec",213,781,23,4,274,9,1304,
24043,"Louis-Hébert/Louis-Hébert"," 613","Québec",150,569,24,4,188,8,943,
24043,"Louis-Hébert/Louis-Hébert"," 614","Québec",87,349,34,6,174,9,659,
24043,"Louis-Hébert/Louis-Hébert"," 615","Québec",179,882,29,3,269,10,1372,
24043,"Louis-Hébert/Louis-Hébert"," 616","Québec",225,1138,20,2,379,10,1774,
24043,"Louis-Hébert/Louis-Hébert",,Group 1/Groupe 1, 158,389,35,4,122,27,735,240
24043,"Louis-Hébert/Louis-Hébert",,Group 2/Groupe 2, 318,1465,70,6,470,52,2381,
