Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Donna Allen,Eddie Cornell,Alex Gagne,Dominic LeBlanc,Josh Shaddick,Nathalie Vautour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 23","Saint-Édouard-de-Kent",1,0,1,59,4,80,0,145,457
13002,"Beauséjour/Beauséjour"," 24","Saint-Pierre-de-Kent",1,0,2,59,5,77,1,145,402
13002,"Beauséjour/Beauséjour"," 25","Collette-Village",0,0,0,48,1,43,0,92,359
13002,"Beauséjour/Beauséjour"," 26","Bouctouche",0,1,7,66,0,48,0,122,457
13002,"Beauséjour/Beauséjour"," 27","Bouctouche",1,1,3,44,3,49,0,101,357
13002,"Beauséjour/Beauséjour"," 28","Bouctouche",0,0,1,38,4,38,1,82,418
13002,"Beauséjour/Beauséjour"," 29","Wellington",1,1,1,76,2,55,0,136,468
13002,"Beauséjour/Beauséjour"," 30","Saint-Thomas-de-Kent",0,1,3,46,5,63,0,118,459
13002,"Beauséjour/Beauséjour"," 31","Bouctouche",1,3,3,67,3,71,0,148,501
13002,"Beauséjour/Beauséjour"," 32","Saint-Joseph-de-Kent",1,1,5,54,2,64,0,127,412
13002,"Beauséjour/Beauséjour"," 32-1","Buctouche 16",Combined with No./Résultats combinés à ceux du n°32,,,,,,,,74
13002,"Beauséjour/Beauséjour"," 33","Saint-Joseph-de-Kent",0,0,1,79,6,64,0,150,437
13002,"Beauséjour/Beauséjour"," 34","Sainte-Marie-de-Kent",1,4,2,49,3,44,0,103,344
13002,"Beauséjour/Beauséjour"," 35","Sainte-Marie-de-Kent",0,3,1,60,3,44,2,113,393
13002,"Beauséjour/Beauséjour"," 36","Saint-Cyrille",1,2,5,47,3,50,0,108,365
13002,"Beauséjour/Beauséjour"," 37","Sainte-Marie-de-Kent",2,3,0,42,1,69,0,117,364
13002,"Beauséjour/Beauséjour"," 38","Saint-Paul",1,6,10,68,6,103,0,194,320
13002,"Beauséjour/Beauséjour"," 39","Saint-Paul",4,10,16,108,4,105,2,249,444
13002,"Beauséjour/Beauséjour"," 40","Cormierville",0,2,4,63,1,75,0,145,403
13002,"Beauséjour/Beauséjour"," 41","Després-Village",1,1,1,46,5,50,0,104,364
13002,"Beauséjour/Beauséjour"," 42","Breau-Village--Côte-d'Or",0,1,5,45,2,50,1,104,305
13002,"Beauséjour/Beauséjour"," 43","Breau-Village",0,0,1,54,5,41,0,101,379
13002,"Beauséjour/Beauséjour"," 44","Cocagne-Nord",0,1,5,64,3,46,0,119,392
13002,"Beauséjour/Beauséjour"," 45","Cocagne-Nord",0,1,3,47,3,33,1,88,334
13002,"Beauséjour/Beauséjour"," 46","Cocagne-Sud",1,2,1,48,2,35,0,89,334
13002,"Beauséjour/Beauséjour"," 47","Saint-Antoine",0,3,3,47,4,78,1,136,421
13002,"Beauséjour/Beauséjour"," 48","Saint-Antoine",1,2,4,79,3,73,1,163,494
13002,"Beauséjour/Beauséjour"," 49","Saint-Antoine",2,1,6,48,3,53,0,113,416
13002,"Beauséjour/Beauséjour"," 50","Saint-Antoine",1,0,2,50,3,54,0,110,429
13002,"Beauséjour/Beauséjour"," 51","Haut-St-Antoine",0,1,4,77,7,46,2,137,445
13002,"Beauséjour/Beauséjour"," 52","Notre-Dame",0,2,4,97,9,85,0,197,454
13002,"Beauséjour/Beauséjour"," 53","Notre-Dame",1,1,5,93,8,75,0,183,452
13002,"Beauséjour/Beauséjour"," 54","Notre-Dame",0,1,9,90,7,71,1,179,432
13002,"Beauséjour/Beauséjour"," 55","Cap-de-Cocagne",0,1,7,68,2,55,0,133,478
13002,"Beauséjour/Beauséjour"," 56","Cap-des-Caissie",1,1,2,62,1,33,2,102,475
13002,"Beauséjour/Beauséjour"," 57","Grande-Digue",1,0,2,77,4,40,0,124,474
13002,"Beauséjour/Beauséjour"," 58","Cap-des-Caissie",0,0,2,46,3,39,0,90,342
13002,"Beauséjour/Beauséjour"," 59","Grande-Digue",1,2,5,32,0,38,0,78,325
13002,"Beauséjour/Beauséjour"," 60","Shediac Bridge",1,1,2,61,1,33,0,99,398
13002,"Beauséjour/Beauséjour"," 61","Shediac Bridge",0,0,2,43,0,38,0,83,369
13002,"Beauséjour/Beauséjour"," 62","Shediac River",1,1,1,57,4,49,0,113,400
13002,"Beauséjour/Beauséjour"," 63","Shediac River",1,0,0,72,6,41,1,121,368
13002,"Beauséjour/Beauséjour"," 64","Saint-Philippe",0,1,2,66,2,70,1,142,267
13002,"Beauséjour/Beauséjour"," 65","Saint-Philippe",2,4,7,47,3,54,0,117,250
13002,"Beauséjour/Beauséjour"," 66A","Irishtown--Cape Breton",Combined with No./Résultats combinés à ceux du n°69,,,,,,,,62
13002,"Beauséjour/Beauséjour"," 66B","Irishtown--Cape Breton",0,1,6,89,2,94,0,192,449
13002,"Beauséjour/Beauséjour"," 67","Moncton Road",0,1,5,35,0,45,1,87,353
13002,"Beauséjour/Beauséjour"," 68","Lakeville",1,4,5,38,0,46,0,94,382
13002,"Beauséjour/Beauséjour"," 69","Lakeville",3,0,2,43,3,61,1,113,396
13002,"Beauséjour/Beauséjour"," 70","Lakeville",0,3,5,47,2,52,1,110,374
13002,"Beauséjour/Beauséjour"," 71","LeBlancville",5,4,6,61,6,89,0,171,542
13002,"Beauséjour/Beauséjour"," 72","Dundas",2,1,4,40,1,70,1,119,396
13002,"Beauséjour/Beauséjour"," 73","LeBlancville",3,2,8,62,3,72,0,150,383
13002,"Beauséjour/Beauséjour"," 74","Irishtown",1,2,1,85,3,67,0,159,431
13002,"Beauséjour/Beauséjour"," 75","Shaw Brook",0,2,7,67,3,64,0,143,438
13002,"Beauséjour/Beauséjour"," 76","New Scotland",1,4,6,44,5,102,0,162,443
13002,"Beauséjour/Beauséjour"," 77","Ammon",1,1,5,57,3,78,0,145,464
13002,"Beauséjour/Beauséjour"," 78","Ammon",2,1,5,64,5,76,0,153,387
13002,"Beauséjour/Beauséjour"," 79","Indian Mountain",2,7,8,103,5,147,0,272,444
13002,"Beauséjour/Beauséjour"," 80","Shediac Cape",2,2,1,76,3,84,0,168,445
13002,"Beauséjour/Beauséjour"," 81","Batemans Mills",0,2,5,86,7,70,1,171,402
13002,"Beauséjour/Beauséjour"," 82","Shediac",2,0,7,101,3,67,0,180,558
13002,"Beauséjour/Beauséjour"," 83","Shediac",1,2,5,65,6,37,0,116,491
13002,"Beauséjour/Beauséjour"," 84","Shediac",2,3,3,99,2,53,0,162,594
13002,"Beauséjour/Beauséjour"," 85","Shediac",2,0,3,114,2,80,1,202,765
13002,"Beauséjour/Beauséjour"," 86","Shediac",1,1,3,72,3,50,0,130,508
13002,"Beauséjour/Beauséjour"," 87","Scoudouc",1,0,3,78,9,70,3,164,341
13002,"Beauséjour/Beauséjour"," 88","Scoudouc",1,2,4,121,5,80,2,215,439
13002,"Beauséjour/Beauséjour"," 89","Malakoff",2,0,6,113,2,116,1,240,462
13002,"Beauséjour/Beauséjour"," 90","Shediac",0,0,2,74,2,37,0,115,376
13002,"Beauséjour/Beauséjour"," 91","Shediac",5,1,6,118,6,48,1,185,431
13002,"Beauséjour/Beauséjour"," 92","Shediac",1,2,1,63,3,48,0,118,523
13002,"Beauséjour/Beauséjour"," 93","Shediac",1,2,0,54,1,29,0,87,367
13002,"Beauséjour/Beauséjour"," 94","Shediac",0,1,3,69,2,29,1,105,386
13002,"Beauséjour/Beauséjour"," 95","Shediac",0,1,4,60,3,30,0,98,379
13002,"Beauséjour/Beauséjour"," 96","Shediac",0,1,4,55,2,28,0,90,399
13002,"Beauséjour/Beauséjour"," 97","Shediac",0,0,7,53,2,29,0,91,390
13002,"Beauséjour/Beauséjour"," 98","Shediac",1,0,4,72,1,27,0,105,437
13002,"Beauséjour/Beauséjour"," 99","Shediac",2,1,2,116,0,37,2,160,392
13002,"Beauséjour/Beauséjour"," 100","Shediac",1,1,2,57,0,18,0,79,379
13002,"Beauséjour/Beauséjour"," 101","Grand-Barachois",2,2,1,83,3,41,0,132,458
13002,"Beauséjour/Beauséjour"," 102","Grand-Barachois",1,0,1,53,0,34,0,89,368
13002,"Beauséjour/Beauséjour"," 103","Grand-Barachois",0,2,3,54,3,53,1,116,464
13002,"Beauséjour/Beauséjour"," 104","Grand-Barachois",0,0,1,48,0,25,0,74,342
13002,"Beauséjour/Beauséjour"," 105","Grand-Barachois",0,3,2,38,2,34,1,80,336
13002,"Beauséjour/Beauséjour"," 106","Grand-Barachois",2,0,3,65,3,33,0,106,453
13002,"Beauséjour/Beauséjour"," 107","Grand-Barachois",0,1,4,61,4,55,0,125,440
13002,"Beauséjour/Beauséjour"," 108","Gallant Settlement",0,0,3,77,5,41,1,127,417
13002,"Beauséjour/Beauséjour"," 109","Saint-André-de-Shédiac--LeBlanc",0,4,1,75,9,59,0,148,397
13002,"Beauséjour/Beauséjour"," 110","Cormier-Village",1,1,2,64,6,49,0,123,405
13002,"Beauséjour/Beauséjour"," 111","Haute-Aboujagane",5,2,5,130,6,89,2,239,443
13002,"Beauséjour/Beauséjour"," 112","Basse-Aboujagane",2,5,6,74,3,58,0,148,385
13002,"Beauséjour/Beauséjour"," 113","Shemogue",0,2,7,72,5,85,0,171,378
13002,"Beauséjour/Beauséjour"," 114","Trois-Ruisseaux",2,3,4,79,8,60,0,156,390
13002,"Beauséjour/Beauséjour"," 115","Trois-Ruisseaux",2,0,3,67,3,48,0,123,404
13002,"Beauséjour/Beauséjour"," 116","Cap-Pele",1,5,1,81,4,30,0,122,405
13002,"Beauséjour/Beauséjour"," 117","Cap-Pele",0,0,1,74,4,34,0,113,481
13002,"Beauséjour/Beauséjour"," 118","Cap-Pelé",1,3,1,81,9,49,0,144,447
13002,"Beauséjour/Beauséjour"," 119","Cap Pelé",0,0,2,51,3,46,0,102,377
13002,"Beauséjour/Beauséjour"," 120","Dupuis Corner",0,1,3,85,4,55,1,149,439
13002,"Beauséjour/Beauséjour"," 121","Cape Tormentine",4,3,6,85,6,104,0,208,434
13002,"Beauséjour/Beauséjour"," 122","Murray Corner",2,2,2,66,4,76,0,152,255
13002,"Beauséjour/Beauséjour"," 123","Woodside",3,0,3,27,2,49,0,84,305
13002,"Beauséjour/Beauséjour"," 124","Bayside",3,2,4,21,5,54,0,89,290
13002,"Beauséjour/Beauséjour"," 125","Baie-Verte",1,0,4,41,2,58,0,106,340
13002,"Beauséjour/Beauséjour"," 126","Midgic",2,2,9,77,11,106,0,207,389
13002,"Beauséjour/Beauséjour"," 127","Sackville",0,0,10,68,3,66,0,147,415
13002,"Beauséjour/Beauséjour"," 128","Sackville",2,0,8,72,1,38,0,121,381
13002,"Beauséjour/Beauséjour"," 129","Sackville",1,4,11,81,14,24,0,135,482
13002,"Beauséjour/Beauséjour"," 130","Sackville",1,2,5,71,7,34,0,120,457
13002,"Beauséjour/Beauséjour"," 131","Sackville",1,2,4,59,5,67,0,138,378
13002,"Beauséjour/Beauséjour"," 132","Sackville",1,0,10,86,10,52,0,159,548
13002,"Beauséjour/Beauséjour"," 133","Upper Dorchester",1,4,11,78,6,80,1,181,309
13002,"Beauséjour/Beauséjour"," 134","Dorchester",3,7,10,108,4,70,1,203,357
13002,"Beauséjour/Beauséjour"," 134-1","Fort Folly 1",Combined with No./Résultats combinés à ceux du n°134,,,,,,,,35
13002,"Beauséjour/Beauséjour"," 135","British Settlement",1,3,10,76,6,76,1,173,283
13002,"Beauséjour/Beauséjour"," 136","British Settlement",0,1,7,64,3,72,0,147,280
13002,"Beauséjour/Beauséjour"," 137","Sackville",1,1,4,56,11,45,0,118,368
13002,"Beauséjour/Beauséjour"," 138","Sackville",2,2,19,65,3,73,1,165,460
13002,"Beauséjour/Beauséjour"," 139","Sackville",0,2,10,76,7,43,2,140,445
13002,"Beauséjour/Beauséjour"," 140","Sackville",1,0,6,91,4,13,0,115,413
13002,"Beauséjour/Beauséjour"," 141","Sackville",0,0,14,82,13,31,1,141,423
13002,"Beauséjour/Beauséjour"," 142","Point de Bute",5,5,9,101,4,120,1,245,456
13002,"Beauséjour/Beauséjour"," 143","Pré-d'en-Haut",0,2,5,64,2,49,1,123,447
13002,"Beauséjour/Beauséjour"," 144","Pré-d'en-Haut",0,1,2,56,1,28,0,88,338
13002,"Beauséjour/Beauséjour"," 145","Cormier Cove",0,0,3,51,5,26,0,85,304
13002,"Beauséjour/Beauséjour"," 146","Memramcook",1,7,3,69,6,38,0,124,403
13002,"Beauséjour/Beauséjour"," 147","McGinleys Corner",0,0,3,56,4,50,1,114,324
13002,"Beauséjour/Beauséjour"," 148","La Hêtrière",1,4,2,82,4,41,0,134,409
13002,"Beauséjour/Beauséjour"," 149","Memramcook East",1,2,3,38,4,45,1,94,281
13002,"Beauséjour/Beauséjour"," 150","College Bridge",0,3,1,41,2,24,0,71,282
13002,"Beauséjour/Beauséjour"," 151","College Bridge",0,3,6,55,5,47,3,119,323
13002,"Beauséjour/Beauséjour"," 152","McGinleys Corner",0,1,0,44,0,49,3,97,336
13002,"Beauséjour/Beauséjour"," 153","Memramcook West",0,0,3,65,3,39,0,110,403
13002,"Beauséjour/Beauséjour"," 154","Memramcook West",0,0,1,59,4,48,1,113,320
13002,"Beauséjour/Beauséjour"," 155","Memramcook",1,0,1,46,3,53,0,104,340
13002,"Beauséjour/Beauséjour"," 156","Dieppe",1,0,2,85,1,79,0,168,570
13002,"Beauséjour/Beauséjour"," 157","Dieppe",1,1,6,84,4,68,0,164,527
13002,"Beauséjour/Beauséjour"," 158","Dieppe",0,0,2,96,7,33,0,138,478
13002,"Beauséjour/Beauséjour"," 159","Dieppe",2,2,3,63,2,39,1,112,531
13002,"Beauséjour/Beauséjour"," 160","Dieppe",1,1,7,98,1,81,3,192,635
13002,"Beauséjour/Beauséjour"," 161","Dieppe",1,1,5,79,6,75,0,167,532
13002,"Beauséjour/Beauséjour"," 162","Dieppe",2,0,3,155,5,100,2,267,782
13002,"Beauséjour/Beauséjour"," 163","Dieppe",0,0,4,84,3,80,0,171,594
13002,"Beauséjour/Beauséjour"," 164","Dieppe",0,1,1,114,0,68,1,185,681
13002,"Beauséjour/Beauséjour"," 165","Dieppe",1,1,1,88,1,44,0,136,576
13002,"Beauséjour/Beauséjour"," 166","Dieppe",0,0,1,103,4,25,1,134,548
13002,"Beauséjour/Beauséjour"," 167","Dieppe",1,0,4,102,2,49,0,158,527
13002,"Beauséjour/Beauséjour"," 168","Dieppe",2,2,7,136,2,80,2,231,819
13002,"Beauséjour/Beauséjour"," 169","Dieppe",2,0,6,79,1,26,0,114,448
13002,"Beauséjour/Beauséjour"," 170","Dieppe",1,0,2,89,1,35,0,128,524
13002,"Beauséjour/Beauséjour"," 171","Dieppe",2,0,2,111,3,78,0,196,602
13002,"Beauséjour/Beauséjour"," 172","Dieppe",0,0,2,111,2,59,0,174,624
13002,"Beauséjour/Beauséjour"," 173","Dieppe",2,1,5,96,4,61,1,170,604
13002,"Beauséjour/Beauséjour"," 174","Dieppe",1,0,5,78,4,64,0,152,547
13002,"Beauséjour/Beauséjour"," 175","Dieppe",0,0,1,82,1,63,2,149,516
13002,"Beauséjour/Beauséjour"," 176","Dieppe",2,3,4,81,3,32,1,126,618
13002,"Beauséjour/Beauséjour"," 177","Dieppe",0,0,4,62,1,34,0,101,496
13002,"Beauséjour/Beauséjour"," 178","Dieppe",1,0,8,49,6,51,0,115,504
13002,"Beauséjour/Beauséjour"," 179","Dieppe",0,0,5,80,2,59,0,146,504
13002,"Beauséjour/Beauséjour"," 180","Dieppe",3,1,9,69,3,67,1,153,530
13002,"Beauséjour/Beauséjour"," 500","Mobile poll/Bureau itinérant",2,3,4,60,1,16,2,88,66
13002,"Beauséjour/Beauséjour"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,17
13002,"Beauséjour/Beauséjour"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,59
13002,"Beauséjour/Beauséjour"," 503","Mobile poll/Bureau itinérant",3,1,1,30,0,8,0,43,24
13002,"Beauséjour/Beauséjour"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,21
13002,"Beauséjour/Beauséjour"," 505","Mobile poll/Bureau itinérant",1,4,1,56,1,19,6,88,40
13002,"Beauséjour/Beauséjour"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,19
13002,"Beauséjour/Beauséjour"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,20
13002,"Beauséjour/Beauséjour"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,23
13002,"Beauséjour/Beauséjour"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,37
13002,"Beauséjour/Beauséjour"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,32
13002,"Beauséjour/Beauséjour"," 511","Mobile poll/Bureau itinérant",0,2,1,19,1,14,0,37,26
13002,"Beauséjour/Beauséjour"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,19
13002,"Beauséjour/Beauséjour"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,30
13002,"Beauséjour/Beauséjour"," 514","Mobile poll/Bureau itinérant",0,0,0,32,0,10,3,45,58
13002,"Beauséjour/Beauséjour"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,21
13002,"Beauséjour/Beauséjour"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,42
13002,"Beauséjour/Beauséjour"," 517","Mobile poll/Bureau itinérant",2,2,1,79,1,11,2,98,126
13002,"Beauséjour/Beauséjour"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,19
13002,"Beauséjour/Beauséjour"," 519","Mobile poll/Bureau itinérant",4,2,2,64,2,14,1,89,179
13002,"Beauséjour/Beauséjour"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,37
13002,"Beauséjour/Beauséjour"," 521","Mobile poll/Bureau itinérant",3,0,2,56,1,9,2,73,65
13002,"Beauséjour/Beauséjour"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,14
13002,"Beauséjour/Beauséjour"," 523","Mobile poll/Bureau itinérant",6,1,0,16,1,9,1,34,36
13002,"Beauséjour/Beauséjour"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,11
13002,"Beauséjour/Beauséjour"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,13
13002,"Beauséjour/Beauséjour"," 526","Mobile poll/Bureau itinérant",4,1,3,55,4,12,3,82,169
13002,"Beauséjour/Beauséjour"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,,12
13002,"Beauséjour/Beauséjour"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,28
13002,"Beauséjour/Beauséjour"," 529","Mobile poll/Bureau itinérant",0,0,1,33,1,4,0,39,29
13002,"Beauséjour/Beauséjour"," 530","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°532,,,,,,,,48
13002,"Beauséjour/Beauséjour"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°532,,,,,,,,20
13002,"Beauséjour/Beauséjour"," 532","Mobile poll/Bureau itinérant",4,1,4,90,5,20,5,129,123
13002,"Beauséjour/Beauséjour"," 600","Saint-Louis",7,3,20,576,34,279,5,924,
13002,"Beauséjour/Beauséjour"," 601","Richibucto",5,2,9,488,14,236,4,758,
13002,"Beauséjour/Beauséjour"," 602","Indian Island 28",Combined with No./Résultats combinés à ceux du n°603,,,,,,,,
13002,"Beauséjour/Beauséjour"," 603","Rexton",7,5,21,534,15,317,1,900,
13002,"Beauséjour/Beauséjour"," 604","Bouctouche",2,9,9,638,20,331,3,1012,
13002,"Beauséjour/Beauséjour"," 605","Buctouche 16",Combined with No./Résultats combinés à ceux du n°606,,,,,,,,
13002,"Beauséjour/Beauséjour"," 606","Bouctouche",2,6,23,691,16,337,5,1080,
13002,"Beauséjour/Beauséjour"," 607","Saint Mary",0,11,13,443,9,291,3,770,
13002,"Beauséjour/Beauséjour"," 608","Irishtown",9,28,42,722,25,709,7,1542,
13002,"Beauséjour/Beauséjour"," 609","Saint-Antoine",6,7,29,849,23,536,3,1453,
13002,"Beauséjour/Beauséjour"," 610","Cocagne-Nord",8,2,16,735,11,315,10,1097,
13002,"Beauséjour/Beauséjour"," 611","Grande-Digue",5,4,22,980,20,447,12,1490,
13002,"Beauséjour/Beauséjour"," 612","Lakeville",9,20,43,407,15,387,8,889,
13002,"Beauséjour/Beauséjour"," 613","Shediac",6,13,20,1297,24,506,20,1886,
13002,"Beauséjour/Beauséjour"," 614","Shediac",14,17,28,1400,45,384,7,1895,
13002,"Beauséjour/Beauséjour"," 615","Grand-Barachois",5,8,28,1011,23,333,3,1411,
13002,"Beauséjour/Beauséjour"," 616","Robichaud",3,4,18,494,12,227,1,759,
13002,"Beauséjour/Beauséjour"," 617","Cap-Pele",10,3,21,975,43,391,3,1446,
13002,"Beauséjour/Beauséjour"," 618","Cape Tormentine",4,3,17,236,12,210,1,483,
13002,"Beauséjour/Beauséjour"," 619","Sackville",5,12,35,707,26,304,0,1089,
13002,"Beauséjour/Beauséjour"," 620","Fort Folly 1",Combined with No./Résultats combinés à ceux du n°621,,,,,,,,
13002,"Beauséjour/Beauséjour"," 621","Sackville",3,4,38,584,20,236,0,885,
13002,"Beauséjour/Beauséjour"," 622","Memramcook",4,1,11,788,12,216,1,1033,
13002,"Beauséjour/Beauséjour"," 623","Memramcook",1,6,14,686,26,274,4,1011,
13002,"Beauséjour/Beauséjour"," 624","Dieppe",9,11,43,1336,35,534,10,1978,
13002,"Beauséjour/Beauséjour"," 625","Dieppe",8,5,30,1580,17,423,12,2075,
13002,"Beauséjour/Beauséjour"," 626","Dieppe",9,13,59,1657,23,499,9,2269,
13002,"Beauséjour/Beauséjour",,Group 1/Groupe 1, 18,2,38,1169,18,366,63,1674,162
13002,"Beauséjour/Beauséjour",,Group 2/Groupe 2, 17,18,42,2073,49,570,47,2816,
