Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nicolas Godin,Maria Korpijaakko,Mirabelle Leins,Bienvenu-Olivier Ntumba,Patrick Rochon,Noémie Rouillard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 66","Saint-Bruno-de-Montarville",12,1,5,82,2,51,1,154,327
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 67","Saint-Bruno-de-Montarville",25,1,2,98,0,61,1,188,320
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 68","Saint-Bruno-de-Montarville",9,3,2,70,0,52,2,138,327
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 69","Saint-Bruno-de-Montarville",27,1,4,78,0,48,1,159,319
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 70","Saint-Bruno-de-Montarville",37,1,9,156,1,73,2,279,525
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 71","Saint-Bruno-de-Montarville",24,1,2,93,0,66,1,187,381
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 72","Saint-Bruno-de-Montarville",16,6,5,83,0,62,0,172,341
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 73A","Saint-Bruno-de-Montarville",19,2,4,99,0,69,3,196,427
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 73B","Saint-Bruno-de-Montarville",8,1,2,63,0,24,0,98,128
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 74","Saint-Bruno-de-Montarville",24,0,2,107,1,54,1,189,451
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 75","Saint-Bruno-de-Montarville",13,2,4,109,1,85,4,218,528
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 76","Saint-Bruno-de-Montarville",28,4,4,105,3,56,0,200,346
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 77","Saint-Bruno-de-Montarville",18,4,3,99,5,53,2,184,333
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 78","Saint-Bruno-de-Montarville",46,8,7,155,2,72,1,291,579
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 79","Saint-Bruno-de-Montarville",35,3,3,102,1,58,1,203,445
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 80","Saint-Bruno-de-Montarville",40,4,6,120,0,52,1,223,483
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 81","Saint-Bruno-de-Montarville",34,2,2,123,1,55,1,218,443
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 82","Saint-Bruno-de-Montarville",17,3,6,97,2,45,0,170,388
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 83","Saint-Bruno-de-Montarville",23,2,4,102,1,64,1,197,336
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 84","Saint-Bruno-de-Montarville",12,1,6,67,0,55,1,142,334
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 85","Saint-Bruno-de-Montarville",21,2,7,105,1,82,0,218,424
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 86","Saint-Bruno-de-Montarville",19,4,1,97,1,78,2,202,395
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 87","Saint-Bruno-de-Montarville",29,2,2,124,1,48,0,206,429
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 88","Saint-Bruno-de-Montarville",27,4,3,106,0,62,2,204,439
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 89","Saint-Bruno-de-Montarville",16,1,2,102,0,56,3,180,374
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 90","Saint-Bruno-de-Montarville",10,7,4,98,1,76,1,197,406
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 91","Saint-Bruno-de-Montarville",20,5,3,119,4,103,0,254,448
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 92","Saint-Bruno-de-Montarville",23,2,9,69,0,63,2,168,365
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 93","Saint-Basile-le-Grand",19,2,8,76,1,79,0,185,407
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 94","Saint-Basile-le-Grand",19,5,6,42,0,60,4,136,383
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 95","Saint-Basile-le-Grand",33,4,4,77,2,83,2,205,452
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 96","Saint-Basile-le-Grand",13,2,2,50,0,41,0,108,267
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 97","Saint-Bruno-de-Montarville",25,1,4,114,2,65,1,212,407
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 98","Saint-Bruno-de-Montarville",16,3,5,148,0,61,1,234,428
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 99A","Saint-Bruno-de-Montarville",16,1,3,62,2,54,4,142,368
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 99B","Saint-Bruno-de-Montarville",Combined with No./Résultats combinés à ceux du n°403,,,,,,,,70
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 100","Saint-Bruno-de-Montarville",30,5,6,74,1,85,1,202,369
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 101","Saint-Bruno-de-Montarville",18,5,7,80,1,68,0,179,426
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 102","Saint-Bruno-de-Montarville",25,8,8,77,0,49,3,170,351
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 103","Saint-Basile-le-Grand",21,1,2,59,3,65,1,152,386
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 104","Saint-Basile-le-Grand",37,3,4,77,3,87,1,212,396
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 105","Saint-Basile-le-Grand",26,4,6,78,0,90,2,206,468
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 106","Saint-Basile-le-Grand",32,0,5,69,4,98,2,210,510
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 107","Saint-Basile-le-Grand",30,5,10,83,1,62,4,195,552
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 108","Saint-Basile-le-Grand",24,5,4,96,0,69,5,203,443
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 109","Saint-Basile-le-Grand",29,2,4,83,1,93,0,212,427
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 110","Saint-Basile-le-Grand",41,1,1,80,1,77,3,204,431
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 111","Saint-Bruno-de-Montarville",19,1,5,98,3,56,2,184,407
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 112","Saint-Bruno-de-Montarville",19,1,4,42,0,59,2,127,344
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 113","Saint-Bruno-de-Montarville",19,5,6,105,1,72,2,210,414
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 114","Saint-Bruno-de-Montarville",25,3,4,111,3,58,2,206,489
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 115","Saint-Bruno-de-Montarville",25,2,7,111,0,77,3,225,591
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 116","Saint-Bruno-de-Montarville",29,2,5,91,0,79,4,210,480
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 117","Saint-Basile-le-Grand",46,6,7,64,0,79,5,207,437
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 118","Saint-Basile-le-Grand",39,2,5,67,0,87,2,202,458
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 119","Saint-Basile-le-Grand",28,0,6,56,2,48,2,142,465
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 120","Saint-Basile-le-Grand",29,3,9,58,2,77,1,179,417
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 121","Saint-Basile-le-Grand",38,4,7,80,2,77,1,209,431
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 122","Saint-Basile-le-Grand",11,3,1,52,0,53,0,120,377
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 123","Saint-Basile-le-Grand",36,1,2,53,1,66,2,161,390
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 124","Saint-Basile-le-Grand",21,3,5,57,1,77,1,165,413
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 125","Saint-Basile-le-Grand",28,4,5,79,1,78,2,197,437
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 126","Saint-Basile-le-Grand",31,4,4,59,2,66,0,166,413
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 127","Saint-Basile-le-Grand",29,3,4,55,0,54,1,146,367
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 128","Saint-Bruno-de-Montarville",18,3,4,92,1,40,3,161,385
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 129","Saint-Bruno-de-Montarville",17,4,2,80,0,49,4,156,339
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 130","Saint-Bruno-de-Montarville",36,2,6,104,1,71,0,220,439
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 131","Saint-Bruno-de-Montarville",25,7,3,98,0,47,0,180,465
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 132","Saint-Bruno-de-Montarville",24,4,2,89,2,52,0,173,381
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 133","Saint-Bruno-de-Montarville",13,3,1,131,3,55,2,208,396
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 134","Saint-Bruno-de-Montarville",16,3,1,96,0,50,3,169,365
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 135","Saint-Bruno-de-Montarville",35,1,7,91,5,54,4,197,446
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 136","Carignan",31,0,0,95,0,37,0,163,425
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 137","Carignan",33,1,1,93,1,40,1,170,363
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 138","Carignan",74,6,6,78,1,86,2,253,544
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 139","Carignan",49,5,8,59,2,93,2,218,430
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 140","Longueuil",30,1,5,121,4,109,1,271,471
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 141","Longueuil",59,6,15,103,3,55,5,246,519
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 142","Longueuil",31,4,9,85,0,83,4,216,472
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 143","Longueuil",27,4,6,70,1,56,4,168,422
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 144","Longueuil",28,4,1,98,2,60,6,199,551
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 145","Longueuil",18,2,7,51,0,42,5,125,323
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 146","Longueuil",19,4,6,68,2,56,6,161,399
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 147","Longueuil",20,1,5,43,1,53,1,124,339
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 148","Longueuil",32,3,3,86,1,53,5,183,483
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 149","Longueuil",26,2,1,53,0,34,0,116,332
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 150","Longueuil",29,5,9,65,1,55,3,167,345
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 151","Longueuil",35,1,6,100,0,60,5,207,439
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 152","Longueuil",55,0,6,112,1,43,0,217,483
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 153","Longueuil",26,3,8,68,1,66,1,173,359
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 154","Longueuil",49,1,14,113,1,73,2,253,569
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 155","Longueuil",25,0,7,67,1,65,1,166,356
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 156","Longueuil",38,0,12,80,3,62,6,201,437
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 157","Longueuil",19,4,6,48,1,61,1,140,353
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 158","Longueuil",32,2,7,71,0,38,3,153,366
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 159","Longueuil",37,4,9,70,0,34,1,155,334
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 160","Longueuil",36,5,2,79,1,31,2,156,370
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 161","Longueuil",52,7,4,88,2,51,0,204,488
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 162","Longueuil",30,3,7,68,0,39,0,147,396
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 163","Longueuil",29,1,2,94,1,53,0,180,392
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 164","Carignan",47,3,7,51,0,65,2,175,418
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 165","Carignan",55,1,3,70,2,86,3,220,545
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 166","Carignan",43,2,3,72,1,44,1,166,487
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 167","Longueuil",17,3,3,36,0,50,3,112,421
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 168","Longueuil",34,5,6,65,1,53,0,164,384
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 169","Longueuil",50,2,3,88,0,65,4,212,486
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 170","Longueuil",36,2,5,60,3,51,0,157,350
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 171","Longueuil",45,0,1,53,2,46,3,150,458
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 172","Longueuil",31,1,9,49,3,37,2,132,311
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 173","Longueuil",21,3,3,85,0,47,1,160,420
24049,"Mont-Saint-Bruno--L'Acadie/Mont-Saint-Bruno--L'Acadie"," 174","Longueuil",29,1,8,76,1,45,0,160,434
