Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rob Batherson,Lena Metlege Diab,Adam LeRue,Ron G. Parker,Rae Tench,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Halifax West/Halifax-Ouest"," 50","Halifax",31,55,3,1,20,1,111,372
12007,"Halifax West/Halifax-Ouest"," 51","Halifax",33,49,2,1,16,0,101,195
12007,"Halifax West/Halifax-Ouest"," 52","Halifax",42,53,3,1,33,2,134,579
12007,"Halifax West/Halifax-Ouest"," 53","Halifax",38,86,2,4,19,2,151,460
12007,"Halifax West/Halifax-Ouest"," 54","Halifax",33,89,1,2,30,0,155,623
12007,"Halifax West/Halifax-Ouest"," 55","Halifax",29,89,1,2,19,0,140,444
12007,"Halifax West/Halifax-Ouest"," 56","Halifax",59,100,2,3,15,0,179,449
12007,"Halifax West/Halifax-Ouest"," 57","Halifax",34,81,3,1,10,0,129,362
12007,"Halifax West/Halifax-Ouest"," 58","Halifax",56,67,1,0,5,0,129,437
12007,"Halifax West/Halifax-Ouest"," 59","Halifax",20,85,1,2,7,0,115,448
12007,"Halifax West/Halifax-Ouest"," 60","Halifax",48,86,0,3,8,0,145,444
12007,"Halifax West/Halifax-Ouest"," 61","Halifax",40,85,0,3,13,0,141,397
12007,"Halifax West/Halifax-Ouest"," 62","Halifax",34,62,1,4,5,0,106,294
12007,"Halifax West/Halifax-Ouest"," 63","Halifax",49,76,1,1,11,0,138,509
12007,"Halifax West/Halifax-Ouest"," 64","Halifax",25,42,0,0,7,0,74,289
12007,"Halifax West/Halifax-Ouest"," 65","Halifax",40,100,1,4,25,5,175,491
12007,"Halifax West/Halifax-Ouest"," 66","Halifax",31,66,3,0,20,0,120,495
12007,"Halifax West/Halifax-Ouest"," 67","Halifax",27,69,0,0,3,0,99,424
12007,"Halifax West/Halifax-Ouest"," 68","Halifax",32,80,2,0,14,4,132,397
12007,"Halifax West/Halifax-Ouest"," 69","Halifax",30,115,0,2,7,0,154,430
12007,"Halifax West/Halifax-Ouest"," 70","Halifax",28,91,1,6,13,0,139,415
12007,"Halifax West/Halifax-Ouest"," 71","Halifax",28,54,3,4,9,0,98,334
12007,"Halifax West/Halifax-Ouest"," 72","Halifax",34,58,1,2,16,0,111,411
12007,"Halifax West/Halifax-Ouest"," 73","Halifax",35,48,1,2,14,0,100,344
12007,"Halifax West/Halifax-Ouest"," 74","Halifax",30,75,2,1,13,1,122,314
12007,"Halifax West/Halifax-Ouest"," 75","Halifax",22,63,1,0,11,0,97,320
12007,"Halifax West/Halifax-Ouest"," 76A","Halifax",33,80,0,2,10,0,125,310
12007,"Halifax West/Halifax-Ouest"," 76B","Halifax",31,58,1,2,9,0,101,335
12007,"Halifax West/Halifax-Ouest"," 77","Halifax",38,104,21,4,7,0,174,487
12007,"Halifax West/Halifax-Ouest"," 78","Halifax",30,51,0,4,15,0,100,320
12007,"Halifax West/Halifax-Ouest"," 79","Halifax",41,82,1,5,17,0,146,387
12007,"Halifax West/Halifax-Ouest"," 80","Halifax",31,50,2,6,12,2,103,381
12007,"Halifax West/Halifax-Ouest"," 81","Halifax",46,90,8,6,27,1,178,376
12007,"Halifax West/Halifax-Ouest"," 82","Halifax",38,63,2,0,16,0,119,371
12007,"Halifax West/Halifax-Ouest"," 83","Halifax",50,88,0,2,4,1,145,481
12007,"Halifax West/Halifax-Ouest"," 84","Halifax",28,54,2,0,7,0,91,391
12007,"Halifax West/Halifax-Ouest"," 85","Halifax",22,41,0,1,6,0,70,393
12007,"Halifax West/Halifax-Ouest"," 86","Halifax",40,64,3,1,12,1,121,451
12007,"Halifax West/Halifax-Ouest"," 87","Halifax",31,74,4,9,0,0,118,457
12007,"Halifax West/Halifax-Ouest"," 88","Halifax",59,97,0,3,14,1,174,552
12007,"Halifax West/Halifax-Ouest"," 89","Halifax",19,72,2,1,1,2,97,291
12007,"Halifax West/Halifax-Ouest"," 90","Halifax",32,110,2,1,30,1,176,447
12007,"Halifax West/Halifax-Ouest"," 91","Halifax",25,49,0,1,6,1,82,352
12007,"Halifax West/Halifax-Ouest"," 92","Halifax",14,59,0,1,5,0,79,341
12007,"Halifax West/Halifax-Ouest"," 93","Halifax",31,115,1,0,3,3,153,289
12007,"Halifax West/Halifax-Ouest"," 94","Halifax",29,56,1,0,7,0,93,336
12007,"Halifax West/Halifax-Ouest"," 95","Halifax",23,64,0,0,7,0,94,365
12007,"Halifax West/Halifax-Ouest"," 96","Halifax",12,62,1,1,8,0,84,419
12007,"Halifax West/Halifax-Ouest"," 97","Halifax",15,61,0,0,8,0,84,264
12007,"Halifax West/Halifax-Ouest"," 98","Halifax",44,104,0,2,15,1,166,462
12007,"Halifax West/Halifax-Ouest"," 99","Halifax",57,118,3,5,29,1,213,551
12007,"Halifax West/Halifax-Ouest"," 100","Halifax",39,87,1,3,3,2,135,461
12007,"Halifax West/Halifax-Ouest"," 101","Halifax",11,31,0,0,7,0,49,223
12007,"Halifax West/Halifax-Ouest"," 102","Halifax",43,89,6,3,8,3,152,412
12007,"Halifax West/Halifax-Ouest"," 103","Halifax",22,49,0,0,6,3,80,297
12007,"Halifax West/Halifax-Ouest"," 104A","Halifax",23,62,2,0,3,0,90,311
12007,"Halifax West/Halifax-Ouest"," 104B","Halifax",26,55,0,0,6,0,87,317
12007,"Halifax West/Halifax-Ouest"," 105","Halifax",82,141,0,1,6,0,230,572
12007,"Halifax West/Halifax-Ouest"," 106","Halifax",28,83,0,2,17,1,131,449
12007,"Halifax West/Halifax-Ouest"," 107","Halifax",71,176,3,2,19,5,276,611
12007,"Halifax West/Halifax-Ouest"," 108","Halifax",27,74,1,2,7,3,114,394
12007,"Halifax West/Halifax-Ouest"," 109","Halifax",8,46,2,0,3,1,60,168
12007,"Halifax West/Halifax-Ouest"," 110","Halifax",78,241,1,4,9,2,335,591
12007,"Halifax West/Halifax-Ouest"," 111","Halifax",31,65,0,0,0,0,96,362
12007,"Halifax West/Halifax-Ouest"," 112","Halifax",23,69,1,0,12,0,105,438
12007,"Halifax West/Halifax-Ouest"," 113","Halifax",36,66,1,2,3,1,109,393
12007,"Halifax West/Halifax-Ouest"," 114","Halifax",14,64,1,0,3,0,82,283
12007,"Halifax West/Halifax-Ouest"," 115","Halifax",47,63,0,2,5,0,117,444
12007,"Halifax West/Halifax-Ouest"," 116","Halifax",37,68,0,1,11,0,117,470
12007,"Halifax West/Halifax-Ouest"," 117A","Halifax",37,61,0,1,7,0,106,314
12007,"Halifax West/Halifax-Ouest"," 117B","Halifax",42,68,1,1,9,0,121,317
12007,"Halifax West/Halifax-Ouest"," 118","Halifax",38,87,1,1,16,1,144,415
12007,"Halifax West/Halifax-Ouest"," 119","Halifax",56,115,1,1,10,1,184,562
12007,"Halifax West/Halifax-Ouest"," 120","Halifax",49,56,3,2,10,0,120,366
12007,"Halifax West/Halifax-Ouest"," 121","Halifax",57,78,3,5,14,2,159,505
12007,"Halifax West/Halifax-Ouest"," 122","Halifax",33,81,1,1,9,0,125,426
12007,"Halifax West/Halifax-Ouest"," 123","Halifax",41,50,4,1,10,1,107,415
12007,"Halifax West/Halifax-Ouest"," 124","Halifax",31,90,4,1,9,0,135,449
12007,"Halifax West/Halifax-Ouest"," 125","Halifax",41,90,1,2,7,0,141,466
12007,"Halifax West/Halifax-Ouest"," 126","Halifax",53,98,0,1,7,1,160,513
12007,"Halifax West/Halifax-Ouest"," 127","Halifax",52,92,1,1,4,0,150,436
12007,"Halifax West/Halifax-Ouest"," 128","Halifax",31,84,0,0,8,1,124,383
12007,"Halifax West/Halifax-Ouest"," 129","Halifax",23,56,0,2,5,0,86,368
12007,"Halifax West/Halifax-Ouest"," 130","Halifax",33,60,4,3,6,0,106,444
12007,"Halifax West/Halifax-Ouest"," 131","Halifax",67,130,3,3,7,0,210,619
12007,"Halifax West/Halifax-Ouest"," 132","Halifax",61,99,1,0,8,0,169,575
12007,"Halifax West/Halifax-Ouest"," 133","Halifax",38,80,1,0,10,0,129,466
12007,"Halifax West/Halifax-Ouest"," 134","Halifax",34,57,1,1,10,1,104,402
12007,"Halifax West/Halifax-Ouest"," 135","Upper Tantallon",28,42,1,3,5,0,79,399
12007,"Halifax West/Halifax-Ouest"," 136","Whynachts Point",39,103,1,2,5,0,150,411
12007,"Halifax West/Halifax-Ouest"," 137","Yankeetown",Combined with No./Résultats combinés à ceux du n°138,,,,,,,10
12007,"Halifax West/Halifax-Ouest"," 138","Yankeetown",35,50,1,3,5,1,95,311
12007,"Halifax West/Halifax-Ouest"," 139","Yankeetown",75,91,2,4,9,0,181,464
12007,"Halifax West/Halifax-Ouest"," 140","Halifax",46,74,0,1,6,1,128,362
12007,"Halifax West/Halifax-Ouest"," 141","Yankeetown",63,86,1,1,5,0,156,398
12007,"Halifax West/Halifax-Ouest"," 142","Stillwater Lake",59,129,1,1,11,1,202,494
12007,"Halifax West/Halifax-Ouest"," 143","Halifax",43,67,1,2,8,0,121,422
12007,"Halifax West/Halifax-Ouest"," 144","Stillwater Lake",82,136,0,1,5,0,224,558
12007,"Halifax West/Halifax-Ouest"," 145","Halifax",27,125,1,3,10,0,166,417
12007,"Halifax West/Halifax-Ouest"," 146","Halifax",75,120,1,0,8,1,205,455
12007,"Halifax West/Halifax-Ouest"," 147","Hubley",61,71,0,1,5,0,138,459
12007,"Halifax West/Halifax-Ouest"," 148","Upper Tantallon",52,81,0,2,5,0,140,399
12007,"Halifax West/Halifax-Ouest"," 149","Five Island Lake",27,52,0,1,7,1,88,307
12007,"Halifax West/Halifax-Ouest"," 150","Lake of the Woods",30,63,0,0,1,1,95,308
12007,"Halifax West/Halifax-Ouest"," 151","Hubley",72,84,0,1,19,0,176,531
12007,"Halifax West/Halifax-Ouest"," 152","Hubley",35,64,2,3,8,0,112,393
12007,"Halifax West/Halifax-Ouest"," 153","Hubley",22,44,4,1,6,2,79,268
12007,"Halifax West/Halifax-Ouest"," 154","Goodwood",57,46,0,5,8,0,116,373
12007,"Halifax West/Halifax-Ouest"," 155","Hatchet Lake",44,66,2,1,13,1,127,443
12007,"Halifax West/Halifax-Ouest"," 156","Halifax",41,74,2,3,6,1,127,398
12007,"Halifax West/Halifax-Ouest"," 157","Halifax",61,78,0,2,9,2,152,457
12007,"Halifax West/Halifax-Ouest"," 158","Whites Lake",53,74,2,0,8,0,137,389
12007,"Halifax West/Halifax-Ouest"," 159","Brookside",93,126,3,3,13,1,239,608
12007,"Halifax West/Halifax-Ouest"," 160","Brookside--Whites Lake",70,80,0,2,11,2,165,440
12007,"Halifax West/Halifax-Ouest"," 161","Tantallon",44,82,3,4,4,0,137,335
12007,"Halifax West/Halifax-Ouest"," 162","Glen Haven",70,94,1,1,10,0,176,439
12007,"Halifax West/Halifax-Ouest"," 163","Glen Haven",33,80,0,0,8,0,121,376
12007,"Halifax West/Halifax-Ouest"," 164","Seabright",45,75,0,2,9,0,131,364
12007,"Halifax West/Halifax-Ouest"," 165","Seabright--French Village",51,61,1,1,10,0,124,310
12007,"Halifax West/Halifax-Ouest"," 166","Hacketts Cove",39,54,1,0,5,1,100,288
12007,"Halifax West/Halifax-Ouest"," 167","Glen Margaret",54,64,0,2,6,1,127,379
12007,"Halifax West/Halifax-Ouest"," 168","Indian Harbour--Peggys Cove",27,30,0,1,2,1,61,249
