Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nesrine Benhadj,Martine Boucher,Natilien Joseph,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 63","Longueuil",6,29,72,72,1,180,398
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 64","Longueuil",13,24,100,84,0,221,491
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 65","Longueuil",18,23,55,66,5,167,433
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 66","Longueuil",18,34,79,65,3,199,405
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 67","Longueuil",10,26,93,73,3,205,442
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 68","Longueuil",11,18,73,48,9,159,455
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 69","Longueuil",13,30,91,80,5,219,465
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 70","Longueuil",17,32,55,68,0,172,421
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 71","Longueuil",13,71,110,78,3,275,601
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 72","Longueuil",14,64,39,68,4,189,422
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 73","Longueuil",19,58,117,80,0,274,611
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 74A","Longueuil",11,24,78,52,0,165,446
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 74B","Longueuil",9,21,68,51,2,151,410
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 75A","Longueuil",5,41,76,78,4,204,398
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 75B","Longueuil",2,30,76,78,4,190,366
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 76","Longueuil",4,51,49,35,0,139,392
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 77","Longueuil",20,88,131,80,0,319,678
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 78","Longueuil",12,46,65,83,2,208,624
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 79A","Longueuil",12,29,91,86,5,223,525
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 79B","Longueuil",Combined with No./Résultats combinés à ceux du n°504,,,,,,332
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 79C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,16
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 80","Longueuil",18,33,54,36,6,147,366
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 81","Longueuil",19,44,44,65,4,176,384
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 82","Longueuil",15,26,57,30,7,135,366
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 83","Longueuil",14,19,36,30,2,101,344
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 84","Longueuil",7,25,43,52,5,132,432
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 85","Longueuil",13,17,61,53,4,148,462
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 86","Longueuil",8,38,73,47,5,171,543
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 87","Longueuil",10,25,69,55,5,164,413
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 88","Longueuil",10,16,78,72,2,178,409
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 89","Longueuil",7,16,25,29,7,84,308
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 90","Longueuil",13,43,86,86,4,232,509
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 91","Longueuil",15,22,29,27,2,95,402
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 92","Longueuil",11,27,55,67,3,163,411
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 93","Longueuil",17,30,84,79,5,215,609
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 94","Longueuil",11,37,46,50,1,145,497
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 95","Longueuil",17,28,54,68,4,171,473
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 96","Longueuil",20,21,42,63,4,150,469
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 97","Longueuil",18,9,63,72,9,171,435
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 98","Longueuil",4,8,20,35,1,68,315
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 99","Longueuil",4,21,51,65,2,143,370
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 100","Longueuil",8,14,47,71,1,141,404
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 101","Longueuil",16,15,50,86,1,168,361
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 102","Longueuil",8,11,37,54,2,112,318
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 103","Longueuil",6,13,49,59,7,134,430
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 104","Longueuil",12,18,40,55,0,125,375
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 105","Longueuil",12,12,45,94,2,165,373
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 106","Longueuil",16,23,68,40,4,151,454
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 107","Longueuil",3,21,33,31,1,89,320
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 108","Longueuil",14,25,63,64,2,168,459
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 109","Longueuil",6,23,47,50,4,130,411
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 110","Longueuil",13,15,49,85,4,166,401
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 111","Longueuil",12,44,56,64,0,176,472
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 112","Longueuil",22,23,51,66,2,164,456
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 113","Longueuil",6,10,36,87,1,140,325
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 114","Longueuil",13,19,40,54,7,133,377
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 115","Longueuil",15,33,46,63,4,161,511
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 116","Longueuil",4,13,35,38,3,93,430
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 117","Longueuil",12,20,46,36,3,117,364
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 118","Longueuil",5,34,51,40,2,132,426
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 119","Longueuil",8,26,38,45,3,120,366
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 120","Longueuil",6,18,55,28,4,111,399
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 121","Longueuil",9,16,29,28,0,82,329
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 122","Longueuil",17,29,90,50,0,186,447
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 123","Longueuil",5,14,40,33,1,93,268
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 124","Longueuil",3,22,28,26,2,81,375
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 125","Longueuil",15,37,48,28,2,130,362
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 126","Longueuil",11,14,61,49,1,136,369
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 127","Longueuil",9,24,58,36,6,133,395
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 128","Longueuil",11,16,80,63,2,172,467
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 129","Longueuil",3,21,56,65,2,147,414
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 130","Longueuil",8,34,95,85,4,226,501
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 131","Longueuil",11,38,69,69,3,190,517
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 132","Longueuil",8,31,68,38,4,149,562
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 133","Longueuil",13,25,59,67,5,169,372
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 134","Longueuil",5,26,43,77,1,152,355
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 135","Longueuil",12,19,31,37,3,102,340
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 136","Longueuil",11,29,56,59,0,155,414
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 137","Longueuil",2,30,65,44,1,142,415
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 138A","Longueuil",6,12,75,51,4,148,365
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 138B","Longueuil",8,15,51,47,3,124,311
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 139","Longueuil",11,44,62,52,6,175,497
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 140","Longueuil",11,40,59,60,3,173,492
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 141","Longueuil",10,11,69,66,1,157,436
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 142","Longueuil",8,15,57,51,7,138,542
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 143","Longueuil",11,10,100,87,2,210,516
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 144","Longueuil",7,7,39,58,3,114,356
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 145","Longueuil",10,10,65,86,4,175,321
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 146","Longueuil",14,34,43,67,1,159,477
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 147","Longueuil",20,25,71,121,6,243,485
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 148","Longueuil",13,16,71,111,7,218,522
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 149","Longueuil",9,28,81,61,1,180,593
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 150","Longueuil",6,37,58,44,2,147,484
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 151","Longueuil",8,18,71,50,3,150,400
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 152","Longueuil",18,29,83,105,11,246,501
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 153","Longueuil",8,27,54,72,5,166,421
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 154","Longueuil",14,45,62,58,2,181,516
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 155","Longueuil",11,26,41,50,5,133,386
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 156","Longueuil",6,23,38,57,7,131,376
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 157","Longueuil",6,24,61,66,3,160,438
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 158","Longueuil",8,22,49,50,5,134,370
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 159","Longueuil",4,49,63,85,6,207,499
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 160","Longueuil",12,24,57,45,1,139,380
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 161","Longueuil",8,44,71,92,3,218,525
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 162","Longueuil",10,31,66,63,7,177,374
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 163","Longueuil",10,39,75,119,2,245,605
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 164","Longueuil",10,31,87,62,1,191,530
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 165","Longueuil",8,43,98,55,1,205,513
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 166","Longueuil",4,49,71,53,2,179,450
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 167","Longueuil",16,36,83,73,2,210,484
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 168","Longueuil",9,46,59,50,2,166,476
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 169A","Longueuil",7,18,26,61,3,115,329
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 169B","Longueuil",8,30,38,77,2,155,371
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 170","Longueuil",10,44,87,82,1,224,518
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 171","Longueuil",11,32,52,43,3,141,406
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 172","Longueuil",8,41,43,61,6,159,412
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 173","Longueuil",3,34,71,59,3,170,414
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 174","Longueuil",12,30,77,63,8,190,456
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 175","Longueuil",5,24,61,72,4,166,391
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 176","Longueuil",15,37,66,68,6,192,461
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 177","Longueuil",11,31,72,61,2,177,450
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 178","Longueuil",11,41,52,70,3,177,443
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 179","Longueuil",13,27,59,58,3,160,424
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 180","Longueuil",5,29,58,39,3,134,392
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 181","Longueuil",9,23,74,68,3,177,396
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 182","Longueuil",14,42,63,76,1,196,517
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 183","Longueuil",9,62,102,65,8,246,494
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 184","Longueuil",9,35,61,67,8,180,382
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 185","Longueuil",9,29,51,68,3,160,364
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 186","Longueuil",7,29,62,71,1,170,499
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 187","Longueuil",10,40,65,68,5,188,472
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 188","Longueuil",9,22,50,82,3,166,376
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 189","Longueuil",8,46,69,74,4,201,491
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 190","Longueuil",9,49,81,61,2,202,485
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 400","Longueuil",5,15,91,87,12,210,295
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 500","Mobile poll/Bureau itinérant",0,5,13,10,3,31,109
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,23
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 502","Mobile poll/Bureau itinérant",2,19,61,52,6,140,173
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,154
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 504","Longueuil",6,12,129,137,14,298,106
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 505","Longueuil",5,18,203,146,13,385,464
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 506","Mobile poll/Bureau itinérant",0,2,11,5,2,20,98
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,49
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 508","Mobile poll/Bureau itinérant",0,9,15,10,0,34,88
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,93
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 510","Mobile poll/Bureau itinérant",7,12,104,50,17,190,189
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 511","Mobile poll/Bureau itinérant",3,4,9,6,1,23,91
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,19
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 513","Mobile poll/Bureau itinérant",2,1,18,17,2,40,43
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 514","Mobile poll/Bureau itinérant",7,18,32,28,4,89,5
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,5
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,29
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 517","Mobile poll/Bureau itinérant",6,20,163,113,19,321,380
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 600","Longueuil",28,149,496,521,14,1208,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 601","Longueuil",16,68,594,332,11,1021,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 602","Longueuil",33,165,565,484,27,1274,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 603","Longueuil",24,76,291,339,9,739,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 604","Longueuil",17,65,280,223,7,592,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 605","Longueuil",43,113,614,581,8,1359,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 606","Longueuil",34,56,314,312,18,734,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 607","Longueuil",44,120,602,494,5,1265,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 608","Longueuil",64,91,476,595,15,1241,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 609","Longueuil",70,105,549,593,21,1338,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 610","Longueuil",57,86,350,505,17,1015,
24042,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 611","Longueuil",43,125,351,352,20,891,
