Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dennis Bayomi,Doug Eyolfson,Marty Morantz,Avery Selby-Lyons,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg West/Winnipeg-Ouest"," 41","Winnipeg",2,144,56,10,1,213,330
46014,"Winnipeg West/Winnipeg-Ouest"," 42","Winnipeg",1,114,82,7,1,205,559
46014,"Winnipeg West/Winnipeg-Ouest"," 43","Winnipeg",1,74,56,4,0,135,374
46014,"Winnipeg West/Winnipeg-Ouest"," 44","Winnipeg",0,95,61,10,2,168,541
46014,"Winnipeg West/Winnipeg-Ouest"," 45","Winnipeg",3,31,31,5,2,72,327
46014,"Winnipeg West/Winnipeg-Ouest"," 46","Winnipeg",2,96,77,11,1,187,542
46014,"Winnipeg West/Winnipeg-Ouest"," 47","Winnipeg",1,77,59,10,3,150,434
46014,"Winnipeg West/Winnipeg-Ouest"," 48","Winnipeg",3,85,68,12,0,168,490
46014,"Winnipeg West/Winnipeg-Ouest"," 49","Winnipeg",1,113,94,9,2,219,571
46014,"Winnipeg West/Winnipeg-Ouest"," 50","Winnipeg",2,99,64,19,0,184,509
46014,"Winnipeg West/Winnipeg-Ouest"," 51","Winnipeg",1,96,73,9,0,179,484
46014,"Winnipeg West/Winnipeg-Ouest"," 52","Winnipeg",1,104,77,13,0,195,551
46014,"Winnipeg West/Winnipeg-Ouest"," 53","Winnipeg",2,91,87,11,3,194,549
46014,"Winnipeg West/Winnipeg-Ouest"," 54","Winnipeg",6,85,71,14,2,178,456
46014,"Winnipeg West/Winnipeg-Ouest"," 55","Winnipeg",2,107,77,12,10,208,531
46014,"Winnipeg West/Winnipeg-Ouest"," 56","Winnipeg",2,72,86,6,0,166,440
46014,"Winnipeg West/Winnipeg-Ouest"," 57","Winnipeg",2,64,59,23,0,148,412
46014,"Winnipeg West/Winnipeg-Ouest"," 58","Winnipeg",2,57,69,24,3,155,483
46014,"Winnipeg West/Winnipeg-Ouest"," 59","Winnipeg",5,112,92,13,0,222,547
46014,"Winnipeg West/Winnipeg-Ouest"," 60","Winnipeg",1,96,65,4,0,166,501
46014,"Winnipeg West/Winnipeg-Ouest"," 61","Winnipeg",0,109,75,18,2,204,543
46014,"Winnipeg West/Winnipeg-Ouest"," 62","Winnipeg",1,82,45,12,2,142,416
46014,"Winnipeg West/Winnipeg-Ouest"," 63","Winnipeg",0,25,13,3,0,41,161
46014,"Winnipeg West/Winnipeg-Ouest"," 64","Winnipeg",4,52,68,6,2,132,560
46014,"Winnipeg West/Winnipeg-Ouest"," 65","Winnipeg",2,77,66,9,0,154,557
46014,"Winnipeg West/Winnipeg-Ouest"," 66","Winnipeg",3,75,48,3,0,129,555
46014,"Winnipeg West/Winnipeg-Ouest"," 67","Winnipeg",2,146,52,13,1,214,443
46014,"Winnipeg West/Winnipeg-Ouest"," 68","Headingley",0,18,60,2,0,80,276
46014,"Winnipeg West/Winnipeg-Ouest"," 69","Headingley",4,41,72,3,0,120,416
46014,"Winnipeg West/Winnipeg-Ouest"," 70","Headingley--Swan Lake First Nation 8A",2,91,156,15,1,265,670
46014,"Winnipeg West/Winnipeg-Ouest"," 71","Headingley--Swan Lake First Nation 8A",4,48,90,1,0,143,360
46014,"Winnipeg West/Winnipeg-Ouest"," 72","Headingley",0,50,62,2,0,114,310
46014,"Winnipeg West/Winnipeg-Ouest"," 73","Headingley",2,88,87,5,1,183,424
46014,"Winnipeg West/Winnipeg-Ouest"," 74","Headingley",0,39,67,2,0,108,326
46014,"Winnipeg West/Winnipeg-Ouest"," 75","Headingley",0,61,115,7,1,184,450
46014,"Winnipeg West/Winnipeg-Ouest"," 76","Winnipeg",1,83,62,10,3,159,438
46014,"Winnipeg West/Winnipeg-Ouest"," 77","Winnipeg",4,90,65,8,1,168,571
46014,"Winnipeg West/Winnipeg-Ouest"," 78","Winnipeg",5,105,79,17,2,208,510
46014,"Winnipeg West/Winnipeg-Ouest"," 79","Winnipeg",0,70,43,9,1,123,239
46014,"Winnipeg West/Winnipeg-Ouest"," 80","Winnipeg",2,80,46,4,1,133,414
46014,"Winnipeg West/Winnipeg-Ouest"," 81","Winnipeg",0,43,41,3,0,87,360
46014,"Winnipeg West/Winnipeg-Ouest"," 82","Winnipeg",1,61,33,5,0,100,369
46014,"Winnipeg West/Winnipeg-Ouest"," 83","Winnipeg",1,88,67,9,0,165,378
46014,"Winnipeg West/Winnipeg-Ouest"," 84","Winnipeg",0,107,83,10,1,201,517
46014,"Winnipeg West/Winnipeg-Ouest"," 85","Winnipeg",2,95,112,16,0,225,544
46014,"Winnipeg West/Winnipeg-Ouest"," 86","Winnipeg",0,127,99,13,0,239,525
46014,"Winnipeg West/Winnipeg-Ouest"," 87","Winnipeg",4,102,53,9,1,169,450
46014,"Winnipeg West/Winnipeg-Ouest"," 88","Winnipeg",1,110,101,7,1,220,538
46014,"Winnipeg West/Winnipeg-Ouest"," 89","Winnipeg",0,60,67,7,0,134,403
46014,"Winnipeg West/Winnipeg-Ouest"," 90","Winnipeg",3,87,81,3,2,176,463
46014,"Winnipeg West/Winnipeg-Ouest"," 91","Winnipeg",1,66,85,2,1,155,464
46014,"Winnipeg West/Winnipeg-Ouest"," 92","Winnipeg",1,44,49,10,2,106,381
46014,"Winnipeg West/Winnipeg-Ouest"," 93","Winnipeg",1,57,56,1,1,116,355
46014,"Winnipeg West/Winnipeg-Ouest"," 94","Winnipeg",1,90,74,6,0,171,497
46014,"Winnipeg West/Winnipeg-Ouest"," 95","Winnipeg",0,75,86,2,0,163,494
46014,"Winnipeg West/Winnipeg-Ouest"," 96","Winnipeg",6,87,74,4,0,171,506
46014,"Winnipeg West/Winnipeg-Ouest"," 97","Winnipeg",0,78,63,0,1,142,462
46014,"Winnipeg West/Winnipeg-Ouest"," 98","Winnipeg",2,92,66,6,4,170,639
46014,"Winnipeg West/Winnipeg-Ouest"," 99","Winnipeg",1,29,57,2,0,89,334
46014,"Winnipeg West/Winnipeg-Ouest"," 100","Winnipeg",3,37,28,14,0,82,258
46014,"Winnipeg West/Winnipeg-Ouest"," 101","Winnipeg",0,54,45,1,0,100,440
46014,"Winnipeg West/Winnipeg-Ouest"," 102","Winnipeg",1,42,38,17,1,99,492
46014,"Winnipeg West/Winnipeg-Ouest"," 103","Winnipeg",4,46,55,16,1,122,414
46014,"Winnipeg West/Winnipeg-Ouest"," 104","Winnipeg",1,70,53,4,1,129,404
46014,"Winnipeg West/Winnipeg-Ouest"," 105","Winnipeg",3,77,73,19,0,172,475
46014,"Winnipeg West/Winnipeg-Ouest"," 106","Winnipeg",1,89,67,13,2,172,512
46014,"Winnipeg West/Winnipeg-Ouest"," 107","Winnipeg",1,107,79,8,0,195,508
46014,"Winnipeg West/Winnipeg-Ouest"," 108","Winnipeg",1,87,86,8,0,182,485
46014,"Winnipeg West/Winnipeg-Ouest"," 109","Winnipeg",2,88,74,8,0,172,435
46014,"Winnipeg West/Winnipeg-Ouest"," 110","Winnipeg",3,116,100,12,1,232,558
46014,"Winnipeg West/Winnipeg-Ouest"," 111","Winnipeg",3,102,85,2,1,193,504
46014,"Winnipeg West/Winnipeg-Ouest"," 112","Winnipeg",0,103,93,7,0,203,504
46014,"Winnipeg West/Winnipeg-Ouest"," 113","Winnipeg",1,81,63,6,1,152,476
46014,"Winnipeg West/Winnipeg-Ouest"," 114","Winnipeg",0,76,66,2,2,146,325
46014,"Winnipeg West/Winnipeg-Ouest"," 115","Winnipeg",1,86,61,2,0,150,422
46014,"Winnipeg West/Winnipeg-Ouest"," 116","Winnipeg",0,34,47,4,0,85,325
46014,"Winnipeg West/Winnipeg-Ouest"," 117","Winnipeg",1,32,31,5,1,70,337
46014,"Winnipeg West/Winnipeg-Ouest"," 118","Winnipeg",0,29,21,2,1,53,176
46014,"Winnipeg West/Winnipeg-Ouest"," 119","Winnipeg",2,128,90,6,3,229,590
46014,"Winnipeg West/Winnipeg-Ouest"," 120","Winnipeg",2,94,72,9,2,179,566
46014,"Winnipeg West/Winnipeg-Ouest"," 121","Winnipeg",0,58,61,10,1,130,388
46014,"Winnipeg West/Winnipeg-Ouest"," 122","Winnipeg",0,39,51,2,0,92,343
46014,"Winnipeg West/Winnipeg-Ouest"," 123","Winnipeg",0,58,70,2,1,131,441
46014,"Winnipeg West/Winnipeg-Ouest"," 124","Headingley",1,56,87,1,1,146,366
46014,"Winnipeg West/Winnipeg-Ouest"," 125","Winnipeg",1,75,93,8,0,177,445
46014,"Winnipeg West/Winnipeg-Ouest"," 126","Winnipeg",2,68,75,2,1,148,404
46014,"Winnipeg West/Winnipeg-Ouest"," 127","Winnipeg",0,86,128,6,1,221,531
46014,"Winnipeg West/Winnipeg-Ouest"," 128","Winnipeg",0,98,105,6,0,209,508
46014,"Winnipeg West/Winnipeg-Ouest"," 129","Winnipeg",2,63,83,9,3,160,408
46014,"Winnipeg West/Winnipeg-Ouest"," 130","Winnipeg",0,60,61,5,0,126,369
46014,"Winnipeg West/Winnipeg-Ouest"," 131","Winnipeg",2,120,106,9,1,238,591
46014,"Winnipeg West/Winnipeg-Ouest"," 132","Winnipeg",1,109,78,6,0,194,469
46014,"Winnipeg West/Winnipeg-Ouest"," 133","Winnipeg",4,84,70,5,1,164,504
46014,"Winnipeg West/Winnipeg-Ouest"," 134","Winnipeg",0,89,70,5,0,164,502
46014,"Winnipeg West/Winnipeg-Ouest"," 135","Winnipeg",0,106,104,6,0,216,604
46014,"Winnipeg West/Winnipeg-Ouest"," 136","Winnipeg",0,73,62,3,0,138,323
46014,"Winnipeg West/Winnipeg-Ouest"," 137","Winnipeg",2,47,61,0,0,110,353
46014,"Winnipeg West/Winnipeg-Ouest"," 138","Winnipeg",2,42,60,0,0,104,426
46014,"Winnipeg West/Winnipeg-Ouest"," 139","Winnipeg",0,49,34,9,0,92,261
46014,"Winnipeg West/Winnipeg-Ouest"," 140","Winnipeg",0,21,77,1,0,99,346
46014,"Winnipeg West/Winnipeg-Ouest"," 141","Winnipeg",0,70,102,3,0,175,464
46014,"Winnipeg West/Winnipeg-Ouest"," 142","Winnipeg",1,91,70,6,0,168,461
46014,"Winnipeg West/Winnipeg-Ouest"," 143","Winnipeg",2,136,83,4,1,226,513
46014,"Winnipeg West/Winnipeg-Ouest"," 144","Winnipeg",2,129,94,7,0,232,491
46014,"Winnipeg West/Winnipeg-Ouest"," 145","Winnipeg",3,127,104,4,0,238,481
46014,"Winnipeg West/Winnipeg-Ouest"," 146","Winnipeg",0,67,49,3,1,120,324
46014,"Winnipeg West/Winnipeg-Ouest"," 147","Winnipeg",0,87,45,4,0,136,491
46014,"Winnipeg West/Winnipeg-Ouest"," 148","Winnipeg",0,67,77,3,0,147,455
46014,"Winnipeg West/Winnipeg-Ouest"," 149","Winnipeg",0,41,43,1,0,85,258
46014,"Winnipeg West/Winnipeg-Ouest"," 150","Winnipeg",0,76,49,2,0,127,354
46014,"Winnipeg West/Winnipeg-Ouest"," 151","Winnipeg",3,76,69,7,1,156,449
46014,"Winnipeg West/Winnipeg-Ouest"," 152","Winnipeg",2,94,80,3,1,180,520
46014,"Winnipeg West/Winnipeg-Ouest"," 153","Winnipeg",0,66,66,2,0,134,359
46014,"Winnipeg West/Winnipeg-Ouest"," 154","Winnipeg",2,86,80,5,1,174,534
46014,"Winnipeg West/Winnipeg-Ouest"," 155","Winnipeg",1,83,136,9,0,229,577
46014,"Winnipeg West/Winnipeg-Ouest"," 400","Winnipeg",3,23,17,10,2,55,110
46014,"Winnipeg West/Winnipeg-Ouest"," 401","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°405,,,,,,102
46014,"Winnipeg West/Winnipeg-Ouest"," 402","Winnipeg",2,98,42,9,3,154,220
46014,"Winnipeg West/Winnipeg-Ouest"," 403","Winnipeg",0,106,41,13,2,162,292
46014,"Winnipeg West/Winnipeg-Ouest"," 404","Mobile poll/Bureau itinérant",0,58,38,13,2,111,147
46014,"Winnipeg West/Winnipeg-Ouest"," 405","Mobile poll/Bureau itinérant",3,85,35,11,2,136,136
46014,"Winnipeg West/Winnipeg-Ouest"," 406","Winnipeg",4,49,45,9,1,108,179
46014,"Winnipeg West/Winnipeg-Ouest"," 407","Winnipeg",Combined with No./Résultats combinés à ceux du n°83,,,,,,117
46014,"Winnipeg West/Winnipeg-Ouest"," 408","Winnipeg",1,87,44,1,0,133,225
46014,"Winnipeg West/Winnipeg-Ouest"," 409","Winnipeg",2,73,50,12,1,138,264
46014,"Winnipeg West/Winnipeg-Ouest"," 410","Winnipeg",0,32,20,7,0,59,124
46014,"Winnipeg West/Winnipeg-Ouest"," 411","Winnipeg",Combined with No./Résultats combinés à ceux du n°86,,,,,,92
46014,"Winnipeg West/Winnipeg-Ouest"," 412","Winnipeg",3,91,55,14,1,164,296
46014,"Winnipeg West/Winnipeg-Ouest"," 413","Winnipeg",4,70,57,11,0,142,267
46014,"Winnipeg West/Winnipeg-Ouest"," 414","Winnipeg",Combined with No./Résultats combinés à ceux du n°79,,,,,,96
46014,"Winnipeg West/Winnipeg-Ouest"," 415","Winnipeg",1,56,35,12,1,105,181
46014,"Winnipeg West/Winnipeg-Ouest"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°404,,,,,,69
46014,"Winnipeg West/Winnipeg-Ouest"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,68
46014,"Winnipeg West/Winnipeg-Ouest"," 502","Mobile poll/Bureau itinérant",No poll held/Pas de scrutin,,,,,,4
46014,"Winnipeg West/Winnipeg-Ouest"," 503","Mobile poll/Bureau itinérant",2,54,22,12,6,96,108
46014,"Winnipeg West/Winnipeg-Ouest"," 504","Winnipeg",Combined with No./Résultats combinés à ceux du n°65,,,,,,157
46014,"Winnipeg West/Winnipeg-Ouest"," 505","Winnipeg",Combined with No./Résultats combinés à ceux du n°92,,,,,,78
46014,"Winnipeg West/Winnipeg-Ouest"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,83
46014,"Winnipeg West/Winnipeg-Ouest"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,111
46014,"Winnipeg West/Winnipeg-Ouest"," 508","Winnipeg",Combined with No./Résultats combinés à ceux du n°98,,,,,,18
46014,"Winnipeg West/Winnipeg-Ouest"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,49
46014,"Winnipeg West/Winnipeg-Ouest"," 510","Mobile poll/Bureau itinérant",1,76,30,5,1,113,103
46014,"Winnipeg West/Winnipeg-Ouest"," 511","Winnipeg",Combined with No./Résultats combinés à ceux du n°112,,,,,,100
46014,"Winnipeg West/Winnipeg-Ouest"," 512","Mobile poll/Bureau itinérant",4,70,27,9,1,111,111
46014,"Winnipeg West/Winnipeg-Ouest"," 513","Mobile poll/Bureau itinérant",2,69,58,2,3,134,164
46014,"Winnipeg West/Winnipeg-Ouest"," 600","Meadows",0,26,110,2,0,138,
46014,"Winnipeg West/Winnipeg-Ouest"," 601","Winnipeg",3,371,378,18,3,773,
46014,"Winnipeg West/Winnipeg-Ouest"," 602","Headingley",12,724,576,57,5,1374,
46014,"Winnipeg West/Winnipeg-Ouest"," 603","Winnipeg",8,960,632,69,5,1674,
46014,"Winnipeg West/Winnipeg-Ouest"," 604","Winnipeg",9,812,503,61,1,1386,
46014,"Winnipeg West/Winnipeg-Ouest"," 605","Winnipeg",3,618,292,45,6,964,
46014,"Winnipeg West/Winnipeg-Ouest"," 606","Winnipeg",10,942,488,69,5,1514,
46014,"Winnipeg West/Winnipeg-Ouest"," 607","Winnipeg",14,1208,533,73,5,1833,
46014,"Winnipeg West/Winnipeg-Ouest"," 608","Winnipeg",4,671,195,16,4,890,
46014,"Winnipeg West/Winnipeg-Ouest"," 609","Winnipeg",15,856,476,46,11,1404,
46014,"Winnipeg West/Winnipeg-Ouest"," 610","Winnipeg",8,1153,658,51,6,1876,
46014,"Winnipeg West/Winnipeg-Ouest"," 611","Winnipeg",8,729,382,20,0,1139,
46014,"Winnipeg West/Winnipeg-Ouest"," 612","Winnipeg",5,1005,552,31,15,1608,
46014,"Winnipeg West/Winnipeg-Ouest"," 613","Winnipeg",11,1161,935,36,5,2148,
46014,"Winnipeg West/Winnipeg-Ouest"," 614","Winnipeg",7,1060,618,26,0,1711,
46014,"Winnipeg West/Winnipeg-Ouest"," 615","Winnipeg",6,905,624,23,3,1561,
46014,"Winnipeg West/Winnipeg-Ouest"," 616","Winnipeg",7,771,493,44,5,1320,
46014,"Winnipeg West/Winnipeg-Ouest"," 617","Winnipeg",2,288,388,12,0,690,
46014,"Winnipeg West/Winnipeg-Ouest",,Group 1/Groupe 1, 10,558,374,49,50,1041,313
46014,"Winnipeg West/Winnipeg-Ouest",,Group 2/Groupe 2, 24,2203,1518,111,51,3907,
