Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Pam Allen-Leblanc,Dominic Cardy,Brandon Ellis,Nicki Lyons-MacFarlane,Brian Macdonald,Heather Michaud,David Myles,June Patterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 86","Fredericton",11,1,0,7,49,0,69,2,3,142,413
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 87A","Fredericton",7,1,0,8,36,2,64,0,0,118,395
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 87B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,,,47
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 88","Fredericton",5,1,0,5,47,1,111,0,1,171,532
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 89","Fredericton",3,3,0,0,30,1,106,0,0,143,472
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 90","Fredericton",3,2,0,1,37,1,98,4,1,147,415
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 91","Fredericton",4,0,0,3,23,0,52,0,0,82,340
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 92","Fredericton",5,0,0,1,55,0,87,0,0,148,404
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 93","Fredericton",4,1,0,1,35,0,86,3,0,130,413
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 94","Fredericton",4,5,0,5,47,1,100,1,1,164,491
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 95","Fredericton",5,1,2,2,48,0,79,0,0,137,375
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 96","Fredericton",2,1,0,0,60,0,72,0,1,136,386
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 97","Fredericton",11,2,0,6,65,0,120,2,0,206,634
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 98A","Hanwell",1,1,0,1,16,0,46,0,0,65,312
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 98B","Mobile poll/Bureau itinérant",5,7,0,3,35,0,90,0,3,143,14
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 99","Hanwell",11,1,0,3,69,1,116,0,0,201,501
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 100","Hanwell",1,0,0,0,65,0,112,0,0,178,442
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 101","Fredericton",8,1,0,3,35,0,61,3,2,113,368
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 102","Fredericton",8,2,0,1,57,3,106,1,0,178,455
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 103","Fredericton",7,3,0,7,60,0,97,1,1,176,548
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 104","Hanwell",18,0,1,12,96,4,90,1,2,224,638
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 105","Fredericton",1,0,0,4,23,0,56,0,0,84,249
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 106","Fredericton",5,2,0,3,53,0,67,0,3,133,339
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 107","Fredericton",5,1,0,0,45,1,90,0,1,143,537
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 108","Fredericton",7,0,0,2,41,0,98,0,0,148,506
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 109","Fredericton",1,2,0,2,49,1,75,0,0,130,430
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 110","Fredericton",3,2,0,2,54,0,36,0,0,97,362
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 111","Fredericton",6,1,0,5,46,0,51,0,1,110,317
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 112","Lincoln",4,1,0,1,66,2,47,0,2,123,372
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 113","Fredericton",6,0,1,3,43,2,91,0,0,146,430
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 114","Fredericton",7,0,0,2,43,0,69,0,1,122,560
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 115","Fredericton",3,0,0,1,32,1,85,1,1,124,356
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 116","Fredericton",8,1,0,2,39,0,69,0,1,120,459
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 117","Fredericton",8,0,0,1,26,0,66,0,1,102,448
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 118","Fredericton",2,0,0,1,19,0,79,0,0,101,285
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 119","Fredericton",1,2,0,0,36,1,33,0,0,73,298
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 120","Oromocto",4,0,0,0,32,0,51,0,1,88,333
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 121","Oromocto",1,0,1,0,56,1,35,0,0,94,321
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 122","Oromocto",4,0,0,9,65,0,29,2,2,111,410
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 123","Oromocto",4,0,0,3,64,0,37,1,0,109,299
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 124","Oromocto 26",1,0,0,0,24,0,36,0,0,61,210
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 125","Lincoln",7,2,0,3,55,1,40,0,1,109,394
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 126","Lincoln",5,1,0,7,58,1,38,0,1,111,386
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 127","Lincoln",3,0,1,4,66,1,62,1,0,138,490
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 128","Lincoln",4,3,0,5,87,2,80,1,2,184,494
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 129","Oromocto",4,2,0,4,91,3,62,0,2,168,454
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 130","Oromocto",8,0,1,0,97,1,52,0,2,161,495
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 131","Oromocto",6,4,0,1,64,1,84,0,0,160,467
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 132","Oromocto",10,1,0,9,78,1,79,0,1,179,476
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 133","New Maryland",5,1,0,0,36,0,57,0,0,99,321
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 134","New Maryland",0,1,0,1,59,1,109,0,0,171,510
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 135","New Maryland",3,0,0,0,32,1,55,0,0,91,347
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 136","New Maryland",2,1,0,2,50,0,83,0,0,138,410
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 137","New Maryland",4,2,0,1,36,0,69,0,0,112,330
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 138","New Maryland",5,1,0,3,55,0,61,0,0,125,437
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 139","New Maryland",2,1,1,3,18,1,42,0,0,68,238
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 140","New Maryland",8,3,0,2,53,0,71,1,1,139,482
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 141","New Maryland",2,1,0,1,55,0,42,0,0,101,281
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 142","Oromocto",3,0,2,3,93,0,35,1,1,138,472
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 143","Oromocto",5,0,0,2,83,2,37,0,0,129,417
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 144","Oromocto",5,2,0,6,130,0,87,1,2,233,654
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 145","Oromocto",1,2,1,5,78,0,75,3,1,166,554
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 146","Oromocto",6,1,0,4,76,0,43,0,1,131,397
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 147","Oromocto",4,1,0,2,61,1,75,0,0,144,489
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 148","Oromocto",8,1,0,2,44,0,47,0,0,102,305
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 149","Oromocto",11,0,0,3,95,0,73,0,2,184,500
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 500","Mobile poll/Bureau itinérant",2,4,1,6,28,0,34,0,1,76,40
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,33
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 502","Mobile poll/Bureau itinérant",6,2,2,4,28,2,40,0,4,88,79
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 503","Mobile poll/Bureau itinérant",3,2,1,3,35,3,50,0,2,99,227
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,,,69
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,,,21
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,74
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 507","Mobile poll/Bureau itinérant",4,1,0,3,24,0,25,1,0,58,91
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,,10
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 509","Mobile poll/Bureau itinérant",2,6,0,4,22,1,53,1,4,93,122
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°98B,,,,,,,,,,92
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 511","Mobile poll/Bureau itinérant",No poll held/Pas de scrutin,,,,,,,,,,2
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 512","Mobile poll/Bureau itinérant",1,3,0,3,24,0,23,0,5,59,60
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 600","Douglas",26,5,0,10,340,6,603,0,0,990,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 601","Fredericton",51,12,1,30,573,7,1158,1,13,1846,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 602","Fredericton",24,5,0,20,416,1,673,1,6,1146,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 603","Devon 30",Combined with No./Résultats combinés à ceux du n°605,,,,,,,,,,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 604","Fredericton",31,8,0,20,393,11,702,0,2,1167,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 605","Fredericton",48,12,3,33,461,6,1087,7,2,1659,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 606","Fredericton",43,6,1,32,603,10,1591,5,2,2293,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 607","Sheffield",25,7,1,23,466,4,689,1,4,1220,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 608","Fredericton",42,10,0,15,177,1,904,8,1,1158,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 609","Fredericton",54,14,2,28,279,3,1392,19,3,1794,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 610","Fredericton",34,12,1,16,392,4,1411,5,10,1885,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 611","Fredericton",35,7,1,14,378,4,918,4,5,1366,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 612","New Maryland",24,6,1,24,387,5,1100,3,0,1550,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 613","Fredericton",45,4,0,10,304,1,931,1,3,1299,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 614","Lincoln",40,18,0,27,630,2,1071,1,6,1795,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 615","Burton",27,15,1,19,647,4,854,0,3,1570,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 616","Oromocto",20,2,0,11,259,5,200,2,1,500,
13003,"Fredericton--Oromocto/Fredericton--Oromocto"," 617","Oromocto 26",Combined with No./Résultats combinés à ceux du n°616,,,,,,,,,,
13003,"Fredericton--Oromocto/Fredericton--Oromocto",,Group 1/Groupe 1, 26,6,2,29,813,15,621,3,44,1559,297
13003,"Fredericton--Oromocto/Fredericton--Oromocto",,Group 2/Groupe 2, 124,18,1,56,1122,3,2897,13,38,4272,
