Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Liz Clayton,Terry Hayward,Andrew Douglas Maxwell,Dan Mazier,Jim Oliver,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Riding Mountain/Mont-Riding"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,14
46007,"Riding Mountain/Mont-Riding"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,14
46007,"Riding Mountain/Mont-Riding"," 525","Mobile poll/Bureau itinérant",1,32,7,52,0,0,92,63
46007,"Riding Mountain/Mont-Riding"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°532,,,,,,,31
46007,"Riding Mountain/Mont-Riding"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°532,,,,,,,36
46007,"Riding Mountain/Mont-Riding"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,22
46007,"Riding Mountain/Mont-Riding"," 529","Mobile poll/Bureau itinérant",1,26,12,50,1,1,91,65
46007,"Riding Mountain/Mont-Riding"," 530","Mobile poll/Bureau itinérant",0,11,18,28,4,1,62,61
46007,"Riding Mountain/Mont-Riding"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°530,,,,,,,39
46007,"Riding Mountain/Mont-Riding"," 532","Mobile poll/Bureau itinérant",1,20,15,31,1,0,68,77
46007,"Riding Mountain/Mont-Riding"," 533","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,42
46007,"Riding Mountain/Mont-Riding"," 534","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,35
46007,"Riding Mountain/Mont-Riding"," 535","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,71
46007,"Riding Mountain/Mont-Riding"," 536","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°552,,,,,,,2
46007,"Riding Mountain/Mont-Riding"," 537","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 538","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°541,,,,,,,19
46007,"Riding Mountain/Mont-Riding"," 539","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°541,,,,,,,25
46007,"Riding Mountain/Mont-Riding"," 540","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 541","Mobile poll/Bureau itinérant",0,22,8,31,0,0,61,31
46007,"Riding Mountain/Mont-Riding"," 542","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°545,,,,,,,17
46007,"Riding Mountain/Mont-Riding"," 543","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°545,,,,,,,20
46007,"Riding Mountain/Mont-Riding"," 544","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°545,,,,,,,19
46007,"Riding Mountain/Mont-Riding"," 545","Mobile poll/Bureau itinérant",1,17,4,37,2,1,62,36
46007,"Riding Mountain/Mont-Riding"," 546","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°545,,,,,,,7
46007,"Riding Mountain/Mont-Riding"," 547","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 548","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°549,,,,,,,7
46007,"Riding Mountain/Mont-Riding"," 549","Mobile poll/Bureau itinérant",0,3,1,12,0,1,17,16
46007,"Riding Mountain/Mont-Riding"," 550","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°549,,,,,,,12
