Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andrew Di Lullo,Kevin Goswell,Nouman Mian,Ryan Turnbull,Steve Yamada,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35116,"Whitby/Whitby"," 31","Whitby",4,3,2,35,32,0,76,295
35116,"Whitby/Whitby"," 32","Whitby",1,1,4,42,52,1,101,310
35116,"Whitby/Whitby"," 33","Whitby",2,6,1,198,158,1,366,647
35116,"Whitby/Whitby"," 34","Whitby",0,4,0,130,122,0,256,447
35116,"Whitby/Whitby"," 35","Whitby",0,9,2,159,112,2,284,540
35116,"Whitby/Whitby"," 36","Whitby",1,1,0,114,90,0,206,465
35116,"Whitby/Whitby"," 37","Whitby",0,2,0,81,120,1,204,456
35116,"Whitby/Whitby"," 38","Whitby",3,5,0,129,124,3,264,631
35116,"Whitby/Whitby"," 39","Whitby",1,3,3,81,137,2,227,509
35116,"Whitby/Whitby"," 40","Whitby",1,4,0,81,92,0,178,511
35116,"Whitby/Whitby"," 41A","Whitby",1,4,0,72,60,2,139,404
35116,"Whitby/Whitby"," 41B","Whitby",4,7,1,83,88,1,184,485
35116,"Whitby/Whitby"," 42","Whitby",2,4,2,61,74,0,143,318
35116,"Whitby/Whitby"," 43","Whitby",2,0,0,56,53,0,111,403
35116,"Whitby/Whitby"," 44","Whitby",0,8,1,103,98,0,210,605
35116,"Whitby/Whitby"," 45","Whitby",1,1,0,65,62,0,129,511
35116,"Whitby/Whitby"," 46","Whitby",0,5,0,100,84,1,190,591
35116,"Whitby/Whitby"," 47","Whitby",5,5,3,110,90,3,216,505
35116,"Whitby/Whitby"," 48","Whitby",3,9,4,76,70,0,162,370
35116,"Whitby/Whitby"," 49","Whitby",2,2,0,85,83,1,173,437
35116,"Whitby/Whitby"," 50","Whitby",4,6,0,106,87,0,203,514
35116,"Whitby/Whitby"," 51","Whitby",3,4,1,92,94,1,195,483
35116,"Whitby/Whitby"," 52","Whitby",1,4,0,89,107,1,202,474
35116,"Whitby/Whitby"," 53","Whitby",1,4,2,113,99,3,222,563
35116,"Whitby/Whitby"," 54","Whitby",1,6,0,87,74,0,168,453
35116,"Whitby/Whitby"," 55","Whitby",1,4,0,87,95,1,188,512
35116,"Whitby/Whitby"," 56","Whitby",3,6,0,93,93,1,196,412
35116,"Whitby/Whitby"," 57","Whitby",1,7,0,83,100,2,193,450
35116,"Whitby/Whitby"," 58","Whitby",2,5,1,85,93,0,186,425
35116,"Whitby/Whitby"," 59","Whitby",0,4,0,78,65,0,147,380
35116,"Whitby/Whitby"," 60A","Whitby",0,4,0,69,75,4,152,416
35116,"Whitby/Whitby"," 60B","Whitby",3,0,0,54,68,1,126,335
35116,"Whitby/Whitby"," 61","Whitby",0,1,0,68,86,0,155,421
35116,"Whitby/Whitby"," 62","Whitby",2,12,1,115,73,1,204,539
35116,"Whitby/Whitby"," 63","Whitby",2,5,1,92,83,0,183,375
35116,"Whitby/Whitby"," 64","Whitby",2,1,1,89,72,2,167,520
35116,"Whitby/Whitby"," 65","Whitby",4,7,1,69,44,0,125,320
35116,"Whitby/Whitby"," 66","Whitby",1,2,0,77,59,0,139,479
35116,"Whitby/Whitby"," 67","Whitby",4,7,1,87,69,0,168,436
35116,"Whitby/Whitby"," 68","Whitby",3,1,0,47,59,0,110,360
35116,"Whitby/Whitby"," 69","Whitby",1,5,3,72,83,2,166,485
35116,"Whitby/Whitby"," 70","Whitby",1,9,0,83,78,0,171,436
35116,"Whitby/Whitby"," 71","Whitby",3,3,0,73,96,0,175,568
35116,"Whitby/Whitby"," 72","Whitby",1,5,1,64,68,1,140,437
35116,"Whitby/Whitby"," 73","Whitby",2,6,0,67,68,0,143,392
35116,"Whitby/Whitby"," 74","Whitby",1,6,3,74,117,1,202,528
35116,"Whitby/Whitby"," 75","Whitby",0,4,0,95,78,3,180,428
35116,"Whitby/Whitby"," 76","Whitby",3,9,0,93,110,1,216,526
35116,"Whitby/Whitby"," 77","Whitby",2,3,0,106,108,0,219,494
35116,"Whitby/Whitby"," 78","Whitby",1,7,1,161,120,4,294,610
35116,"Whitby/Whitby"," 79","Whitby",0,7,0,48,71,0,126,365
35116,"Whitby/Whitby"," 80","Whitby",6,6,0,50,39,0,101,271
35116,"Whitby/Whitby"," 81","Whitby",2,7,0,68,74,1,152,400
35116,"Whitby/Whitby"," 82","Whitby",2,5,0,69,75,2,153,395
35116,"Whitby/Whitby"," 83","Whitby",1,4,0,112,73,0,190,431
35116,"Whitby/Whitby"," 84","Whitby",5,6,0,131,116,1,259,534
35116,"Whitby/Whitby"," 85","Whitby",4,2,0,55,69,0,130,418
35116,"Whitby/Whitby"," 86","Whitby",0,4,3,114,102,3,226,507
35116,"Whitby/Whitby"," 87","Whitby",2,8,5,86,106,1,208,446
35116,"Whitby/Whitby"," 88","Whitby",3,2,1,79,68,0,153,479
35116,"Whitby/Whitby"," 89","Whitby",0,1,0,59,40,1,101,368
35116,"Whitby/Whitby"," 90","Whitby",4,11,0,132,119,2,268,557
35116,"Whitby/Whitby"," 91","Whitby",3,4,0,83,71,0,161,353
35116,"Whitby/Whitby"," 92","Whitby",1,2,0,149,120,1,273,612
35116,"Whitby/Whitby"," 93","Whitby",0,6,1,94,54,1,156,382
35116,"Whitby/Whitby"," 94","Whitby",2,7,0,100,104,0,213,491
35116,"Whitby/Whitby"," 95","Whitby",2,5,1,111,75,0,194,457
35116,"Whitby/Whitby"," 96","Whitby",1,1,0,60,82,1,145,460
35116,"Whitby/Whitby"," 97A","Whitby",0,7,1,61,84,0,153,398
35116,"Whitby/Whitby"," 97B","Whitby",1,2,0,69,71,1,144,416
35116,"Whitby/Whitby"," 98","Whitby",1,4,0,69,96,0,170,429
35116,"Whitby/Whitby"," 99","Whitby",2,6,0,68,104,4,184,429
35116,"Whitby/Whitby"," 100","Whitby",5,6,0,98,119,3,231,463
35116,"Whitby/Whitby"," 101","Whitby",0,4,0,79,95,0,178,474
35116,"Whitby/Whitby"," 102","Whitby",2,4,1,83,95,0,185,512
35116,"Whitby/Whitby"," 103","Whitby",4,3,1,101,76,0,185,462
35116,"Whitby/Whitby"," 104","Whitby",1,0,2,91,110,0,204,543
35116,"Whitby/Whitby"," 105","Whitby",1,4,4,103,111,0,223,543
35116,"Whitby/Whitby"," 106A","Whitby",1,2,0,82,79,0,164,431
35116,"Whitby/Whitby"," 106B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°162B,,,,,,,61
35116,"Whitby/Whitby"," 107","Whitby",2,2,7,136,133,1,281,701
35116,"Whitby/Whitby"," 108","Whitby",1,3,1,76,81,0,162,392
35116,"Whitby/Whitby"," 109","Whitby",3,11,1,85,94,0,194,505
35116,"Whitby/Whitby"," 110","Whitby",1,1,0,95,75,0,172,452
35116,"Whitby/Whitby"," 111","Whitby",2,4,0,123,102,0,231,460
35116,"Whitby/Whitby"," 112A","Whitby",2,2,4,123,100,2,233,633
35116,"Whitby/Whitby"," 112B","Whitby",1,6,0,106,99,0,212,558
35116,"Whitby/Whitby"," 113","Whitby",2,3,0,76,68,0,149,412
35116,"Whitby/Whitby"," 114","Whitby",2,5,0,81,81,0,169,448
35116,"Whitby/Whitby"," 115","Whitby",1,2,0,97,69,1,170,442
35116,"Whitby/Whitby"," 116","Whitby",1,7,0,64,86,0,158,401
35116,"Whitby/Whitby"," 117","Whitby",2,5,0,93,86,4,190,472
35116,"Whitby/Whitby"," 118","Whitby",1,9,0,72,69,0,151,376
35116,"Whitby/Whitby"," 119","Whitby",2,5,4,147,102,2,262,636
35116,"Whitby/Whitby"," 120","Whitby",0,2,0,64,36,0,102,351
35116,"Whitby/Whitby"," 121","Whitby",1,1,0,79,73,1,155,339
35116,"Whitby/Whitby"," 122","Whitby",5,12,0,88,91,1,197,473
35116,"Whitby/Whitby"," 123","Whitby",2,8,0,130,99,1,240,473
35116,"Whitby/Whitby"," 124","Whitby",0,6,1,102,129,1,239,614
35116,"Whitby/Whitby"," 125","Whitby",3,1,0,108,84,0,196,402
35116,"Whitby/Whitby"," 126","Whitby",4,4,0,85,68,0,161,410
35116,"Whitby/Whitby"," 127","Whitby",2,1,1,116,93,0,213,575
35116,"Whitby/Whitby"," 128","Whitby",0,1,0,63,60,6,130,411
35116,"Whitby/Whitby"," 129","Whitby",0,1,0,51,71,0,123,395
35116,"Whitby/Whitby"," 130","Whitby",0,0,0,85,75,1,161,415
35116,"Whitby/Whitby"," 131","Whitby",0,1,1,55,77,1,135,391
35116,"Whitby/Whitby"," 132","Whitby",0,8,2,130,89,0,229,628
35116,"Whitby/Whitby"," 133","Whitby",2,6,0,72,84,2,166,457
35116,"Whitby/Whitby"," 134","Whitby",5,3,2,102,76,2,190,576
35116,"Whitby/Whitby"," 135","Whitby",2,3,0,39,41,2,87,341
35116,"Whitby/Whitby"," 136","Whitby",1,2,0,94,64,0,161,353
35116,"Whitby/Whitby"," 137","Whitby",0,4,1,131,144,2,282,598
35116,"Whitby/Whitby"," 138","Whitby",1,9,0,96,74,1,181,405
35116,"Whitby/Whitby"," 139","Whitby",0,5,0,64,78,0,147,331
35116,"Whitby/Whitby"," 140","Whitby",1,10,0,92,117,5,225,533
35116,"Whitby/Whitby"," 141A","Whitby",1,2,1,77,51,0,132,370
35116,"Whitby/Whitby"," 141B","Whitby",Combined with No./Résultats combinés à ceux du n°404,,,,,,,139
35116,"Whitby/Whitby"," 142","Whitby",3,7,0,89,74,1,174,403
35116,"Whitby/Whitby"," 143","Whitby",1,5,1,120,85,1,213,418
35116,"Whitby/Whitby"," 144","Whitby",2,8,3,98,96,0,207,540
35116,"Whitby/Whitby"," 145","Whitby",1,14,0,63,34,1,113,382
35116,"Whitby/Whitby"," 146","Whitby",7,10,0,108,73,2,200,426
35116,"Whitby/Whitby"," 147","Whitby",4,8,0,79,83,3,177,372
35116,"Whitby/Whitby"," 148","Whitby",3,5,0,97,73,0,178,429
35116,"Whitby/Whitby"," 149","Whitby",3,11,0,129,117,0,260,492
35116,"Whitby/Whitby"," 150","Whitby",2,3,0,73,51,0,129,338
35116,"Whitby/Whitby"," 151","Whitby",3,11,1,112,73,0,200,411
35116,"Whitby/Whitby"," 152","Whitby",2,5,0,78,100,0,185,413
35116,"Whitby/Whitby"," 153","Whitby",1,3,0,105,105,0,214,433
35116,"Whitby/Whitby"," 154","Whitby",2,2,0,98,87,0,189,391
35116,"Whitby/Whitby"," 155","Whitby",0,6,0,76,81,0,163,327
35116,"Whitby/Whitby"," 156","Whitby",3,5,2,126,132,2,270,604
35116,"Whitby/Whitby"," 157","Whitby",3,16,2,165,91,3,280,486
35116,"Whitby/Whitby"," 158","Whitby",3,12,8,155,65,0,243,513
35116,"Whitby/Whitby"," 159","Whitby",1,2,2,56,68,0,129,373
35116,"Whitby/Whitby"," 160","Whitby",1,7,0,71,90,0,169,485
35116,"Whitby/Whitby"," 161","Whitby",1,2,0,141,84,3,231,665
35116,"Whitby/Whitby"," 162A","Whitby",2,6,0,73,57,1,139,274
35116,"Whitby/Whitby"," 162B","Mobile poll/Bureau itinérant",0,11,0,48,22,3,84,74
35116,"Whitby/Whitby"," 163","Whitby",3,11,0,107,96,0,217,414
35116,"Whitby/Whitby"," 164","Whitby",0,4,0,49,81,0,134,354
35116,"Whitby/Whitby"," 165","Whitby",0,3,1,79,68,0,151,362
35116,"Whitby/Whitby"," 166","Whitby",3,3,0,75,68,0,149,396
35116,"Whitby/Whitby"," 167","Whitby",1,8,0,68,116,2,195,391
35116,"Whitby/Whitby"," 168","Whitby",3,3,0,105,72,0,183,368
35116,"Whitby/Whitby"," 169","Whitby",1,10,0,87,87,1,186,551
35116,"Whitby/Whitby"," 170","Whitby",0,3,0,95,73,0,171,431
35116,"Whitby/Whitby"," 171","Whitby",1,2,0,50,73,0,126,458
35116,"Whitby/Whitby"," 172","Whitby",1,3,0,76,86,1,167,424
35116,"Whitby/Whitby"," 173","Whitby",2,4,3,68,83,0,160,339
35116,"Whitby/Whitby"," 174","Whitby",2,8,0,102,86,0,198,506
35116,"Whitby/Whitby"," 175","Whitby",2,4,2,146,93,0,247,457
35116,"Whitby/Whitby"," 176","Whitby",1,8,0,70,85,3,167,471
35116,"Whitby/Whitby"," 177","Whitby",1,6,1,119,92,1,220,392
35116,"Whitby/Whitby"," 178","Whitby",4,8,1,90,75,2,180,356
35116,"Whitby/Whitby"," 179","Whitby",1,11,0,98,85,1,196,549
35116,"Whitby/Whitby"," 180","Whitby",0,7,0,146,112,0,265,566
35116,"Whitby/Whitby"," 181","Whitby",1,0,4,53,66,0,124,350
35116,"Whitby/Whitby"," 182","Whitby",4,12,0,67,69,0,152,380
35116,"Whitby/Whitby"," 183","Whitby",3,12,1,64,66,0,146,452
35116,"Whitby/Whitby"," 184","Whitby",1,2,1,99,85,1,189,480
35116,"Whitby/Whitby"," 185","Whitby",1,2,1,69,82,0,155,418
35116,"Whitby/Whitby"," 186","Whitby",3,14,0,70,99,2,188,457
35116,"Whitby/Whitby"," 187","Whitby",1,4,0,58,59,2,124,457
35116,"Whitby/Whitby"," 188","Whitby",1,7,1,73,75,1,158,491
35116,"Whitby/Whitby"," 189","Whitby",4,5,0,93,84,1,187,473
35116,"Whitby/Whitby"," 190","Whitby",0,3,0,96,89,2,190,564
35116,"Whitby/Whitby"," 191","Whitby",0,6,0,63,61,1,131,414
35116,"Whitby/Whitby"," 192","Whitby",0,4,0,150,98,2,254,620
35116,"Whitby/Whitby"," 193","Whitby",0,6,0,113,116,1,236,573
35116,"Whitby/Whitby"," 194","Whitby",0,7,0,139,83,2,231,569
35116,"Whitby/Whitby"," 195","Whitby",2,4,0,116,59,0,181,467
35116,"Whitby/Whitby"," 196","Whitby",0,2,0,64,27,1,94,392
35116,"Whitby/Whitby"," 400","Whitby",3,11,5,157,56,10,242,251
35116,"Whitby/Whitby"," 401","Whitby",2,9,0,58,52,1,122,173
35116,"Whitby/Whitby"," 402","Whitby",3,3,0,101,59,0,166,211
35116,"Whitby/Whitby"," 403","Whitby",Combined with No./Résultats combinés à ceux du n°79,,,,,,,0
35116,"Whitby/Whitby"," 404","Whitby",2,13,0,110,103,4,232,150
35116,"Whitby/Whitby"," 405","Whitby",Combined with No./Résultats combinés à ceux du n°407,,,,,,,138
35116,"Whitby/Whitby"," 406","Whitby",0,6,0,64,34,7,111,165
35116,"Whitby/Whitby"," 407","Whitby",1,9,1,92,63,2,168,145
35116,"Whitby/Whitby"," 408","Whitby",4,9,1,47,31,0,92,177
35116,"Whitby/Whitby"," 409","Whitby",Combined with No./Résultats combinés à ceux du n°188,,,,,,,2
35116,"Whitby/Whitby"," 410","Whitby",0,4,1,83,27,1,116,149
35116,"Whitby/Whitby"," 411","Whitby",0,2,0,66,37,0,105,163
35116,"Whitby/Whitby"," 412","Whitby",Combined with No./Résultats combinés à ceux du n°413,,,,,,,209
35116,"Whitby/Whitby"," 413","Whitby",2,13,0,205,71,1,292,251
35116,"Whitby/Whitby"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,96
35116,"Whitby/Whitby"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,106
35116,"Whitby/Whitby"," 502","Whitby",Combined with No./Résultats combinés à ceux du n°400,,,,,,,143
35116,"Whitby/Whitby"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,35
35116,"Whitby/Whitby"," 504","Whitby",Combined with No./Résultats combinés à ceux du n°8A,,,,,,,72
35116,"Whitby/Whitby"," 505","Mobile poll/Bureau itinérant",1,2,0,59,24,3,89,103
35116,"Whitby/Whitby"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,4
35116,"Whitby/Whitby"," 507","Mobile poll/Bureau itinérant",6,12,0,46,38,2,104,66
35116,"Whitby/Whitby"," 508","Whitby",Combined with No./Résultats combinés à ceux du n°85,,,,,,,0
35116,"Whitby/Whitby"," 509","Mobile poll/Bureau itinérant",0,7,1,14,16,0,38,78
35116,"Whitby/Whitby"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,103
35116,"Whitby/Whitby"," 511","Mobile poll/Bureau itinérant",1,3,0,61,55,4,124,113
35116,"Whitby/Whitby"," 512","Mobile poll/Bureau itinérant",1,5,0,89,54,6,155,63
35116,"Whitby/Whitby"," 513","Mobile poll/Bureau itinérant",5,8,1,29,16,3,62,6
35116,"Whitby/Whitby"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,170
35116,"Whitby/Whitby"," 600","Whitby",5,28,1,802,761,21,1618,
35116,"Whitby/Whitby"," 601","Whitby",7,18,2,687,560,2,1276,
35116,"Whitby/Whitby"," 602","Whitby",7,26,6,735,575,15,1364,
35116,"Whitby/Whitby"," 603","Whitby",11,32,0,1161,886,3,2093,
35116,"Whitby/Whitby"," 604","Whitby",6,20,0,866,607,8,1507,
35116,"Whitby/Whitby"," 605","Whitby",4,13,10,606,541,4,1178,
35116,"Whitby/Whitby"," 606","Whitby",4,20,2,737,563,1,1327,
35116,"Whitby/Whitby"," 607","Whitby",8,29,0,900,718,5,1660,
35116,"Whitby/Whitby"," 608","Whitby",5,16,1,736,612,10,1380,
35116,"Whitby/Whitby"," 609","Whitby",3,17,0,606,465,3,1094,
35116,"Whitby/Whitby"," 610","Whitby",10,36,2,895,686,2,1631,
35116,"Whitby/Whitby"," 611","Whitby",13,25,2,956,661,11,1668,
35116,"Whitby/Whitby"," 612","Whitby",5,17,2,705,553,11,1293,
35116,"Whitby/Whitby"," 613","Whitby",0,16,5,508,378,3,910,
35116,"Whitby/Whitby"," 614","Whitby",10,21,1,495,394,6,927,
35116,"Whitby/Whitby"," 615","Whitby",10,34,4,689,460,8,1205,
35116,"Whitby/Whitby"," 616","Whitby",8,19,0,441,374,2,844,
35116,"Whitby/Whitby"," 617","Whitby",11,44,5,1225,677,9,1971,
35116,"Whitby/Whitby",,Group 1/Groupe 1, 4,15,0,379,174,25,597,323
35116,"Whitby/Whitby",,Group 2/Groupe 2, 15,55,3,2017,1376,75,3541,
