Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jason A. E. Henry,Chris Lewis,Chris Sutton,Lori Wightman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Essex/Essex"," 100","LaSalle",4,80,73,13,2,172,630
35028,"Essex/Essex"," 101","LaSalle",3,146,57,5,0,211,575
35028,"Essex/Essex"," 102","LaSalle",3,94,118,14,5,234,456
35028,"Essex/Essex"," 103","LaSalle",1,87,81,11,1,181,431
35028,"Essex/Essex"," 104","LaSalle",4,84,65,19,0,172,354
35028,"Essex/Essex"," 105","LaSalle",0,131,86,5,1,223,614
35028,"Essex/Essex"," 106","LaSalle",1,128,70,6,1,206,505
35028,"Essex/Essex"," 107","LaSalle",0,104,38,6,0,148,278
35028,"Essex/Essex"," 108","LaSalle",0,96,77,5,0,178,560
35028,"Essex/Essex"," 109","LaSalle",0,117,75,14,2,208,496
35028,"Essex/Essex"," 110","LaSalle",6,93,70,9,0,178,448
35028,"Essex/Essex"," 111","LaSalle",1,67,63,8,1,140,397
35028,"Essex/Essex"," 112","LaSalle",2,132,111,12,4,261,607
35028,"Essex/Essex"," 113","LaSalle",3,136,100,8,1,248,464
35028,"Essex/Essex"," 114","LaSalle",3,127,81,7,0,218,439
35028,"Essex/Essex"," 115","Essex",3,120,52,20,1,196,481
35028,"Essex/Essex"," 116","Essex",5,109,64,23,2,203,539
35028,"Essex/Essex"," 117","Essex",2,144,72,16,2,236,652
35028,"Essex/Essex"," 118","Essex",0,112,48,6,1,167,488
35028,"Essex/Essex"," 119","Essex",3,115,57,19,0,194,516
35028,"Essex/Essex"," 120","Essex",2,118,54,11,2,187,548
35028,"Essex/Essex"," 121","Essex",1,119,54,30,0,204,413
35028,"Essex/Essex"," 122","Essex",2,119,41,12,3,177,387
35028,"Essex/Essex"," 123","LaSalle",3,94,43,11,0,151,384
35028,"Essex/Essex"," 124","LaSalle",4,188,94,14,1,301,575
35028,"Essex/Essex"," 125","LaSalle",0,107,63,8,0,178,386
35028,"Essex/Essex"," 126","Amherstburg",2,101,61,16,0,180,382
35028,"Essex/Essex"," 127","Amherstburg",0,95,70,10,1,176,379
35028,"Essex/Essex"," 128","Amherstburg",0,68,17,12,0,97,345
35028,"Essex/Essex"," 129","Amherstburg",1,80,50,9,0,140,500
35028,"Essex/Essex"," 130","Amherstburg",0,37,17,6,0,60,217
35028,"Essex/Essex"," 131","Essex",4,92,48,9,2,155,527
35028,"Essex/Essex"," 132","Essex",2,16,8,0,0,26,93
35028,"Essex/Essex"," 133","Kingsville",4,126,53,6,0,189,443
35028,"Essex/Essex"," 134","Kingsville",0,140,44,11,0,195,439
35028,"Essex/Essex"," 135","Essex",4,122,62,12,0,200,501
35028,"Essex/Essex"," 136","Kingsville",1,93,18,5,0,117,394
35028,"Essex/Essex"," 137","Essex",1,111,44,10,0,166,447
35028,"Essex/Essex"," 138","Essex",3,101,31,5,0,140,414
35028,"Essex/Essex"," 139","Essex",0,99,42,7,1,149,382
35028,"Essex/Essex"," 140","Kingsville",2,125,45,4,0,176,478
35028,"Essex/Essex"," 141","Kingsville",3,144,70,14,0,231,425
35028,"Essex/Essex"," 142","Kingsville",1,222,107,19,0,349,610
35028,"Essex/Essex"," 143","Kingsville",5,177,77,11,0,270,459
35028,"Essex/Essex"," 144","Kingsville",2,177,59,11,1,250,469
35028,"Essex/Essex"," 145","Kingsville",6,161,59,11,3,240,453
35028,"Essex/Essex"," 146","Kingsville",3,156,41,7,2,209,389
35028,"Essex/Essex"," 147","Kingsville",3,120,48,1,1,173,441
35028,"Essex/Essex"," 148","Essex",1,67,36,12,1,117,382
35028,"Essex/Essex"," 149","Essex",2,66,55,12,2,137,408
35028,"Essex/Essex"," 150","Essex",3,75,41,18,4,141,413
35028,"Essex/Essex"," 151","Essex",3,88,29,10,0,130,387
35028,"Essex/Essex"," 152","Essex",3,79,33,3,1,119,292
35028,"Essex/Essex"," 153","Amherstburg",3,107,44,3,0,157,405
35028,"Essex/Essex"," 154","Essex",0,103,33,10,0,146,404
35028,"Essex/Essex"," 155","Amherstburg",3,80,51,8,0,142,401
35028,"Essex/Essex"," 156","Essex",2,99,62,5,0,168,512
35028,"Essex/Essex"," 157","Essex",6,101,38,8,0,153,373
35028,"Essex/Essex"," 158","Amherstburg",3,58,46,8,2,117,425
35028,"Essex/Essex"," 159","Amherstburg",0,80,56,8,0,144,524
35028,"Essex/Essex"," 160","Amherstburg",4,58,31,5,0,98,440
35028,"Essex/Essex"," 161","Amherstburg",1,142,88,9,1,241,707
35028,"Essex/Essex"," 162","Amherstburg",1,150,74,9,3,237,730
35028,"Essex/Essex"," 163","Amherstburg",4,139,53,12,0,208,557
35028,"Essex/Essex"," 164","Amherstburg",2,81,56,17,1,157,514
35028,"Essex/Essex"," 165","Amherstburg",1,129,89,9,0,228,682
35028,"Essex/Essex"," 166","Amherstburg",2,160,78,8,2,250,729
35028,"Essex/Essex"," 167","Kingsville",2,117,48,6,1,174,346
35028,"Essex/Essex"," 168","Kingsville",2,198,44,7,0,251,519
35028,"Essex/Essex"," 169","Kingsville",5,191,50,4,0,250,490
35028,"Essex/Essex"," 170","Kingsville",4,105,39,6,1,155,350
35028,"Essex/Essex"," 171","Kingsville",1,90,56,5,2,154,399
35028,"Essex/Essex"," 172","Amherstburg",2,92,30,6,1,131,392
35028,"Essex/Essex"," 173","Amherstburg",3,66,37,12,1,119,400
35028,"Essex/Essex"," 174","Amherstburg",4,100,39,10,2,155,382
35028,"Essex/Essex"," 175","Amherstburg",2,78,34,21,0,135,452
35028,"Essex/Essex"," 176","Amherstburg",3,104,70,9,2,188,526
35028,"Essex/Essex"," 177","Amherstburg",0,74,60,10,1,145,457
35028,"Essex/Essex"," 178","Amherstburg",1,93,53,13,0,160,624
35028,"Essex/Essex"," 179","Kingsville",2,137,33,9,3,184,439
35028,"Essex/Essex"," 180","Kingsville",0,101,70,4,1,176,446
35028,"Essex/Essex"," 181","Kingsville",0,80,45,5,0,130,368
35028,"Essex/Essex"," 182A","Kingsville",0,67,36,11,0,114,387
35028,"Essex/Essex"," 182B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,67
35028,"Essex/Essex"," 183","Amherstburg",1,79,44,4,0,128,421
35028,"Essex/Essex"," 184","Amherstburg",2,100,81,5,1,189,537
35028,"Essex/Essex"," 185","Amherstburg",1,91,74,9,0,175,571
35028,"Essex/Essex"," 186","Amherstburg",3,128,51,7,0,189,506
35028,"Essex/Essex"," 187","Amherstburg",0,106,41,10,4,161,390
35028,"Essex/Essex"," 188","Amherstburg",0,78,74,14,0,166,461
35028,"Essex/Essex"," 189","Amherstburg",1,106,62,15,0,184,420
35028,"Essex/Essex"," 190","Amherstburg",2,112,56,4,0,174,409
35028,"Essex/Essex"," 191","Amherstburg",2,85,47,11,0,145,385
35028,"Essex/Essex"," 192","Amherstburg",2,82,35,7,0,126,384
35028,"Essex/Essex"," 193","Amherstburg",3,68,62,16,2,151,413
35028,"Essex/Essex"," 194","Amherstburg",2,104,70,13,2,191,555
35028,"Essex/Essex"," 195","Amherstburg",6,81,60,12,0,159,471
35028,"Essex/Essex"," 196","Amherstburg",0,76,69,3,0,148,457
35028,"Essex/Essex"," 197","Kingsville",1,123,54,7,0,185,555
35028,"Essex/Essex"," 198","Kingsville",2,90,75,10,1,178,477
35028,"Essex/Essex"," 199","Kingsville",6,102,47,15,2,172,446
35028,"Essex/Essex"," 200","Kingsville",5,121,57,9,1,193,482
35028,"Essex/Essex"," 201","Kingsville",3,100,43,5,0,151,505
35028,"Essex/Essex"," 202","Essex",2,146,57,14,0,219,541
35028,"Essex/Essex"," 203","Essex",5,123,66,10,0,204,514
35028,"Essex/Essex"," 204","Essex",3,102,38,6,0,149,435
35028,"Essex/Essex"," 205","Essex",4,91,53,6,1,155,348
35028,"Essex/Essex"," 206","Essex",4,83,37,4,0,128,453
35028,"Essex/Essex"," 207","Essex",3,103,47,8,1,162,383
35028,"Essex/Essex"," 208","Essex",2,117,57,6,2,184,369
35028,"Essex/Essex"," 209","Essex",0,126,21,5,0,152,429
35028,"Essex/Essex"," 210","Essex",4,72,26,6,0,108,368
35028,"Essex/Essex"," 211","Essex",3,110,54,6,1,174,487
35028,"Essex/Essex"," 212","Essex",6,62,41,12,0,121,459
35028,"Essex/Essex"," 213","Kingsville",2,68,38,4,0,112,329
35028,"Essex/Essex"," 214","Kingsville",1,59,45,6,0,111,456
35028,"Essex/Essex"," 215","Kingsville",2,70,48,6,2,128,343
35028,"Essex/Essex"," 216","Kingsville",3,104,69,3,0,179,427
35028,"Essex/Essex"," 217","Kingsville",3,82,51,7,2,145,391
35028,"Essex/Essex"," 218","Kingsville",2,90,47,8,0,147,396
35028,"Essex/Essex"," 219","Kingsville",1,106,69,4,0,180,479
35028,"Essex/Essex"," 220","Kingsville",1,114,47,8,0,170,483
35028,"Essex/Essex"," 221","Kingsville",5,136,79,14,0,234,542
35028,"Essex/Essex"," 222","Kingsville",4,119,68,7,0,198,494
35028,"Essex/Essex"," 223","Kingsville",2,99,56,7,1,165,453
35028,"Essex/Essex"," 224","Kingsville",1,107,60,0,0,168,403
35028,"Essex/Essex"," 225","Essex",0,100,45,9,1,155,375
35028,"Essex/Essex"," 226","Essex",4,119,58,9,0,190,442
35028,"Essex/Essex"," 227","Essex",3,102,49,5,0,159,369
35028,"Essex/Essex"," 228","Essex",0,80,50,3,0,133,371
35028,"Essex/Essex"," 229","Essex",2,83,73,3,1,162,376
35028,"Essex/Essex"," 230","Amherstburg",1,121,35,12,0,169,410
35028,"Essex/Essex"," 231","Amherstburg",1,110,31,11,0,153,423
35028,"Essex/Essex"," 232","Amherstburg",2,116,61,7,1,187,454
35028,"Essex/Essex"," 233","Amherstburg",3,110,36,9,0,158,451
35028,"Essex/Essex"," 234","Amherstburg",1,125,57,7,0,190,456
35028,"Essex/Essex"," 235","Amherstburg",1,88,50,6,1,146,411
35028,"Essex/Essex"," 236","Kingsville",4,116,43,7,1,171,402
35028,"Essex/Essex"," 237","Kingsville",0,103,53,7,0,163,449
35028,"Essex/Essex"," 238","Kingsville",2,122,64,6,1,195,442
35028,"Essex/Essex"," 239","Kingsville",1,113,59,8,0,181,458
35028,"Essex/Essex"," 240","Kingsville",1,84,34,8,0,127,283
35028,"Essex/Essex"," 241","Essex",0,74,44,10,0,128,341
35028,"Essex/Essex"," 242","Essex",0,80,42,12,0,134,384
35028,"Essex/Essex"," 243","Essex",6,73,42,8,2,131,320
35028,"Essex/Essex"," 500","Mobile poll/Bureau itinérant",2,48,67,10,2,129,91
35028,"Essex/Essex"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,74
35028,"Essex/Essex"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,19
35028,"Essex/Essex"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,95
35028,"Essex/Essex"," 504","Mobile poll/Bureau itinérant",2,51,90,12,2,157,107
35028,"Essex/Essex"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,56
35028,"Essex/Essex"," 506","Mobile poll/Bureau itinérant",2,30,20,9,3,64,52
35028,"Essex/Essex"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,79
35028,"Essex/Essex"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,78
35028,"Essex/Essex"," 509","Mobile poll/Bureau itinérant",1,34,53,5,3,96,105
35028,"Essex/Essex"," 510","Mobile poll/Bureau itinérant",2,67,39,7,6,121,78
35028,"Essex/Essex"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,40
35028,"Essex/Essex"," 512","Mobile poll/Bureau itinérant",3,29,23,4,2,61,49
35028,"Essex/Essex"," 600","Lakeshore",14,1014,638,47,2,1715,
35028,"Essex/Essex"," 601","Lakeshore",9,879,678,60,9,1635,
35028,"Essex/Essex"," 602","Lakeshore",21,1111,783,83,6,2004,
35028,"Essex/Essex"," 603","Lakeshore",6,303,220,20,3,552,
35028,"Essex/Essex"," 604","Lakeshore ",5,513,280,26,1,825,
35028,"Essex/Essex"," 605","Lakeshore",6,331,141,21,4,503,
35028,"Essex/Essex"," 606","Lakeshore",5,685,364,42,1,1097,
35028,"Essex/Essex"," 607","LaSalle",4,624,632,69,9,1338,
35028,"Essex/Essex"," 608","LaSalle",14,936,782,70,10,1812,
35028,"Essex/Essex"," 609","LaSalle",17,764,839,85,6,1711,
35028,"Essex/Essex"," 610","LaSalle",11,722,597,74,9,1413,
35028,"Essex/Essex"," 611","LaSalle",9,595,620,56,4,1284,
35028,"Essex/Essex"," 612","Amherstburg",11,837,614,72,16,1550,
35028,"Essex/Essex"," 613","Essex",10,608,371,50,16,1055,
35028,"Essex/Essex"," 614","Essex",6,608,332,78,9,1033,
35028,"Essex/Essex"," 615","Essex",4,475,305,39,3,826,
35028,"Essex/Essex"," 616","Essex",6,303,210,18,4,541,
35028,"Essex/Essex"," 617","Kingsville",10,443,217,24,1,695,
35028,"Essex/Essex"," 618","Kingsville",9,576,432,21,2,1040,
35028,"Essex/Essex"," 619","Kingsville",13,827,752,67,3,1662,
35028,"Essex/Essex"," 620","Kingsville",13,924,836,41,5,1819,
35028,"Essex/Essex"," 621","Essex",9,387,233,23,1,653,
35028,"Essex/Essex"," 622","Essex",18,1152,717,103,4,1994,
35028,"Essex/Essex"," 623","Amherstburg",9,410,212,40,2,673,
35028,"Essex/Essex"," 624","Amherstburg",18,896,790,110,10,1824,
35028,"Essex/Essex"," 625","Amherstburg",14,944,764,110,8,1840,
35028,"Essex/Essex"," 626","Amherstburg",14,958,825,64,14,1875,
35028,"Essex/Essex",,Group 1/Groupe 1, 12,287,307,37,51,694,310
35028,"Essex/Essex",,Group 2/Groupe 2, 11,1152,759,81,54,2057,
