Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Shinade Allder,Russell Benner,Adam Benni,Arielle Kayabaga,Christine Oliver,Jeff Vanderzwet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35055,"London West/London-Ouest"," 37","London",5,1,42,59,0,0,2,109,364
35055,"London West/London-Ouest"," 38","London",15,0,85,82,0,2,2,186,527
35055,"London West/London-Ouest"," 39","London",16,1,98,100,2,2,0,219,622
35055,"London West/London-Ouest"," 40","London",8,0,104,88,0,1,0,201,565
35055,"London West/London-Ouest"," 41","London",13,1,100,146,0,4,2,266,608
35055,"London West/London-Ouest"," 42","London",10,1,67,92,1,1,0,172,400
35055,"London West/London-Ouest"," 43","London",12,1,126,157,0,0,1,297,665
35055,"London West/London-Ouest"," 44","London",15,1,73,102,0,1,2,194,701
35055,"London West/London-Ouest"," 45","London",5,0,46,70,0,1,0,122,332
35055,"London West/London-Ouest"," 46","London",4,0,59,93,1,1,3,161,481
35055,"London West/London-Ouest"," 47","London",4,0,76,73,0,1,1,155,516
35055,"London West/London-Ouest"," 48","London",13,0,81,125,0,1,1,221,417
35055,"London West/London-Ouest"," 49","London",10,0,86,94,0,2,0,192,427
35055,"London West/London-Ouest"," 50","London",14,0,73,133,0,2,1,223,469
35055,"London West/London-Ouest"," 51","London",15,1,83,118,2,1,0,220,464
35055,"London West/London-Ouest"," 52","London",11,0,91,118,1,2,0,223,549
35055,"London West/London-Ouest"," 53","London",17,3,72,119,0,1,3,215,567
35055,"London West/London-Ouest"," 54","London",24,0,60,126,1,1,0,212,393
35055,"London West/London-Ouest"," 55","London",16,0,50,64,1,3,0,134,328
35055,"London West/London-Ouest"," 56","London",10,1,71,102,0,2,3,189,513
35055,"London West/London-Ouest"," 57","London",9,0,82,125,2,0,2,220,519
35055,"London West/London-Ouest"," 58","London",13,1,94,116,2,0,1,227,485
35055,"London West/London-Ouest"," 59","London",17,0,93,126,2,3,2,243,550
35055,"London West/London-Ouest"," 60","London",14,1,95,133,0,4,0,247,567
35055,"London West/London-Ouest"," 61","London",5,1,61,80,0,1,0,148,388
35055,"London West/London-Ouest"," 62","London",15,0,62,62,0,4,0,143,461
35055,"London West/London-Ouest"," 63","London",10,0,78,70,2,2,0,162,399
35055,"London West/London-Ouest"," 64","London",21,1,64,105,2,1,3,197,367
35055,"London West/London-Ouest"," 65","London",10,1,91,106,3,2,0,213,568
35055,"London West/London-Ouest"," 66","London",12,2,35,45,0,1,1,96,301
35055,"London West/London-Ouest"," 67","London",3,0,75,116,0,0,0,194,396
35055,"London West/London-Ouest"," 68","London",4,2,84,128,0,1,0,219,438
35055,"London West/London-Ouest"," 69","London",20,1,73,70,1,1,1,167,538
35055,"London West/London-Ouest"," 70","London",32,1,79,86,0,3,1,202,496
35055,"London West/London-Ouest"," 71","London",8,0,71,103,0,3,1,186,413
35055,"London West/London-Ouest"," 72","London",7,0,102,73,0,2,0,184,403
35055,"London West/London-Ouest"," 73","London",3,1,72,86,1,2,1,166,355
35055,"London West/London-Ouest"," 74","London",10,0,120,168,2,3,0,303,537
35055,"London West/London-Ouest"," 75","London",8,0,65,53,1,3,1,131,375
35055,"London West/London-Ouest"," 76","London",23,0,51,44,0,0,2,120,343
35055,"London West/London-Ouest"," 77","London",22,0,67,82,2,2,1,176,531
35055,"London West/London-Ouest"," 78","London",11,0,71,86,2,1,1,172,522
35055,"London West/London-Ouest"," 79","London",6,1,65,70,0,1,0,143,348
35055,"London West/London-Ouest"," 80","London",10,0,90,114,3,3,2,222,539
35055,"London West/London-Ouest"," 81","London",6,0,59,93,1,1,1,161,408
35055,"London West/London-Ouest"," 82","London",0,0,49,64,0,0,0,113,412
35055,"London West/London-Ouest"," 83","London",3,0,75,103,0,3,0,184,500
35055,"London West/London-Ouest"," 84","London",4,2,59,97,0,1,0,163,491
35055,"London West/London-Ouest"," 85","London",17,0,64,72,2,1,1,157,460
35055,"London West/London-Ouest"," 86","London",20,2,67,84,0,1,0,174,428
35055,"London West/London-Ouest"," 87","London",26,1,50,58,1,0,2,138,546
35055,"London West/London-Ouest"," 88","London",33,0,129,111,0,1,2,276,567
35055,"London West/London-Ouest"," 89","London",22,2,58,52,0,3,3,140,534
35055,"London West/London-Ouest"," 90","London",27,2,92,93,2,0,3,219,601
35055,"London West/London-Ouest"," 91","London",22,1,94,104,0,1,4,226,542
35055,"London West/London-Ouest"," 92","London",25,0,50,59,0,1,0,135,463
35055,"London West/London-Ouest"," 93","London",13,3,60,64,0,2,0,142,545
35055,"London West/London-Ouest"," 94","London",5,0,66,145,0,1,0,217,493
35055,"London West/London-Ouest"," 95","London",10,2,50,122,0,2,0,186,584
35055,"London West/London-Ouest"," 96","London",23,0,80,95,3,2,0,203,363
35055,"London West/London-Ouest"," 97","London",19,1,97,105,2,1,1,226,472
35055,"London West/London-Ouest"," 98","London",30,1,83,93,0,3,2,212,448
35055,"London West/London-Ouest"," 99","London",5,0,72,81,0,3,0,161,410
35055,"London West/London-Ouest"," 100","London",12,1,35,81,0,1,2,132,432
35055,"London West/London-Ouest"," 101","London",9,0,104,134,0,1,0,248,600
35055,"London West/London-Ouest"," 102","London",10,1,84,129,0,2,4,230,644
35055,"London West/London-Ouest"," 103","London",6,1,52,144,0,0,0,203,545
35055,"London West/London-Ouest"," 104","London",11,1,83,73,1,0,3,172,383
35055,"London West/London-Ouest"," 105","London",27,0,118,104,0,0,0,249,573
35055,"London West/London-Ouest"," 106","London",8,0,90,87,0,1,1,187,491
35055,"London West/London-Ouest"," 107","London",18,0,64,76,0,0,2,160,444
35055,"London West/London-Ouest"," 108","London",2,0,65,76,0,0,1,144,444
35055,"London West/London-Ouest"," 109","London",9,0,75,96,0,1,0,181,590
35055,"London West/London-Ouest"," 110","London",7,0,60,60,1,1,0,129,489
35055,"London West/London-Ouest"," 111A","London",5,0,59,85,0,0,0,149,621
35055,"London West/London-Ouest"," 111B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,57
35055,"London West/London-Ouest"," 112","London",9,0,39,63,0,2,1,114,421
35055,"London West/London-Ouest"," 113","London",7,0,85,70,0,0,0,162,534
35055,"London West/London-Ouest"," 114","London",7,1,87,80,0,2,1,178,536
35055,"London West/London-Ouest"," 115A","London",5,0,91,65,0,1,1,163,442
35055,"London West/London-Ouest"," 115B","London",8,0,93,62,0,0,1,164,468
35055,"London West/London-Ouest"," 116","London",7,0,65,93,1,2,2,170,579
35055,"London West/London-Ouest"," 117","London",8,0,48,73,0,1,1,131,328
35055,"London West/London-Ouest"," 118","London",14,0,73,73,0,2,0,162,369
35055,"London West/London-Ouest"," 119","London",3,0,117,140,0,1,0,261,563
35055,"London West/London-Ouest"," 120","London",3,0,56,113,0,1,0,173,431
35055,"London West/London-Ouest"," 121","London",10,1,65,85,1,2,0,164,376
35055,"London West/London-Ouest"," 122","London",14,0,42,64,0,0,2,122,324
35055,"London West/London-Ouest"," 123","London",5,1,89,73,0,0,0,168,452
35055,"London West/London-Ouest"," 124","London",4,1,61,124,0,0,0,190,372
35055,"London West/London-Ouest"," 125","London",21,0,62,84,0,1,1,169,467
35055,"London West/London-Ouest"," 126","London",7,0,57,100,1,3,0,168,501
35055,"London West/London-Ouest"," 127","London",16,1,64,86,1,2,2,172,383
35055,"London West/London-Ouest"," 128","London",15,1,74,79,4,1,1,175,372
35055,"London West/London-Ouest"," 129","London",9,1,83,110,0,1,2,206,480
35055,"London West/London-Ouest"," 130","London",14,1,77,84,0,0,0,176,405
35055,"London West/London-Ouest"," 131","London",6,1,44,72,0,1,0,124,341
35055,"London West/London-Ouest"," 132","London",10,1,56,70,0,3,0,140,359
35055,"London West/London-Ouest"," 133","London",11,0,80,101,0,2,0,194,464
35055,"London West/London-Ouest"," 134","London",5,0,44,55,0,2,1,107,380
35055,"London West/London-Ouest"," 135","London",11,0,27,42,0,1,0,81,313
35055,"London West/London-Ouest"," 136","London",11,1,52,93,1,2,1,161,508
35055,"London West/London-Ouest"," 137","London",10,1,35,55,0,0,0,101,342
35055,"London West/London-Ouest"," 138","London",6,0,60,77,0,2,0,145,355
35055,"London West/London-Ouest"," 139","London",4,0,42,80,0,1,0,127,424
35055,"London West/London-Ouest"," 140","London",23,0,72,105,2,4,1,207,399
35055,"London West/London-Ouest"," 141","London",19,0,101,100,2,4,2,228,610
35055,"London West/London-Ouest"," 142","London",19,0,102,102,1,2,0,226,542
35055,"London West/London-Ouest"," 143","London",13,1,100,134,4,1,0,253,537
35055,"London West/London-Ouest"," 144","London",8,3,77,93,0,0,1,182,451
35055,"London West/London-Ouest"," 145","London",8,1,99,118,0,2,1,229,532
35055,"London West/London-Ouest"," 146","London",4,0,81,126,0,2,3,216,532
35055,"London West/London-Ouest"," 147","London",5,1,76,81,0,2,1,166,352
35055,"London West/London-Ouest"," 148","London",4,0,70,108,1,2,0,185,428
35055,"London West/London-Ouest"," 149","London",7,0,91,92,1,0,2,193,355
35055,"London West/London-Ouest"," 150","London",9,1,111,155,0,2,0,278,541
35055,"London West/London-Ouest"," 151","London",17,0,70,76,1,2,1,167,391
35055,"London West/London-Ouest"," 152","London",20,0,64,77,1,0,3,165,433
35055,"London West/London-Ouest"," 153","London",13,1,91,95,0,1,0,201,545
35055,"London West/London-Ouest"," 154","London",20,1,84,93,2,6,2,208,501
35055,"London West/London-Ouest"," 155","London",6,0,102,114,1,3,0,226,536
35055,"London West/London-Ouest"," 156","London",2,0,42,49,0,0,0,93,321
35055,"London West/London-Ouest"," 157","London",7,1,83,87,0,0,6,184,461
35055,"London West/London-Ouest"," 158","London",24,4,104,89,0,4,0,225,611
35055,"London West/London-Ouest"," 159","London",7,0,38,75,0,1,0,121,355
35055,"London West/London-Ouest"," 160","London",12,0,72,79,0,1,0,164,455
35055,"London West/London-Ouest"," 161","London",18,0,41,56,1,3,0,119,324
35055,"London West/London-Ouest"," 162","London",13,0,62,118,0,2,0,195,539
35055,"London West/London-Ouest"," 163","London",16,0,53,122,5,3,0,199,556
35055,"London West/London-Ouest"," 164","London",4,0,89,116,0,1,0,210,567
35055,"London West/London-Ouest"," 165","London",13,0,69,135,1,3,2,223,518
35055,"London West/London-Ouest"," 166","London",12,1,77,86,0,0,1,177,443
35055,"London West/London-Ouest"," 167","London",8,0,45,99,0,3,2,157,378
35055,"London West/London-Ouest"," 168","London",11,0,72,152,2,1,0,238,546
35055,"London West/London-Ouest"," 169","London",11,0,95,127,1,1,1,236,603
35055,"London West/London-Ouest"," 170","London",4,0,125,129,0,1,2,261,627
35055,"London West/London-Ouest"," 171","London",5,0,86,136,0,2,2,231,504
35055,"London West/London-Ouest"," 172","London",11,1,86,91,1,1,1,192,497
35055,"London West/London-Ouest"," 173","London",10,2,87,129,1,1,1,231,620
35055,"London West/London-Ouest"," 174","London",7,0,48,81,0,2,2,140,338
35055,"London West/London-Ouest"," 175","London",5,1,86,70,0,0,1,163,395
35055,"London West/London-Ouest"," 176","London",12,1,129,102,0,2,1,247,464
35055,"London West/London-Ouest"," 177","London",16,0,78,75,0,3,1,173,385
35055,"London West/London-Ouest"," 400","London",8,2,56,75,1,0,1,143,241
35055,"London West/London-Ouest"," 401","London",9,1,57,89,1,3,1,161,225
35055,"London West/London-Ouest"," 402","London",15,0,33,87,0,0,0,135,173
35055,"London West/London-Ouest"," 403","London",9,1,51,95,1,2,1,160,232
35055,"London West/London-Ouest"," 500","Mobile poll/Bureau itinérant",5,2,41,84,0,2,3,137,83
35055,"London West/London-Ouest"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,156
35055,"London West/London-Ouest"," 502","London",Combined with No./Résultats combinés à ceux du n°55,,,,,,,,0
35055,"London West/London-Ouest"," 503","Mobile poll/Bureau itinérant",15,2,47,90,2,3,2,161,155
35055,"London West/London-Ouest"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,145
35055,"London West/London-Ouest"," 505","Mobile poll/Bureau itinérant",8,4,38,73,4,3,2,132,158
35055,"London West/London-Ouest"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,111
35055,"London West/London-Ouest"," 600","London",96,2,705,1180,3,15,12,2013,
35055,"London West/London-Ouest"," 601","London",68,11,663,1103,5,9,12,1871,
35055,"London West/London-Ouest"," 602","London",116,2,556,981,11,10,11,1687,
35055,"London West/London-Ouest"," 603","London",73,4,443,869,3,10,14,1416,
35055,"London West/London-Ouest"," 604","London",37,2,516,1031,0,10,6,1602,
35055,"London West/London-Ouest"," 605","London",36,7,525,855,1,6,7,1437,
35055,"London West/London-Ouest"," 606","London",29,2,559,859,1,2,4,1456,
35055,"London West/London-Ouest"," 607","London",58,3,579,902,0,4,4,1550,
35055,"London West/London-Ouest"," 608","London",31,3,501,925,3,7,7,1477,
35055,"London West/London-Ouest"," 609","London",41,9,550,1132,3,5,4,1744,
35055,"London West/London-Ouest"," 610","London",68,2,477,1211,3,9,9,1779,
35055,"London West/London-Ouest"," 611","London",78,5,388,613,2,10,5,1101,
35055,"London West/London-Ouest"," 612","London",48,4,479,934,3,9,7,1484,
35055,"London West/London-Ouest"," 613","London",81,2,507,898,2,6,7,1503,
35055,"London West/London-Ouest"," 614","London",67,2,340,681,3,7,4,1104,
35055,"London West/London-Ouest"," 615","London",82,7,314,482,1,12,6,904,
35055,"London West/London-Ouest"," 616","London",90,3,439,783,7,4,4,1330,
35055,"London West/London-Ouest",,Group 1/Groupe 1, 41,2,182,497,1,4,45,772,387
35055,"London West/London-Ouest",,Group 2/Groupe 2, 156,11,1101,2191,7,20,47,3533,
