Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mathieu Boisvert,Ruth Fontaine,Barbara Joannette,Dave Pouliot,Jacques Ramsay,Alain Therrien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24032,"La Prairie--Atateken/La Prairie--Atateken"," 60","Sainte-Catherine",6,0,1,45,61,75,2,190,481
24032,"La Prairie--Atateken/La Prairie--Atateken"," 61","Sainte-Catherine",3,2,3,55,79,102,2,246,464
24032,"La Prairie--Atateken/La Prairie--Atateken"," 62","Sainte-Catherine",6,2,4,48,97,98,0,255,489
24032,"La Prairie--Atateken/La Prairie--Atateken"," 63","Sainte-Catherine",9,0,1,34,77,73,5,199,479
24032,"La Prairie--Atateken/La Prairie--Atateken"," 64","Sainte-Catherine",4,0,1,43,66,73,2,189,427
24032,"La Prairie--Atateken/La Prairie--Atateken"," 65","Sainte-Catherine",8,0,3,47,78,89,1,226,485
24032,"La Prairie--Atateken/La Prairie--Atateken"," 66","Candiac",0,0,1,13,35,24,1,74,171
24032,"La Prairie--Atateken/La Prairie--Atateken"," 67","Candiac",11,2,3,57,146,58,7,284,735
24032,"La Prairie--Atateken/La Prairie--Atateken"," 68","Candiac",9,1,2,22,67,60,1,162,376
24032,"La Prairie--Atateken/La Prairie--Atateken"," 69","Candiac",5,5,2,25,129,49,0,215,529
24032,"La Prairie--Atateken/La Prairie--Atateken"," 70","Candiac",4,3,2,51,72,65,1,198,493
24032,"La Prairie--Atateken/La Prairie--Atateken"," 71","Candiac",5,1,6,47,85,49,2,195,503
24032,"La Prairie--Atateken/La Prairie--Atateken"," 72","Candiac",6,0,2,52,154,45,1,260,517
24032,"La Prairie--Atateken/La Prairie--Atateken"," 73","Candiac",5,3,0,43,115,44,1,211,504
24032,"La Prairie--Atateken/La Prairie--Atateken"," 74","Candiac",4,1,2,37,66,88,4,202,485
24032,"La Prairie--Atateken/La Prairie--Atateken"," 75","Candiac",5,1,5,26,97,59,1,194,480
24032,"La Prairie--Atateken/La Prairie--Atateken"," 76","Candiac",0,1,2,44,152,23,3,225,523
24032,"La Prairie--Atateken/La Prairie--Atateken"," 77","Candiac",8,2,5,44,119,68,3,249,492
24032,"La Prairie--Atateken/La Prairie--Atateken"," 78","Candiac",5,4,1,27,92,55,1,185,419
24032,"La Prairie--Atateken/La Prairie--Atateken"," 79","Candiac",7,0,3,34,88,54,2,188,503
24032,"La Prairie--Atateken/La Prairie--Atateken"," 80","Candiac",6,0,0,45,73,50,1,175,424
24032,"La Prairie--Atateken/La Prairie--Atateken"," 81","Delson",1,0,4,31,36,45,0,117,319
24032,"La Prairie--Atateken/La Prairie--Atateken"," 82","Sainte-Catherine",2,0,2,27,33,56,3,123,333
24032,"La Prairie--Atateken/La Prairie--Atateken"," 83","Delson",5,0,2,23,61,59,2,152,341
24032,"La Prairie--Atateken/La Prairie--Atateken"," 84","Delson",2,1,2,23,54,69,2,153,343
24032,"La Prairie--Atateken/La Prairie--Atateken"," 85","Sainte-Catherine",8,2,2,26,57,66,2,163,378
24032,"La Prairie--Atateken/La Prairie--Atateken"," 86","Delson",3,0,0,35,60,53,0,151,361
24032,"La Prairie--Atateken/La Prairie--Atateken"," 87","Delson",8,10,2,30,48,66,4,168,458
24032,"La Prairie--Atateken/La Prairie--Atateken"," 88","Delson",5,1,3,36,78,85,4,212,483
24032,"La Prairie--Atateken/La Prairie--Atateken"," 89","Delson",2,0,4,41,63,95,2,207,462
24032,"La Prairie--Atateken/La Prairie--Atateken"," 90","Candiac",3,0,0,50,128,62,0,243,511
24032,"La Prairie--Atateken/La Prairie--Atateken"," 91","Candiac",2,3,2,45,105,61,0,218,461
24032,"La Prairie--Atateken/La Prairie--Atateken"," 92","Candiac",4,1,2,60,131,51,0,249,481
24032,"La Prairie--Atateken/La Prairie--Atateken"," 93","Candiac",6,1,2,36,105,49,1,200,449
