Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amarjeet Gill,Khawaja Amir Hassan,Zaigham Javed,Sameera Khan,Kamal Khera,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Brampton West/Brampton-Ouest"," 47","Brampton",97,0,1,0,70,0,168,420
35014,"Brampton West/Brampton-Ouest"," 48","Brampton",104,0,1,0,105,0,210,632
35014,"Brampton West/Brampton-Ouest"," 49","Brampton",112,0,2,0,82,0,196,486
35014,"Brampton West/Brampton-Ouest"," 50","Brampton",112,0,8,2,99,3,224,582
35014,"Brampton West/Brampton-Ouest"," 51","Brampton",128,0,0,1,71,12,212,466
35014,"Brampton West/Brampton-Ouest"," 52","Brampton",111,0,5,0,88,0,204,435
35014,"Brampton West/Brampton-Ouest"," 53","Brampton",78,1,3,2,74,1,159,534
35014,"Brampton West/Brampton-Ouest"," 54","Brampton",115,3,3,3,133,0,257,573
35014,"Brampton West/Brampton-Ouest"," 55","Brampton",98,0,4,1,104,1,208,581
35014,"Brampton West/Brampton-Ouest"," 56","Brampton",121,0,3,3,101,2,230,560
35014,"Brampton West/Brampton-Ouest"," 57","Brampton",124,2,9,1,104,0,240,534
35014,"Brampton West/Brampton-Ouest"," 58","Brampton",97,0,2,2,105,1,207,624
35014,"Brampton West/Brampton-Ouest"," 59","Brampton",74,2,3,1,91,0,171,589
35014,"Brampton West/Brampton-Ouest"," 60","Brampton",104,1,7,4,143,2,261,599
35014,"Brampton West/Brampton-Ouest"," 61","Brampton",96,3,3,0,112,2,216,534
35014,"Brampton West/Brampton-Ouest"," 62","Brampton",82,2,6,1,108,0,199,601
35014,"Brampton West/Brampton-Ouest"," 63","Brampton",109,2,4,2,89,0,206,577
35014,"Brampton West/Brampton-Ouest"," 64","Brampton",101,3,4,1,95,2,206,579
35014,"Brampton West/Brampton-Ouest"," 65","Brampton",111,0,6,2,104,1,224,591
35014,"Brampton West/Brampton-Ouest"," 66","Brampton",112,0,3,1,78,1,195,607
35014,"Brampton West/Brampton-Ouest"," 67","Brampton",120,0,5,1,100,0,226,624
35014,"Brampton West/Brampton-Ouest"," 68","Brampton",97,0,3,2,111,3,216,589
35014,"Brampton West/Brampton-Ouest"," 69","Brampton",86,1,3,1,108,4,203,568
35014,"Brampton West/Brampton-Ouest"," 70","Brampton",119,0,4,1,119,4,247,574
35014,"Brampton West/Brampton-Ouest"," 71","Brampton",128,0,4,2,120,5,259,623
35014,"Brampton West/Brampton-Ouest"," 72","Brampton",111,0,2,0,106,1,220,591
35014,"Brampton West/Brampton-Ouest"," 73","Brampton",102,0,5,2,148,3,260,638
35014,"Brampton West/Brampton-Ouest"," 74","Brampton",121,0,1,2,134,2,260,639
35014,"Brampton West/Brampton-Ouest"," 75","Brampton",97,0,4,0,86,4,191,597
35014,"Brampton West/Brampton-Ouest"," 76","Brampton",90,0,2,3,110,1,206,585
35014,"Brampton West/Brampton-Ouest"," 77","Brampton",96,0,0,2,73,0,171,558
35014,"Brampton West/Brampton-Ouest"," 78","Brampton",77,0,8,1,75,0,161,590
35014,"Brampton West/Brampton-Ouest"," 79","Brampton",95,0,9,1,112,8,225,581
35014,"Brampton West/Brampton-Ouest"," 80","Brampton",108,1,4,3,95,5,216,542
35014,"Brampton West/Brampton-Ouest"," 81","Brampton",136,0,2,1,108,5,252,547
35014,"Brampton West/Brampton-Ouest"," 82","Brampton",128,0,3,0,95,1,227,546
35014,"Brampton West/Brampton-Ouest"," 83","Brampton",114,0,1,0,75,1,191,568
35014,"Brampton West/Brampton-Ouest"," 84","Brampton",109,1,1,1,84,1,197,567
35014,"Brampton West/Brampton-Ouest"," 85","Brampton",104,0,3,3,105,1,216,555
35014,"Brampton West/Brampton-Ouest"," 86A","Brampton",73,1,1,3,44,1,123,366
35014,"Brampton West/Brampton-Ouest"," 86B","Brampton",39,1,2,0,60,0,102,342
35014,"Brampton West/Brampton-Ouest"," 87","Brampton",75,0,3,1,63,0,142,544
35014,"Brampton West/Brampton-Ouest"," 88","Brampton",93,0,4,2,77,1,177,468
35014,"Brampton West/Brampton-Ouest"," 89","Brampton",86,0,8,1,95,0,190,591
35014,"Brampton West/Brampton-Ouest"," 90","Brampton",116,0,6,2,145,0,269,596
35014,"Brampton West/Brampton-Ouest"," 91","Brampton",82,0,1,0,90,2,175,574
35014,"Brampton West/Brampton-Ouest"," 92","Brampton",85,0,7,4,69,0,165,598
35014,"Brampton West/Brampton-Ouest"," 93","Brampton",105,1,1,0,78,1,186,560
35014,"Brampton West/Brampton-Ouest"," 94A","Brampton",63,0,6,1,69,0,139,386
35014,"Brampton West/Brampton-Ouest"," 94B","Brampton",89,0,2,2,41,0,134,393
35014,"Brampton West/Brampton-Ouest"," 95","Brampton",143,0,6,0,114,0,263,569
35014,"Brampton West/Brampton-Ouest"," 96","Brampton",116,0,3,1,100,1,221,504
35014,"Brampton West/Brampton-Ouest"," 97","Brampton",154,0,4,1,53,1,213,488
35014,"Brampton West/Brampton-Ouest"," 98","Brampton",98,0,1,0,80,1,180,489
35014,"Brampton West/Brampton-Ouest"," 99","Brampton",120,2,5,1,89,5,222,555
35014,"Brampton West/Brampton-Ouest"," 100","Brampton",111,0,1,3,101,2,218,520
35014,"Brampton West/Brampton-Ouest"," 101","Brampton",89,1,5,1,83,0,179,391
35014,"Brampton West/Brampton-Ouest"," 102","Brampton",106,0,1,0,95,4,206,542
35014,"Brampton West/Brampton-Ouest"," 103A","Brampton",96,0,3,0,85,0,184,443
35014,"Brampton West/Brampton-Ouest"," 103B","Brampton",95,0,1,2,73,1,172,427
35014,"Brampton West/Brampton-Ouest"," 104","Brampton",126,0,7,0,118,0,251,574
35014,"Brampton West/Brampton-Ouest"," 105","Brampton",112,1,3,2,118,0,236,553
35014,"Brampton West/Brampton-Ouest"," 106","Brampton",114,1,3,0,96,6,220,579
35014,"Brampton West/Brampton-Ouest"," 107","Brampton",91,0,5,0,102,5,203,560
35014,"Brampton West/Brampton-Ouest"," 108","Brampton",105,0,4,0,112,4,225,563
35014,"Brampton West/Brampton-Ouest"," 109","Brampton",145,0,9,1,134,7,296,585
35014,"Brampton West/Brampton-Ouest"," 110","Brampton",78,0,2,2,87,1,170,577
35014,"Brampton West/Brampton-Ouest"," 111","Brampton",110,2,2,1,107,3,225,625
35014,"Brampton West/Brampton-Ouest"," 112","Brampton",115,0,4,0,130,4,253,629
35014,"Brampton West/Brampton-Ouest"," 113","Brampton",121,1,1,2,113,1,239,580
35014,"Brampton West/Brampton-Ouest"," 114A","Brampton",59,0,1,0,66,2,128,318
35014,"Brampton West/Brampton-Ouest"," 114B","Brampton",64,2,2,0,63,0,131,351
35014,"Brampton West/Brampton-Ouest"," 115","Brampton",116,1,1,4,122,1,245,618
35014,"Brampton West/Brampton-Ouest"," 116","Brampton",87,0,1,1,67,4,160,480
35014,"Brampton West/Brampton-Ouest"," 600","Brampton",499,1,7,8,443,3,961,
35014,"Brampton West/Brampton-Ouest"," 601","Brampton",483,1,17,3,575,0,1079,
35014,"Brampton West/Brampton-Ouest"," 602","Brampton",521,1,13,7,671,24,1237,
35014,"Brampton West/Brampton-Ouest"," 603","Brampton",791,2,26,8,859,35,1721,
35014,"Brampton West/Brampton-Ouest"," 604","Brampton",707,1,7,5,458,28,1206,
35014,"Brampton West/Brampton-Ouest"," 605","Brampton",638,4,12,2,476,8,1140,
35014,"Brampton West/Brampton-Ouest"," 606","Brampton",663,4,21,15,745,13,1461,
35014,"Brampton West/Brampton-Ouest"," 607","Brampton",725,4,32,20,820,20,1621,
35014,"Brampton West/Brampton-Ouest"," 608","Brampton",721,6,32,16,789,12,1576,
35014,"Brampton West/Brampton-Ouest"," 609","Brampton",693,2,32,10,609,8,1354,
35014,"Brampton West/Brampton-Ouest"," 610","Brampton",649,1,17,8,597,4,1276,
35014,"Brampton West/Brampton-Ouest"," 611","Brampton",550,2,14,4,548,14,1132,
35014,"Brampton West/Brampton-Ouest",,Group 1/Groupe 1, 126,0,10,1,260,28,425,150
35014,"Brampton West/Brampton-Ouest",,Group 2/Groupe 2, 532,5,15,3,620,36,1211,
