Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jocelyn Dionne,Marshall Dunn,Serge Landry,Ginette Petitpas Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13007,"Moncton--Dieppe/Moncton--Dieppe"," 45","Moncton",76,68,3,5,0,152,570
13007,"Moncton--Dieppe/Moncton--Dieppe"," 46","Moncton",58,2,11,57,0,128,509
13007,"Moncton--Dieppe/Moncton--Dieppe"," 47","Moncton",45,2,3,63,2,115,322
13007,"Moncton--Dieppe/Moncton--Dieppe"," 48","Moncton",42,4,8,65,0,119,325
13007,"Moncton--Dieppe/Moncton--Dieppe"," 49","Moncton",32,4,8,95,0,139,477
13007,"Moncton--Dieppe/Moncton--Dieppe"," 50","Moncton",39,6,7,75,0,127,357
13007,"Moncton--Dieppe/Moncton--Dieppe"," 51","Moncton",18,6,9,70,1,104,310
13007,"Moncton--Dieppe/Moncton--Dieppe"," 52","Moncton",22,7,7,36,1,73,321
13007,"Moncton--Dieppe/Moncton--Dieppe"," 53","Dieppe",34,0,4,41,0,79,327
13007,"Moncton--Dieppe/Moncton--Dieppe"," 54","Dieppe",69,2,11,95,0,177,497
13007,"Moncton--Dieppe/Moncton--Dieppe"," 55","Dieppe",46,3,0,53,1,103,364
13007,"Moncton--Dieppe/Moncton--Dieppe"," 56","Dieppe",30,3,7,66,2,108,450
13007,"Moncton--Dieppe/Moncton--Dieppe"," 57","Dieppe",52,0,8,108,1,169,561
13007,"Moncton--Dieppe/Moncton--Dieppe"," 58","Dieppe",36,2,9,67,2,116,521
13007,"Moncton--Dieppe/Moncton--Dieppe"," 59","Dieppe",26,5,4,91,0,126,443
13007,"Moncton--Dieppe/Moncton--Dieppe"," 60","Dieppe",26,2,5,73,1,107,361
13007,"Moncton--Dieppe/Moncton--Dieppe"," 61","Moncton",46,4,11,48,1,110,453
13007,"Moncton--Dieppe/Moncton--Dieppe"," 62","Moncton",32,4,4,55,1,96,459
13007,"Moncton--Dieppe/Moncton--Dieppe"," 63","Moncton",70,4,6,79,1,160,459
13007,"Moncton--Dieppe/Moncton--Dieppe"," 64","Moncton",54,6,5,75,0,140,418
13007,"Moncton--Dieppe/Moncton--Dieppe"," 65","Moncton",37,6,10,61,0,114,442
13007,"Moncton--Dieppe/Moncton--Dieppe"," 66","Moncton",51,7,9,70,0,137,463
13007,"Moncton--Dieppe/Moncton--Dieppe"," 67","Moncton",27,6,3,56,0,92,319
13007,"Moncton--Dieppe/Moncton--Dieppe"," 68","Moncton",24,7,7,73,2,113,306
13007,"Moncton--Dieppe/Moncton--Dieppe"," 69A","Moncton",24,4,3,27,1,59,271
13007,"Moncton--Dieppe/Moncton--Dieppe"," 69B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°531,,,,,,61
13007,"Moncton--Dieppe/Moncton--Dieppe"," 70","Moncton",23,3,6,52,1,85,312
13007,"Moncton--Dieppe/Moncton--Dieppe"," 71","Moncton",43,4,6,77,0,130,430
13007,"Moncton--Dieppe/Moncton--Dieppe"," 72","Moncton",37,1,3,31,1,73,412
13007,"Moncton--Dieppe/Moncton--Dieppe"," 73","Moncton",45,3,3,85,1,137,516
13007,"Moncton--Dieppe/Moncton--Dieppe"," 74","Moncton",62,5,10,95,0,172,454
13007,"Moncton--Dieppe/Moncton--Dieppe"," 75A","Moncton",49,1,9,80,0,139,506
13007,"Moncton--Dieppe/Moncton--Dieppe"," 75B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°75C,,,,,,60
13007,"Moncton--Dieppe/Moncton--Dieppe"," 75C","Mobile poll/Bureau itinérant",23,1,4,43,0,71,59
13007,"Moncton--Dieppe/Moncton--Dieppe"," 75D","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°75C,,,,,,24
13007,"Moncton--Dieppe/Moncton--Dieppe"," 76","Moncton",47,5,14,59,0,125,411
13007,"Moncton--Dieppe/Moncton--Dieppe"," 77","Dieppe",35,1,1,113,1,151,499
13007,"Moncton--Dieppe/Moncton--Dieppe"," 78","Dieppe",60,3,6,92,1,162,457
13007,"Moncton--Dieppe/Moncton--Dieppe"," 79","Dieppe",37,4,4,85,2,132,430
13007,"Moncton--Dieppe/Moncton--Dieppe"," 80","Dieppe",33,2,6,59,0,100,385
13007,"Moncton--Dieppe/Moncton--Dieppe"," 81","Dieppe",46,4,6,83,0,139,504
13007,"Moncton--Dieppe/Moncton--Dieppe"," 82","Moncton",44,2,5,69,0,120,404
13007,"Moncton--Dieppe/Moncton--Dieppe"," 83","Moncton",54,5,12,53,1,125,406
13007,"Moncton--Dieppe/Moncton--Dieppe"," 84","Moncton",28,6,6,65,2,107,319
13007,"Moncton--Dieppe/Moncton--Dieppe"," 85","Moncton",27,3,2,41,0,73,356
13007,"Moncton--Dieppe/Moncton--Dieppe"," 86","Moncton",41,3,8,88,0,140,479
13007,"Moncton--Dieppe/Moncton--Dieppe"," 87","Moncton",39,4,7,71,0,121,537
13007,"Moncton--Dieppe/Moncton--Dieppe"," 88","Moncton",25,9,3,63,0,100,339
13007,"Moncton--Dieppe/Moncton--Dieppe"," 89","Moncton",19,5,9,54,0,87,314
13007,"Moncton--Dieppe/Moncton--Dieppe"," 90","Moncton",26,6,8,57,1,98,338
13007,"Moncton--Dieppe/Moncton--Dieppe"," 91","Moncton",30,1,4,51,0,86,331
13007,"Moncton--Dieppe/Moncton--Dieppe"," 92","Moncton",26,5,8,52,0,91,379
13007,"Moncton--Dieppe/Moncton--Dieppe"," 93","Moncton",36,6,10,65,3,120,400
13007,"Moncton--Dieppe/Moncton--Dieppe"," 94","Moncton",49,1,1,85,0,136,394
13007,"Moncton--Dieppe/Moncton--Dieppe"," 95","Moncton",51,3,5,81,0,140,457
13007,"Moncton--Dieppe/Moncton--Dieppe"," 96","Moncton",60,3,4,85,1,153,449
13007,"Moncton--Dieppe/Moncton--Dieppe"," 97","Moncton",54,3,9,83,0,149,488
13007,"Moncton--Dieppe/Moncton--Dieppe"," 98","Moncton",68,4,6,95,0,173,587
13007,"Moncton--Dieppe/Moncton--Dieppe"," 99","Moncton",82,2,3,92,1,180,550
13007,"Moncton--Dieppe/Moncton--Dieppe"," 100","Moncton",60,2,2,78,0,142,494
13007,"Moncton--Dieppe/Moncton--Dieppe"," 101","Moncton",65,3,1,85,0,154,456
13007,"Moncton--Dieppe/Moncton--Dieppe"," 102","Moncton",35,1,5,67,0,108,352
13007,"Moncton--Dieppe/Moncton--Dieppe"," 103","Moncton",32,3,8,50,1,94,371
13007,"Moncton--Dieppe/Moncton--Dieppe"," 104","Moncton",31,5,4,37,1,78,347
13007,"Moncton--Dieppe/Moncton--Dieppe"," 105","Moncton",44,4,8,52,2,110,359
13007,"Moncton--Dieppe/Moncton--Dieppe"," 106","Moncton",50,2,3,46,1,102,284
13007,"Moncton--Dieppe/Moncton--Dieppe"," 107","Moncton",41,4,5,56,4,110,410
13007,"Moncton--Dieppe/Moncton--Dieppe"," 108","Moncton",45,6,8,47,0,106,390
13007,"Moncton--Dieppe/Moncton--Dieppe"," 109","Moncton",41,0,6,33,0,80,276
13007,"Moncton--Dieppe/Moncton--Dieppe"," 110","Moncton",60,1,1,39,0,101,246
13007,"Moncton--Dieppe/Moncton--Dieppe"," 111","Moncton",50,3,3,65,0,121,557
13007,"Moncton--Dieppe/Moncton--Dieppe"," 112","Moncton",90,2,2,86,1,181,527
13007,"Moncton--Dieppe/Moncton--Dieppe"," 113","Moncton",95,0,7,117,0,219,639
13007,"Moncton--Dieppe/Moncton--Dieppe"," 114","Moncton",92,1,8,81,1,183,569
13007,"Moncton--Dieppe/Moncton--Dieppe"," 115","Moncton",69,1,3,60,0,133,408
13007,"Moncton--Dieppe/Moncton--Dieppe"," 116","Lutes Mountain",61,4,2,69,2,138,305
13007,"Moncton--Dieppe/Moncton--Dieppe"," 117","Moncton",42,1,0,69,1,113,359
13007,"Moncton--Dieppe/Moncton--Dieppe"," 118","Lutes Mountain",79,1,2,62,2,146,355
13007,"Moncton--Dieppe/Moncton--Dieppe"," 119","Moncton",81,4,1,96,1,183,519
13007,"Moncton--Dieppe/Moncton--Dieppe"," 120","Moncton",85,2,11,91,2,191,548
13007,"Moncton--Dieppe/Moncton--Dieppe"," 121","Moncton",53,2,7,105,3,170,432
13007,"Moncton--Dieppe/Moncton--Dieppe"," 122","Moncton",74,3,10,87,1,175,518
13007,"Moncton--Dieppe/Moncton--Dieppe"," 123","Moncton",53,1,10,121,0,185,431
13007,"Moncton--Dieppe/Moncton--Dieppe"," 124","Moncton",98,4,9,96,0,207,525
13007,"Moncton--Dieppe/Moncton--Dieppe"," 125","Moncton",61,3,8,68,1,141,429
13007,"Moncton--Dieppe/Moncton--Dieppe"," 126","Moncton",43,1,3,107,2,156,425
13007,"Moncton--Dieppe/Moncton--Dieppe"," 127","Moncton",74,2,6,46,0,128,402
13007,"Moncton--Dieppe/Moncton--Dieppe"," 128","Moncton",43,1,7,97,2,150,540
13007,"Moncton--Dieppe/Moncton--Dieppe"," 129","Moncton",63,3,5,53,2,126,339
13007,"Moncton--Dieppe/Moncton--Dieppe"," 130","Moncton",62,0,2,85,0,149,430
13007,"Moncton--Dieppe/Moncton--Dieppe"," 131","Moncton",29,3,6,33,0,71,367
13007,"Moncton--Dieppe/Moncton--Dieppe"," 132","Moncton",28,3,6,73,0,110,448
13007,"Moncton--Dieppe/Moncton--Dieppe"," 133A","Moncton",35,0,12,45,0,92,374
13007,"Moncton--Dieppe/Moncton--Dieppe"," 133B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°542,,,,,,47
13007,"Moncton--Dieppe/Moncton--Dieppe"," 134","Moncton",13,4,6,52,0,75,316
13007,"Moncton--Dieppe/Moncton--Dieppe"," 135","Moncton",29,5,3,71,0,108,398
13007,"Moncton--Dieppe/Moncton--Dieppe"," 136","Moncton",40,10,3,93,2,148,453
13007,"Moncton--Dieppe/Moncton--Dieppe"," 137","Moncton",72,4,9,63,1,149,532
13007,"Moncton--Dieppe/Moncton--Dieppe"," 138","Moncton",38,2,3,65,0,108,396
13007,"Moncton--Dieppe/Moncton--Dieppe"," 139","Moncton",34,4,4,67,1,110,388
13007,"Moncton--Dieppe/Moncton--Dieppe"," 140","Moncton",44,7,11,93,0,155,448
13007,"Moncton--Dieppe/Moncton--Dieppe"," 141","Moncton",32,2,5,56,0,95,431
13007,"Moncton--Dieppe/Moncton--Dieppe"," 142","Moncton",58,2,13,91,0,164,467
13007,"Moncton--Dieppe/Moncton--Dieppe"," 143","Moncton",39,4,3,94,0,140,546
13007,"Moncton--Dieppe/Moncton--Dieppe"," 144","Moncton",63,2,3,111,1,180,515
13007,"Moncton--Dieppe/Moncton--Dieppe"," 145","Moncton",44,2,2,47,1,96,404
13007,"Moncton--Dieppe/Moncton--Dieppe"," 146","Moncton",82,7,3,70,1,163,416
13007,"Moncton--Dieppe/Moncton--Dieppe"," 147","Moncton",77,9,9,109,0,204,549
13007,"Moncton--Dieppe/Moncton--Dieppe"," 148","Moncton",103,5,6,76,2,192,461
13007,"Moncton--Dieppe/Moncton--Dieppe"," 149","Moncton",88,1,13,112,0,214,414
13007,"Moncton--Dieppe/Moncton--Dieppe"," 400","Moncton",23,2,3,38,0,66,207
13007,"Moncton--Dieppe/Moncton--Dieppe"," 401","Moncton",58,3,9,148,10,228,354
13007,"Moncton--Dieppe/Moncton--Dieppe"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,27
13007,"Moncton--Dieppe/Moncton--Dieppe"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°554,,,,,,8
13007,"Moncton--Dieppe/Moncton--Dieppe"," 503","Mobile poll/Bureau itinérant",13,3,6,67,6,95,192
13007,"Moncton--Dieppe/Moncton--Dieppe"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°541,,,,,,21
13007,"Moncton--Dieppe/Moncton--Dieppe"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,22
13007,"Moncton--Dieppe/Moncton--Dieppe"," 506","Mobile poll/Bureau itinérant",18,2,8,59,3,90,123
13007,"Moncton--Dieppe/Moncton--Dieppe"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°554,,,,,,12
13007,"Moncton--Dieppe/Moncton--Dieppe"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°554,,,,,,19
13007,"Moncton--Dieppe/Moncton--Dieppe"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°555,,,,,,10
13007,"Moncton--Dieppe/Moncton--Dieppe"," 510","Mobile poll/Bureau itinérant",20,3,5,31,1,60,26
13007,"Moncton--Dieppe/Moncton--Dieppe"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,66
13007,"Moncton--Dieppe/Moncton--Dieppe"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,11
13007,"Moncton--Dieppe/Moncton--Dieppe"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,45
13007,"Moncton--Dieppe/Moncton--Dieppe"," 514","Mobile poll/Bureau itinérant",9,2,3,64,2,80,66
13007,"Moncton--Dieppe/Moncton--Dieppe"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,63
13007,"Moncton--Dieppe/Moncton--Dieppe"," 516","Mobile poll/Bureau itinérant",9,2,7,162,2,182,126
13007,"Moncton--Dieppe/Moncton--Dieppe"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°541,,,,,,18
13007,"Moncton--Dieppe/Moncton--Dieppe"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°541,,,,,,9
13007,"Moncton--Dieppe/Moncton--Dieppe"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,14
13007,"Moncton--Dieppe/Moncton--Dieppe"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,31
13007,"Moncton--Dieppe/Moncton--Dieppe"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,9
13007,"Moncton--Dieppe/Moncton--Dieppe"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,32
13007,"Moncton--Dieppe/Moncton--Dieppe"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,10
13007,"Moncton--Dieppe/Moncton--Dieppe"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,9
13007,"Moncton--Dieppe/Moncton--Dieppe"," 525","Mobile poll/Bureau itinérant",31,2,6,47,0,86,39
13007,"Moncton--Dieppe/Moncton--Dieppe"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,4
13007,"Moncton--Dieppe/Moncton--Dieppe"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,2
13007,"Moncton--Dieppe/Moncton--Dieppe"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°541,,,,,,35
13007,"Moncton--Dieppe/Moncton--Dieppe"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°555,,,,,,4
13007,"Moncton--Dieppe/Moncton--Dieppe"," 530","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,16
13007,"Moncton--Dieppe/Moncton--Dieppe"," 531","Mobile poll/Bureau itinérant",7,1,1,38,0,47,7
13007,"Moncton--Dieppe/Moncton--Dieppe"," 532","Moncton",Combined with No./Résultats combinés à ceux du n°70,,,,,,3
13007,"Moncton--Dieppe/Moncton--Dieppe"," 533","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°555,,,,,,16
13007,"Moncton--Dieppe/Moncton--Dieppe"," 534","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°542,,,,,,16
13007,"Moncton--Dieppe/Moncton--Dieppe"," 535","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°555,,,,,,9
13007,"Moncton--Dieppe/Moncton--Dieppe"," 536","Mobile poll/Bureau itinérant",11,5,4,21,1,42,30
13007,"Moncton--Dieppe/Moncton--Dieppe"," 537","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°536,,,,,,34
13007,"Moncton--Dieppe/Moncton--Dieppe"," 538","Moncton",Combined with No./Résultats combinés à ceux du n°71,,,,,,1
13007,"Moncton--Dieppe/Moncton--Dieppe"," 539","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°542,,,,,,20
13007,"Moncton--Dieppe/Moncton--Dieppe"," 540","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°536,,,,,,9
13007,"Moncton--Dieppe/Moncton--Dieppe"," 541","Mobile poll/Bureau itinérant",13,5,8,96,2,124,77
13007,"Moncton--Dieppe/Moncton--Dieppe"," 542","Mobile poll/Bureau itinérant",24,7,7,29,1,68,22
13007,"Moncton--Dieppe/Moncton--Dieppe"," 543","Moncton",Combined with No./Résultats combinés à ceux du n°91,,,,,,8
13007,"Moncton--Dieppe/Moncton--Dieppe"," 544","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,25
13007,"Moncton--Dieppe/Moncton--Dieppe"," 545","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°547,,,,,,109
13007,"Moncton--Dieppe/Moncton--Dieppe"," 546","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°547,,,,,,10
13007,"Moncton--Dieppe/Moncton--Dieppe"," 547","Mobile poll/Bureau itinérant",32,3,11,137,12,195,184
13007,"Moncton--Dieppe/Moncton--Dieppe"," 548","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,36
13007,"Moncton--Dieppe/Moncton--Dieppe"," 549","Moncton",Combined with No./Résultats combinés à ceux du n°92,,,,,,0
13007,"Moncton--Dieppe/Moncton--Dieppe"," 550","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,17
13007,"Moncton--Dieppe/Moncton--Dieppe"," 551","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°536,,,,,,13
13007,"Moncton--Dieppe/Moncton--Dieppe"," 552","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,37
13007,"Moncton--Dieppe/Moncton--Dieppe"," 553","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°536,,,,,,8
13007,"Moncton--Dieppe/Moncton--Dieppe"," 554","Mobile poll/Bureau itinérant",52,7,8,50,2,119,183
13007,"Moncton--Dieppe/Moncton--Dieppe"," 555","Mobile poll/Bureau itinérant",24,4,2,42,1,73,75
13007,"Moncton--Dieppe/Moncton--Dieppe"," 600","Moncton",502,19,44,865,6,1436,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 601","Moncton",527,22,35,928,7,1519,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 602","Moncton",530,15,37,863,12,1457,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 603","Moncton",580,16,36,1399,2,2033,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 604","Moncton",606,24,37,1019,4,1690,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 605","Moncton",439,19,61,1051,7,1577,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 606","Moncton",328,40,54,765,5,1192,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 607","Moncton",327,29,58,848,7,1269,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 608","Moncton",432,27,52,1188,16,1715,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 609","Moncton",186,26,54,621,0,887,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 610","Moncton",367,19,54,1082,7,1529,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 611","Moncton",316,22,57,989,16,1400,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 612","Dieppe",661,25,68,1660,2,2416,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 613","Dieppe",282,22,28,1021,6,1359,
13007,"Moncton--Dieppe/Moncton--Dieppe"," 614","Dieppe",356,18,36,1218,6,1634,
13007,"Moncton--Dieppe/Moncton--Dieppe",,Group 1/Groupe 1, 200,16,26,408,27,677,202
13007,"Moncton--Dieppe/Moncton--Dieppe",,Group 2/Groupe 2, 724,29,93,2728,76,3650,
