Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gregory De Luca,Hector Huerta,William Huynh-Jan,Alexandra Mendès,Zeinab Mistou Akkaoui,Soledad Orihuela-Bouchard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 61","Brossard",0,0,20,52,3,13,4,92,372
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 62","Brossard",4,0,39,67,5,27,3,145,374
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 63","Brossard",1,1,32,71,3,22,2,132,329
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 64","Brossard",6,1,29,95,15,18,2,166,475
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 65","Brossard",4,3,19,45,16,13,2,102,462
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 66","Brossard",2,1,35,63,2,17,10,130,342
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 67","Brossard",3,0,50,77,7,26,1,164,437
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 68","Brossard",1,1,26,71,6,15,0,120,359
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 69","Brossard",4,2,31,81,6,11,2,137,380
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 70","Brossard",3,0,26,89,16,16,2,152,451
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 71","Brossard",1,3,30,83,1,27,4,149,493
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 72","Brossard",1,2,36,60,4,8,2,113,345
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 73","Brossard",2,0,21,74,10,35,2,144,412
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 74","Brossard",2,2,28,76,15,13,1,137,404
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 75","Brossard",2,0,31,67,3,18,0,121,335
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 76","Brossard",1,0,45,74,5,12,1,138,388
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 77","Brossard",9,1,42,118,12,11,3,196,538
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 78","Brossard",1,1,28,85,10,9,5,139,359
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 79","Brossard",1,3,23,58,8,16,1,110,351
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 80","Brossard",2,3,26,78,4,9,0,122,343
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 81","Brossard",2,41,42,79,6,11,0,181,370
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 82","Brossard",3,0,49,72,6,8,0,138,369
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 83","Brossard",3,3,26,92,8,17,1,150,444
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 84","Brossard",1,1,27,71,5,18,2,125,335
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 85","Brossard",2,1,53,92,5,34,5,192,417
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 86","Brossard",2,2,22,71,4,21,2,124,353
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 87","Brossard",1,4,43,117,10,18,3,196,459
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 88","Brossard",2,2,36,92,8,24,0,164,434
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 89","Brossard",3,1,53,118,7,38,6,226,497
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 90","Brossard",6,1,29,85,6,25,5,157,441
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 91","Brossard",2,5,49,117,6,36,7,222,550
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 92","Brossard",1,0,38,87,1,24,1,152,365
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 93","Brossard",4,0,48,108,5,36,4,205,462
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 94","Brossard",2,1,33,61,10,22,2,131,383
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 95","Brossard",2,0,31,67,7,12,2,121,341
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 96","Brossard",3,2,68,97,10,19,2,201,582
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 97","Brossard",0,0,41,50,4,9,2,106,435
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 98","Brossard",2,0,52,58,4,18,0,134,459
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 99","Brossard",1,0,26,64,2,15,1,109,467
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 100","Brossard",2,1,73,108,6,30,1,221,634
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 101","Brossard",0,1,15,75,1,12,2,106,529
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 102","Brossard",2,2,33,89,0,8,0,134,362
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 103","Brossard",3,1,37,85,9,11,0,146,395
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 104","Brossard",5,0,56,94,3,18,4,180,556
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 105","Brossard",1,0,33,83,11,28,0,156,398
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 106","Brossard",1,1,30,75,2,8,0,117,352
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 107","Brossard",2,1,49,88,7,27,0,174,444
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 108","Brossard",2,1,54,68,3,5,0,133,416
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 109","Brossard",2,0,61,89,1,3,2,158,451
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 110","Brossard",3,2,45,112,4,20,0,186,415
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 111","Brossard",1,0,34,105,9,22,1,172,457
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 112","Brossard",1,2,43,83,11,25,3,168,415
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 113","Brossard",5,1,38,113,8,30,1,196,660
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 114","Brossard",0,1,30,78,5,10,3,127,385
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 115","Brossard",7,1,62,85,10,27,3,195,550
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 116","Brossard",3,0,27,79,7,4,0,120,336
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 117","Brossard",1,0,37,70,4,15,1,128,405
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 118","Brossard",2,1,38,75,5,15,1,137,377
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 119","Brossard",4,2,33,108,8,23,0,178,523
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 120","Brossard",5,0,32,91,4,24,0,156,413
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 121","Brossard",3,0,43,85,5,17,0,153,422
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 122","Brossard",1,0,41,111,0,15,0,168,460
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 123","Brossard",1,2,35,106,7,7,2,160,437
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 124","Brossard",1,0,35,83,3,16,1,139,438
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 125","Brossard",1,0,36,82,15,4,1,139,381
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 126","Brossard",3,1,27,84,5,13,0,133,391
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 127","Brossard",6,0,18,114,1,23,2,164,416
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 128","Brossard",1,1,44,124,3,22,6,201,376
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 129","Brossard",3,2,12,92,15,9,1,134,341
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 130","Brossard",4,0,43,81,12,10,1,151,506
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 131","Brossard",6,0,27,67,16,10,0,126,381
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 132","Brossard",1,3,35,116,6,10,0,171,416
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 133","Brossard",0,3,60,105,8,18,2,196,696
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 134","Brossard",4,2,37,89,5,16,3,156,342
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 135","Brossard",3,1,40,68,3,27,2,144,396
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 136","Brossard",10,0,27,80,13,8,1,139,361
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 137","Brossard",2,1,52,112,11,24,2,204,540
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 138","Brossard",1,2,25,80,2,15,0,125,348
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 139","Brossard",2,2,33,96,7,29,1,170,428
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 140","Brossard",3,1,36,83,3,18,1,145,326
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 141","Brossard",3,1,31,68,9,13,1,126,349
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 142","Brossard",2,2,29,86,13,34,6,172,530
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 143","Brossard",1,0,37,57,3,19,3,120,471
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 144","Brossard",3,0,50,80,2,4,1,140,384
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 145","Brossard",3,1,28,96,2,20,0,150,438
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 146","Brossard",1,1,39,79,5,11,0,136,328
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 147","Brossard",1,0,20,69,5,11,0,106,366
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 148","Brossard",2,0,57,78,9,22,3,171,807
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 149","Brossard",1,0,24,55,2,18,2,102,411
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 150","Brossard",3,2,44,78,4,26,1,158,535
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 151","Brossard",1,0,27,90,5,26,0,149,657
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 152","Brossard",2,0,5,56,2,29,0,94,373
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 153","Brossard",1,0,41,49,11,9,0,111,347
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 154","Brossard",2,0,49,76,10,13,1,151,459
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 155","Brossard",0,0,28,79,9,10,0,126,399
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 156","Brossard",2,3,42,106,6,11,0,170,382
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 157","Brossard",6,3,44,99,7,32,1,192,476
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 158","Brossard",0,0,57,58,6,3,3,127,372
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 159","Brossard",1,4,27,72,8,12,1,125,351
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 160","Brossard",0,1,56,60,4,0,1,122,371
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 161","Brossard",1,0,53,86,7,23,2,172,500
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 162","Brossard",1,0,27,36,0,2,2,68,375
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 163","Brossard",1,1,42,92,4,19,3,162,481
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 164","Brossard",3,1,39,72,4,16,0,135,473
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 165","Brossard",6,3,50,80,4,9,0,152,390
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 166","Brossard",0,0,11,39,2,15,1,68,519
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 167","Brossard",5,0,55,104,9,10,0,183,503
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 168","Brossard",5,0,31,76,4,18,1,135,457
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 169","Brossard",0,3,41,60,2,1,0,107,318
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 170","Brossard",0,5,32,87,8,2,0,134,408
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 171","Brossard",2,0,30,72,2,9,1,116,410
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 172","Brossard",0,3,49,56,5,7,0,120,393
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 173","Brossard",0,0,41,62,0,0,0,103,297
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 174","Brossard",0,2,43,87,8,1,1,142,482
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 175","Brossard",1,0,30,64,2,15,0,112,342
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 176","Brossard",1,1,49,64,6,3,1,125,415
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 177","Brossard",2,1,43,83,2,12,2,145,408
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 178","Brossard",3,0,28,60,6,17,2,116,339
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 179","Brossard",0,0,30,54,1,7,0,92,338
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 180","Brossard",0,0,24,58,5,5,2,94,316
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 181","Brossard",1,2,30,76,3,11,2,125,425
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 182","Brossard",1,0,45,78,8,17,2,151,420
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 183","Brossard",5,0,39,96,2,7,0,149,397
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 184","Brossard",1,2,74,124,1,21,2,225,578
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 185","Brossard",2,0,43,69,7,16,3,140,434
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 186","Brossard",3,1,27,81,5,13,3,133,383
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 187","Brossard",2,0,48,100,7,23,1,181,464
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 188","Brossard",0,1,27,71,9,9,0,117,334
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 189","Brossard",1,0,39,84,5,4,1,134,372
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 190","Brossard",2,1,36,108,2,5,0,154,420
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 191","Brossard",2,1,49,80,4,19,1,156,471
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 192","Brossard",0,1,44,98,4,7,1,155,422
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 193","Brossard",1,1,69,69,0,16,0,156,447
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 194","Brossard",3,0,67,94,15,8,3,190,486
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 195","Brossard",0,2,23,73,0,8,3,109,356
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 196","Brossard",1,4,34,46,10,8,0,103,394
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 197","Brossard",2,1,57,109,10,16,2,197,612
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 198","Brossard",2,0,49,119,9,27,3,209,481
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 400","Saint-Lambert",5,1,8,177,3,51,11,256,240
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 401","Brossard",1,2,18,196,2,40,13,272,404
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 402","Brossard",8,1,18,175,2,74,4,282,475
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 403","Brossard",2,0,13,149,2,57,3,226,429
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 404","Brossard",2,1,15,139,5,42,10,214,302
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 500","Mobile poll/Bureau itinérant",1,0,1,32,3,11,3,51,78
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,37
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 502","Mobile poll/Bureau itinérant",2,3,6,71,1,19,5,107,157
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,80
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 504","Mobile poll/Bureau itinérant",2,0,14,71,3,11,7,108,76
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,62
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,29
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,97
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 508","Mobile poll/Bureau itinérant",2,0,11,66,1,24,7,111,129
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,69
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 510","Mobile poll/Bureau itinérant",2,0,6,22,0,11,0,41,129
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 600","Saint-Lambert",20,5,102,1077,39,256,9,1508,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 601","Saint-Lambert",29,4,143,1143,55,363,5,1742,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 602","Saint-Lambert",22,5,162,1239,36,227,8,1699,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 603","Saint-Lambert",16,3,125,1037,22,234,8,1445,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 604","Brossard",5,8,190,1313,24,373,12,1925,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 605","Brossard",18,2,181,747,29,133,6,1116,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 606","Brossard",15,12,182,731,39,152,8,1139,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 607","Brossard",14,5,153,519,20,136,18,865,
24015,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 608","Brossard",17,8,226,911,53,199,12,1426,
