Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Paul Lambert,Nash Milani,Zoe Royer,Roland Verrier,Bonita Zarrillo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,49
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,39
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 505","Mobile poll/Bureau itinérant",18,3,35,1,14,1,72,72
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 506","Mobile poll/Bureau itinérant",9,3,32,0,15,0,59,43
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,11
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 508","Mobile poll/Bureau itinérant",8,4,15,1,5,0,33,37
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,7
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 510","Coquitlam",Combined with No./Résultats combinés à ceux du n°191,,,,,,,162
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 600","Anmore",504,8,384,2,114,0,1012,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 601","Coquitlam",544,5,641,2,86,18,1296,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 602","Coquitlam",707,9,867,3,133,3,1722,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 603","Port Moody",771,9,1037,2,164,12,1995,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 604","Port Moody",696,8,1082,2,336,13,2137,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 605","Port Moody",561,25,872,3,301,12,1774,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 606","Port Moody",462,4,660,0,289,2,1417,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 607","Coquitlam",542,15,647,2,252,3,1461,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 608","Coquitlam",496,2,513,2,149,11,1173,
59025,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 609","Coquitlam",723,7,598,0,276,9,1613,
