Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mel Arnold,John Michael Henry,Phaedra Idzan,Owen Madden,Ken Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 41","Kamloops",38,3,8,3,49,0,101,349
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 42","Kamloops",38,0,5,2,46,0,91,300
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 43","Kamloops",69,1,16,4,70,4,164,417
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 44","Kamloops",88,1,8,3,64,9,173,470
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 45","Kamloops",82,0,12,3,96,0,193,489
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 46","Kamloops",46,2,11,3,56,0,118,467
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 47","Kamloops",44,1,3,2,57,0,107,382
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 48","Kamloops",58,2,10,3,49,0,122,395
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 49","Kamloops",43,0,6,3,62,1,115,407
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 50","Kamloops",45,1,16,9,57,0,128,408
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 51","Kamloops",33,0,3,2,29,1,68,273
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 52","Kamloops",20,1,0,1,57,0,79,249
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 53","Kamloops",43,2,27,6,91,0,169,453
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 54","Kamloops",45,1,9,3,96,1,155,455
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 55","Kamloops",48,2,7,5,114,0,176,460
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 56","Kamloops",54,0,4,2,105,0,165,489
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 57","Kamloops",43,1,8,4,94,0,150,445
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 58","Kamloops",121,4,12,8,86,1,232,575
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 59","Kamloops",137,2,24,6,97,0,266,654
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 60","Kamloops",93,4,12,4,107,2,222,499
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 61","Kamloops",142,0,7,1,88,0,238,606
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 62","Kamloops",172,2,5,3,143,0,325,701
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 63","Kamloops",74,0,3,1,63,0,141,335
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 64","Kamloops",58,0,6,1,58,0,123,276
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 65","Kamloops",102,1,14,5,75,2,199,487
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 66","Kamloops",116,0,16,2,96,0,230,477
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 67","Kamloops",83,3,6,2,85,0,179,364
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 68","Kamloops",72,1,8,6,87,0,174,393
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 69","Kamloops",83,5,8,5,83,1,185,408
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 70","Kamloops",107,0,6,2,114,0,229,468
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 71","Kamloops",216,1,14,6,178,0,415,987
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 72","Sorrento",96,2,10,6,58,2,174,461
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 73","Sorrento",138,0,8,8,62,1,217,520
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 74","Kamloops",119,3,10,3,84,0,219,639
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 75","Kamloops",89,3,10,0,34,0,136,385
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 76","Kamloops",116,4,11,3,81,1,216,520
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 77","Kamloops",86,0,3,1,41,0,131,482
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 78","Kamloops",80,0,5,0,23,1,109,309
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 79","Kamloops",89,1,15,2,59,0,166,523
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 80","Blind Bay",106,1,5,6,43,0,161,524
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 81","Columbia Shuswap C",55,1,0,1,20,0,77,365
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 82","Columbia Shuswap C",71,1,6,0,44,0,122,412
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 83","Columbia Shuswap C",88,1,6,2,42,2,141,406
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 84","Columbia Shuswap C",91,0,2,4,29,1,127,419
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 85","Columbia Shuswap C",88,0,8,2,41,0,139,403
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 86","Blind Bay",68,0,2,4,45,1,120,447
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 87","Blind Bay",79,1,2,2,39,0,123,370
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 88","Eagle Bay",136,1,9,8,98,1,253,516
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 89","Notch Hill",83,1,6,3,61,1,155,417
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 90","Notch Hill",126,0,6,6,56,0,194,483
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 91","Chase",34,3,36,3,63,0,139,335
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 92","Chase",104,1,9,5,61,0,180,606
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 93","Chase",65,2,7,5,30,0,109,482
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 94","Chase",73,0,11,5,27,0,116,484
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 95","Thompson-Nicola L (Grasslands)",72,2,10,1,56,0,141,546
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 96","Chase",Combined with No./Résultats combinés à ceux du n°91,,,,,,,159
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 97","Chase",113,3,4,5,60,2,187,572
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 98","Balmoral",124,1,7,6,44,1,183,453
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 99","White Lake",150,6,24,11,79,2,272,468
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 100","Knutsford",167,4,16,4,98,0,289,588
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 101","Kamloops",172,1,10,2,95,0,280,693
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 102","Campbell Creek",197,4,7,3,88,0,299,666
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 103","Tappen",70,0,5,4,29,0,108,254
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 104","Tappen",140,0,10,5,42,0,197,482
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 105","Tappen",Combined with No./Résultats combinés à ceux du n°103,,,,,,,70
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 106","Sunnybrae",126,2,12,12,70,1,223,465
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 107","Sunnybrae",157,4,6,5,87,0,259,496
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 108","Pritchard",200,5,6,7,72,2,292,447
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 109","Pritchard",133,2,3,0,42,1,181,335
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 110","Sicamous",122,5,7,4,51,0,189,537
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 111","Sicamous",75,0,4,4,30,0,113,424
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 112","Sicamous",65,3,9,1,27,0,105,420
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 113","Sicamous",94,4,6,3,21,0,128,412
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 114","Sicamous",103,1,2,2,33,1,142,490
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 115","Sicamous",100,4,12,4,30,0,150,491
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 116","Six Mile Point",70,0,6,5,21,1,103,263
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 117","Kamloops",96,0,14,2,56,0,168,448
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 118","Kamloops",111,2,9,3,63,0,188,482
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 119","Kamloops",74,0,9,4,40,0,127,316
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 120","Kamloops",153,0,4,6,73,0,236,527
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 121","Kamloops",126,4,8,0,58,0,196,446
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 122","Salmon Arm",75,3,10,3,71,0,162,465
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 123","Salmon Arm",125,1,11,5,66,5,213,563
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 124","Canoe",124,2,10,5,66,0,207,529
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 125","Salmon Arm",133,6,11,7,92,1,250,660
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 126","Salmon Arm",109,4,6,7,69,1,196,522
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 127","Salmon Arm",130,3,11,3,54,1,202,604
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 128","Salmon Arm",13,0,1,2,16,0,32,133
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 129","Salmon Arm",98,7,1,2,36,0,144,383
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 130","Salmon Arm",8,0,6,1,2,0,17,51
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 131","Salmon Arm",37,1,4,1,34,0,77,312
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 132","Salmon Arm",69,1,12,12,58,1,153,557
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 133","Salmon Arm",51,2,10,5,34,0,102,500
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 134","Salmon Arm",41,2,12,4,41,0,100,446
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 135","Salmon Arm",76,4,10,7,41,2,140,638
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 136","Salmon Arm",103,3,13,4,43,0,166,587
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 137","Salmon Arm",103,0,8,3,60,0,174,504
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 138","Salmon Arm",87,2,12,3,62,2,168,545
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 139","Salmon Arm",104,2,12,8,64,0,190,662
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 140","Salmon Arm",93,7,11,7,47,0,165,566
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 141","Salmon Arm",48,2,13,4,30,0,97,471
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 142","Salmon Arm",112,2,8,11,66,0,199,602
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 143","Salmon Arm",95,1,11,7,47,0,161,539
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 144","Salmon Arm",63,2,17,9,58,3,152,464
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 145","Salmon Arm",105,3,11,7,74,3,203,565
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 146","Salmon Arm",98,2,7,4,53,1,165,520
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 147","Salmon Arm",108,3,16,10,67,0,204,561
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 148","Salmon Arm",76,1,16,14,47,1,155,411
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 149","Salmon Arm",53,2,2,5,25,0,87,369
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 150","Salmon Arm",99,3,14,6,66,0,188,574
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 151","Salmon Arm",106,2,9,9,72,0,198,587
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 152","Salmon Arm",61,0,13,4,51,1,130,509
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 153","Salmon Arm",70,0,7,1,52,1,131,316
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 154","Salmon Arm",113,0,19,12,66,1,211,568
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 155","Grandview Bench",186,3,20,13,56,6,284,508
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 156","Revelstoke",60,2,22,7,118,0,209,545
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 157","Revelstoke",90,0,23,9,76,0,198,567
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 158","Revelstoke",72,1,13,5,125,0,216,544
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 159","Revelstoke",65,2,12,7,112,0,198,513
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 160","Revelstoke",62,3,13,3,101,0,182,511
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 161","Silver Creek",197,7,6,12,53,0,275,533
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 162","Yankee Flats",182,4,10,6,81,0,283,500
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 163","Monte Lake",211,4,10,8,70,1,304,495
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 164","Glenogle",74,4,8,6,76,0,168,538
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 165","Golden",59,0,7,4,73,0,143,463
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 166","Golden--Kicking Horse",94,0,10,10,54,2,170,406
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 167","Mara",134,1,5,9,33,1,183,394
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 168","Falkland",187,2,18,2,62,2,273,402
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 169","Falkland",212,3,8,11,60,3,297,472
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 170","Falkland",251,4,11,5,70,2,343,571
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 171","Ranchero",150,6,9,4,40,0,209,467
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 172","Ranchero",127,3,3,6,32,0,171,374
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 173","Deep Creek",143,2,12,3,36,0,196,535
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 174","Deep Creek",83,1,11,7,61,0,163,328
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 175","Kingfisher",110,2,10,19,47,0,188,339
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 176","Grindrod",192,6,15,12,55,2,282,532
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 177","Deep Creek",145,5,10,6,48,1,215,562
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 178","Enderby",103,2,7,4,38,0,154,421
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 179","North Okanagan F",111,0,8,4,31,0,154,486
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 180","Enderby",97,1,9,1,32,1,141,455
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 181","Enderby",105,1,6,4,21,0,137,437
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 182","Enderby",73,3,10,4,34,0,124,465
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 183","Enderby",58,0,6,8,28,2,102,380
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 184","Enderby",49,3,9,5,45,0,111,416
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 185","Enderby 2",79,2,9,9,37,0,136,537
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 186","Ashton Creek",97,4,8,9,22,1,141,295
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 187","Ashton Creek",50,4,8,8,30,0,100,190
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 188","Spallumcheen--Hullcar",Combined with No./Résultats combinés à ceux du n°189,,,,,,,30
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 189","Spallumcheen--Hullcar",105,1,8,2,39,0,155,533
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 190","Spallumcheen",103,3,1,2,28,0,137,517
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 191","Spallumcheen",145,3,6,2,34,0,190,494
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 192","North Okanagan F",84,0,5,2,39,0,130,398
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 193","Armstrong",61,3,8,1,33,0,106,402
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 194","Armstrong",77,0,3,7,34,1,122,384
59014,"Kamloops--Shuswap--Central Rockies/Kamloops--Shuswap--Central Rockies"," 195","Armstrong",83,1,7,7,28,3,129,401
