Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Maxime Bernier,Maryelle-Henriette Doumbia,Jason Groleau,Annabelle Lafond-Poirier,Gaétan Mathieu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Beauce/Beauce"," 55","Vallée-Jonction",15,31,125,2,36,2,211,342
24006,"Beauce/Beauce"," 56","Vallée-Jonction",11,50,172,5,33,0,271,446
24006,"Beauce/Beauce"," 57","Saint-Elzéar",6,31,151,4,25,7,224,369
24006,"Beauce/Beauce"," 58","Saint-Elzéar",5,32,136,3,40,5,221,339
24006,"Beauce/Beauce"," 59","Saint-Elzéar",9,21,155,1,27,5,218,333
24006,"Beauce/Beauce"," 60","Saint-Elzéar",11,20,136,3,13,1,184,312
24006,"Beauce/Beauce"," 61","Saint-Elzéar",8,22,146,3,18,4,201,322
24006,"Beauce/Beauce"," 62","Saint-Elzéar",5,44,162,3,27,1,242,370
24006,"Beauce/Beauce"," 63","Saint-Benjamin",15,43,138,4,34,3,237,437
24006,"Beauce/Beauce"," 64","Saint-Benjamin",8,30,143,1,37,2,221,454
24006,"Beauce/Beauce"," 65","Saint-Joseph-de-Beauce",8,32,127,1,40,2,210,453
24006,"Beauce/Beauce"," 66","Saint-Joseph-de-Beauce",10,17,143,0,19,1,190,407
24006,"Beauce/Beauce"," 67","Saint-Joseph-de-Beauce",9,30,97,7,36,4,183,394
24006,"Beauce/Beauce"," 68","Saint-Joseph-de-Beauce",16,22,73,7,22,3,143,420
24006,"Beauce/Beauce"," 69","Saint-Joseph-de-Beauce",10,29,96,3,23,3,164,421
24006,"Beauce/Beauce"," 70","Saint-Joseph-de-Beauce",10,20,149,0,21,1,201,430
24006,"Beauce/Beauce"," 71","Saint-Joseph-de-Beauce",5,19,142,4,18,2,190,446
24006,"Beauce/Beauce"," 72","Saint-Joseph-de-Beauce",8,24,98,0,16,2,148,418
24006,"Beauce/Beauce"," 73","Saint-Joseph-de-Beauce",7,18,102,2,24,2,155,375
24006,"Beauce/Beauce"," 74","Saint-Joseph-des-Érables",8,26,92,1,20,0,147,347
24006,"Beauce/Beauce"," 75","Saint-Prosper",8,28,90,3,26,5,160,347
24006,"Beauce/Beauce"," 76","Saint-Prosper",8,15,121,4,15,3,166,420
24006,"Beauce/Beauce"," 77A","Saint-Prosper",5,18,89,3,24,1,140,381
24006,"Beauce/Beauce"," 77B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,8
24006,"Beauce/Beauce"," 78","Saint-Prosper",11,25,77,3,28,0,144,344
24006,"Beauce/Beauce"," 79","Saint-Prosper",7,29,97,5,14,4,156,373
24006,"Beauce/Beauce"," 80","Saint-Prosper",13,35,84,2,29,2,165,367
24006,"Beauce/Beauce"," 81","Saint-Prosper",14,22,139,6,24,3,208,459
24006,"Beauce/Beauce"," 82","Saint-Prosper",13,21,100,4,23,3,164,343
24006,"Beauce/Beauce"," 83","Sainte-Aurélie",10,57,124,4,29,2,226,359
24006,"Beauce/Beauce"," 84","Sainte-Aurélie",26,38,109,7,46,4,230,357
24006,"Beauce/Beauce"," 85","Beauceville",15,28,147,8,21,3,222,476
24006,"Beauce/Beauce"," 86","Beauceville",21,20,134,1,21,2,199,398
24006,"Beauce/Beauce"," 87","Beauceville",6,30,134,3,45,4,222,483
24006,"Beauce/Beauce"," 88","Beauceville",8,30,134,2,25,2,201,469
24006,"Beauce/Beauce"," 89","Beauceville",9,48,93,3,23,6,182,453
24006,"Beauce/Beauce"," 90","Beauceville",11,34,106,2,26,2,181,467
24006,"Beauce/Beauce"," 91","Saint-Séverin",6,30,72,3,42,4,157,250
24006,"Beauce/Beauce"," 92","Saint-Frédéric",20,42,157,4,22,4,249,415
24006,"Beauce/Beauce"," 93","Saint-Frédéric",15,42,189,5,28,5,284,451
24006,"Beauce/Beauce"," 94","Saint-Simon-les-Mines",11,49,206,5,41,9,321,473
24006,"Beauce/Beauce"," 95","Saint-Zacharie",17,36,120,3,22,2,200,343
24006,"Beauce/Beauce"," 96","Saint-Zacharie",6,35,106,3,29,6,185,342
24006,"Beauce/Beauce"," 97","Saint-Zacharie",17,42,110,4,19,3,195,356
24006,"Beauce/Beauce"," 98","Saint-Zacharie",24,33,137,0,9,1,204,363
24006,"Beauce/Beauce"," 99","Tring-Jonction",17,33,186,0,18,6,260,380
24006,"Beauce/Beauce"," 100","Tring-Jonction",18,38,199,6,28,5,294,434
24006,"Beauce/Beauce"," 101","Tring-Jonction",13,31,205,3,18,3,273,397
24006,"Beauce/Beauce"," 102","Saint-Philibert",25,30,118,3,29,4,209,296
24006,"Beauce/Beauce"," 103","Beauceville",10,32,123,3,24,3,195,500
24006,"Beauce/Beauce"," 104","Beauceville",6,46,151,1,44,2,250,526
24006,"Beauce/Beauce"," 105","Beauceville",10,47,145,4,33,4,243,512
24006,"Beauce/Beauce"," 106","Beauceville",8,49,133,0,52,2,244,519
24006,"Beauce/Beauce"," 107","Saint-Georges",22,11,128,4,26,6,197,468
24006,"Beauce/Beauce"," 108","Saint-Georges",16,25,144,3,28,0,216,491
24006,"Beauce/Beauce"," 109","Saint-Georges",9,28,106,5,33,1,182,484
24006,"Beauce/Beauce"," 110","Saint-Georges",14,22,84,6,28,3,157,478
24006,"Beauce/Beauce"," 111","Saint-Georges",13,44,105,5,26,2,195,475
24006,"Beauce/Beauce"," 112","Saint-Georges",14,65,201,10,41,5,336,646
24006,"Beauce/Beauce"," 113","Saint-Georges",Combined with No./Résultats combinés à ceux du n°112,,,,,,,124
24006,"Beauce/Beauce"," 114","Saint-Georges",9,24,94,6,29,2,164,450
24006,"Beauce/Beauce"," 115A","Saint-Georges",9,52,182,4,45,6,298,683
24006,"Beauce/Beauce"," 115B","Saint-Georges",8,36,112,3,29,1,189,464
24006,"Beauce/Beauce"," 116","Saint-Georges",9,43,144,3,29,5,233,489
24006,"Beauce/Beauce"," 117","Saint-Georges",10,49,73,5,15,5,157,551
24006,"Beauce/Beauce"," 118","Notre-Dame-des-Pins",7,52,173,6,37,0,275,477
24006,"Beauce/Beauce"," 119","Notre-Dame-des-Pins",11,45,161,8,22,10,257,457
24006,"Beauce/Beauce"," 120","Notre-Dame-des-Pins",15,52,152,5,32,7,263,411
24006,"Beauce/Beauce"," 121","Saint-Jules-de-Beauce",14,25,218,1,27,7,292,394
24006,"Beauce/Beauce"," 122","Saint-Georges",23,36,136,3,25,5,228,499
24006,"Beauce/Beauce"," 123","Saint-Georges",10,36,142,2,24,3,217,511
24006,"Beauce/Beauce"," 124","Saint-Georges",18,42,130,1,23,4,218,541
24006,"Beauce/Beauce"," 125","Saint-Georges",5,57,125,9,35,0,231,528
24006,"Beauce/Beauce"," 126","Saint-Georges",10,39,104,4,23,3,183,463
24006,"Beauce/Beauce"," 127","Saint-Georges",9,19,136,3,23,2,192,487
24006,"Beauce/Beauce"," 128","Saint-Georges",8,43,98,1,38,1,189,487
24006,"Beauce/Beauce"," 129","Saint-Georges",10,47,124,8,45,5,239,545
24006,"Beauce/Beauce"," 130","Saint-Georges",12,34,79,3,32,1,161,537
24006,"Beauce/Beauce"," 131","Saint-Georges",9,28,83,3,25,3,151,437
24006,"Beauce/Beauce"," 132","Saint-Georges",4,43,50,3,18,2,120,367
24006,"Beauce/Beauce"," 133","Saint-Georges",8,34,63,0,34,1,140,436
24006,"Beauce/Beauce"," 134","Saint-Georges",13,16,60,1,21,0,111,420
24006,"Beauce/Beauce"," 135","Saint-Georges",12,27,91,3,15,5,153,486
24006,"Beauce/Beauce"," 136","Saint-Georges",16,24,55,0,21,1,117,418
24006,"Beauce/Beauce"," 137","Saint-Georges",1,30,28,0,6,7,72,126
24006,"Beauce/Beauce"," 138","Saint-Alfred",24,33,190,2,47,2,298,436
24006,"Beauce/Beauce"," 139","Saint-Georges",15,30,161,5,30,3,244,509
24006,"Beauce/Beauce"," 140","Saint-Georges",7,35,169,8,27,3,249,571
24006,"Beauce/Beauce"," 141","Saint-Georges",14,24,103,4,29,2,176,460
24006,"Beauce/Beauce"," 142","Saint-Georges",16,29,131,6,28,5,215,503
24006,"Beauce/Beauce"," 143","Saint-Georges",12,36,102,3,22,0,175,451
24006,"Beauce/Beauce"," 144","Saint-Georges",16,36,121,5,24,1,203,500
24006,"Beauce/Beauce"," 145","Saint-Georges",16,25,125,4,33,5,208,470
24006,"Beauce/Beauce"," 146","Saint-Georges",18,51,137,4,31,3,244,517
24006,"Beauce/Beauce"," 147","Saint-Georges",22,41,110,2,41,5,221,500
24006,"Beauce/Beauce"," 148","Saint-Georges",12,39,93,0,19,4,167,473
24006,"Beauce/Beauce"," 149","Saint-Georges",19,27,84,9,24,3,166,491
24006,"Beauce/Beauce"," 150","Saint-Georges",6,34,156,5,17,3,221,457
24006,"Beauce/Beauce"," 151","Saint-Georges",16,49,87,3,29,5,189,492
24006,"Beauce/Beauce"," 152","Saint-Georges",11,35,123,0,31,3,203,504
24006,"Beauce/Beauce"," 153","Saint-Georges",13,31,151,1,39,1,236,518
24006,"Beauce/Beauce"," 154","Saint-Georges",14,40,126,4,34,1,219,507
24006,"Beauce/Beauce"," 155","Saint-Côme--Linière",24,25,213,6,25,5,298,467
24006,"Beauce/Beauce"," 156","Saint-Côme--Linière",9,31,193,5,22,1,261,434
24006,"Beauce/Beauce"," 157","Saint-Côme--Linière",14,32,155,2,19,3,225,406
24006,"Beauce/Beauce"," 158","Saint-Côme--Linière",11,38,133,3,16,2,203,374
24006,"Beauce/Beauce"," 159","Saint-Côme--Linière",18,36,135,4,17,5,215,390
24006,"Beauce/Beauce"," 160","Saint-Côme--Linière",15,44,142,5,27,1,234,445
24006,"Beauce/Beauce"," 161","Saint-Victor-Station",10,25,124,2,21,2,184,364
24006,"Beauce/Beauce"," 162","Saint-Victor",10,21,116,3,26,0,176,400
24006,"Beauce/Beauce"," 163","Saint-Victor",10,31,157,0,21,4,223,411
24006,"Beauce/Beauce"," 164","Saint-Victor",7,20,130,5,14,6,182,388
24006,"Beauce/Beauce"," 165","Saint-Victor",7,23,111,3,19,1,164,333
24006,"Beauce/Beauce"," 166","Saint-Georges",15,20,94,6,24,3,162,457
24006,"Beauce/Beauce"," 167","Saint-Georges",14,39,101,2,32,1,189,511
24006,"Beauce/Beauce"," 168","Saint-Georges",11,29,110,6,34,5,195,488
24006,"Beauce/Beauce"," 169","Saint-Georges",14,39,169,1,19,5,247,447
24006,"Beauce/Beauce"," 170","Saint-Georges",8,31,115,3,36,9,202,477
24006,"Beauce/Beauce"," 171","Saint-Georges",9,46,111,1,24,2,193,487
24006,"Beauce/Beauce"," 172","Saint-Georges",17,48,159,13,41,1,279,523
24006,"Beauce/Beauce"," 173","Saint-Georges",16,33,163,6,22,2,242,511
24006,"Beauce/Beauce"," 174","Saint-Benoît-Labre",17,24,114,4,35,0,194,336
24006,"Beauce/Beauce"," 175","Saint-Benoît-Labre",7,49,115,1,26,4,202,366
24006,"Beauce/Beauce"," 176","Saint-Benoît-Labre",17,27,150,5,35,4,238,394
24006,"Beauce/Beauce"," 177","Saint-Benoît-Labre",19,27,129,3,15,6,199,330
24006,"Beauce/Beauce"," 178","Saint-René",10,11,165,7,29,1,223,386
24006,"Beauce/Beauce"," 179","Saint-René",22,27,131,0,16,3,199,332
24006,"Beauce/Beauce"," 180","Saint-Georges",12,24,125,0,19,1,181,279
24006,"Beauce/Beauce"," 181","Saint-Georges",15,26,132,2,13,0,188,294
24006,"Beauce/Beauce"," 182","Saint-Éphrem-de-Beauce",8,19,179,1,15,3,225,361
24006,"Beauce/Beauce"," 183","Saint-Éphrem-de-Beauce",15,28,180,2,17,0,242,382
24006,"Beauce/Beauce"," 184","Saint-Éphrem-de-Beauce",7,17,132,10,27,2,195,350
24006,"Beauce/Beauce"," 185","Saint-Éphrem-de-Beauce",11,22,190,4,14,2,243,393
24006,"Beauce/Beauce"," 186","Saint-Éphrem-de-Beauce",16,32,189,0,10,3,250,380
24006,"Beauce/Beauce"," 187","Saint-Théophile",26,32,97,4,28,2,189,276
24006,"Beauce/Beauce"," 188","Saint-Théophile",19,28,118,1,14,3,183,297
24006,"Beauce/Beauce"," 189","Saint-Martin",6,16,109,6,28,1,166,400
24006,"Beauce/Beauce"," 190","Saint-Martin",14,17,137,2,16,1,187,393
24006,"Beauce/Beauce"," 191","Saint-Martin",10,25,91,1,16,1,144,351
24006,"Beauce/Beauce"," 192A","Saint-Martin",17,15,142,2,18,6,200,407
24006,"Beauce/Beauce"," 192B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,12
24006,"Beauce/Beauce"," 193","Saint-Martin",14,20,108,4,14,7,167,404
24006,"Beauce/Beauce"," 194","Saint-Honoré-de-Shenley",14,28,177,2,24,3,248,383
24006,"Beauce/Beauce"," 195","Shenley",23,33,155,4,18,1,234,400
24006,"Beauce/Beauce"," 196","Saint-Honoré",19,35,154,1,30,2,241,392
24006,"Beauce/Beauce"," 197A","La Guadeloupe",15,42,130,1,33,5,226,333
24006,"Beauce/Beauce"," 197B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°535,,,,,,,23
24006,"Beauce/Beauce"," 198","La Guadeloupe",7,25,164,7,15,1,219,317
24006,"Beauce/Beauce"," 199","La Guadeloupe",15,37,130,1,23,2,208,323
24006,"Beauce/Beauce"," 200","La Guadeloupe",8,29,108,1,28,1,175,328
24006,"Beauce/Beauce"," 201","Saint-Évariste-de-Forsyth",4,27,82,3,21,2,139,215
24006,"Beauce/Beauce"," 202","Saint-Évariste-de-Forsyth",8,22,83,1,16,4,134,207
24006,"Beauce/Beauce"," 203","Saint-Gédéon-de-Beauce",9,24,130,5,9,5,182,303
24006,"Beauce/Beauce"," 204","Saint-Gédéon-de-Beauce",15,24,142,5,12,3,201,344
24006,"Beauce/Beauce"," 205","Saint-Gédéon-de-Beauce",7,27,121,4,13,3,175,306
24006,"Beauce/Beauce"," 206","Saint-Gédéon-de-Beauce",14,26,153,3,19,3,218,364
24006,"Beauce/Beauce"," 207","Saint-Gédéon-de-Beauce",10,26,138,2,19,3,198,320
24006,"Beauce/Beauce"," 208","Saint-Hilaire-de-Dorset",2,9,37,2,9,1,60,91
24006,"Beauce/Beauce"," 400","Sainte-Marie",5,83,51,2,26,9,176,284
24006,"Beauce/Beauce"," 401","Notre-Dame-des-Pins",4,37,32,1,10,4,88,126
24006,"Beauce/Beauce"," 402","Saint-Georges",10,107,68,6,21,6,218,274
24006,"Beauce/Beauce"," 403","Saint-Georges",22,63,48,1,18,13,165,242
24006,"Beauce/Beauce"," 404","Saint-Georges",9,100,79,3,34,10,235,350
24006,"Beauce/Beauce"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,21
24006,"Beauce/Beauce"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,10
24006,"Beauce/Beauce"," 502","Mobile poll/Bureau itinérant",1,25,16,1,8,5,56,38
24006,"Beauce/Beauce"," 503","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
24006,"Beauce/Beauce"," 504","Mobile poll/Bureau itinérant",11,16,20,2,6,2,57,15
24006,"Beauce/Beauce"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,24
24006,"Beauce/Beauce"," 506","Mobile poll/Bureau itinérant",8,12,10,0,10,1,41,20
24006,"Beauce/Beauce"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,7
24006,"Beauce/Beauce"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,18
24006,"Beauce/Beauce"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,16
24006,"Beauce/Beauce"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,17
24006,"Beauce/Beauce"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,26
24006,"Beauce/Beauce"," 512","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
24006,"Beauce/Beauce"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,7
24006,"Beauce/Beauce"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,1
24006,"Beauce/Beauce"," 515","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
24006,"Beauce/Beauce"," 516","Mobile poll/Bureau itinérant",1,4,5,0,10,0,20,10
24006,"Beauce/Beauce"," 517","Mobile poll/Bureau itinérant",9,25,20,2,11,5,72,49
24006,"Beauce/Beauce"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,36
24006,"Beauce/Beauce"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,9
24006,"Beauce/Beauce"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,26
24006,"Beauce/Beauce"," 521","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
24006,"Beauce/Beauce"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,20
24006,"Beauce/Beauce"," 523","Mobile poll/Bureau itinérant",2,29,13,2,8,0,54,54
24006,"Beauce/Beauce"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,23
24006,"Beauce/Beauce"," 525","Mobile poll/Bureau itinérant",13,15,13,0,4,1,46,12
24006,"Beauce/Beauce"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,14
24006,"Beauce/Beauce"," 527","Mobile poll/Bureau itinérant",11,11,18,1,1,9,51,19
24006,"Beauce/Beauce"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,57
24006,"Beauce/Beauce"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,26
24006,"Beauce/Beauce"," 530","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,26
24006,"Beauce/Beauce"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°535,,,,,,,18
24006,"Beauce/Beauce"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,20
24006,"Beauce/Beauce"," 533","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°535,,,,,,,8
24006,"Beauce/Beauce"," 534","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
24006,"Beauce/Beauce"," 535","Mobile poll/Bureau itinérant",5,13,17,1,7,2,45,31
24006,"Beauce/Beauce"," 536","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,14
24006,"Beauce/Beauce"," 600","Saint-Isidore",38,200,500,12,159,9,918,
24006,"Beauce/Beauce"," 601","Scott",42,214,450,8,109,5,828,
24006,"Beauce/Beauce"," 602","Sainte-Marie",38,225,394,13,129,7,806,
24006,"Beauce/Beauce"," 603","Sainte-Marie",24,178,324,10,129,7,672,
24006,"Beauce/Beauce"," 604","Saint-Bernard--Saint-Elzéar",44,179,421,9,110,12,775,
24006,"Beauce/Beauce"," 605","Vallée-Jonction",18,122,341,16,76,6,579,
24006,"Beauce/Beauce"," 606","Saint-Joseph",28,136,344,8,97,4,617,
24006,"Beauce/Beauce"," 607","Frampton--Saint-Odilon-de-Cranbourne",42,104,369,6,61,8,590,
24006,"Beauce/Beauce"," 608","Beauceville",73,274,599,24,212,27,1209,
24006,"Beauce/Beauce"," 609","Saint-Victor--Saint-Éphrem-de-Beauce",29,144,479,14,101,6,773,
24006,"Beauce/Beauce"," 610","Saint-Benoît-Labre",79,248,670,14,169,11,1191,
24006,"Beauce/Beauce"," 611","Notre-Dame-des-Pins",55,252,489,8,177,13,994,
24006,"Beauce/Beauce"," 612","Saint-Georges",80,248,404,19,162,14,927,
24006,"Beauce/Beauce"," 613","Saint-Georges",86,295,526,24,219,15,1165,
24006,"Beauce/Beauce"," 614","Saint-Georges",54,273,523,7,153,9,1019,
24006,"Beauce/Beauce"," 615","Saint-Georges",75,277,725,13,181,16,1287,
24006,"Beauce/Beauce"," 616","Saint-Benjamin--Saint-Prosper",29,160,437,19,102,11,758,
24006,"Beauce/Beauce"," 617","Saint-Zacharie--Saint-Prosper",36,87,258,6,40,11,438,
24006,"Beauce/Beauce"," 618","Saint-Côme–Linière",61,151,436,14,86,7,755,
24006,"Beauce/Beauce"," 619","Saint-Gédéon-de-Beauce--Saint-Martin",30,137,439,14,82,7,709,
24006,"Beauce/Beauce"," 620","La Guadeloupe--Saint-Honoré-de-Shenley",17,53,141,4,41,3,259,
24006,"Beauce/Beauce",,Group 1/Groupe 1, 16,104,100,20,44,15,299,101
24006,"Beauce/Beauce",,Group 2/Groupe 2, 70,358,552,18,207,37,1242,
