Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Najeeb Butt,George Chahal,Benjamin Cridland,Dalwinder Gill,Syed Hasnain,Arlington Antonio Santiago,Evelyn Tanaka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48009,"Calgary McKnight/Calgary McKnight"," 49","Calgary",0,88,0,58,0,4,0,0,150,543
48009,"Calgary McKnight/Calgary McKnight"," 50","Calgary",0,93,0,53,0,0,1,2,149,418
48009,"Calgary McKnight/Calgary McKnight"," 51","Calgary",1,35,1,43,2,1,3,1,87,337
48009,"Calgary McKnight/Calgary McKnight"," 52","Calgary",0,87,1,75,0,4,1,4,172,448
48009,"Calgary McKnight/Calgary McKnight"," 53","Calgary",1,80,1,88,1,0,1,2,174,417
48009,"Calgary McKnight/Calgary McKnight"," 54","Calgary",0,108,0,95,1,7,0,9,220,525
48009,"Calgary McKnight/Calgary McKnight"," 55","Calgary",2,63,0,45,0,1,0,2,113,346
48009,"Calgary McKnight/Calgary McKnight"," 56","Calgary",0,75,1,56,0,3,1,0,136,381
48009,"Calgary McKnight/Calgary McKnight"," 57","Calgary",0,51,0,59,0,8,1,0,119,343
48009,"Calgary McKnight/Calgary McKnight"," 58","Calgary",2,63,1,62,0,8,3,1,140,399
48009,"Calgary McKnight/Calgary McKnight"," 59","Calgary",1,50,0,66,0,5,2,3,127,324
48009,"Calgary McKnight/Calgary McKnight"," 60","Calgary",3,43,2,62,1,4,1,1,117,328
48009,"Calgary McKnight/Calgary McKnight"," 61","Calgary",1,69,0,84,0,7,2,0,163,438
48009,"Calgary McKnight/Calgary McKnight"," 62","Calgary",2,74,1,84,0,7,1,2,171,379
48009,"Calgary McKnight/Calgary McKnight"," 63","Calgary",3,84,0,111,0,7,1,1,207,507
48009,"Calgary McKnight/Calgary McKnight"," 64","Calgary",2,41,1,79,0,11,1,2,137,368
48009,"Calgary McKnight/Calgary McKnight"," 65","Calgary",1,90,1,62,0,5,2,1,162,392
48009,"Calgary McKnight/Calgary McKnight"," 66","Calgary",0,61,1,74,0,1,0,2,139,368
48009,"Calgary McKnight/Calgary McKnight"," 67","Calgary",1,43,1,57,0,2,0,1,105,362
48009,"Calgary McKnight/Calgary McKnight"," 68","Calgary",0,33,1,35,0,4,0,1,74,309
48009,"Calgary McKnight/Calgary McKnight"," 69","Calgary",1,66,1,62,2,6,2,3,143,426
48009,"Calgary McKnight/Calgary McKnight"," 70","Calgary",1,69,0,90,0,13,2,3,178,497
48009,"Calgary McKnight/Calgary McKnight"," 71","Calgary",1,66,0,68,0,4,0,0,139,518
48009,"Calgary McKnight/Calgary McKnight"," 72","Calgary",2,185,2,156,0,5,0,6,356,1042
48009,"Calgary McKnight/Calgary McKnight"," 73","Calgary",1,56,1,49,1,2,0,0,110,412
48009,"Calgary McKnight/Calgary McKnight"," 74","Calgary",0,66,0,63,1,1,1,0,132,421
48009,"Calgary McKnight/Calgary McKnight"," 75","Calgary",1,83,0,67,0,0,0,0,151,349
48009,"Calgary McKnight/Calgary McKnight"," 76","Calgary",1,70,0,69,0,0,0,0,140,355
48009,"Calgary McKnight/Calgary McKnight"," 77","Calgary",1,65,3,57,0,2,0,1,129,363
48009,"Calgary McKnight/Calgary McKnight"," 78","Calgary",1,51,0,39,0,3,0,2,96,293
48009,"Calgary McKnight/Calgary McKnight"," 79","Calgary",1,57,0,58,1,10,2,3,132,403
48009,"Calgary McKnight/Calgary McKnight"," 80","Calgary",1,34,1,87,1,7,1,2,134,399
48009,"Calgary McKnight/Calgary McKnight"," 81","Calgary",1,51,0,54,0,2,0,0,108,401
48009,"Calgary McKnight/Calgary McKnight"," 82","Calgary",1,49,0,49,0,3,1,1,104,385
48009,"Calgary McKnight/Calgary McKnight"," 83","Calgary",1,49,1,64,0,6,1,2,124,418
48009,"Calgary McKnight/Calgary McKnight"," 84","Calgary",4,58,0,89,0,7,1,0,159,470
48009,"Calgary McKnight/Calgary McKnight"," 85","Calgary",1,41,0,60,1,3,2,3,111,375
48009,"Calgary McKnight/Calgary McKnight"," 86","Calgary",0,47,0,77,1,5,1,1,132,450
48009,"Calgary McKnight/Calgary McKnight"," 87","Calgary",1,35,0,62,0,9,0,0,107,335
48009,"Calgary McKnight/Calgary McKnight"," 88","Calgary",2,73,2,81,0,10,3,8,179,448
48009,"Calgary McKnight/Calgary McKnight"," 89","Calgary",0,46,0,56,0,1,1,4,108,402
48009,"Calgary McKnight/Calgary McKnight"," 90","Calgary",1,46,0,59,1,10,3,3,123,367
48009,"Calgary McKnight/Calgary McKnight"," 91","Calgary",0,45,0,54,1,5,3,3,111,394
48009,"Calgary McKnight/Calgary McKnight"," 92","Calgary",2,44,1,59,1,4,1,2,114,404
48009,"Calgary McKnight/Calgary McKnight"," 93","Calgary",3,67,0,76,0,5,4,2,157,476
48009,"Calgary McKnight/Calgary McKnight"," 94","Calgary",2,59,0,75,2,6,1,2,147,474
48009,"Calgary McKnight/Calgary McKnight"," 95","Calgary",0,62,0,52,0,10,0,1,125,373
48009,"Calgary McKnight/Calgary McKnight"," 96","Calgary",0,46,2,55,0,4,1,4,112,341
48009,"Calgary McKnight/Calgary McKnight"," 97","Calgary",0,37,1,55,1,6,2,3,105,447
48009,"Calgary McKnight/Calgary McKnight"," 98","Calgary",0,82,0,59,2,1,0,3,147,490
48009,"Calgary McKnight/Calgary McKnight"," 99","Calgary",1,47,0,54,0,10,3,4,119,369
48009,"Calgary McKnight/Calgary McKnight"," 100","Calgary",0,54,0,44,0,3,1,1,103,361
48009,"Calgary McKnight/Calgary McKnight"," 101","Calgary",0,88,0,66,0,4,2,0,160,528
48009,"Calgary McKnight/Calgary McKnight"," 102","Calgary",2,53,0,58,0,3,0,0,116,370
48009,"Calgary McKnight/Calgary McKnight"," 103","Calgary",0,57,1,54,0,7,0,0,119,396
48009,"Calgary McKnight/Calgary McKnight"," 104","Calgary",0,63,0,59,0,2,0,2,126,384
48009,"Calgary McKnight/Calgary McKnight"," 105","Calgary",0,83,0,108,0,3,1,0,195,637
48009,"Calgary McKnight/Calgary McKnight"," 106","Calgary",2,71,2,90,0,9,2,2,178,521
48009,"Calgary McKnight/Calgary McKnight"," 107","Calgary",3,64,0,75,0,5,4,0,151,402
48009,"Calgary McKnight/Calgary McKnight"," 108","Calgary",1,46,0,53,0,5,1,1,107,373
48009,"Calgary McKnight/Calgary McKnight"," 109","Calgary",2,33,1,103,1,15,1,3,159,457
48009,"Calgary McKnight/Calgary McKnight"," 110","Calgary",2,49,1,83,0,5,2,2,144,421
48009,"Calgary McKnight/Calgary McKnight"," 111","Calgary",2,73,0,93,2,8,1,2,181,439
48009,"Calgary McKnight/Calgary McKnight"," 112","Calgary",4,42,1,74,0,2,2,6,131,428
48009,"Calgary McKnight/Calgary McKnight"," 113","Calgary",1,38,1,85,0,3,0,2,130,377
48009,"Calgary McKnight/Calgary McKnight"," 114","Calgary",1,45,0,53,1,1,0,5,106,428
48009,"Calgary McKnight/Calgary McKnight"," 115","Calgary",6,40,2,44,1,6,0,3,102,391
48009,"Calgary McKnight/Calgary McKnight"," 116","Calgary",0,46,1,50,0,7,2,0,106,356
48009,"Calgary McKnight/Calgary McKnight"," 117","Calgary",0,59,1,76,2,2,1,2,143,474
48009,"Calgary McKnight/Calgary McKnight"," 118","Calgary",1,54,0,86,0,6,1,1,149,427
48009,"Calgary McKnight/Calgary McKnight"," 119","Calgary",1,52,1,75,0,1,0,2,132,463
48009,"Calgary McKnight/Calgary McKnight"," 120","Calgary",1,75,0,83,0,5,3,1,168,404
48009,"Calgary McKnight/Calgary McKnight"," 121","Calgary",2,62,1,96,1,11,2,1,176,504
48009,"Calgary McKnight/Calgary McKnight"," 122","Calgary",4,62,1,115,0,5,2,4,193,456
48009,"Calgary McKnight/Calgary McKnight"," 123","Calgary",0,51,1,66,0,13,1,2,134,428
48009,"Calgary McKnight/Calgary McKnight"," 124","Calgary",3,60,1,62,0,9,1,1,137,397
48009,"Calgary McKnight/Calgary McKnight"," 125","Calgary",0,58,0,92,0,10,2,2,164,442
48009,"Calgary McKnight/Calgary McKnight"," 126","Calgary",2,47,3,70,0,3,2,3,130,408
48009,"Calgary McKnight/Calgary McKnight"," 127","Calgary",1,75,2,80,0,8,0,1,167,396
48009,"Calgary McKnight/Calgary McKnight"," 128","Calgary",1,66,1,56,0,3,3,1,131,485
48009,"Calgary McKnight/Calgary McKnight"," 129","Calgary",2,39,1,50,0,3,0,1,96,366
48009,"Calgary McKnight/Calgary McKnight"," 130","Calgary",1,47,1,59,0,2,0,1,111,472
48009,"Calgary McKnight/Calgary McKnight"," 131","Calgary",1,48,0,52,0,4,0,0,105,414
48009,"Calgary McKnight/Calgary McKnight"," 132","Calgary",1,61,3,85,0,7,2,5,164,504
48009,"Calgary McKnight/Calgary McKnight"," 133","Calgary",1,57,1,56,0,1,0,0,116,321
48009,"Calgary McKnight/Calgary McKnight"," 134","Calgary",3,51,1,64,0,7,1,0,127,445
48009,"Calgary McKnight/Calgary McKnight"," 135","Calgary",2,56,2,91,0,4,1,1,157,491
48009,"Calgary McKnight/Calgary McKnight"," 136","Calgary",0,59,1,63,1,4,2,0,130,482
48009,"Calgary McKnight/Calgary McKnight"," 137","Calgary",0,47,0,92,0,1,0,0,140,447
48009,"Calgary McKnight/Calgary McKnight"," 138","Calgary",1,58,1,51,1,7,1,1,121,460
48009,"Calgary McKnight/Calgary McKnight"," 139","Calgary",2,47,0,89,1,4,2,0,145,504
48009,"Calgary McKnight/Calgary McKnight"," 140","Calgary",4,49,0,77,0,1,1,0,132,386
48009,"Calgary McKnight/Calgary McKnight"," 141","Calgary",0,67,0,77,1,2,2,0,149,460
48009,"Calgary McKnight/Calgary McKnight"," 142","Calgary",1,44,0,61,0,6,0,1,113,388
48009,"Calgary McKnight/Calgary McKnight"," 143","Calgary",1,38,1,65,0,1,1,0,107,380
48009,"Calgary McKnight/Calgary McKnight"," 144","Calgary",0,43,1,36,0,4,0,3,87,335
48009,"Calgary McKnight/Calgary McKnight"," 145A","Calgary",2,47,0,67,0,5,2,4,127,375
48009,"Calgary McKnight/Calgary McKnight"," 145B","Mobile poll/Bureau itinérant",3,69,1,49,1,5,5,6,139,102
48009,"Calgary McKnight/Calgary McKnight"," 146","Calgary",2,40,0,64,0,3,0,0,109,360
48009,"Calgary McKnight/Calgary McKnight"," 147","Calgary",1,35,0,54,1,2,0,4,97,291
48009,"Calgary McKnight/Calgary McKnight"," 148","Calgary",2,37,0,57,0,6,0,3,105,340
48009,"Calgary McKnight/Calgary McKnight"," 149","Calgary",1,67,1,41,0,6,2,4,122,430
48009,"Calgary McKnight/Calgary McKnight"," 150","Calgary",2,69,0,65,0,9,1,1,147,491
48009,"Calgary McKnight/Calgary McKnight"," 151","Calgary",0,62,0,61,0,5,0,1,129,397
48009,"Calgary McKnight/Calgary McKnight"," 152","Calgary",1,44,0,59,0,5,1,2,112,419
48009,"Calgary McKnight/Calgary McKnight"," 153","Calgary",2,61,1,73,0,5,0,1,143,423
48009,"Calgary McKnight/Calgary McKnight"," 154","Calgary",3,62,0,61,0,5,0,1,132,355
48009,"Calgary McKnight/Calgary McKnight"," 155","Calgary",3,71,0,69,0,7,1,4,155,442
48009,"Calgary McKnight/Calgary McKnight"," 156","Calgary",3,36,0,60,1,1,1,3,105,355
48009,"Calgary McKnight/Calgary McKnight"," 157","Calgary",2,54,1,37,0,6,2,1,103,394
48009,"Calgary McKnight/Calgary McKnight"," 158","Calgary",3,37,0,79,0,8,2,1,130,436
48009,"Calgary McKnight/Calgary McKnight"," 159","Calgary",0,49,0,50,1,8,1,0,109,372
48009,"Calgary McKnight/Calgary McKnight"," 160","Calgary",1,52,2,73,1,1,1,4,135,584
48009,"Calgary McKnight/Calgary McKnight"," 161","Calgary",0,38,0,48,0,3,1,0,90,299
48009,"Calgary McKnight/Calgary McKnight"," 162","Calgary",0,33,1,68,0,4,0,0,106,458
48009,"Calgary McKnight/Calgary McKnight"," 163","Calgary",1,40,1,54,0,2,0,0,98,411
48009,"Calgary McKnight/Calgary McKnight"," 164","Calgary",0,60,1,80,2,2,0,1,146,457
48009,"Calgary McKnight/Calgary McKnight"," 165","Calgary",1,59,0,60,2,1,0,6,129,448
48009,"Calgary McKnight/Calgary McKnight"," 166","Calgary",0,53,1,68,0,6,1,2,131,450
48009,"Calgary McKnight/Calgary McKnight"," 167","Calgary",3,53,3,91,0,2,1,2,155,425
48009,"Calgary McKnight/Calgary McKnight"," 168","Calgary",1,44,0,84,0,3,0,1,133,344
48009,"Calgary McKnight/Calgary McKnight"," 169","Calgary",2,51,3,83,0,8,2,0,149,387
48009,"Calgary McKnight/Calgary McKnight"," 170","Calgary",2,34,1,85,0,3,3,0,128,371
48009,"Calgary McKnight/Calgary McKnight"," 171","Calgary",1,35,0,63,0,4,1,2,106,324
48009,"Calgary McKnight/Calgary McKnight"," 172","Calgary",1,66,0,59,0,3,0,1,130,440
48009,"Calgary McKnight/Calgary McKnight"," 173","Calgary",0,41,1,74,0,4,0,0,120,451
48009,"Calgary McKnight/Calgary McKnight"," 174","Calgary",0,49,0,44,1,4,1,1,100,401
48009,"Calgary McKnight/Calgary McKnight"," 175","Calgary",2,65,5,50,0,4,0,0,126,448
48009,"Calgary McKnight/Calgary McKnight"," 500","Mobile poll/Bureau itinérant",4,48,3,67,0,9,5,7,143,244
48009,"Calgary McKnight/Calgary McKnight"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,37
48009,"Calgary McKnight/Calgary McKnight"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,56
48009,"Calgary McKnight/Calgary McKnight"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°145B,,,,,,,,,57
48009,"Calgary McKnight/Calgary McKnight"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°145B,,,,,,,,,48
48009,"Calgary McKnight/Calgary McKnight"," 505","Mobile poll/Bureau itinérant",1,47,0,42,2,4,2,1,99,139
48009,"Calgary McKnight/Calgary McKnight"," 600","Calgary",4,378,4,371,3,21,1,6,788,
48009,"Calgary McKnight/Calgary McKnight"," 601","Calgary",3,667,0,482,4,19,5,26,1206,
48009,"Calgary McKnight/Calgary McKnight"," 602","Calgary",4,540,1,514,2,21,2,17,1101,
48009,"Calgary McKnight/Calgary McKnight"," 603","Calgary",4,459,3,482,3,18,1,9,979,
48009,"Calgary McKnight/Calgary McKnight"," 604","Calgary",3,564,3,353,1,19,6,6,955,
48009,"Calgary McKnight/Calgary McKnight"," 605","Calgary",5,528,2,440,3,29,6,5,1018,
48009,"Calgary McKnight/Calgary McKnight"," 606","Calgary",6,722,2,581,2,24,3,17,1357,
48009,"Calgary McKnight/Calgary McKnight"," 607","Calgary",4,447,9,518,1,36,5,18,1038,
48009,"Calgary McKnight/Calgary McKnight"," 608","Calgary",8,400,5,463,0,25,6,5,912,
48009,"Calgary McKnight/Calgary McKnight"," 609","Calgary",4,333,1,387,0,8,4,10,747,
48009,"Calgary McKnight/Calgary McKnight"," 610","Calgary",19,656,4,714,4,43,6,11,1457,
48009,"Calgary McKnight/Calgary McKnight"," 611","Calgary",7,515,4,510,1,13,7,8,1065,
48009,"Calgary McKnight/Calgary McKnight"," 612","Calgary",11,446,4,542,2,24,8,4,1041,
48009,"Calgary McKnight/Calgary McKnight"," 613","Calgary",6,470,1,553,1,23,4,9,1067,
48009,"Calgary McKnight/Calgary McKnight"," 614","Calgary",2,446,3,496,4,24,7,21,1003,
48009,"Calgary McKnight/Calgary McKnight"," 615","Calgary",11,488,6,546,3,28,9,5,1096,
48009,"Calgary McKnight/Calgary McKnight",,Group 1/Groupe 1, 10,301,0,254,7,24,6,37,639,192
48009,"Calgary McKnight/Calgary McKnight",,Group 2/Groupe 2, 2,370,3,500,0,16,8,29,928,
