Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michael Penman,Jamie Schmale,Alyea Teel,Nell Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 17","Dysart et al",0,60,1,47,1,109,396
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 18","Dysart et al",5,58,10,65,2,140,410
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 19","Dysart et al",3,35,6,33,0,77,271
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 20","Highlands East",1,53,2,53,0,109,417
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 21","Minden Hills",0,52,3,43,0,98,345
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 22","Minden Hills",4,57,2,41,2,106,322
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 23","Cardiff",7,164,13,51,1,236,423
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 24","Paudash Lake",1,82,7,61,1,152,352
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 25","Paudash Lake",3,60,4,60,0,127,276
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 26","Little Hawk Lake",2,134,8,86,1,231,438
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 27","Maple Lake",4,117,7,96,0,224,412
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 28","Stanhope",6,102,12,103,0,223,397
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 29","Minden Hills",4,77,1,46,0,128,391
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 30","Carnarvon",1,92,4,79,1,177,394
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 31","Minden Hills",5,71,4,61,0,141,378
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 32","Wilberforce",4,74,7,30,0,115,382
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 33","Monmouth",0,42,5,25,0,72,207
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 34","Wilberforce",1,57,2,36,0,96,325
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 35","Monmouth",3,43,1,18,0,65,220
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 36","Glen Alda",7,132,11,68,0,218,376
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 37","Glamorgan",1,113,11,81,0,206,389
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 38","Gooderham",8,127,14,70,1,220,412
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 39","Irondale",3,96,9,53,0,161,405
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 40","Minden Hills",1,68,5,36,0,110,312
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 41","Minden Hills",5,72,4,43,0,124,390
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 42","Minden Hills",4,75,2,31,0,112,347
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 43","Minden Hills",2,66,5,27,1,101,341
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 44","Minden Hills",4,53,3,37,1,98,273
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 45","Snowdon",1,55,2,28,0,86,356
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 46","Minden Hills",0,84,10,36,1,131,371
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 47","Minden",1,78,7,36,2,124,398
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 48","Gelert",1,69,4,56,0,130,351
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 49","Lutterworth",2,73,4,49,0,128,410
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 50","Lutterworth",1,73,8,52,2,136,397
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 51","Buller",3,43,4,41,0,91,371
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 52","North Kawartha",4,113,6,83,0,206,387
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 53","Chandos",2,130,7,99,1,239,461
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 54","Jack Lake",2,75,6,54,0,137,268
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 55","North Kawartha",3,81,5,48,0,137,269
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 56","Cavendish",2,104,9,113,1,229,435
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 57","Galway",1,86,12,73,1,173,294
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 58","Galway",2,98,13,70,2,185,322
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 59","Kawartha Lakes",5,152,11,84,5,257,455
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 60","Kawartha Lakes",7,103,12,64,4,190,426
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 61","Kawartha Lakes",1,116,5,38,3,163,399
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 62","Kawartha Lakes",0,129,10,62,0,201,361
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 63A","Kawartha Lakes",2,91,4,20,1,118,239
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 63B","Kawartha Lakes",3,77,5,33,2,120,229
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 64","Kawartha Lakes",3,111,6,71,1,192,351
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 65","Kawartha Lakes",0,70,2,49,0,121,245
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 66","Kawartha Lakes",0,67,3,39,0,109,372
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 67","Kawartha Lakes",4,90,8,53,0,155,347
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 68","North Kawartha",5,74,4,49,1,133,432
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 69","North Kawartha",0,45,5,44,2,96,241
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 70","Burleigh Falls",3,74,7,41,0,125,274
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 71","Trent Lakes",3,77,4,31,1,116,424
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 72","Trent Lakes",0,75,5,33,0,113,391
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 73","Rockcroft",0,33,0,34,2,69,298
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 74","Rockcroft",0,29,1,10,0,40,251
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 75","Buckhorn",1,63,5,62,0,131,381
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 76","Buckhorn",5,106,7,68,2,188,412
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 77","Trent Lakes",0,84,7,71,2,164,389
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 78","Trent Lakes",0,90,6,34,2,132,425
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 79","Trent Lakes",3,68,6,27,0,104,293
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 80","Kawartha Lakes",3,82,7,53,1,146,408
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 81","Kawartha Lakes",3,106,2,26,0,137,345
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 82","Kawartha Lakes",4,89,2,34,0,129,386
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 83","Kawartha Lakes",1,83,6,74,0,164,403
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 84","Kawartha Lakes",7,90,6,31,1,135,374
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 85","Kawartha Lakes",2,107,5,65,2,181,397
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 86","Kawartha Lakes",2,121,9,32,0,164,410
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 87","Kawartha Lakes",2,72,4,65,0,143,394
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 88","Kawartha Lakes",7,85,8,34,2,136,447
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 89","Kawartha Lakes",2,90,9,76,0,177,460
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 90","Kawartha Lakes",2,81,7,40,2,132,371
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 91","Lakehurst",3,74,7,57,0,141,312
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 92","Lakehurst",0,79,5,50,2,136,359
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 93","Kawartha Hideaway",2,72,2,43,1,120,390
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 94","Kawartha Lakes",7,92,4,25,0,128,328
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 95","Kawartha Lakes",1,83,4,35,1,124,356
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 96","Kawartha Lakes",0,64,2,51,0,117,340
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 97","Kawartha Lakes",2,65,7,41,1,116,330
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 98","Kawartha Lakes",4,93,8,87,0,192,477
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 99","Kawartha Lakes",2,85,7,59,0,153,482
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 100","Kawartha Lakes",4,84,5,32,0,125,433
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 101","Kawartha Lakes",1,71,11,48,0,131,400
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 102","Kawartha Lakes",2,104,5,56,1,168,397
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 103","Kawartha Lakes",2,100,7,46,0,155,390
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 104","Kawartha Lakes",0,72,7,35,1,115,343
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 105","Kawartha Lakes",3,96,8,33,1,141,416
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 106","Kawartha Lakes",0,59,7,43,0,109,315
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 107","Kawartha Lakes",2,73,7,34,0,116,439
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 108","Kawartha Lakes",1,32,3,52,1,89,372
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 109","Kawartha Lakes",0,51,1,47,0,99,363
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 110","Kawartha Lakes",1,48,2,53,0,104,395
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 111","Kawartha Lakes",1,58,5,47,0,111,377
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 112","Kawartha Lakes",1,67,6,33,2,109,304
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 113","Kawartha Lakes",1,82,9,55,0,147,402
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 114","Kawartha Lakes",1,121,10,46,1,179,418
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 115","Kawartha Lakes",0,93,5,70,0,168,440
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 116","Kawartha Lakes",4,172,8,73,0,257,421
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 117","Kawartha Lakes",4,188,10,54,4,260,396
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 118","Kawartha Lakes",5,162,9,29,1,206,395
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 119","Kawartha Lakes",1,110,6,52,0,169,312
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 120","Kawartha Lakes",2,120,14,55,3,194,324
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 121","Kawartha Lakes",4,170,8,69,3,254,402
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 122","Kawartha Lakes",1,93,8,71,0,173,384
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 123","Kawartha Lakes",5,101,7,54,1,168,413
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 124","Kawartha Lakes",2,107,7,41,1,158,386
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 125","Kawartha Lakes",2,138,8,48,2,198,424
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 126","Kawartha Lakes",3,96,8,80,1,188,404
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 127","Kawartha Lakes",4,145,3,59,0,211,412
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 128A","Kawartha Lakes",8,97,9,60,1,175,354
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 128B","Kawartha Lakes",1,58,5,29,0,93,183
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 129A","Kawartha Lakes",0,83,4,34,0,121,274
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 129B","Kawartha Lakes",2,66,1,31,1,101,230
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 130","Kawartha Lakes",4,125,13,65,2,209,407
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 131","Kawartha Lakes",3,137,10,57,1,208,427
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 132","Kawartha Lakes",3,144,11,78,1,237,397
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 133","Kawartha Lakes",0,97,4,55,0,156,429
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 134","Kawartha Lakes",4,170,11,79,0,264,454
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 135","Kawartha Lakes",2,129,14,54,0,199,444
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 136","Kawartha Lakes",1,125,10,49,0,185,406
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 137","Kawartha Lakes",2,110,12,104,0,228,412
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 138","Kawartha Lakes",5,103,11,38,0,157,322
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 139","Kawartha Lakes",5,124,6,90,0,225,442
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 140","Kawartha Lakes",2,92,4,44,0,142,315
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 141","Kawartha Lakes",0,91,3,21,1,116,289
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 142","Kawartha Lakes",3,136,7,44,0,190,324
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 143","Kawartha Lakes",2,174,7,56,1,240,399
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 144","Kawartha Lakes",3,146,11,34,2,196,348
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 145","Kawartha Lakes",1,122,8,45,0,176,367
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 146","Kawartha Lakes",2,110,3,58,0,173,306
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 147","Kawartha Lakes",3,125,3,48,2,181,331
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 148","Kawartha Lakes",1,120,5,77,1,204,409
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 149","Kawartha Lakes",1,153,4,47,4,209,366
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 150","Kawartha Lakes",3,97,5,42,0,147,395
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 151","Kawartha Lakes",2,94,6,44,1,147,386
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 152","Kawartha Lakes",1,123,2,35,0,161,380
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 153A","Kawartha Lakes",2,63,9,23,0,97,243
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 153B","Kawartha Lakes",2,47,5,59,0,113,301
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 154","Kawartha Lakes",1,109,9,75,0,194,443
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 155","Kawartha Lakes",3,105,8,42,1,159,372
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 156","Kawartha Lakes",2,132,2,87,0,223,416
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 157","Kawartha Lakes",3,100,7,48,2,160,363
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 158","Kawartha Lakes",2,85,12,61,2,162,402
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 159","Kawartha Lakes",0,86,4,53,2,145,328
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 160","Kawartha Lakes",2,119,9,72,0,202,434
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 161","Kawartha Lakes",1,116,10,82,0,209,521
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 162A","Kawartha Lakes",4,70,12,50,0,136,313
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 162B","Kawartha Lakes",3,73,4,49,1,130,278
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 163","Kawartha Lakes",0,88,3,49,3,143,332
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 164","Kawartha Lakes",1,100,9,81,0,191,448
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 165","Kawartha Lakes",4,98,8,66,1,177,453
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 166","Kawartha Lakes",1,106,8,75,0,190,474
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 167","Kawartha Lakes",3,103,12,57,1,176,496
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 168","Kawartha Lakes",2,87,14,40,0,143,554
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 169","Kawartha Lakes",5,109,5,63,2,184,518
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 170","Kawartha Lakes",7,96,8,39,0,150,412
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 171","Kawartha Lakes",2,71,9,55,1,138,390
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 172","Kawartha Lakes",3,89,13,59,0,164,497
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 173","Kawartha Lakes",3,110,10,46,0,169,501
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 174","Kawartha Lakes",3,67,12,37,1,120,382
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 175","Kawartha Lakes",0,83,4,65,4,156,367
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 176","Kawartha Lakes",0,42,7,53,0,102,371
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 177","Kawartha Lakes",1,71,8,85,1,166,480
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 178","Kawartha Lakes",3,68,9,42,0,122,531
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 179","Kawartha Lakes",0,82,6,39,0,127,462
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 180","Kawartha Lakes",3,84,16,52,0,155,477
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 181","Kawartha Lakes",0,98,9,47,2,156,468
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 182","Kawartha Lakes",0,71,0,49,0,120,310
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 183","Kawartha Lakes",1,90,7,66,1,165,474
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 184","Kawartha Lakes",2,75,5,30,0,112,337
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 185","Kawartha Lakes",1,28,2,48,1,80,288
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 186","Kawartha Lakes",5,81,22,54,1,163,479
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 187","Kawartha Lakes",4,96,6,52,0,158,520
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 188","Kawartha Lakes",7,113,10,37,0,167,470
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 189","Kawartha Lakes",2,102,13,81,2,200,509
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 190","Kawartha Lakes",0,81,8,82,2,173,503
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 191","Kawartha Lakes",1,105,10,38,0,154,417
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 192","Kawartha Lakes",1,133,1,48,1,184,428
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 193","Kawartha Lakes",8,76,7,39,0,130,317
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 194","Kawartha Lakes",7,110,9,36,2,164,453
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 195","Kawartha Lakes",0,64,5,34,0,103,328
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 196","Kawartha Lakes",1,68,6,30,0,105,304
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 197","Kawartha Lakes",5,77,10,75,1,168,509
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 198","Kawartha Lakes",1,102,2,68,3,176,494
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 199","Kawartha Lakes",0,75,2,55,2,134,468
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 200","Kawartha Lakes",2,109,3,35,0,149,418
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 201","Kawartha Lakes",1,104,10,24,1,140,341
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 202","Kawartha Lakes",2,105,7,33,5,152,392
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 203","Kawartha Lakes",0,114,8,33,0,155,393
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 204","Kawartha Lakes",0,112,6,22,0,140,385
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 205","Kawartha Lakes",1,68,3,24,1,97,382
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 206","Kawartha Lakes",3,144,9,48,1,205,467
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 207","Kawartha Lakes",2,104,5,54,2,167,489
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 208","Cavan Monaghan",0,91,5,68,0,164,271
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 209","Cavan Monaghan",4,111,6,91,0,212,356
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 210","Cavan Monaghan",1,66,4,48,0,119,296
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 211","Cavan Monaghan",1,121,7,63,0,192,354
35035,"Haliburton--Kawartha Lakes/Haliburton--Kawartha Lakes"," 212","Kawartha Lakes",3,132,11,89,2,237,418
