Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amir Hart,Liane Kotler,Melissa Lantsman,William McCarty,Dominic Piotrowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35106,"Thornhill/Thornhill"," 158","Vaughan",3,72,78,3,1,3,160,377
35106,"Thornhill/Thornhill"," 159","Vaughan",1,111,143,11,2,4,272,825
35106,"Thornhill/Thornhill"," 160","Vaughan",4,75,70,0,0,3,152,316
35106,"Thornhill/Thornhill"," 161","Vaughan",2,48,60,3,2,2,117,446
35106,"Thornhill/Thornhill"," 162","Vaughan",0,25,22,2,1,0,50,72
35106,"Thornhill/Thornhill"," 163","Vaughan",0,42,70,5,1,0,118,423
35106,"Thornhill/Thornhill"," 164","Vaughan",0,46,68,0,0,2,116,530
35106,"Thornhill/Thornhill"," 165","Vaughan",0,45,111,2,1,0,159,452
35106,"Thornhill/Thornhill"," 166","Vaughan",0,53,88,2,1,2,146,444
35106,"Thornhill/Thornhill"," 167","Vaughan",1,68,69,2,1,0,141,429
35106,"Thornhill/Thornhill"," 168","Vaughan",3,46,99,2,1,0,151,462
35106,"Thornhill/Thornhill"," 169","Vaughan",1,63,95,5,1,2,167,442
35106,"Thornhill/Thornhill"," 170","Vaughan",4,61,80,4,1,5,155,382
35106,"Thornhill/Thornhill"," 171","Vaughan",1,36,64,3,2,6,112,263
35106,"Thornhill/Thornhill"," 172","Vaughan",0,41,61,1,0,0,103,443
35106,"Thornhill/Thornhill"," 173","Vaughan",1,96,119,4,2,1,223,512
35106,"Thornhill/Thornhill"," 174","Vaughan",3,62,73,3,1,2,144,351
35106,"Thornhill/Thornhill"," 175","Vaughan",3,91,116,4,1,5,220,539
35106,"Thornhill/Thornhill"," 176","Vaughan",1,117,95,2,4,1,220,528
35106,"Thornhill/Thornhill"," 177","Vaughan",3,75,87,6,2,5,178,499
35106,"Thornhill/Thornhill"," 178","Vaughan",1,82,101,9,2,1,196,498
35106,"Thornhill/Thornhill"," 179","Vaughan",1,94,90,7,1,3,196,372
35106,"Thornhill/Thornhill"," 180","Vaughan",1,92,75,6,4,3,181,439
35106,"Thornhill/Thornhill"," 400","Markham",1,132,74,10,0,6,223,314
35106,"Thornhill/Thornhill"," 401","Markham",0,47,19,2,0,1,69,116
35106,"Thornhill/Thornhill"," 402","Markham",2,65,80,3,0,1,151,231
35106,"Thornhill/Thornhill"," 403","Markham",4,68,69,0,1,0,142,239
35106,"Thornhill/Thornhill"," 404","Markham",2,50,69,5,0,1,127,214
35106,"Thornhill/Thornhill"," 405","Markham",0,60,67,3,0,0,130,228
35106,"Thornhill/Thornhill"," 406","Markham",1,91,44,2,0,4,142,190
35106,"Thornhill/Thornhill"," 407","Vaughan",0,19,74,1,0,5,99,181
35106,"Thornhill/Thornhill"," 408","Vaughan",0,14,61,0,0,2,77,177
35106,"Thornhill/Thornhill"," 409","Vaughan",2,31,61,1,2,0,97,147
35106,"Thornhill/Thornhill"," 410","Vaughan",1,36,122,0,1,2,162,268
35106,"Thornhill/Thornhill"," 411","Vaughan",1,34,123,2,0,1,161,323
35106,"Thornhill/Thornhill"," 412","Vaughan",0,39,101,1,0,0,141,278
