Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patrick Bonin,Charles Champagne,Nathalie Gagnon,Benoit Lanoue,Ednal Marc,Pierre Richard Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Repentigny/Repentigny"," 38","Repentigny",70,45,1,1,2,74,1,194,461
24060,"Repentigny/Repentigny"," 39","Repentigny",93,34,7,0,3,103,5,245,570
24060,"Repentigny/Repentigny"," 40","Repentigny",42,28,6,0,1,35,4,116,329
24060,"Repentigny/Repentigny"," 41","Repentigny",60,27,2,1,0,74,2,166,337
24060,"Repentigny/Repentigny"," 42","Repentigny",49,18,5,0,0,60,8,140,347
24060,"Repentigny/Repentigny"," 43","Repentigny",79,27,5,1,1,84,2,199,402
24060,"Repentigny/Repentigny"," 44","Repentigny",59,20,10,0,0,104,2,195,411
24060,"Repentigny/Repentigny"," 45","Repentigny",95,44,9,3,1,98,7,257,463
24060,"Repentigny/Repentigny"," 46","Repentigny",109,49,5,4,2,82,5,256,529
24060,"Repentigny/Repentigny"," 47","Repentigny",71,21,4,0,1,67,2,166,476
24060,"Repentigny/Repentigny"," 48","Repentigny",51,31,5,1,1,97,4,190,403
24060,"Repentigny/Repentigny"," 49","Repentigny",109,35,6,1,1,97,2,251,390
24060,"Repentigny/Repentigny"," 50","Repentigny",77,36,4,1,0,72,5,195,359
24060,"Repentigny/Repentigny"," 51","Repentigny",33,30,4,1,2,101,6,177,362
24060,"Repentigny/Repentigny"," 52","Repentigny",39,34,10,1,1,90,5,180,376
24060,"Repentigny/Repentigny"," 53","Repentigny",83,71,8,1,0,156,6,325,580
24060,"Repentigny/Repentigny"," 54","Repentigny",76,66,6,0,2,97,2,249,546
24060,"Repentigny/Repentigny"," 55","Repentigny",65,32,9,0,0,86,7,199,403
24060,"Repentigny/Repentigny"," 56","Repentigny",57,38,4,1,1,100,8,209,409
24060,"Repentigny/Repentigny"," 57","Repentigny",73,51,12,1,1,136,5,279,521
24060,"Repentigny/Repentigny"," 58","Repentigny",95,43,8,3,0,119,5,273,539
24060,"Repentigny/Repentigny"," 59","Repentigny",98,26,11,2,0,90,1,228,414
24060,"Repentigny/Repentigny"," 60","Repentigny",106,52,10,2,2,101,3,276,573
24060,"Repentigny/Repentigny"," 61","Repentigny",71,38,5,2,1,85,2,204,368
24060,"Repentigny/Repentigny"," 62","Repentigny",92,34,6,0,0,86,1,219,437
24060,"Repentigny/Repentigny"," 63","Repentigny",83,43,2,1,4,90,4,227,372
24060,"Repentigny/Repentigny"," 64","Repentigny",60,39,11,0,1,95,3,209,394
24060,"Repentigny/Repentigny"," 65","Repentigny",90,38,15,0,2,70,2,217,427
24060,"Repentigny/Repentigny"," 66","Repentigny",108,31,5,3,1,98,4,250,464
24060,"Repentigny/Repentigny"," 67","Repentigny",81,25,8,2,3,96,1,216,386
24060,"Repentigny/Repentigny"," 68","Repentigny",94,34,10,0,3,96,1,238,468
24060,"Repentigny/Repentigny"," 69","Repentigny",115,53,6,2,4,106,6,292,534
24060,"Repentigny/Repentigny"," 70","Repentigny",98,43,5,0,1,64,3,214,436
24060,"Repentigny/Repentigny"," 71","Repentigny",66,32,7,4,0,53,3,165,414
24060,"Repentigny/Repentigny"," 72","Repentigny",62,32,10,1,2,54,4,165,337
24060,"Repentigny/Repentigny"," 73","Repentigny",96,52,7,3,1,127,0,286,542
24060,"Repentigny/Repentigny"," 74","Repentigny",99,32,3,3,2,109,3,251,477
24060,"Repentigny/Repentigny"," 75","Repentigny",111,44,8,1,2,130,4,300,505
24060,"Repentigny/Repentigny"," 76","Repentigny",108,32,5,3,2,109,4,263,429
24060,"Repentigny/Repentigny"," 77","Repentigny",86,28,4,2,0,109,5,234,395
24060,"Repentigny/Repentigny"," 78","Repentigny",88,27,8,0,1,91,5,220,455
24060,"Repentigny/Repentigny"," 79","Repentigny",103,26,3,1,1,103,0,237,578
24060,"Repentigny/Repentigny"," 80","Repentigny",98,53,11,1,0,70,5,238,531
24060,"Repentigny/Repentigny"," 81","Repentigny",99,43,3,2,2,67,5,221,430
24060,"Repentigny/Repentigny"," 82","Repentigny",88,45,5,4,0,89,2,233,491
24060,"Repentigny/Repentigny"," 83","Repentigny",73,31,5,4,1,85,1,200,374
24060,"Repentigny/Repentigny"," 84","Repentigny",84,39,6,2,2,101,8,242,421
24060,"Repentigny/Repentigny"," 85","Repentigny",85,31,2,0,0,90,2,210,368
24060,"Repentigny/Repentigny"," 86","Repentigny",108,57,10,0,0,100,6,281,462
24060,"Repentigny/Repentigny"," 87","Repentigny",130,32,10,2,0,124,2,300,541
24060,"Repentigny/Repentigny"," 88","Repentigny",97,55,15,2,1,116,6,292,465
24060,"Repentigny/Repentigny"," 89","Repentigny",101,26,8,3,1,56,3,198,409
24060,"Repentigny/Repentigny"," 90","Repentigny",70,34,3,1,2,68,4,182,394
24060,"Repentigny/Repentigny"," 91","Repentigny",63,19,9,2,1,45,7,146,377
24060,"Repentigny/Repentigny"," 92","Repentigny",66,33,1,1,0,62,11,174,362
24060,"Repentigny/Repentigny"," 93","Repentigny",40,29,6,0,5,38,2,120,331
24060,"Repentigny/Repentigny"," 94","Repentigny",69,11,5,3,1,40,1,130,350
24060,"Repentigny/Repentigny"," 95","Repentigny",70,33,8,3,2,36,0,152,362
24060,"Repentigny/Repentigny"," 96","Repentigny",56,20,5,3,1,47,1,133,321
24060,"Repentigny/Repentigny"," 97","Repentigny",114,33,3,0,2,84,3,239,555
24060,"Repentigny/Repentigny"," 98","Repentigny",32,48,0,0,1,88,1,170,470
24060,"Repentigny/Repentigny"," 99","Repentigny",73,42,3,0,1,100,4,223,502
24060,"Repentigny/Repentigny"," 100","Repentigny",46,23,4,0,0,85,2,160,454
24060,"Repentigny/Repentigny"," 101","Repentigny",41,37,5,0,0,148,3,234,552
24060,"Repentigny/Repentigny"," 102","Repentigny",48,25,2,0,3,88,4,170,506
24060,"Repentigny/Repentigny"," 103","Repentigny",61,34,6,2,1,99,4,207,498
24060,"Repentigny/Repentigny"," 104","Repentigny",48,25,6,0,1,95,2,177,407
24060,"Repentigny/Repentigny"," 105","Repentigny",58,44,2,0,3,99,11,217,513
24060,"Repentigny/Repentigny"," 106","Repentigny",50,34,4,0,0,111,7,206,411
24060,"Repentigny/Repentigny"," 107","Repentigny",44,29,6,0,0,116,4,199,458
24060,"Repentigny/Repentigny"," 108","Repentigny",81,23,4,1,1,81,6,197,406
24060,"Repentigny/Repentigny"," 109","Repentigny",73,20,8,0,1,76,8,186,359
24060,"Repentigny/Repentigny"," 110","Repentigny",87,33,7,2,2,103,8,242,493
24060,"Repentigny/Repentigny"," 111","Repentigny",99,23,2,0,2,58,6,190,368
24060,"Repentigny/Repentigny"," 112","Repentigny",91,44,16,2,1,82,3,239,496
24060,"Repentigny/Repentigny"," 113","Repentigny",127,49,9,3,2,102,6,298,554
24060,"Repentigny/Repentigny"," 114","Repentigny",61,21,6,0,1,57,3,149,339
24060,"Repentigny/Repentigny"," 115","Repentigny",69,26,4,1,0,52,1,153,379
24060,"Repentigny/Repentigny"," 116","Repentigny",80,38,6,0,1,85,3,213,370
24060,"Repentigny/Repentigny"," 117","Repentigny",59,28,1,1,0,63,5,157,366
24060,"Repentigny/Repentigny"," 118","Repentigny",57,29,5,1,0,57,5,154,393
24060,"Repentigny/Repentigny"," 119","Repentigny",107,31,9,1,0,82,6,236,448
24060,"Repentigny/Repentigny"," 120","Repentigny",108,25,7,1,0,73,6,220,430
24060,"Repentigny/Repentigny"," 121","Repentigny",72,24,5,4,1,89,3,198,406
24060,"Repentigny/Repentigny"," 122","Repentigny",108,40,7,2,0,84,0,241,516
24060,"Repentigny/Repentigny"," 123","Repentigny",94,31,12,0,0,105,6,248,414
24060,"Repentigny/Repentigny"," 124","Repentigny",77,41,5,0,2,90,1,216,550
24060,"Repentigny/Repentigny"," 125","Repentigny",106,42,7,2,2,75,3,237,460
24060,"Repentigny/Repentigny"," 126","Repentigny",96,26,8,0,1,70,4,205,413
24060,"Repentigny/Repentigny"," 127","Repentigny",59,23,5,1,1,61,1,151,385
24060,"Repentigny/Repentigny"," 128","Repentigny",46,17,5,1,3,19,3,94,299
24060,"Repentigny/Repentigny"," 129","Repentigny",67,32,9,2,2,38,4,154,449
24060,"Repentigny/Repentigny"," 130","Repentigny",74,17,4,4,1,54,0,154,347
24060,"Repentigny/Repentigny"," 131","Repentigny",71,50,7,0,0,46,1,175,441
24060,"Repentigny/Repentigny"," 132","Repentigny",97,34,7,1,1,63,3,206,523
24060,"Repentigny/Repentigny"," 133","Repentigny",74,39,11,3,0,62,4,193,417
24060,"Repentigny/Repentigny"," 134","Repentigny",121,33,4,2,3,93,5,261,453
24060,"Repentigny/Repentigny"," 135","Repentigny",73,49,5,1,0,101,7,236,400
24060,"Repentigny/Repentigny"," 136","Repentigny",125,47,13,1,1,101,0,288,519
24060,"Repentigny/Repentigny"," 137","Repentigny",99,47,12,1,1,69,3,232,436
24060,"Repentigny/Repentigny"," 138","Repentigny",102,60,17,1,2,72,2,256,502
24060,"Repentigny/Repentigny"," 139","Repentigny",94,23,9,1,1,64,4,196,330
24060,"Repentigny/Repentigny"," 140","Repentigny",86,47,3,0,1,65,4,206,428
24060,"Repentigny/Repentigny"," 141","Repentigny",94,28,2,1,0,59,0,184,364
24060,"Repentigny/Repentigny"," 142","Repentigny",38,18,3,2,2,27,3,93,330
24060,"Repentigny/Repentigny"," 143","Repentigny",69,24,4,1,0,80,1,179,358
24060,"Repentigny/Repentigny"," 144","Repentigny",85,28,5,0,0,71,0,189,363
24060,"Repentigny/Repentigny"," 145","Repentigny",61,33,4,0,2,70,0,170,359
24060,"Repentigny/Repentigny"," 146","Repentigny",27,20,3,1,0,28,0,79,340
24060,"Repentigny/Repentigny"," 147","Repentigny",67,29,5,2,0,39,4,146,335
24060,"Repentigny/Repentigny"," 148","Repentigny",73,19,5,1,0,43,0,141,395
24060,"Repentigny/Repentigny"," 149","Repentigny",90,60,10,0,3,55,4,222,479
24060,"Repentigny/Repentigny"," 150","Repentigny",91,37,2,0,2,62,7,201,540
24060,"Repentigny/Repentigny"," 151","Repentigny",81,23,5,1,0,55,3,168,349
24060,"Repentigny/Repentigny"," 152","Repentigny",101,27,3,0,0,61,5,197,412
24060,"Repentigny/Repentigny"," 153","Repentigny",66,33,8,2,1,53,5,168,346
24060,"Repentigny/Repentigny"," 154","Repentigny",59,34,4,1,3,68,1,170,352
24060,"Repentigny/Repentigny"," 155","Repentigny",76,14,10,2,1,57,3,163,351
24060,"Repentigny/Repentigny"," 156","Repentigny",85,28,3,3,0,100,1,220,420
24060,"Repentigny/Repentigny"," 157","Repentigny",78,20,3,2,1,68,6,178,411
24060,"Repentigny/Repentigny"," 158","Repentigny",66,30,5,3,1,86,3,194,413
24060,"Repentigny/Repentigny"," 159","Repentigny",90,49,8,4,2,91,1,245,472
24060,"Repentigny/Repentigny"," 160","Repentigny",72,23,11,1,1,68,6,182,441
24060,"Repentigny/Repentigny"," 161","Repentigny",95,12,6,1,0,73,6,193,402
24060,"Repentigny/Repentigny"," 162","Repentigny",69,30,4,0,2,48,3,156,336
24060,"Repentigny/Repentigny"," 163","Repentigny",96,41,3,1,2,69,3,215,385
24060,"Repentigny/Repentigny"," 164","Repentigny",79,30,3,0,2,76,3,193,349
24060,"Repentigny/Repentigny"," 165","Repentigny",54,26,7,1,2,60,1,151,317
24060,"Repentigny/Repentigny"," 166","Repentigny",58,23,6,4,0,38,6,135,450
24060,"Repentigny/Repentigny"," 167","Repentigny",76,35,7,0,1,45,4,168,519
24060,"Repentigny/Repentigny"," 168","Repentigny",92,24,7,1,0,66,1,191,464
24060,"Repentigny/Repentigny"," 169","Repentigny",70,31,2,1,1,51,0,156,378
24060,"Repentigny/Repentigny"," 170","Repentigny",131,49,11,7,3,85,3,289,653
24060,"Repentigny/Repentigny"," 171","Repentigny",71,18,4,0,0,51,1,145,360
24060,"Repentigny/Repentigny"," 172","Repentigny",88,18,7,1,0,64,4,182,400
24060,"Repentigny/Repentigny"," 173","Repentigny",81,41,10,0,1,73,8,214,495
24060,"Repentigny/Repentigny"," 174","Repentigny",45,41,5,1,2,36,3,133,335
24060,"Repentigny/Repentigny"," 175A","Repentigny",44,12,1,0,0,18,3,78,186
24060,"Repentigny/Repentigny"," 175B","Repentigny",145,16,2,1,2,176,7,349,477
24060,"Repentigny/Repentigny"," 176","Repentigny",108,30,3,1,0,149,4,295,501
24060,"Repentigny/Repentigny"," 177","Repentigny",43,39,3,2,0,17,2,106,408
24060,"Repentigny/Repentigny"," 178","Repentigny",54,27,4,0,1,41,1,128,332
24060,"Repentigny/Repentigny"," 179","Charlemagne",72,30,6,2,3,58,1,172,396
24060,"Repentigny/Repentigny"," 180","Charlemagne",77,38,4,1,2,69,3,194,433
24060,"Repentigny/Repentigny"," 181","Charlemagne",85,40,11,1,0,71,4,212,479
24060,"Repentigny/Repentigny"," 182","Repentigny",73,28,7,0,0,64,6,178,350
24060,"Repentigny/Repentigny"," 183","Repentigny",89,28,7,3,0,50,1,178,364
24060,"Repentigny/Repentigny"," 184","Repentigny",80,24,3,3,3,43,0,156,405
24060,"Repentigny/Repentigny"," 185","Repentigny",95,35,8,3,0,77,1,219,472
24060,"Repentigny/Repentigny"," 186","Repentigny",77,22,4,1,0,47,4,155,327
24060,"Repentigny/Repentigny"," 187","Repentigny",77,32,10,2,0,33,1,155,393
24060,"Repentigny/Repentigny"," 188","Charlemagne",62,22,5,0,0,60,2,151,461
24060,"Repentigny/Repentigny"," 189","Charlemagne",126,40,3,2,0,66,4,241,550
24060,"Repentigny/Repentigny"," 190","Charlemagne",92,24,6,2,0,42,5,171,404
24060,"Repentigny/Repentigny"," 191","Charlemagne",50,28,3,2,2,45,6,136,418
24060,"Repentigny/Repentigny"," 192","Charlemagne",85,52,11,0,1,66,4,219,497
24060,"Repentigny/Repentigny"," 193","Charlemagne",62,23,2,0,0,28,1,116,380
24060,"Repentigny/Repentigny"," 194","Charlemagne",56,39,6,2,2,43,4,152,400
24060,"Repentigny/Repentigny"," 195","Charlemagne",95,34,10,5,0,67,4,215,559
24060,"Repentigny/Repentigny"," 196","Charlemagne",43,18,3,4,0,31,3,102,343
24060,"Repentigny/Repentigny"," 197","Repentigny",73,34,9,2,0,45,2,165,342
24060,"Repentigny/Repentigny"," 198","Repentigny",75,23,10,2,2,61,3,176,391
24060,"Repentigny/Repentigny"," 199A","Repentigny",60,21,3,2,3,35,3,127,321
24060,"Repentigny/Repentigny"," 199B","Repentigny",58,29,1,1,1,42,3,135,347
24060,"Repentigny/Repentigny"," 200","Repentigny",52,10,1,1,0,45,5,114,387
24060,"Repentigny/Repentigny"," 201","Repentigny",88,28,4,1,0,50,0,171,337
24060,"Repentigny/Repentigny"," 202","Repentigny",88,38,7,4,0,47,4,188,359
24060,"Repentigny/Repentigny"," 203","Repentigny",88,47,9,0,1,74,5,224,450
24060,"Repentigny/Repentigny"," 204","Repentigny",79,35,6,5,1,49,4,179,473
24060,"Repentigny/Repentigny"," 400","Repentigny",42,4,5,0,5,42,11,109,135
24060,"Repentigny/Repentigny"," 401","Repentigny",100,9,5,2,3,125,9,253,320
24060,"Repentigny/Repentigny"," 402","Repentigny",167,19,1,1,0,197,8,393,506
24060,"Repentigny/Repentigny"," 403","Repentigny",117,11,0,0,0,144,11,283,380
24060,"Repentigny/Repentigny"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,38
24060,"Repentigny/Repentigny"," 501","Mobile poll/Bureau itinérant",19,8,0,0,1,18,13,59,45
24060,"Repentigny/Repentigny"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,28
24060,"Repentigny/Repentigny"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,56
24060,"Repentigny/Repentigny"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,76
24060,"Repentigny/Repentigny"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,28
24060,"Repentigny/Repentigny"," 506","Mobile poll/Bureau itinérant",77,11,2,1,3,75,5,174,108
24060,"Repentigny/Repentigny"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,37
24060,"Repentigny/Repentigny"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,15
24060,"Repentigny/Repentigny"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,91
24060,"Repentigny/Repentigny"," 510","Mobile poll/Bureau itinérant",39,8,0,0,0,39,13,99,94
24060,"Repentigny/Repentigny"," 511","Repentigny",Combined with No./Résultats combinés à ceux du n°122,,,,,,,,46
24060,"Repentigny/Repentigny"," 512","Mobile poll/Bureau itinérant",77,9,3,2,5,64,8,168,111
24060,"Repentigny/Repentigny"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,115
24060,"Repentigny/Repentigny"," 514","Mobile poll/Bureau itinérant",16,3,1,1,0,19,1,41,125
24060,"Repentigny/Repentigny"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,18
24060,"Repentigny/Repentigny"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,14
24060,"Repentigny/Repentigny"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,33
24060,"Repentigny/Repentigny"," 600","L'Assomption",646,196,32,10,6,416,21,1327,
24060,"Repentigny/Repentigny"," 601","L'Assomption",527,186,30,4,4,501,18,1270,
24060,"Repentigny/Repentigny"," 602","L'Assomption",696,170,34,5,7,417,25,1354,
24060,"Repentigny/Repentigny"," 603","Repentigny",404,102,21,7,7,426,12,979,
24060,"Repentigny/Repentigny"," 604","Repentigny",489,133,16,2,3,503,6,1152,
24060,"Repentigny/Repentigny"," 605","Repentigny",439,81,16,2,2,432,8,980,
24060,"Repentigny/Repentigny"," 606","Repentigny",494,121,23,4,9,468,10,1129,
24060,"Repentigny/Repentigny"," 607","Repentigny",378,216,29,2,3,645,28,1301,
24060,"Repentigny/Repentigny"," 608","Repentigny",557,164,17,8,6,599,12,1363,
24060,"Repentigny/Repentigny"," 609","Repentigny",397,107,16,3,1,364,16,904,
24060,"Repentigny/Repentigny"," 610","Repentigny",555,127,21,1,5,415,12,1136,
24060,"Repentigny/Repentigny"," 611","Repentigny",504,146,34,2,3,418,18,1125,
24060,"Repentigny/Repentigny"," 612","Repentigny",519,140,18,7,7,525,12,1228,
24060,"Repentigny/Repentigny"," 613","Repentigny",491,116,22,8,3,436,32,1108,
24060,"Repentigny/Repentigny"," 614","Repentigny",472,126,13,7,4,521,16,1159,
24060,"Repentigny/Repentigny"," 615","Repentigny",569,127,25,3,3,497,17,1241,
24060,"Repentigny/Repentigny"," 616","Charlemagne",663,170,38,6,9,529,35,1450,
24060,"Repentigny/Repentigny",,Group 1/Groupe 1, 121,50,23,5,2,189,18,408,70
24060,"Repentigny/Repentigny",,Group 2/Groupe 2, 674,181,40,11,8,757,28,1699,
