Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tamara Jansen,Kyle Latchford,Jim McMurtry,Vanessa Sharma,Kevin Daniel Wilkie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 34","Surrey",86,69,0,3,2,3,163,726
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 35","Surrey",96,61,0,6,1,0,164,781
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 36","Surrey",99,62,1,5,2,0,169,787
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 37","Surrey",72,81,0,7,1,1,162,703
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 38","Surrey",71,56,2,2,1,0,132,521
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 39","Surrey",44,48,0,6,0,0,98,501
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 40","Surrey",109,84,1,6,0,0,200,674
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 41","Surrey",71,67,0,12,2,1,153,680
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 42","Surrey",65,51,1,7,0,0,124,560
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 43","Surrey",49,53,1,6,0,1,110,505
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 44","Surrey",94,70,1,3,4,0,172,747
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 45","Surrey",86,32,0,5,1,0,124,477
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 46","Surrey",86,66,1,1,0,1,155,615
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 47","Surrey",72,83,0,7,1,3,166,563
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 48","Surrey",60,82,2,5,0,0,149,572
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 49","Surrey",79,73,0,8,1,2,163,572
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 50","Surrey",83,68,0,4,2,0,157,526
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 51","Surrey",101,71,0,5,0,2,179,603
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 52","Surrey",76,76,2,6,1,0,161,523
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 53","Surrey",90,63,1,9,1,2,166,531
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 54","Surrey",97,96,0,5,2,2,202,628
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 55","Surrey",99,41,0,8,0,0,148,397
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 56","Surrey",79,64,1,6,0,1,151,447
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 57","Surrey",95,57,0,6,0,0,158,609
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 58","Surrey",108,77,0,5,1,1,192,561
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 59","Surrey",88,63,1,6,1,0,159,576
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 60","Surrey",54,40,0,2,3,0,99,413
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 61","Surrey",77,75,3,14,0,1,170,568
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 62","Surrey",71,49,2,3,3,0,128,398
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 63","Surrey",62,56,0,4,2,1,125,506
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 64","Surrey",69,59,1,0,2,1,132,499
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 65","Surrey",56,58,0,5,2,0,121,404
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 66","Surrey",67,50,1,7,0,0,125,415
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 67","Surrey",94,68,2,8,2,0,174,419
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 68","Surrey",52,99,1,6,0,0,158,541
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 69","Surrey",101,80,2,5,6,2,196,535
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 70","Surrey",77,56,1,8,1,1,144,480
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 71","Surrey",86,89,0,13,1,2,191,669
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 72A","Surrey",77,67,2,11,2,0,159,493
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 72B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,43
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 73","Surrey",70,47,0,3,0,0,120,391
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 74","Surrey",94,76,2,15,4,1,192,696
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 75","Surrey",52,58,0,8,0,0,118,487
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 76","Surrey",37,60,1,3,1,0,102,393
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 77","Surrey",70,56,2,6,2,0,136,451
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 78","Surrey",45,36,0,7,1,0,89,340
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 79","Surrey",76,87,2,12,1,1,179,676
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 80","Surrey",52,80,0,7,0,2,141,579
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 81","Surrey",87,66,1,6,2,0,162,643
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 82","Surrey",76,69,2,4,3,0,154,636
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 83","Surrey",70,43,0,7,2,1,123,504
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 84","Surrey",76,86,0,5,3,0,170,630
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 85","Surrey",83,53,3,10,0,1,150,579
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 86","Surrey",63,35,0,7,0,0,105,450
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 87","Surrey",79,48,0,5,0,0,132,488
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 88","Surrey",87,73,0,8,1,0,169,610
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 89","Surrey",60,64,3,6,0,1,134,590
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 90","Surrey",90,54,0,3,1,0,148,543
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 91","Surrey",55,67,0,9,1,0,132,599
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 92","Surrey",55,61,0,12,1,1,130,506
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 93","Surrey",60,62,0,5,1,2,130,519
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 94","Surrey",75,53,0,9,5,0,142,561
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 95","Surrey",94,67,0,6,1,0,168,527
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 96","Surrey",53,46,0,5,0,0,104,460
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 97","Surrey",68,54,0,5,1,0,128,516
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 98","Surrey",64,55,1,8,0,0,128,522
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 99","Surrey",52,43,5,8,0,0,108,406
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 100","Surrey",55,52,0,4,0,0,111,410
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 101","Surrey",57,47,0,9,2,2,117,389
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 102","Surrey",132,95,2,10,1,1,241,657
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 103","Surrey",92,43,0,8,1,0,144,444
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 104","Surrey",76,48,1,8,3,0,136,481
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 105","Surrey",84,56,0,8,1,0,149,442
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 106","Surrey",66,53,0,3,0,0,122,395
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 107","Surrey",83,80,0,7,1,2,173,556
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 108","Surrey",54,47,2,3,1,0,107,386
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 109","Surrey",61,67,0,4,1,0,133,490
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 110","Surrey",51,61,0,7,0,0,119,415
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 111","Surrey",66,78,0,15,0,0,159,439
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 112","Surrey",52,60,2,4,2,1,121,538
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 113","Surrey",71,37,1,4,4,0,117,368
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 114","Surrey",51,38,1,4,1,0,95,398
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 115","Langley",Combined with No./Résultats combinés à ceux du n°128,,,,,,,21
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 116","Langley",107,38,0,8,1,1,155,519
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 117","Langley",84,59,1,6,1,1,152,570
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 118","Langley",50,51,2,6,3,2,114,429
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 119","Langley",65,72,1,9,3,3,153,480
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 120","Langley",89,68,3,12,4,3,179,674
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 121","Langley",59,56,0,8,1,0,124,451
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 122","Langley",37,47,1,6,1,1,93,307
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 123","Langley",96,67,1,9,5,0,178,610
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 124","Langley",153,125,1,17,7,4,307,735
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 125","Langley",159,102,3,13,4,1,282,905
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 126","Langley",123,110,3,14,1,0,251,758
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 127","Langley",43,39,1,9,0,0,92,347
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 128","Langley",64,42,0,6,1,2,115,296
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 129","Langley",77,77,0,10,3,0,167,431
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 130","Langley",122,76,2,14,3,1,218,611
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 131","Langley",51,57,1,6,3,0,118,393
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 132","Langley",46,40,0,5,3,0,94,389
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 133","Langley",38,24,2,8,2,0,74,351
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 134A","Langley",28,23,0,14,0,1,66,135
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 134B","Langley",4,8,0,3,3,0,18,44
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 134C","Langley",6,15,0,4,1,0,26,55
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 135","Langley",44,31,0,9,0,0,84,461
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 136","Langley",60,55,2,10,3,0,130,465
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 137","Langley",74,49,6,18,1,2,150,640
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 138","Langley",54,57,2,8,2,1,124,412
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 139","Langley",61,67,0,16,2,1,147,710
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 140","Langley",36,55,1,10,5,1,108,441
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 141","Langley",44,42,0,7,3,0,96,490
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 142","Langley",39,31,1,3,3,2,79,387
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 143","Langley",66,34,1,9,2,0,112,456
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 144","Langley",61,63,1,7,1,1,134,357
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 145","Langley",100,76,2,7,2,0,187,448
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 146","Langley",48,56,0,11,3,0,118,387
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 147","Langley",119,53,0,9,7,0,188,511
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 148","Langley",91,58,1,12,2,2,166,415
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 149","Langley",126,81,0,10,5,1,223,499
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 150","Langley",96,55,0,9,3,0,163,424
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 151","Langley",100,53,1,10,6,1,171,344
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 152","Langley",105,59,1,9,0,0,174,387
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 153","Langley",36,41,2,9,1,1,90,377
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 154","Langley",62,45,0,16,1,3,127,360
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 155","Langley",126,80,0,14,2,2,224,551
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 156","Langley",88,78,0,14,2,0,182,450
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 157","Langley",83,72,0,12,2,0,169,453
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 158","Langley",92,33,0,4,1,0,130,396
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 159","Langley",119,70,0,3,1,1,194,486
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 160","Langley",83,44,1,3,5,0,136,397
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 161","Langley",132,86,4,13,1,0,236,445
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 400","Langley",Combined with No./Résultats combinés à ceux du n°124,,,,,,,164
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 500","Mobile poll/Bureau itinérant",26,20,1,2,2,0,51,31
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 501","Mobile poll/Bureau itinérant",13,27,0,3,0,1,44,45
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 502","Mobile poll/Bureau itinérant",27,48,0,8,0,0,83,72
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,88
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 504","Mobile poll/Bureau itinérant",14,26,2,18,1,2,63,14
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 505","Mobile poll/Bureau itinérant",11,13,1,9,2,0,36,96
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,3
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 507","Mobile poll/Bureau itinérant",58,37,1,9,0,0,105,130
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 508","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,31
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,111
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 511","Langley",Combined with No./Résultats combinés à ceux du n°122,,,,,,,66
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,64
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 600","Surrey",430,520,3,33,3,7,996,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 601","Surrey",647,896,7,56,10,4,1620,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 602","Surrey",810,934,9,45,14,6,1818,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 603","Surrey",745,961,7,54,13,9,1789,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 604","Surrey",638,724,12,69,16,5,1464,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 605","Surrey",944,788,8,66,16,17,1839,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 606","Surrey",748,804,4,43,7,9,1615,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 607","Surrey",752,885,8,67,14,4,1730,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 608","Surrey",715,808,5,55,14,15,1612,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 609","Surrey",746,647,8,52,13,6,1472,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 610","Surrey",618,712,9,44,12,4,1399,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 611","Surrey",706,713,15,40,9,7,1490,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 612","Langley",569,638,10,71,8,10,1306,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 613","Langley",548,670,9,93,27,4,1351,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 614","Langley",596,627,7,45,15,5,1295,
59006,"Cloverdale--Langley City/Cloverdale--Langley City"," 615","Langley",723,609,8,47,9,10,1406,
59006,"Cloverdale--Langley City/Cloverdale--Langley City",,Group 1/Groupe 1, 612,685,4,69,8,34,1412,236
59006,"Cloverdale--Langley City/Cloverdale--Langley City",,Group 2/Groupe 2, 2053,2134,23,175,26,79,4490,
