Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Anil Boodhai,Taran Chahal,Harsimran Kaur Hundal,Taha Nazir,Ray Shaver,Amandeep Sodhi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35009,"Brampton Centre/Brampton-Centre"," 77","Brampton",6,74,3,0,8,64,1,156,535
35009,"Brampton Centre/Brampton-Centre"," 78","Brampton",5,122,2,1,2,88,0,220,443
35009,"Brampton Centre/Brampton-Centre"," 79","Brampton",7,47,2,0,1,46,0,103,343
35009,"Brampton Centre/Brampton-Centre"," 80","Brampton",5,95,0,2,3,69,1,175,374
35009,"Brampton Centre/Brampton-Centre"," 81","Brampton",3,74,1,0,2,66,0,146,359
35009,"Brampton Centre/Brampton-Centre"," 82","Brampton",10,99,2,0,0,87,1,199,362
35009,"Brampton Centre/Brampton-Centre"," 83","Brampton",4,98,0,0,1,54,0,157,353
35009,"Brampton Centre/Brampton-Centre"," 84","Brampton",1,99,2,0,5,103,0,210,433
35009,"Brampton Centre/Brampton-Centre"," 85","Brampton",12,107,0,0,2,100,0,221,475
35009,"Brampton Centre/Brampton-Centre"," 86","Brampton",1,114,2,0,1,98,1,217,495
35009,"Brampton Centre/Brampton-Centre"," 87","Brampton",1,104,1,1,1,99,0,207,400
35009,"Brampton Centre/Brampton-Centre"," 88","Brampton",7,92,0,0,2,89,0,190,419
35009,"Brampton Centre/Brampton-Centre"," 89","Brampton",5,75,0,0,1,75,1,157,414
35009,"Brampton Centre/Brampton-Centre"," 90","Brampton",4,105,2,0,1,120,3,235,625
35009,"Brampton Centre/Brampton-Centre"," 91","Brampton",0,107,4,0,1,87,1,200,433
35009,"Brampton Centre/Brampton-Centre"," 92","Brampton",4,67,0,0,3,44,0,118,336
35009,"Brampton Centre/Brampton-Centre"," 93","Brampton",6,71,0,0,1,46,1,125,382
35009,"Brampton Centre/Brampton-Centre"," 94","Brampton",3,43,0,0,1,44,1,92,302
35009,"Brampton Centre/Brampton-Centre"," 95","Brampton",6,59,1,1,1,60,0,128,357
35009,"Brampton Centre/Brampton-Centre"," 96","Brampton",5,48,0,0,1,98,2,154,393
35009,"Brampton Centre/Brampton-Centre"," 97","Brampton",6,78,0,0,2,77,1,164,511
35009,"Brampton Centre/Brampton-Centre"," 98","Brampton",9,64,2,0,4,96,1,176,389
35009,"Brampton Centre/Brampton-Centre"," 99","Brampton",10,97,0,0,4,109,4,224,634
35009,"Brampton Centre/Brampton-Centre"," 100","Brampton",6,76,0,1,1,65,1,150,314
35009,"Brampton Centre/Brampton-Centre"," 101","Brampton",5,82,1,1,5,41,0,135,336
35009,"Brampton Centre/Brampton-Centre"," 102","Brampton",4,71,0,0,0,63,2,140,360
35009,"Brampton Centre/Brampton-Centre"," 103","Brampton",7,57,2,0,2,46,1,115,336
35009,"Brampton Centre/Brampton-Centre"," 104","Brampton",9,109,1,0,3,66,0,188,407
35009,"Brampton Centre/Brampton-Centre"," 105","Brampton",1,40,2,0,4,37,0,84,397
35009,"Brampton Centre/Brampton-Centre"," 106","Brampton",6,54,3,0,3,61,3,130,439
35009,"Brampton Centre/Brampton-Centre"," 107","Brampton",1,78,1,0,5,54,0,139,453
35009,"Brampton Centre/Brampton-Centre"," 108","Brampton",6,86,2,0,0,51,1,146,470
35009,"Brampton Centre/Brampton-Centre"," 109","Brampton",6,93,0,1,5,155,2,262,509
35009,"Brampton Centre/Brampton-Centre"," 110","Brampton",5,104,2,2,1,122,4,240,411
35009,"Brampton Centre/Brampton-Centre"," 111","Brampton",3,110,1,0,1,121,2,238,543
35009,"Brampton Centre/Brampton-Centre"," 112","Brampton",3,114,3,2,3,92,2,219,471
35009,"Brampton Centre/Brampton-Centre"," 113","Brampton",4,74,1,0,1,69,0,149,342
35009,"Brampton Centre/Brampton-Centre"," 114","Brampton",1,97,0,0,0,82,0,180,455
35009,"Brampton Centre/Brampton-Centre"," 115","Brampton",2,108,0,0,2,75,1,188,493
35009,"Brampton Centre/Brampton-Centre"," 116","Brampton",4,111,0,1,4,111,4,235,486
35009,"Brampton Centre/Brampton-Centre"," 117","Brampton",7,71,0,0,1,69,2,150,470
35009,"Brampton Centre/Brampton-Centre"," 118","Brampton",3,111,2,0,0,105,4,225,508
35009,"Brampton Centre/Brampton-Centre"," 119","Brampton",4,93,2,0,0,93,1,193,463
35009,"Brampton Centre/Brampton-Centre"," 120","Brampton",0,48,1,0,2,36,2,89,378
35009,"Brampton Centre/Brampton-Centre"," 121","Brampton",5,64,1,0,4,53,3,130,384
35009,"Brampton Centre/Brampton-Centre"," 122","Brampton",3,60,1,1,0,76,0,141,381
35009,"Brampton Centre/Brampton-Centre"," 123","Brampton",1,57,0,1,5,73,2,139,421
35009,"Brampton Centre/Brampton-Centre"," 124","Brampton",4,60,0,1,3,124,0,192,444
35009,"Brampton Centre/Brampton-Centre"," 125","Brampton",4,64,0,0,3,87,1,159,370
35009,"Brampton Centre/Brampton-Centre"," 126","Brampton",6,36,1,0,1,45,2,91,315
35009,"Brampton Centre/Brampton-Centre"," 127","Brampton",3,54,2,0,1,80,1,141,587
35009,"Brampton Centre/Brampton-Centre"," 128","Brampton",4,72,1,0,1,70,1,149,413
35009,"Brampton Centre/Brampton-Centre"," 129","Brampton",4,83,0,0,0,67,2,156,352
35009,"Brampton Centre/Brampton-Centre"," 130","Brampton",3,76,1,1,5,82,3,171,453
35009,"Brampton Centre/Brampton-Centre"," 131","Brampton",6,117,0,0,5,86,1,215,438
35009,"Brampton Centre/Brampton-Centre"," 132","Brampton",4,90,1,0,0,68,0,163,478
35009,"Brampton Centre/Brampton-Centre"," 133","Brampton",4,64,3,0,2,78,0,151,519
35009,"Brampton Centre/Brampton-Centre"," 134","Brampton",8,78,0,0,3,67,0,156,433
35009,"Brampton Centre/Brampton-Centre"," 135","Brampton",6,123,0,0,2,103,2,236,460
35009,"Brampton Centre/Brampton-Centre"," 136","Brampton",1,89,0,1,0,68,0,159,437
35009,"Brampton Centre/Brampton-Centre"," 137","Brampton",4,79,1,1,1,57,0,143,469
35009,"Brampton Centre/Brampton-Centre"," 138","Brampton",6,84,3,0,5,61,2,161,363
35009,"Brampton Centre/Brampton-Centre"," 139","Brampton",4,92,4,1,3,62,2,168,433
35009,"Brampton Centre/Brampton-Centre"," 140","Brampton",8,108,9,0,0,77,1,203,423
35009,"Brampton Centre/Brampton-Centre"," 141","Brampton",2,49,0,0,2,95,3,151,364
35009,"Brampton Centre/Brampton-Centre"," 142","Brampton",5,71,1,0,1,66,1,145,341
35009,"Brampton Centre/Brampton-Centre"," 143","Brampton",5,124,0,0,4,105,0,238,476
35009,"Brampton Centre/Brampton-Centre"," 144","Brampton",3,72,0,0,0,105,2,182,410
35009,"Brampton Centre/Brampton-Centre"," 145","Brampton",3,83,0,0,3,92,0,181,416
35009,"Brampton Centre/Brampton-Centre"," 146","Brampton",5,98,3,0,1,86,1,194,412
35009,"Brampton Centre/Brampton-Centre"," 147","Brampton",4,61,4,0,1,61,2,133,450
35009,"Brampton Centre/Brampton-Centre"," 148","Brampton",4,81,1,1,1,98,3,189,393
35009,"Brampton Centre/Brampton-Centre"," 149","Brampton",2,69,3,0,1,73,1,149,366
35009,"Brampton Centre/Brampton-Centre"," 150","Brampton",1,53,0,0,0,53,2,109,320
35009,"Brampton Centre/Brampton-Centre"," 151","Brampton",10,71,0,0,2,86,2,171,452
35009,"Brampton Centre/Brampton-Centre"," 152","Brampton",3,75,2,0,1,109,4,194,510
35009,"Brampton Centre/Brampton-Centre"," 153","Brampton",2,92,3,0,0,80,0,177,501
35009,"Brampton Centre/Brampton-Centre"," 154","Brampton",7,76,3,0,2,90,0,178,509
35009,"Brampton Centre/Brampton-Centre"," 400","Brampton",2,16,0,0,0,21,0,39,116
35009,"Brampton Centre/Brampton-Centre"," 401","Brampton",3,51,4,1,3,64,1,127,250
35009,"Brampton Centre/Brampton-Centre"," 402","Brampton",9,49,5,0,3,70,4,140,225
35009,"Brampton Centre/Brampton-Centre"," 403","Brampton",6,46,0,0,0,54,0,106,318
35009,"Brampton Centre/Brampton-Centre"," 404","Brampton",6,17,2,1,3,62,4,95,118
35009,"Brampton Centre/Brampton-Centre"," 405","Brampton",0,45,0,0,1,34,1,81,279
35009,"Brampton Centre/Brampton-Centre"," 406","Brampton",0,39,1,1,0,33,0,74,278
35009,"Brampton Centre/Brampton-Centre"," 407","Brampton",3,39,0,1,3,50,0,96,310
35009,"Brampton Centre/Brampton-Centre"," 408","Brampton",6,49,1,1,0,42,1,100,327
35009,"Brampton Centre/Brampton-Centre"," 409","Brampton",7,42,0,0,1,62,1,113,343
35009,"Brampton Centre/Brampton-Centre"," 410","Brampton",3,50,1,0,0,43,1,98,302
35009,"Brampton Centre/Brampton-Centre"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,25
35009,"Brampton Centre/Brampton-Centre"," 501","Mobile poll/Bureau itinérant",3,28,1,1,1,47,6,87,76
35009,"Brampton Centre/Brampton-Centre"," 502","Brampton",Combined with No./Résultats combinés à ceux du n°97,,,,,,,,1
35009,"Brampton Centre/Brampton-Centre"," 503","Mobile poll/Bureau itinérant",10,14,3,0,0,27,1,55,112
35009,"Brampton Centre/Brampton-Centre"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,102
35009,"Brampton Centre/Brampton-Centre"," 600","Brampton",21,645,6,6,8,708,3,1397,
35009,"Brampton Centre/Brampton-Centre"," 601","Brampton",20,413,6,1,8,446,5,899,
35009,"Brampton Centre/Brampton-Centre"," 602","Brampton",18,341,3,3,5,410,0,780,
35009,"Brampton Centre/Brampton-Centre"," 603","Brampton",25,469,11,2,17,604,3,1131,
35009,"Brampton Centre/Brampton-Centre"," 604","Brampton",29,304,4,1,7,335,2,682,
35009,"Brampton Centre/Brampton-Centre"," 605","Brampton",21,394,6,2,14,444,5,886,
35009,"Brampton Centre/Brampton-Centre"," 606","Brampton",19,439,5,4,10,391,1,869,
35009,"Brampton Centre/Brampton-Centre"," 607","Brampton",13,442,6,0,3,451,2,917,
35009,"Brampton Centre/Brampton-Centre"," 608","Brampton",21,421,6,1,16,586,1,1052,
35009,"Brampton Centre/Brampton-Centre"," 609","Brampton",31,475,2,0,7,605,9,1129,
35009,"Brampton Centre/Brampton-Centre"," 610","Brampton",24,482,5,0,14,523,17,1065,
35009,"Brampton Centre/Brampton-Centre"," 611","Brampton",4,72,1,1,1,115,2,196,
35009,"Brampton Centre/Brampton-Centre"," 612","Brampton",17,561,5,0,4,493,9,1089,
35009,"Brampton Centre/Brampton-Centre"," 613","Brampton",13,295,6,2,7,371,1,695,
35009,"Brampton Centre/Brampton-Centre",,Group 1/Groupe 1, 27,285,12,4,9,449,40,826,189
35009,"Brampton Centre/Brampton-Centre",,Group 2/Groupe 2, 38,658,4,3,21,925,38,1687,
