Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Grace Daou,Annie Koutrakis,Cindy Mercer,Alicia Parenteau-Malakhanian,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24078,"Vimy/Vimy"," 30","Laval",23,58,15,27,0,123,373
24078,"Vimy/Vimy"," 31","Laval",40,68,6,41,10,165,480
24078,"Vimy/Vimy"," 32","Laval",74,112,14,38,7,245,469
24078,"Vimy/Vimy"," 33","Laval",54,91,8,18,7,178,385
24078,"Vimy/Vimy"," 34","Laval",70,135,15,38,2,260,491
24078,"Vimy/Vimy"," 35","Laval",66,109,10,20,5,210,372
24078,"Vimy/Vimy"," 36","Laval",65,96,12,43,6,222,466
24078,"Vimy/Vimy"," 37","Laval",57,56,8,11,10,142,255
24078,"Vimy/Vimy"," 38","Laval",35,85,4,13,6,143,440
24078,"Vimy/Vimy"," 39","Laval",59,125,12,48,7,251,437
24078,"Vimy/Vimy"," 40","Laval",55,117,15,47,5,239,442
24078,"Vimy/Vimy"," 41","Laval",35,60,7,23,1,126,423
24078,"Vimy/Vimy"," 42","Laval",49,160,5,39,1,254,508
24078,"Vimy/Vimy"," 43","Laval",38,90,10,15,4,157,346
24078,"Vimy/Vimy"," 44","Laval",25,78,5,29,3,140,339
24078,"Vimy/Vimy"," 45","Laval",51,70,12,20,2,155,394
24078,"Vimy/Vimy"," 46","Laval",44,73,11,19,3,150,523
24078,"Vimy/Vimy"," 47","Laval",41,99,14,31,4,189,435
24078,"Vimy/Vimy"," 48","Laval",57,135,8,46,3,249,480
24078,"Vimy/Vimy"," 49","Laval",43,110,16,41,6,216,479
24078,"Vimy/Vimy"," 50","Laval",34,81,15,34,2,166,368
24078,"Vimy/Vimy"," 51","Laval",54,91,12,32,2,191,400
24078,"Vimy/Vimy"," 52","Laval",29,56,7,25,3,120,304
24078,"Vimy/Vimy"," 53","Laval",24,61,9,23,2,119,389
24078,"Vimy/Vimy"," 54A","Laval",55,112,20,54,3,244,410
24078,"Vimy/Vimy"," 54B","Laval",72,125,24,48,3,272,404
24078,"Vimy/Vimy"," 55","Laval",50,73,9,22,3,157,440
24078,"Vimy/Vimy"," 56","Laval",27,42,19,33,5,126,327
24078,"Vimy/Vimy"," 57","Laval",52,65,11,31,3,162,428
24078,"Vimy/Vimy"," 58","Laval",40,81,7,33,2,163,398
24078,"Vimy/Vimy"," 59","Laval",41,78,12,32,2,165,385
24078,"Vimy/Vimy"," 60A","Laval",Combined with No./Résultats combinés à ceux du n°112A,,,,,,186
24078,"Vimy/Vimy"," 60B","Laval",Combined with No./Résultats combinés à ceux du n°112B,,,,,,182
24078,"Vimy/Vimy"," 61","Laval",33,84,3,21,10,151,442
24078,"Vimy/Vimy"," 62","Laval",17,61,7,30,2,117,320
24078,"Vimy/Vimy"," 63","Laval",30,69,11,30,7,147,369
24078,"Vimy/Vimy"," 64","Laval",19,79,5,37,4,144,348
24078,"Vimy/Vimy"," 65A","Laval",Combined with No./Résultats combinés à ceux du n°54A,,,,,,163
24078,"Vimy/Vimy"," 65B","Laval",Combined with No./Résultats combinés à ceux du n°54B,,,,,,196
24078,"Vimy/Vimy"," 66","Laval",35,92,18,42,7,194,462
24078,"Vimy/Vimy"," 67","Laval",31,91,7,28,4,161,420
24078,"Vimy/Vimy"," 68","Laval",37,84,7,23,4,155,393
24078,"Vimy/Vimy"," 69","Laval",25,106,9,36,6,182,416
24078,"Vimy/Vimy"," 70","Laval",42,73,15,21,4,155,363
24078,"Vimy/Vimy"," 71","Laval",40,118,12,43,5,218,520
24078,"Vimy/Vimy"," 72","Laval",36,121,25,81,2,265,499
24078,"Vimy/Vimy"," 73","Laval",75,162,12,67,12,328,351
24078,"Vimy/Vimy"," 74","Laval",Combined with No./Résultats combinés à ceux du n°73,,,,,,342
24078,"Vimy/Vimy"," 75","Laval",38,75,6,50,5,174,362
24078,"Vimy/Vimy"," 76","Laval",Combined with No./Résultats combinés à ceux du n°77,,,,,,423
24078,"Vimy/Vimy"," 77","Laval",70,126,22,47,6,271,452
24078,"Vimy/Vimy"," 78","Laval",29,70,16,39,3,157,389
24078,"Vimy/Vimy"," 79","Laval",52,123,17,45,3,240,599
24078,"Vimy/Vimy"," 80","Laval",35,60,7,31,0,133,412
24078,"Vimy/Vimy"," 81","Laval",27,72,2,20,3,124,334
24078,"Vimy/Vimy"," 82","Laval",55,92,34,8,5,194,532
24078,"Vimy/Vimy"," 83","Laval",57,109,13,28,2,209,497
24078,"Vimy/Vimy"," 84","Laval",23,44,18,19,3,107,338
24078,"Vimy/Vimy"," 85","Laval",39,81,6,25,5,156,374
24078,"Vimy/Vimy"," 86","Laval",30,69,9,35,3,146,343
24078,"Vimy/Vimy"," 87","Laval",50,61,2,19,3,135,399
24078,"Vimy/Vimy"," 88","Laval",56,96,4,21,2,179,500
24078,"Vimy/Vimy"," 89","Laval",66,71,8,26,0,171,618
24078,"Vimy/Vimy"," 90","Laval",46,55,0,11,1,113,376
24078,"Vimy/Vimy"," 91","Laval",52,95,6,26,3,182,572
24078,"Vimy/Vimy"," 92","Laval",37,70,4,25,4,140,471
24078,"Vimy/Vimy"," 93A","Laval",Combined with No./Résultats combinés à ceux du n°97A,,,,,,236
24078,"Vimy/Vimy"," 93B","Laval",Combined with No./Résultats combinés à ceux du n°97B,,,,,,206
24078,"Vimy/Vimy"," 94","Laval",65,101,7,21,2,196,626
24078,"Vimy/Vimy"," 95","Laval",77,60,1,12,1,151,379
24078,"Vimy/Vimy"," 96A","Laval",96,67,7,21,1,192,404
24078,"Vimy/Vimy"," 96B","Laval",98,64,7,34,2,205,439
24078,"Vimy/Vimy"," 97A","Laval",76,101,7,19,9,212,388
24078,"Vimy/Vimy"," 97B","Laval",74,103,16,30,6,229,357
24078,"Vimy/Vimy"," 98","Laval",27,76,4,16,3,126,520
24078,"Vimy/Vimy"," 99A","Laval",Combined with No./Résultats combinés à ceux du n°96A,,,,,,163
24078,"Vimy/Vimy"," 99B","Laval",Combined with No./Résultats combinés à ceux du n°96B,,,,,,152
24078,"Vimy/Vimy"," 100","Laval",34,72,6,29,3,144,519
24078,"Vimy/Vimy"," 101","Laval",100,90,6,13,2,211,562
24078,"Vimy/Vimy"," 102","Laval",10,60,1,21,2,94,530
24078,"Vimy/Vimy"," 103","Laval",45,57,5,19,3,129,419
24078,"Vimy/Vimy"," 104","Laval",54,49,10,13,6,132,471
24078,"Vimy/Vimy"," 105","Laval",42,57,12,18,2,131,357
24078,"Vimy/Vimy"," 106","Laval",43,59,12,15,7,136,495
24078,"Vimy/Vimy"," 107","Laval",53,83,8,15,4,163,481
24078,"Vimy/Vimy"," 108","Laval",62,78,5,21,1,167,409
24078,"Vimy/Vimy"," 109","Laval",61,118,11,12,16,218,496
24078,"Vimy/Vimy"," 110","Laval",52,87,12,14,4,169,467
24078,"Vimy/Vimy"," 111","Laval",32,77,14,32,2,157,448
24078,"Vimy/Vimy"," 112A","Laval",64,126,19,58,3,270,449
24078,"Vimy/Vimy"," 112B","Laval",58,108,7,46,3,222,469
24078,"Vimy/Vimy"," 113","Laval",20,95,10,31,5,161,439
24078,"Vimy/Vimy"," 114","Laval",Combined with No./Résultats combinés à ceux du n°115,,,,,,395
24078,"Vimy/Vimy"," 115","Laval",88,183,16,63,5,355,426
24078,"Vimy/Vimy"," 116","Laval",57,90,6,22,4,179,447
24078,"Vimy/Vimy"," 117","Laval",43,81,15,34,3,176,347
24078,"Vimy/Vimy"," 118","Laval",48,81,18,54,8,209,439
24078,"Vimy/Vimy"," 119","Laval",42,72,10,38,1,163,388
24078,"Vimy/Vimy"," 120","Laval",37,90,11,44,3,185,385
24078,"Vimy/Vimy"," 121","Laval",26,93,6,37,3,165,327
24078,"Vimy/Vimy"," 122","Laval",53,76,16,49,3,197,395
24078,"Vimy/Vimy"," 123","Laval",54,80,10,39,5,188,439
24078,"Vimy/Vimy"," 124","Laval",Combined with No./Résultats combinés à ceux du n°140,,,,,,419
24078,"Vimy/Vimy"," 125","Laval",58,72,1,14,2,147,421
24078,"Vimy/Vimy"," 126","Laval",79,89,10,17,7,202,513
24078,"Vimy/Vimy"," 127","Laval",62,86,9,16,9,182,555
24078,"Vimy/Vimy"," 128","Laval",68,103,13,12,5,201,472
24078,"Vimy/Vimy"," 129","Laval",82,107,8,8,5,210,437
24078,"Vimy/Vimy"," 130","Laval",41,67,9,10,2,129,420
24078,"Vimy/Vimy"," 131","Laval",36,67,5,13,2,123,415
24078,"Vimy/Vimy"," 132","Laval",70,112,4,18,4,208,433
24078,"Vimy/Vimy"," 133A","Laval",40,80,11,21,3,155,360
24078,"Vimy/Vimy"," 133B","Mobile poll/Bureau itinérant",9,77,2,29,7,124,127
24078,"Vimy/Vimy"," 134A","Laval",Combined with No./Résultats combinés à ceux du n°133A,,,,,,74
24078,"Vimy/Vimy"," 134B","Laval",Combined with No./Résultats combinés à ceux du n°405B,,,,,,343
24078,"Vimy/Vimy"," 135","Laval",82,141,9,20,9,261,564
24078,"Vimy/Vimy"," 136","Laval",54,124,7,21,6,212,526
24078,"Vimy/Vimy"," 137","Laval",42,98,10,60,11,221,552
24078,"Vimy/Vimy"," 138","Laval",49,94,8,17,5,173,466
24078,"Vimy/Vimy"," 139","Laval",61,105,5,26,4,201,617
24078,"Vimy/Vimy"," 140","Laval",117,201,13,52,17,400,484
24078,"Vimy/Vimy"," 141A","Laval",56,77,4,35,3,175,558
24078,"Vimy/Vimy"," 141B","Laval",29,81,7,24,3,144,345
24078,"Vimy/Vimy"," 142","Laval",120,101,9,13,2,245,493
24078,"Vimy/Vimy"," 143","Laval",75,90,7,25,6,203,501
24078,"Vimy/Vimy"," 144","Laval",68,75,10,16,6,175,465
24078,"Vimy/Vimy"," 145","Laval",75,94,6,15,7,197,473
24078,"Vimy/Vimy"," 146","Laval",62,70,9,23,5,169,386
24078,"Vimy/Vimy"," 147","Laval",46,61,1,10,3,121,349
24078,"Vimy/Vimy"," 148","Laval",55,103,10,25,3,196,501
24078,"Vimy/Vimy"," 149","Laval",98,71,4,15,5,193,502
24078,"Vimy/Vimy"," 150","Laval",99,106,3,5,4,217,511
24078,"Vimy/Vimy"," 151","Laval",72,82,10,0,2,166,363
24078,"Vimy/Vimy"," 152","Laval",98,97,4,7,2,208,547
24078,"Vimy/Vimy"," 153","Laval",73,117,6,5,3,204,464
24078,"Vimy/Vimy"," 154","Laval",39,91,6,12,4,152,411
24078,"Vimy/Vimy"," 155","Laval",57,87,4,18,4,170,451
24078,"Vimy/Vimy"," 156","Laval",52,108,4,14,1,179,464
24078,"Vimy/Vimy"," 157","Laval",40,90,10,34,2,176,500
24078,"Vimy/Vimy"," 158","Laval",80,118,9,6,6,219,530
24078,"Vimy/Vimy"," 159","Laval",70,74,8,6,2,160,381
24078,"Vimy/Vimy"," 160","Laval",65,110,8,19,2,204,435
24078,"Vimy/Vimy"," 161","Laval",68,106,1,22,2,199,467
24078,"Vimy/Vimy"," 162","Laval",33,69,8,9,5,124,343
24078,"Vimy/Vimy"," 163","Laval",33,55,5,9,2,104,434
24078,"Vimy/Vimy"," 164","Laval",96,102,16,22,0,236,583
24078,"Vimy/Vimy"," 165","Laval",54,87,8,11,4,164,429
24078,"Vimy/Vimy"," 166","Laval",66,84,9,12,1,172,445
24078,"Vimy/Vimy"," 167","Laval",71,75,8,8,2,164,417
24078,"Vimy/Vimy"," 168","Laval",57,76,0,5,5,143,340
24078,"Vimy/Vimy"," 169","Laval",104,116,11,18,6,255,617
24078,"Vimy/Vimy"," 170","Laval",31,67,5,8,4,115,380
24078,"Vimy/Vimy"," 171","Laval",41,144,22,27,8,242,683
24078,"Vimy/Vimy"," 172","Laval",51,91,4,25,8,179,489
24078,"Vimy/Vimy"," 173","Laval",69,110,14,22,6,221,585
24078,"Vimy/Vimy"," 174","Laval",66,82,12,29,1,190,445
24078,"Vimy/Vimy"," 175","Laval",31,67,6,9,4,117,436
24078,"Vimy/Vimy"," 400","Laval",12,119,2,44,14,191,241
24078,"Vimy/Vimy"," 401","Laval",Combined with No./Résultats combinés à ceux du n°37,,,,,,235
24078,"Vimy/Vimy"," 402","Laval",12,86,2,63,8,171,208
24078,"Vimy/Vimy"," 403A","Laval",25,158,5,66,15,269,405
24078,"Vimy/Vimy"," 403B","Laval",24,154,6,66,13,263,359
24078,"Vimy/Vimy"," 404","Laval",17,92,3,59,6,177,267
24078,"Vimy/Vimy"," 405A","Laval",11,179,6,83,15,294,432
24078,"Vimy/Vimy"," 405B","Laval",4,122,4,43,5,178,91
24078,"Vimy/Vimy"," 406","Laval",9,130,0,41,5,185,253
24078,"Vimy/Vimy"," 407","Laval",7,129,5,45,6,192,262
24078,"Vimy/Vimy"," 408","Laval",9,64,5,27,2,107,166
24078,"Vimy/Vimy"," 409","Laval",7,113,0,23,2,145,208
24078,"Vimy/Vimy"," 410","Laval",8,116,2,44,8,178,248
24078,"Vimy/Vimy"," 411","Laval",20,86,3,35,6,150,172
24078,"Vimy/Vimy"," 412","Laval",23,52,6,20,4,105,247
24078,"Vimy/Vimy"," 413","Laval",32,81,11,34,1,159,320
24078,"Vimy/Vimy"," 414","Laval",12,163,2,41,6,224,301
24078,"Vimy/Vimy"," 500","Mobile poll/Bureau itinérant",12,38,6,26,2,84,180
24078,"Vimy/Vimy"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,87
24078,"Vimy/Vimy"," 502","Mobile poll/Bureau itinérant",20,70,6,41,5,142,118
24078,"Vimy/Vimy"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,103
24078,"Vimy/Vimy"," 504","Laval",Combined with No./Résultats combinés à ceux du n°404,,,,,,46
24078,"Vimy/Vimy"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,83
24078,"Vimy/Vimy"," 506","Mobile poll/Bureau itinérant",9,80,1,30,10,130,120
24078,"Vimy/Vimy"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°133B,,,,,,84
24078,"Vimy/Vimy"," 508","Mobile poll/Bureau itinérant",17,101,7,40,16,181,126
24078,"Vimy/Vimy"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,39
24078,"Vimy/Vimy"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,127
24078,"Vimy/Vimy"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,60
24078,"Vimy/Vimy"," 512","Mobile poll/Bureau itinérant",11,43,7,16,4,81,90
24078,"Vimy/Vimy"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,28
24078,"Vimy/Vimy"," 514","Mobile poll/Bureau itinérant",7,20,3,9,3,42,52
24078,"Vimy/Vimy"," 600","Laval",129,429,47,173,12,790,
24078,"Vimy/Vimy"," 601","Laval",173,492,42,218,17,942,
24078,"Vimy/Vimy"," 602","Laval",157,543,26,232,11,969,
24078,"Vimy/Vimy"," 603","Laval",103,398,27,151,17,696,
24078,"Vimy/Vimy"," 604","Laval",158,410,54,216,19,857,
24078,"Vimy/Vimy"," 605","Laval",209,543,55,266,16,1089,
24078,"Vimy/Vimy"," 606","Laval",95,292,31,99,4,521,
24078,"Vimy/Vimy"," 607","Laval",258,782,71,290,18,1419,
24078,"Vimy/Vimy"," 608","Laval",278,688,17,176,19,1178,
24078,"Vimy/Vimy"," 609","Laval",165,413,23,97,16,714,
24078,"Vimy/Vimy"," 610","Laval",67,201,12,68,14,362,
24078,"Vimy/Vimy"," 611","Laval",265,1104,35,340,36,1780,
24078,"Vimy/Vimy"," 612","Laval",207,636,25,154,16,1038,
24078,"Vimy/Vimy"," 613","Laval",255,485,47,146,18,951,
24078,"Vimy/Vimy"," 614","Laval",312,733,37,128,25,1235,
24078,"Vimy/Vimy",,Group 1/Groupe 1, 109,330,42,71,43,595,160
24078,"Vimy/Vimy",,Group 2/Groupe 2, 315,892,68,248,40,1563,
