Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Keira Gunn,Corey Hogan,Kevan Hunter,Jeffrey Reid Marsh,Jeremy Nixon,Artyom Ovsepyan,Richard Willott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary Confederation/Calgary Confederation"," 57","Calgary",12,77,0,0,61,2,0,1,153,532
48005,"Calgary Confederation/Calgary Confederation"," 58","Calgary",1,54,0,0,72,0,2,2,131,407
48005,"Calgary Confederation/Calgary Confederation"," 59","Calgary",1,62,0,0,72,2,2,1,140,344
48005,"Calgary Confederation/Calgary Confederation"," 60","Calgary",5,66,0,0,86,0,0,0,157,423
48005,"Calgary Confederation/Calgary Confederation"," 61","Calgary",1,58,1,0,85,0,1,1,147,403
48005,"Calgary Confederation/Calgary Confederation"," 62","Calgary",4,61,0,1,95,3,1,3,168,430
48005,"Calgary Confederation/Calgary Confederation"," 63","Calgary",5,63,2,2,68,3,0,2,145,459
48005,"Calgary Confederation/Calgary Confederation"," 64","Calgary",4,60,0,1,57,0,2,1,125,482
48005,"Calgary Confederation/Calgary Confederation"," 65","Calgary",8,72,0,0,81,0,0,2,163,486
48005,"Calgary Confederation/Calgary Confederation"," 66","Calgary",3,63,0,2,65,0,1,1,135,450
48005,"Calgary Confederation/Calgary Confederation"," 67","Calgary",11,57,0,0,77,1,3,1,150,465
48005,"Calgary Confederation/Calgary Confederation"," 68","Calgary",8,64,0,0,70,2,0,1,145,480
48005,"Calgary Confederation/Calgary Confederation"," 69","Calgary",7,86,0,1,102,2,0,0,198,540
48005,"Calgary Confederation/Calgary Confederation"," 70","Calgary",6,49,0,0,55,1,3,1,115,426
48005,"Calgary Confederation/Calgary Confederation"," 71","Calgary",9,78,0,0,76,1,1,1,166,438
48005,"Calgary Confederation/Calgary Confederation"," 72","Calgary",5,49,1,0,50,0,3,1,109,363
48005,"Calgary Confederation/Calgary Confederation"," 73","Calgary",6,60,0,0,56,3,2,2,129,378
48005,"Calgary Confederation/Calgary Confederation"," 74","Calgary",7,60,0,0,75,2,1,1,146,439
48005,"Calgary Confederation/Calgary Confederation"," 75","Calgary",8,110,0,0,71,0,1,0,190,495
48005,"Calgary Confederation/Calgary Confederation"," 76","Calgary",2,111,0,1,119,1,0,0,234,555
48005,"Calgary Confederation/Calgary Confederation"," 77A","Calgary",8,70,0,0,71,0,2,2,153,486
48005,"Calgary Confederation/Calgary Confederation"," 77B","Calgary",0,67,0,1,80,0,1,7,156,228
48005,"Calgary Confederation/Calgary Confederation"," 78","Calgary",7,79,0,0,66,0,1,0,153,401
48005,"Calgary Confederation/Calgary Confederation"," 79","Calgary",8,138,2,1,148,2,0,0,299,620
48005,"Calgary Confederation/Calgary Confederation"," 80","Calgary",7,71,0,0,68,2,3,1,152,391
48005,"Calgary Confederation/Calgary Confederation"," 81","Calgary",11,75,0,1,44,1,1,1,134,370
48005,"Calgary Confederation/Calgary Confederation"," 82","Calgary",9,93,0,0,105,0,1,0,208,454
48005,"Calgary Confederation/Calgary Confederation"," 83","Calgary",13,119,0,1,110,2,0,1,246,604
48005,"Calgary Confederation/Calgary Confederation"," 84","Calgary",6,83,1,0,80,3,6,0,179,394
48005,"Calgary Confederation/Calgary Confederation"," 85","Calgary",6,85,0,0,65,0,0,0,156,393
48005,"Calgary Confederation/Calgary Confederation"," 86","Calgary",8,47,0,0,64,0,0,1,120,370
48005,"Calgary Confederation/Calgary Confederation"," 87","Calgary",3,59,0,0,90,0,1,1,154,429
48005,"Calgary Confederation/Calgary Confederation"," 88","Calgary",7,55,0,0,55,1,0,0,118,437
48005,"Calgary Confederation/Calgary Confederation"," 89","Calgary",7,56,0,0,45,0,1,3,112,393
48005,"Calgary Confederation/Calgary Confederation"," 90","Calgary",8,83,0,0,89,2,0,0,182,475
48005,"Calgary Confederation/Calgary Confederation"," 91","Calgary",3,44,0,0,60,1,1,0,109,328
48005,"Calgary Confederation/Calgary Confederation"," 92","Calgary",12,62,0,2,66,1,0,0,143,392
48005,"Calgary Confederation/Calgary Confederation"," 93","Calgary",12,75,0,0,85,0,0,0,172,385
48005,"Calgary Confederation/Calgary Confederation"," 94","Calgary",6,39,0,0,62,0,0,0,107,429
48005,"Calgary Confederation/Calgary Confederation"," 95","Calgary",5,90,0,1,85,0,0,0,181,413
48005,"Calgary Confederation/Calgary Confederation"," 96","Calgary",3,101,0,2,45,0,1,0,152,426
48005,"Calgary Confederation/Calgary Confederation"," 97","Calgary",4,60,0,1,56,1,0,1,123,363
48005,"Calgary Confederation/Calgary Confederation"," 98","Calgary",4,80,0,0,80,0,0,1,165,451
48005,"Calgary Confederation/Calgary Confederation"," 99","Calgary",8,90,0,1,92,1,1,2,195,466
48005,"Calgary Confederation/Calgary Confederation"," 100","Calgary",13,96,1,0,69,2,1,4,186,412
48005,"Calgary Confederation/Calgary Confederation"," 101","Calgary",10,60,0,0,83,2,1,0,156,379
48005,"Calgary Confederation/Calgary Confederation"," 102","Calgary",4,60,1,0,47,1,1,1,115,341
48005,"Calgary Confederation/Calgary Confederation"," 103","Calgary",8,100,0,0,112,1,3,1,225,487
48005,"Calgary Confederation/Calgary Confederation"," 104","Calgary",3,98,1,2,113,0,3,1,221,457
48005,"Calgary Confederation/Calgary Confederation"," 105","Calgary",6,60,0,0,66,2,0,1,135,470
48005,"Calgary Confederation/Calgary Confederation"," 106","Calgary",4,71,1,0,87,0,1,1,165,500
48005,"Calgary Confederation/Calgary Confederation"," 107","Calgary",4,67,0,0,69,1,1,0,142,501
48005,"Calgary Confederation/Calgary Confederation"," 108","Calgary",2,65,0,0,53,0,1,2,123,377
48005,"Calgary Confederation/Calgary Confederation"," 109","Calgary",7,78,0,0,105,2,1,0,193,481
48005,"Calgary Confederation/Calgary Confederation"," 110","Calgary",13,81,1,0,78,0,3,2,178,482
48005,"Calgary Confederation/Calgary Confederation"," 111","Calgary",7,81,0,0,91,1,1,0,181,446
48005,"Calgary Confederation/Calgary Confederation"," 112","Calgary",11,97,0,4,87,2,0,1,202,468
48005,"Calgary Confederation/Calgary Confederation"," 113","Calgary",13,106,0,1,106,0,3,1,230,748
48005,"Calgary Confederation/Calgary Confederation"," 114","Calgary",9,37,0,0,51,3,3,2,105,288
48005,"Calgary Confederation/Calgary Confederation"," 115","Calgary",3,67,1,2,95,0,0,0,168,483
48005,"Calgary Confederation/Calgary Confederation"," 116","Calgary",3,78,1,0,115,4,3,0,204,517
48005,"Calgary Confederation/Calgary Confederation"," 117","Calgary",9,74,1,0,101,0,1,1,187,544
48005,"Calgary Confederation/Calgary Confederation"," 118","Calgary",7,65,3,0,99,0,0,4,178,481
48005,"Calgary Confederation/Calgary Confederation"," 119","Calgary",12,91,0,1,66,0,1,2,173,437
48005,"Calgary Confederation/Calgary Confederation"," 120","Calgary",4,81,0,1,60,2,1,0,149,435
48005,"Calgary Confederation/Calgary Confederation"," 121","Calgary",8,75,0,0,81,0,2,0,166,521
48005,"Calgary Confederation/Calgary Confederation"," 122","Calgary",4,89,0,0,74,0,1,1,169,481
48005,"Calgary Confederation/Calgary Confederation"," 123","Calgary",6,80,0,0,81,0,3,0,170,474
48005,"Calgary Confederation/Calgary Confederation"," 124","Calgary",19,59,0,0,66,0,1,2,147,480
48005,"Calgary Confederation/Calgary Confederation"," 125","Calgary",2,56,2,2,77,1,0,0,140,405
48005,"Calgary Confederation/Calgary Confederation"," 126","Calgary",3,33,0,0,71,1,0,4,112,372
48005,"Calgary Confederation/Calgary Confederation"," 127","Calgary",1,57,0,2,77,1,0,2,140,389
48005,"Calgary Confederation/Calgary Confederation"," 128","Calgary",7,66,0,0,63,0,0,0,136,448
48005,"Calgary Confederation/Calgary Confederation"," 129","Calgary",13,49,0,4,57,2,0,0,125,384
48005,"Calgary Confederation/Calgary Confederation"," 130","Calgary",7,66,2,2,51,1,0,1,130,415
48005,"Calgary Confederation/Calgary Confederation"," 131","Calgary",7,83,0,1,62,0,0,1,154,469
48005,"Calgary Confederation/Calgary Confederation"," 132","Calgary",2,64,1,0,66,1,2,1,137,386
48005,"Calgary Confederation/Calgary Confederation"," 133","Calgary",5,74,0,0,97,0,0,1,177,459
48005,"Calgary Confederation/Calgary Confederation"," 134","Calgary",4,80,0,0,87,0,0,1,172,357
48005,"Calgary Confederation/Calgary Confederation"," 135","Calgary",6,87,1,2,83,0,2,1,182,437
48005,"Calgary Confederation/Calgary Confederation"," 136","Calgary",5,67,1,0,97,1,1,1,173,432
48005,"Calgary Confederation/Calgary Confederation"," 137","Calgary",4,73,1,0,81,2,1,1,163,379
48005,"Calgary Confederation/Calgary Confederation"," 138","Calgary",5,83,0,1,97,1,1,2,190,434
48005,"Calgary Confederation/Calgary Confederation"," 139","Calgary",1,83,0,0,90,1,0,3,178,439
48005,"Calgary Confederation/Calgary Confederation"," 140","Calgary",6,87,1,0,101,2,0,0,197,425
48005,"Calgary Confederation/Calgary Confederation"," 141","Calgary",4,88,2,0,77,0,0,3,174,422
48005,"Calgary Confederation/Calgary Confederation"," 142","Calgary",3,69,0,2,102,0,1,1,178,485
48005,"Calgary Confederation/Calgary Confederation"," 143","Calgary",11,75,0,0,74,2,1,0,163,492
48005,"Calgary Confederation/Calgary Confederation"," 144A","Calgary",4,70,0,0,74,0,1,1,150,411
48005,"Calgary Confederation/Calgary Confederation"," 144B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,,46
48005,"Calgary Confederation/Calgary Confederation"," 145","Calgary",5,50,0,0,81,0,0,1,137,415
48005,"Calgary Confederation/Calgary Confederation"," 146","Calgary",4,47,0,0,92,1,1,0,145,476
48005,"Calgary Confederation/Calgary Confederation"," 147","Calgary",4,77,0,0,58,2,0,0,141,442
48005,"Calgary Confederation/Calgary Confederation"," 148","Calgary",6,87,1,0,63,0,0,0,157,481
48005,"Calgary Confederation/Calgary Confederation"," 149A","Calgary",5,85,0,0,89,0,0,2,181,410
48005,"Calgary Confederation/Calgary Confederation"," 149B","Mobile poll/Bureau itinérant",5,32,0,1,34,0,2,0,74,40
48005,"Calgary Confederation/Calgary Confederation"," 150","Calgary",7,88,0,0,70,0,1,0,166,437
48005,"Calgary Confederation/Calgary Confederation"," 151","Calgary",9,70,0,0,45,0,1,0,125,342
48005,"Calgary Confederation/Calgary Confederation"," 152","Calgary",6,89,1,1,66,2,3,0,168,351
48005,"Calgary Confederation/Calgary Confederation"," 153","Calgary",5,88,0,0,65,1,1,0,160,388
48005,"Calgary Confederation/Calgary Confederation"," 154","Calgary",7,72,0,1,56,0,0,0,136,363
48005,"Calgary Confederation/Calgary Confederation"," 155","Calgary",8,85,0,0,77,1,0,0,171,391
48005,"Calgary Confederation/Calgary Confederation"," 156","Calgary",4,99,1,0,113,0,1,0,218,496
48005,"Calgary Confederation/Calgary Confederation"," 157","Calgary",6,65,1,0,68,1,3,0,144,409
48005,"Calgary Confederation/Calgary Confederation"," 158","Calgary",3,83,0,0,64,0,0,0,150,417
48005,"Calgary Confederation/Calgary Confederation"," 159","Calgary",13,84,0,1,66,1,2,0,167,399
48005,"Calgary Confederation/Calgary Confederation"," 160","Calgary",10,75,1,0,66,0,2,0,154,488
48005,"Calgary Confederation/Calgary Confederation"," 161","Calgary",11,85,0,0,68,1,1,1,167,451
48005,"Calgary Confederation/Calgary Confederation"," 162","Calgary",7,85,0,0,88,0,0,2,182,421
48005,"Calgary Confederation/Calgary Confederation"," 163","Calgary",5,98,0,1,71,0,0,1,176,449
48005,"Calgary Confederation/Calgary Confederation"," 164","Calgary",17,124,0,0,59,1,3,0,204,396
48005,"Calgary Confederation/Calgary Confederation"," 165","Calgary",5,93,0,1,50,1,0,2,152,340
48005,"Calgary Confederation/Calgary Confederation"," 166","Calgary",14,110,1,0,48,1,0,1,175,336
48005,"Calgary Confederation/Calgary Confederation"," 167","Calgary",16,111,2,1,68,2,2,2,204,418
48005,"Calgary Confederation/Calgary Confederation"," 168","Calgary",9,107,0,3,71,0,1,1,192,440
48005,"Calgary Confederation/Calgary Confederation"," 169","Calgary",12,88,0,0,78,0,1,0,179,353
48005,"Calgary Confederation/Calgary Confederation"," 170","Calgary",10,127,0,0,68,2,2,1,210,414
48005,"Calgary Confederation/Calgary Confederation"," 171","Calgary",13,107,0,0,66,0,1,0,187,424
48005,"Calgary Confederation/Calgary Confederation"," 172","Calgary",6,111,0,1,73,0,0,1,192,444
48005,"Calgary Confederation/Calgary Confederation"," 173","Calgary",14,121,1,0,98,0,0,1,235,615
48005,"Calgary Confederation/Calgary Confederation"," 174","Calgary",10,96,0,2,79,0,0,0,187,477
48005,"Calgary Confederation/Calgary Confederation"," 175","Calgary",8,84,0,0,63,0,0,0,155,328
48005,"Calgary Confederation/Calgary Confederation"," 176","Calgary",6,86,0,0,69,1,1,0,163,431
48005,"Calgary Confederation/Calgary Confederation"," 177","Calgary",5,98,0,0,69,0,1,1,174,390
48005,"Calgary Confederation/Calgary Confederation"," 178","Calgary",5,90,1,0,70,0,1,1,168,419
48005,"Calgary Confederation/Calgary Confederation"," 179","Calgary",12,120,1,0,106,1,3,0,243,551
48005,"Calgary Confederation/Calgary Confederation"," 180","Calgary",4,85,1,0,102,0,2,0,194,479
48005,"Calgary Confederation/Calgary Confederation"," 181","Calgary",2,69,0,0,92,0,1,3,167,403
48005,"Calgary Confederation/Calgary Confederation"," 182","Calgary",3,67,0,1,110,3,3,0,187,400
48005,"Calgary Confederation/Calgary Confederation"," 183","Calgary",3,59,0,0,79,1,3,1,146,403
48005,"Calgary Confederation/Calgary Confederation"," 184","Calgary",6,89,0,0,94,2,3,0,194,463
48005,"Calgary Confederation/Calgary Confederation"," 185","Calgary",17,113,1,1,91,0,1,0,224,545
48005,"Calgary Confederation/Calgary Confederation"," 186","Calgary",8,63,0,0,47,0,3,0,121,362
48005,"Calgary Confederation/Calgary Confederation"," 187","Calgary",14,92,1,1,64,3,3,2,180,451
48005,"Calgary Confederation/Calgary Confederation"," 188","Calgary",15,127,1,0,107,0,3,1,254,577
48005,"Calgary Confederation/Calgary Confederation"," 189","Calgary",6,77,0,0,74,0,0,0,157,383
48005,"Calgary Confederation/Calgary Confederation"," 190","Calgary",11,62,1,1,56,2,2,0,135,405
48005,"Calgary Confederation/Calgary Confederation"," 191","Calgary",12,89,0,2,63,1,2,1,170,383
48005,"Calgary Confederation/Calgary Confederation"," 192","Calgary",Combined with No./Résultats combinés à ceux du n°200,,,,,,,,,481
48005,"Calgary Confederation/Calgary Confederation"," 193","Calgary",8,90,0,2,67,2,0,10,179,464
48005,"Calgary Confederation/Calgary Confederation"," 194","Calgary",6,99,0,1,68,0,2,0,176,411
48005,"Calgary Confederation/Calgary Confederation"," 195","Calgary",7,82,1,0,67,0,1,3,161,406
48005,"Calgary Confederation/Calgary Confederation"," 196","Calgary",16,101,0,2,73,1,0,8,201,509
48005,"Calgary Confederation/Calgary Confederation"," 197","Calgary",9,93,1,1,95,0,1,3,203,532
48005,"Calgary Confederation/Calgary Confederation"," 198","Calgary",Combined with No./Résultats combinés à ceux du n°200,,,,,,,,,393
48005,"Calgary Confederation/Calgary Confederation"," 199","Calgary",Combined with No./Résultats combinés à ceux du n°202,,,,,,,,,669
48005,"Calgary Confederation/Calgary Confederation"," 200","Calgary",16,217,0,1,224,4,2,2,466,361
48005,"Calgary Confederation/Calgary Confederation"," 201A","Calgary",Combined with No./Résultats combinés à ceux du n°203,,,,,,,,,348
48005,"Calgary Confederation/Calgary Confederation"," 201B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,,98
48005,"Calgary Confederation/Calgary Confederation"," 201C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,,75
48005,"Calgary Confederation/Calgary Confederation"," 202","Calgary",18,232,0,0,211,3,0,1,465,539
48005,"Calgary Confederation/Calgary Confederation"," 203","Calgary",15,175,0,3,143,0,2,0,338,422
48005,"Calgary Confederation/Calgary Confederation"," 400","Calgary",10,49,2,3,74,1,1,1,141,196
48005,"Calgary Confederation/Calgary Confederation"," 500","Mobile poll/Bureau itinérant",10,36,0,0,50,0,1,2,99,107
48005,"Calgary Confederation/Calgary Confederation"," 501","Mobile poll/Bureau itinérant",11,85,1,2,131,0,2,6,238,127
48005,"Calgary Confederation/Calgary Confederation"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,28
48005,"Calgary Confederation/Calgary Confederation"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,93
48005,"Calgary Confederation/Calgary Confederation"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,25
48005,"Calgary Confederation/Calgary Confederation"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,115
48005,"Calgary Confederation/Calgary Confederation"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°149B,,,,,,,,,26
48005,"Calgary Confederation/Calgary Confederation"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,53
48005,"Calgary Confederation/Calgary Confederation"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,38
48005,"Calgary Confederation/Calgary Confederation"," 509","Mobile poll/Bureau itinérant",12,28,1,1,70,1,2,8,123,78
48005,"Calgary Confederation/Calgary Confederation"," 510","Mobile poll/Bureau itinérant",7,39,1,1,55,2,0,8,113,62
48005,"Calgary Confederation/Calgary Confederation"," 511","Mobile poll/Bureau itinérant",8,77,1,1,85,0,1,4,177,158
48005,"Calgary Confederation/Calgary Confederation"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,,64
48005,"Calgary Confederation/Calgary Confederation"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,,,39
48005,"Calgary Confederation/Calgary Confederation"," 514","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
48005,"Calgary Confederation/Calgary Confederation"," 515","Mobile poll/Bureau itinérant",10,46,0,2,54,3,0,2,117,93
48005,"Calgary Confederation/Calgary Confederation"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,,31
48005,"Calgary Confederation/Calgary Confederation"," 517","Mobile poll/Bureau itinérant",7,34,1,1,54,1,4,4,106,288
48005,"Calgary Confederation/Calgary Confederation"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,,25
48005,"Calgary Confederation/Calgary Confederation"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°149B,,,,,,,,,50
48005,"Calgary Confederation/Calgary Confederation"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,,44
48005,"Calgary Confederation/Calgary Confederation"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,,20
48005,"Calgary Confederation/Calgary Confederation"," 522","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
48005,"Calgary Confederation/Calgary Confederation"," 523","Mobile poll/Bureau itinérant",6,29,0,0,59,1,0,2,97,101
48005,"Calgary Confederation/Calgary Confederation"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,,72
48005,"Calgary Confederation/Calgary Confederation"," 525","Mobile poll/Bureau itinérant",7,19,0,2,39,2,1,2,72,117
48005,"Calgary Confederation/Calgary Confederation"," 526","Mobile poll/Bureau itinérant",7,22,1,0,29,0,0,1,60,46
48005,"Calgary Confederation/Calgary Confederation"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,,,9
48005,"Calgary Confederation/Calgary Confederation"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°530,,,,,,,,,59
48005,"Calgary Confederation/Calgary Confederation"," 529","Mobile poll/Bureau itinérant",13,54,0,2,106,1,2,5,183,144
48005,"Calgary Confederation/Calgary Confederation"," 530","Mobile poll/Bureau itinérant",15,45,4,5,72,0,2,7,150,106
48005,"Calgary Confederation/Calgary Confederation"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°530,,,,,,,,,40
48005,"Calgary Confederation/Calgary Confederation"," 600","Calgary",60,659,1,4,869,11,15,4,1623,
48005,"Calgary Confederation/Calgary Confederation"," 601","Calgary",73,708,3,3,782,7,5,2,1583,
48005,"Calgary Confederation/Calgary Confederation"," 602","Calgary",29,782,3,7,1095,9,5,1,1931,
48005,"Calgary Confederation/Calgary Confederation"," 603","Calgary",72,996,5,8,872,7,8,3,1971,
48005,"Calgary Confederation/Calgary Confederation"," 604","Calgary",47,802,3,4,745,4,7,2,1614,
48005,"Calgary Confederation/Calgary Confederation"," 605","Calgary",67,928,1,6,1020,7,9,5,2043,
48005,"Calgary Confederation/Calgary Confederation"," 606","Calgary",41,705,3,3,670,3,3,1,1429,
48005,"Calgary Confederation/Calgary Confederation"," 607","Calgary",69,729,2,2,607,2,3,4,1418,
48005,"Calgary Confederation/Calgary Confederation"," 608","Calgary",51,745,1,2,702,3,5,7,1516,
48005,"Calgary Confederation/Calgary Confederation"," 609","Calgary",40,816,0,1,759,5,10,3,1634,
48005,"Calgary Confederation/Calgary Confederation"," 610","Calgary",39,906,1,0,603,8,2,4,1563,
48005,"Calgary Confederation/Calgary Confederation"," 611","Calgary",46,987,1,5,815,6,5,9,1874,
