Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tatiana Auguste,Maxime Beaudoin,Maria Cantore,Adrienne Charles,Benjamin Rankin,Nathalie Sinclair-Desgagné,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Terrebonne/Terrebonne"," 40","Terrebonne",65,6,1,41,2,89,0,204,448
24073,"Terrebonne/Terrebonne"," 41","Terrebonne",95,7,0,56,2,72,4,236,511
24073,"Terrebonne/Terrebonne"," 42","Terrebonne",67,7,2,57,4,89,3,229,502
24073,"Terrebonne/Terrebonne"," 43","Terrebonne",52,6,3,73,6,68,3,211,467
24073,"Terrebonne/Terrebonne"," 44","Terrebonne",65,14,5,59,2,98,3,246,562
24073,"Terrebonne/Terrebonne"," 45A","Terrebonne",67,5,1,61,6,59,3,202,448
24073,"Terrebonne/Terrebonne"," 45B","Terrebonne",37,6,0,21,1,45,1,111,145
24073,"Terrebonne/Terrebonne"," 46","Terrebonne",64,6,6,65,5,91,8,245,541
24073,"Terrebonne/Terrebonne"," 47","Terrebonne",108,5,0,47,4,83,4,251,531
24073,"Terrebonne/Terrebonne"," 48","Terrebonne",129,1,3,45,4,47,1,230,542
24073,"Terrebonne/Terrebonne"," 49","Terrebonne",116,7,2,40,6,92,3,266,553
24073,"Terrebonne/Terrebonne"," 50","Terrebonne",93,3,0,46,4,67,3,216,485
24073,"Terrebonne/Terrebonne"," 51","Terrebonne",66,1,3,35,1,76,5,187,496
24073,"Terrebonne/Terrebonne"," 52","Terrebonne",64,9,5,55,5,102,4,244,484
24073,"Terrebonne/Terrebonne"," 53","Terrebonne",123,8,2,52,1,79,1,266,509
24073,"Terrebonne/Terrebonne"," 54","Terrebonne",150,10,1,48,5,82,4,300,589
24073,"Terrebonne/Terrebonne"," 55","Terrebonne",74,6,0,54,1,36,0,171,404
24073,"Terrebonne/Terrebonne"," 56","Terrebonne",118,7,3,86,2,58,0,274,492
24073,"Terrebonne/Terrebonne"," 57","Terrebonne",91,0,1,50,2,53,2,199,375
24073,"Terrebonne/Terrebonne"," 58","Terrebonne",54,7,4,39,1,52,1,158,413
24073,"Terrebonne/Terrebonne"," 59","Terrebonne",59,4,0,35,2,51,2,153,455
24073,"Terrebonne/Terrebonne"," 60","Terrebonne",120,5,0,47,1,94,1,268,552
24073,"Terrebonne/Terrebonne"," 61","Terrebonne",61,4,2,64,3,91,0,225,518
24073,"Terrebonne/Terrebonne"," 62","Terrebonne",87,4,3,43,4,61,0,202,529
24073,"Terrebonne/Terrebonne"," 63","Terrebonne",108,2,0,73,3,82,0,268,499
