Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Leila Dance,Nicolas Geddert,Ian MacIntyre,Colin Reynolds,Collin Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46003,"Elmwood--Transcona/Elmwood--Transcona"," 19","Winnipeg",41,2,41,67,1,2,154,551
46003,"Elmwood--Transcona/Elmwood--Transcona"," 20","Winnipeg",70,0,28,102,4,1,205,554
46003,"Elmwood--Transcona/Elmwood--Transcona"," 21","Winnipeg",49,2,42,57,0,0,150,457
46003,"Elmwood--Transcona/Elmwood--Transcona"," 22","Winnipeg",66,3,37,97,3,3,209,545
46003,"Elmwood--Transcona/Elmwood--Transcona"," 23","Winnipeg",47,1,27,91,0,0,166,525
46003,"Elmwood--Transcona/Elmwood--Transcona"," 24","Winnipeg",61,2,37,67,1,1,169,551
46003,"Elmwood--Transcona/Elmwood--Transcona"," 25","Winnipeg",40,1,20,53,2,1,117,422
46003,"Elmwood--Transcona/Elmwood--Transcona"," 26","Winnipeg",52,3,34,68,0,0,157,491
46003,"Elmwood--Transcona/Elmwood--Transcona"," 27","Winnipeg",55,2,58,67,1,0,183,543
46003,"Elmwood--Transcona/Elmwood--Transcona"," 28","Winnipeg",71,1,30,68,5,2,177,521
46003,"Elmwood--Transcona/Elmwood--Transcona"," 29","Winnipeg",66,1,58,109,3,0,237,584
46003,"Elmwood--Transcona/Elmwood--Transcona"," 30","Winnipeg",64,1,56,85,1,1,208,550
46003,"Elmwood--Transcona/Elmwood--Transcona"," 31","Winnipeg",62,1,51,105,4,3,226,561
46003,"Elmwood--Transcona/Elmwood--Transcona"," 32","Winnipeg",112,2,67,95,2,1,279,549
46003,"Elmwood--Transcona/Elmwood--Transcona"," 33","Winnipeg",105,3,22,77,2,0,209,481
46003,"Elmwood--Transcona/Elmwood--Transcona"," 34","Winnipeg",131,1,52,74,2,1,261,593
46003,"Elmwood--Transcona/Elmwood--Transcona"," 35","Springfield",48,0,48,89,0,0,185,577
46003,"Elmwood--Transcona/Elmwood--Transcona"," 36","Winnipeg",86,3,41,82,2,1,215,580
46003,"Elmwood--Transcona/Elmwood--Transcona"," 37","Winnipeg",77,0,41,129,1,0,248,551
46003,"Elmwood--Transcona/Elmwood--Transcona"," 38","Winnipeg",62,0,32,64,1,2,161,561
46003,"Elmwood--Transcona/Elmwood--Transcona"," 39","Winnipeg",87,0,47,87,3,5,229,560
46003,"Elmwood--Transcona/Elmwood--Transcona"," 40","Winnipeg",47,3,34,77,1,2,164,607
46003,"Elmwood--Transcona/Elmwood--Transcona"," 41","Winnipeg",53,2,52,82,3,0,192,618
46003,"Elmwood--Transcona/Elmwood--Transcona"," 42","Winnipeg",62,3,51,85,1,0,202,556
46003,"Elmwood--Transcona/Elmwood--Transcona"," 43","Winnipeg",44,1,33,80,3,2,163,538
46003,"Elmwood--Transcona/Elmwood--Transcona"," 44","Winnipeg",53,2,45,89,5,0,194,546
46003,"Elmwood--Transcona/Elmwood--Transcona"," 45","Winnipeg",62,2,42,63,4,1,174,499
46003,"Elmwood--Transcona/Elmwood--Transcona"," 46","Winnipeg",34,2,47,74,1,0,158,477
46003,"Elmwood--Transcona/Elmwood--Transcona"," 47","Winnipeg",45,5,35,59,1,0,145,462
46003,"Elmwood--Transcona/Elmwood--Transcona"," 48","Winnipeg",49,1,47,93,2,2,194,582
46003,"Elmwood--Transcona/Elmwood--Transcona"," 49","Winnipeg",39,4,53,69,3,0,168,590
46003,"Elmwood--Transcona/Elmwood--Transcona"," 50","Winnipeg",55,1,25,52,2,1,136,441
46003,"Elmwood--Transcona/Elmwood--Transcona"," 51","Winnipeg",54,1,30,98,2,0,185,582
46003,"Elmwood--Transcona/Elmwood--Transcona"," 52","Winnipeg",72,3,38,79,3,4,199,568
46003,"Elmwood--Transcona/Elmwood--Transcona"," 53","Winnipeg",38,2,36,38,2,0,116,445
46003,"Elmwood--Transcona/Elmwood--Transcona"," 54A","Winnipeg",35,1,25,46,3,0,110,345
46003,"Elmwood--Transcona/Elmwood--Transcona"," 54B","Winnipeg",34,3,27,47,0,0,111,332
46003,"Elmwood--Transcona/Elmwood--Transcona"," 55","Winnipeg",49,4,39,66,1,0,159,498
46003,"Elmwood--Transcona/Elmwood--Transcona"," 56","Winnipeg",62,3,48,77,3,0,193,481
46003,"Elmwood--Transcona/Elmwood--Transcona"," 57","Winnipeg",77,5,50,100,2,0,234,580
46003,"Elmwood--Transcona/Elmwood--Transcona"," 58","Winnipeg",65,3,26,98,3,3,198,559
46003,"Elmwood--Transcona/Elmwood--Transcona"," 59","Winnipeg",49,2,30,74,0,2,157,447
46003,"Elmwood--Transcona/Elmwood--Transcona"," 60","Winnipeg",64,0,49,68,1,1,183,407
46003,"Elmwood--Transcona/Elmwood--Transcona"," 61","Winnipeg",53,0,27,81,0,1,162,416
46003,"Elmwood--Transcona/Elmwood--Transcona"," 62","Winnipeg",56,0,24,36,0,0,116,359
46003,"Elmwood--Transcona/Elmwood--Transcona"," 63","Winnipeg",63,1,41,61,2,0,168,542
46003,"Elmwood--Transcona/Elmwood--Transcona"," 64","Winnipeg",56,1,55,67,1,0,180,506
46003,"Elmwood--Transcona/Elmwood--Transcona"," 65","Winnipeg",62,0,56,64,1,2,185,500
46003,"Elmwood--Transcona/Elmwood--Transcona"," 66","Winnipeg",62,3,41,104,0,1,211,592
46003,"Elmwood--Transcona/Elmwood--Transcona"," 67","Winnipeg",66,2,19,75,3,1,166,571
46003,"Elmwood--Transcona/Elmwood--Transcona"," 68","Winnipeg",77,3,33,116,2,2,233,539
46003,"Elmwood--Transcona/Elmwood--Transcona"," 69","Winnipeg",99,2,57,108,3,4,273,581
46003,"Elmwood--Transcona/Elmwood--Transcona"," 70","Winnipeg",72,3,33,68,3,0,179,542
46003,"Elmwood--Transcona/Elmwood--Transcona"," 71","Winnipeg",80,1,48,53,3,2,187,507
46003,"Elmwood--Transcona/Elmwood--Transcona"," 72","Winnipeg",52,1,54,69,0,1,177,464
46003,"Elmwood--Transcona/Elmwood--Transcona"," 73","Winnipeg",47,2,38,69,2,1,159,476
46003,"Elmwood--Transcona/Elmwood--Transcona"," 74","Winnipeg",82,1,60,120,6,0,269,557
46003,"Elmwood--Transcona/Elmwood--Transcona"," 75","Winnipeg",52,0,35,89,3,0,179,570
46003,"Elmwood--Transcona/Elmwood--Transcona"," 76","Winnipeg",50,0,20,119,2,1,192,588
46003,"Elmwood--Transcona/Elmwood--Transcona"," 77","Winnipeg",39,0,47,93,3,0,182,600
46003,"Elmwood--Transcona/Elmwood--Transcona"," 78","Winnipeg",30,0,31,55,0,0,116,393
46003,"Elmwood--Transcona/Elmwood--Transcona"," 79","Winnipeg",50,1,31,74,2,3,161,402
46003,"Elmwood--Transcona/Elmwood--Transcona"," 80","Winnipeg",33,0,46,74,0,0,153,535
46003,"Elmwood--Transcona/Elmwood--Transcona"," 81","Winnipeg",39,0,41,68,2,1,151,434
46003,"Elmwood--Transcona/Elmwood--Transcona"," 82","Winnipeg",52,1,69,100,1,3,226,610
46003,"Elmwood--Transcona/Elmwood--Transcona"," 83","Winnipeg",56,0,47,99,2,0,204,610
46003,"Elmwood--Transcona/Elmwood--Transcona"," 84","Winnipeg",35,1,35,29,2,1,103,386
46003,"Elmwood--Transcona/Elmwood--Transcona"," 85","Winnipeg",87,2,30,107,1,4,231,583
46003,"Elmwood--Transcona/Elmwood--Transcona"," 86A","Winnipeg",42,2,44,53,4,2,147,272
46003,"Elmwood--Transcona/Elmwood--Transcona"," 86B","Winnipeg",55,0,54,58,0,2,169,319
46003,"Elmwood--Transcona/Elmwood--Transcona"," 87","Winnipeg",50,0,44,64,0,0,158,477
46003,"Elmwood--Transcona/Elmwood--Transcona"," 88","Winnipeg",39,1,21,105,1,0,167,462
46003,"Elmwood--Transcona/Elmwood--Transcona"," 89","Winnipeg",71,2,47,111,2,1,234,551
46003,"Elmwood--Transcona/Elmwood--Transcona"," 90A","Winnipeg",45,0,60,56,0,2,163,422
46003,"Elmwood--Transcona/Elmwood--Transcona"," 90B","Winnipeg",28,0,46,61,0,1,136,361
46003,"Elmwood--Transcona/Elmwood--Transcona"," 91","Winnipeg",50,0,62,109,1,2,224,585
46003,"Elmwood--Transcona/Elmwood--Transcona"," 92","Winnipeg",72,4,48,91,1,2,218,565
46003,"Elmwood--Transcona/Elmwood--Transcona"," 93","Winnipeg",64,1,31,103,1,0,200,588
46003,"Elmwood--Transcona/Elmwood--Transcona"," 94","Winnipeg",76,0,62,91,2,2,233,574
46003,"Elmwood--Transcona/Elmwood--Transcona"," 95","Winnipeg",45,1,23,30,1,0,100,324
46003,"Elmwood--Transcona/Elmwood--Transcona"," 96","Winnipeg",52,1,14,70,1,0,138,371
46003,"Elmwood--Transcona/Elmwood--Transcona"," 97","Winnipeg",74,1,27,93,1,1,197,467
46003,"Elmwood--Transcona/Elmwood--Transcona"," 98","Winnipeg",74,0,43,103,4,1,225,558
46003,"Elmwood--Transcona/Elmwood--Transcona"," 99","Winnipeg",54,1,31,66,5,2,159,557
46003,"Elmwood--Transcona/Elmwood--Transcona"," 100","Winnipeg",34,0,38,85,1,0,158,464
46003,"Elmwood--Transcona/Elmwood--Transcona"," 101","Winnipeg",79,0,29,84,1,1,194,577
46003,"Elmwood--Transcona/Elmwood--Transcona"," 102","Winnipeg",73,2,26,122,3,4,230,595
46003,"Elmwood--Transcona/Elmwood--Transcona"," 103","Winnipeg",54,1,22,79,0,2,158,445
46003,"Elmwood--Transcona/Elmwood--Transcona"," 104","Winnipeg",61,3,27,74,1,1,167,551
46003,"Elmwood--Transcona/Elmwood--Transcona"," 105","Winnipeg",64,1,30,64,5,1,165,507
46003,"Elmwood--Transcona/Elmwood--Transcona"," 106","Winnipeg",67,1,21,72,4,0,165,458
46003,"Elmwood--Transcona/Elmwood--Transcona"," 107","Winnipeg",50,1,47,62,0,0,160,484
46003,"Elmwood--Transcona/Elmwood--Transcona"," 108","Winnipeg",56,1,51,89,4,0,201,576
46003,"Elmwood--Transcona/Elmwood--Transcona"," 109","Winnipeg",106,1,28,92,0,0,227,521
46003,"Elmwood--Transcona/Elmwood--Transcona"," 110","Winnipeg",64,2,30,63,1,0,160,435
46003,"Elmwood--Transcona/Elmwood--Transcona"," 111","Winnipeg",92,0,44,88,4,1,229,541
46003,"Elmwood--Transcona/Elmwood--Transcona"," 112","Winnipeg",64,0,39,70,3,1,177,513
46003,"Elmwood--Transcona/Elmwood--Transcona"," 113","Winnipeg",66,2,36,61,1,4,170,515
46003,"Elmwood--Transcona/Elmwood--Transcona"," 114","Winnipeg",41,1,46,73,0,1,162,511
46003,"Elmwood--Transcona/Elmwood--Transcona"," 115","Winnipeg",41,2,31,70,2,0,146,405
46003,"Elmwood--Transcona/Elmwood--Transcona"," 116","Winnipeg",15,1,17,21,0,0,54,155
46003,"Elmwood--Transcona/Elmwood--Transcona"," 117","Winnipeg",49,4,20,89,0,0,162,406
46003,"Elmwood--Transcona/Elmwood--Transcona"," 118","Winnipeg",71,1,52,132,0,0,256,606
46003,"Elmwood--Transcona/Elmwood--Transcona"," 119","Winnipeg",46,1,23,75,0,0,145,443
46003,"Elmwood--Transcona/Elmwood--Transcona"," 120","Winnipeg",62,1,55,109,1,0,228,565
46003,"Elmwood--Transcona/Elmwood--Transcona"," 121","Winnipeg",46,1,36,71,3,1,158,520
46003,"Elmwood--Transcona/Elmwood--Transcona"," 122","Winnipeg",53,1,44,95,2,1,196,559
46003,"Elmwood--Transcona/Elmwood--Transcona"," 123","Winnipeg",51,1,50,101,0,1,204,556
46003,"Elmwood--Transcona/Elmwood--Transcona"," 124","Winnipeg",89,0,42,77,2,0,210,564
46003,"Elmwood--Transcona/Elmwood--Transcona"," 125","Winnipeg",41,2,48,125,1,1,218,552
46003,"Elmwood--Transcona/Elmwood--Transcona"," 126","Winnipeg",33,1,35,73,1,1,144,448
46003,"Elmwood--Transcona/Elmwood--Transcona"," 127","Winnipeg",45,1,36,79,3,1,165,503
46003,"Elmwood--Transcona/Elmwood--Transcona"," 128","Winnipeg",27,3,48,98,2,0,178,566
46003,"Elmwood--Transcona/Elmwood--Transcona"," 129","Winnipeg",52,3,37,88,1,1,182,494
46003,"Elmwood--Transcona/Elmwood--Transcona"," 130","Winnipeg",40,3,48,107,0,2,200,556
46003,"Elmwood--Transcona/Elmwood--Transcona"," 131","Winnipeg",51,0,29,126,3,2,211,428
46003,"Elmwood--Transcona/Elmwood--Transcona"," 132","Dugald",40,0,56,180,4,1,281,449
46003,"Elmwood--Transcona/Elmwood--Transcona"," 133","Dugald",80,1,86,186,3,2,358,540
46003,"Elmwood--Transcona/Elmwood--Transcona"," 134","Navin",18,2,34,134,5,0,193,426
46003,"Elmwood--Transcona/Elmwood--Transcona"," 400A","Winnipeg",Combined with No./Résultats combinés à ceux du n°54A,,,,,,,36
46003,"Elmwood--Transcona/Elmwood--Transcona"," 400B","Winnipeg",Combined with No./Résultats combinés à ceux du n°54B,,,,,,,28
46003,"Elmwood--Transcona/Elmwood--Transcona"," 401A","Winnipeg",Combined with No./Résultats combinés à ceux du n°86A,,,,,,,72
46003,"Elmwood--Transcona/Elmwood--Transcona"," 401B","Winnipeg",Combined with No./Résultats combinés à ceux du n°86B,,,,,,,78
46003,"Elmwood--Transcona/Elmwood--Transcona"," 402A","Winnipeg",Combined with No./Résultats combinés à ceux du n°86A,,,,,,,103
46003,"Elmwood--Transcona/Elmwood--Transcona"," 402B","Winnipeg",Combined with No./Résultats combinés à ceux du n°86B,,,,,,,117
46003,"Elmwood--Transcona/Elmwood--Transcona"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,50
46003,"Elmwood--Transcona/Elmwood--Transcona"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,90
46003,"Elmwood--Transcona/Elmwood--Transcona"," 502","Mobile poll/Bureau itinérant",20,3,20,33,0,0,76,63
46003,"Elmwood--Transcona/Elmwood--Transcona"," 503","Winnipeg",Combined with No./Résultats combinés à ceux du n°504,,,,,,,98
46003,"Elmwood--Transcona/Elmwood--Transcona"," 504","Winnipeg",62,5,104,70,1,0,242,116
46003,"Elmwood--Transcona/Elmwood--Transcona"," 505","Winnipeg",Combined with No./Résultats combinés à ceux du n°504,,,,,,,109
46003,"Elmwood--Transcona/Elmwood--Transcona"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,80
46003,"Elmwood--Transcona/Elmwood--Transcona"," 507","Mobile poll/Bureau itinérant",23,1,23,32,1,1,81,108
46003,"Elmwood--Transcona/Elmwood--Transcona"," 508","Mobile poll/Bureau itinérant",50,0,58,25,0,0,133,86
46003,"Elmwood--Transcona/Elmwood--Transcona"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,90
46003,"Elmwood--Transcona/Elmwood--Transcona"," 510A","Winnipeg",Combined with No./Résultats combinés à ceux du n°54A,,,,,,,40
46003,"Elmwood--Transcona/Elmwood--Transcona"," 510B","Winnipeg",Combined with No./Résultats combinés à ceux du n°54B,,,,,,,38
46003,"Elmwood--Transcona/Elmwood--Transcona"," 511","Winnipeg",Combined with No./Résultats combinés à ceux du n°109,,,,,,,60
46003,"Elmwood--Transcona/Elmwood--Transcona"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,67
46003,"Elmwood--Transcona/Elmwood--Transcona"," 513","Mobile poll/Bureau itinérant",40,1,23,17,2,1,84,96
46003,"Elmwood--Transcona/Elmwood--Transcona"," 514","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 600","Winnipeg",746,9,382,581,10,22,1750,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 601","Winnipeg",638,18,286,436,18,8,1404,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 602","Winnipeg",345,6,187,365,7,2,912,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 603","Winnipeg",485,6,365,494,7,6,1363,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 604","Winnipeg",371,8,215,377,12,5,988,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 605","Winnipeg",509,10,402,543,15,5,1484,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 606","Winnipeg",577,5,413,633,12,3,1643,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 607","Winnipeg",662,2,491,688,9,10,1862,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 608","Winnipeg",541,7,251,581,7,8,1395,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 609","Winnipeg",614,8,334,618,9,3,1586,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 610","Winnipeg",541,8,199,428,7,8,1191,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 611","Winnipeg",479,2,278,649,10,3,1421,
46003,"Elmwood--Transcona/Elmwood--Transcona"," 612","Winnipeg",413,5,300,567,8,7,1300,
46003,"Elmwood--Transcona/Elmwood--Transcona",,Group 1/Groupe 1, 159,7,156,160,8,38,528,187
46003,"Elmwood--Transcona/Elmwood--Transcona",,Group 2/Groupe 2, 739,11,439,773,13,54,2029,
