Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tommy Gagnon,Yanick Lapierre,Louis Plamondon,Michel Plourde,Lara Stillo,Pierre Tousignant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 18","Bécancour",3,6,78,51,4,48,4,194,429
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 19","Bécancour",3,6,83,86,1,48,5,232,430
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 20","Sainte-Marie-de-Blandford",8,2,92,83,2,43,7,237,394
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 21","Lemieux",0,3,47,29,3,21,1,104,238
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 22","Bécancour",3,0,35,33,1,25,1,98,206
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 22-1","Wôlinak 11",0,3,12,22,0,15,1,53,191
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 23","Bécancour",9,1,48,45,0,24,2,129,301
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 24","Bécancour",4,3,46,31,0,27,6,117,287
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 25","Bécancour",3,6,39,46,3,31,5,133,437
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 26","Bécancour",3,4,93,95,5,68,11,279,464
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 27","Bécancour",7,9,90,98,0,55,6,265,441
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 28","Bécancour",4,0,51,46,1,25,4,131,517
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 29","Bécancour",3,3,55,90,3,26,2,182,375
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 30","Bécancour",6,0,43,54,1,26,2,132,294
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 31","Bécancour",3,5,72,64,5,45,2,196,374
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 32","Bécancour",2,2,70,39,1,30,4,148,244
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 33","Bécancour",2,2,52,53,0,49,10,168,404
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 34","Bécancour",1,1,51,30,4,48,3,138,309
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 35","Bécancour",7,9,98,84,5,78,6,287,436
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 36","Saint-Sylvère",3,1,66,60,0,36,5,171,289
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 37","Saint-Sylvère",12,1,76,75,0,50,1,215,359
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 38","Bécancour",3,2,44,24,0,55,2,130,276
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 39","Bécancour",3,5,50,66,1,60,3,188,388
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 40","Bécancour",3,0,44,60,2,42,0,151,383
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 41","Bécancour",8,3,46,44,0,57,2,160,366
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 42","Bécancour",4,2,64,110,1,56,3,240,493
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 43","Bécancour",5,2,48,22,2,41,2,122,317
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 44","Bécancour",5,0,53,49,1,42,1,151,335
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 45","Bécancour",4,3,105,54,2,91,7,266,333
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 46","Bécancour",1,1,36,35,4,24,0,101,224
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 47","Bécancour",2,2,52,61,0,47,5,169,372
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 48","Bécancour",6,2,44,50,2,32,3,139,312
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 49","Bécancour",6,6,58,88,2,75,4,239,459
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 50","Aston-Jonction",6,3,94,82,0,31,3,219,323
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 51","Saint-Célestin-Station",5,6,94,84,0,38,3,230,397
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 52","Saint-Célestin",5,6,117,60,4,68,9,269,386
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 53","Saint-Célestin",5,5,92,97,2,46,6,253,385
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 54","Saint-Wenceslas",7,3,63,62,0,33,7,175,296
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 55","Saint-Wenceslas",3,5,64,88,0,23,3,186,302
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 56","Saint-Wenceslas",2,6,61,64,3,42,2,180,328
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 57","Nicolet",1,3,77,56,1,51,4,193,438
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 58","Nicolet",7,3,63,48,0,45,7,173,434
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 59","Nicolet",5,2,87,32,1,64,1,192,431
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 60","Nicolet",4,3,55,45,0,30,2,139,363
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 61","Nicolet",9,2,50,55,0,41,3,160,374
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 62","Nicolet",4,2,80,41,0,50,4,181,475
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 63","Nicolet",3,3,68,43,1,33,3,154,406
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 64","Nicolet",2,1,53,26,2,32,1,117,351
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 65A","Nicolet",5,3,46,28,0,43,0,125,279
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 65B","Nicolet",1,2,42,37,0,36,1,119,279
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 66","Nicolet",5,5,60,45,2,32,2,151,462
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 67","Nicolet",6,1,49,35,1,40,5,137,405
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 68","Nicolet",6,1,58,43,0,42,3,153,373
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 69","Nicolet",3,6,56,30,3,15,4,117,407
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 70","Nicolet",4,10,74,46,4,66,5,209,483
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 71","Nicolet",3,1,71,40,2,56,9,182,402
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 72","Nicolet",2,6,50,42,1,22,4,127,304
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 73","Grand-Saint-Esprit",10,6,88,78,2,52,3,239,399
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 74","Sainte-Eulalie",5,3,88,101,3,22,5,227,385
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 75","Sainte-Eulalie",11,3,72,96,4,43,3,232,415
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 76","Sainte-Monique",4,4,97,62,0,45,1,213,408
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 77","Saint-Léonard-d'Aston",1,5,63,67,1,37,7,181,456
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 78","Saint-Léonard-d'Aston",4,2,84,101,4,57,14,266,422
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 79","Saint-Léonard-d'Aston",3,8,79,74,4,35,3,206,436
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 80","Saint-Léonard-d'Aston",5,5,82,53,2,44,4,195,460
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 81","Saint-Léonard-d'Aston",2,3,57,58,3,23,2,148,319
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 82","Baie-du-Febvre",2,2,63,29,0,19,0,115,224
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 83","Baie-du-Febvre",5,3,69,41,2,26,1,147,320
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 84","Baie-du-Febvre",7,0,60,38,1,22,2,130,272
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 85","La Visitation",0,6,88,64,0,29,4,191,268
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 86","Sainte-Perpétue",7,5,85,72,1,39,1,210,373
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 87","Sainte-Perpétue",5,4,89,87,6,39,5,235,380
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 88","Pierreville",4,1,69,29,0,13,3,119,381
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 89","Pierreville",2,2,68,31,1,19,3,126,360
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 90","Notre-Dame-de-Pierreville",2,1,64,38,4,35,2,146,359
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 91","Odanak",4,3,75,19,1,36,1,139,431
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 92","Pierreville",3,1,49,30,1,12,7,103,354
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 93","Pierreville",3,5,59,31,1,23,0,122,337
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 94","Saint-Zéphirin",5,2,93,42,1,26,3,172,285
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 95","Saint-Zéphirin",2,1,80,67,5,44,6,205,294
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 96","Saint-Elphège",5,0,73,31,0,32,5,146,202
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 97","Saint-François-du-Lac",2,4,71,39,3,37,1,157,376
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 98","Saint-François-du-Lac",3,4,109,33,1,32,2,184,460
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 99","Saint-François-du-Lac",3,1,83,31,2,21,2,143,364
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 100","Saint-François-du-Lac",3,1,100,71,0,36,4,215,424
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 101","Sainte-Anne-de-Sorel",4,4,87,33,0,47,8,183,424
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 102","Sainte-Anne-de-Sorel",3,0,61,26,0,18,1,109,363
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 103","Sainte-Anne-de-Sorel",2,0,72,19,0,42,1,136,387
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 104","Sainte-Anne-de-Sorel",3,1,49,20,0,27,0,100,254
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 105","Sainte-Anne-de-Sorel",2,0,63,30,0,45,2,142,316
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 106","Sainte-Anne-de-Sorel",2,1,88,22,0,42,2,157,344
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 107","Sainte-Anne-de-Sorel",1,1,33,18,0,32,0,85,236
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 108","Saint-Gérard-Majella",2,2,43,29,0,23,1,100,187
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 109","Yamaska",2,2,91,32,2,38,3,170,365
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 110","Yamaska",10,2,83,44,1,46,2,188,410
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 111","Yamaska-Est",2,3,77,25,0,30,4,141,359
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 112","Saint-Michel-d'Yamaska",3,1,68,20,1,29,0,122,317
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 113","Sorel-Tracy",2,4,71,18,0,21,1,117,352
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 114","Sorel-Tracy",1,3,52,19,0,15,3,93,362
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 115","Sorel-Tracy",4,0,20,9,0,4,0,37,358
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 116","Sorel-Tracy",2,0,77,10,2,34,0,125,427
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 117","Sorel-Tracy",2,4,42,13,0,25,0,86,332
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 118","Sorel-Tracy",3,2,69,15,2,25,1,117,323
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 119","Sorel-Tracy",1,2,53,13,0,46,0,115,327
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 120","Sorel-Tracy",2,2,43,23,2,16,3,91,354
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 121","Sorel-Tracy",2,1,67,21,0,29,2,122,396
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 122","Sorel-Tracy",2,0,51,16,0,35,1,105,350
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 123","Sorel-Tracy",1,2,57,12,0,45,2,119,431
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 124","Sorel-Tracy",0,3,66,19,1,26,0,115,349
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 125","Sorel-Tracy",3,1,80,17,2,25,1,129,413
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 126","Sorel-Tracy",4,1,76,25,2,18,1,127,418
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 127","Sorel-Tracy",3,0,60,21,0,33,1,118,386
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 128","Sorel-Tracy",4,0,71,30,2,37,0,144,459
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 129","Saint-Joseph-de-Sorel",5,0,46,15,2,19,0,87,333
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 130","Saint-Joseph-de-Sorel",2,0,49,12,0,28,2,93,323
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 131","Saint-Joseph-de-Sorel",3,0,49,17,3,22,3,97,348
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 132","Saint-Joseph-de-Sorel",1,2,36,17,1,21,3,81,331
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 133","Sorel-Tracy",3,3,33,6,1,8,5,59,386
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 134","Sorel-Tracy",1,1,28,16,0,8,1,55,396
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 135","Sorel-Tracy",0,1,42,18,0,5,3,69,426
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 136","Sorel-Tracy",4,1,38,9,1,19,2,74,424
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 137","Sorel-Tracy",1,0,54,7,0,14,1,77,354
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 138","Sorel-Tracy",1,3,60,20,0,23,2,109,348
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 139","Sorel-Tracy",3,2,79,26,1,44,3,158,360
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 140","Sorel-Tracy",3,2,76,27,2,31,2,143,446
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 141","Sorel-Tracy",1,1,66,44,2,50,4,168,425
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 142","Sorel-Tracy",1,2,31,15,1,30,1,81,335
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 143","Sorel-Tracy",1,3,50,13,1,16,4,88,377
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 144","Sorel-Tracy",4,5,57,30,3,17,1,117,360
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 145","Sorel-Tracy",2,2,85,15,0,30,2,136,414
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 146","Sorel-Tracy",6,2,52,21,0,25,1,107,341
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 147","Sorel-Tracy",0,1,60,46,0,47,2,156,452
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 148","Sorel-Tracy",1,3,89,37,0,54,0,184,481
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 149","Sorel-Tracy",1,0,79,48,0,31,0,159,458
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 150","Sorel-Tracy",0,4,69,11,2,30,2,118,382
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 151","Sorel-Tracy",5,1,80,18,0,35,1,140,377
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 152","Sorel-Tracy",2,6,96,20,3,31,0,158,407
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 153","Sorel-Tracy",1,3,98,31,1,33,0,167,447
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 154","Sorel-Tracy",2,2,75,22,1,19,2,123,402
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 155","Sorel-Tracy",3,3,87,39,1,38,4,175,435
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 156","Sorel-Tracy",3,1,59,27,2,34,3,129,493
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 157","Sorel-Tracy",9,1,92,42,2,47,2,195,470
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 158","Sorel-Tracy",3,2,56,42,3,23,8,137,451
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 159","Sorel-Tracy",2,2,98,32,0,45,5,184,476
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 160","Sorel-Tracy",4,5,84,26,1,61,2,183,467
24009,"Bécancour--Nicolet--Saurel--Alnôbak/Bécancour--Nicolet--Saurel--Alnôbak"," 161","Sorel-Tracy",6,5,106,26,2,44,8,197,490
