Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Matthew Ian Clark,Mike Dawson,Josh Floyd,Lisa Harris,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 38","Miramichi",4,68,7,89,2,170,413
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 39","Napan Bay",8,101,4,95,3,211,387
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 40","Lower Napan",3,120,11,47,0,181,352
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 41","Glenwood",3,146,8,67,1,225,429
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 42","Curventon",4,72,3,43,0,122,307
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 43","Maple Glen",4,67,6,26,2,105,304
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 44","Miramichi",1,72,7,66,0,146,401
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 45A","Miramichi",2,42,0,101,0,145,404
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 45B","Miramichi",1,20,2,29,0,52,97
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 46","Miramichi",0,44,3,66,1,114,474
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 47","Miramichi",3,64,5,100,1,173,469
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 48","Miramichi",0,51,3,72,0,126,416
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 49","St. Margarets",2,74,2,65,0,143,224
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 50","Miramichi",0,75,3,72,1,151,557
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 51","Miramichi",1,71,1,71,0,144,458
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 52","Miramichi",3,65,1,62,1,132,442
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 53","Miramichi",2,50,3,66,0,121,480
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 54","Black River Bridge",3,137,10,56,1,207,368
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 55","Miramichi",4,114,3,98,0,219,435
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 56","Miramichi",3,91,10,64,2,170,342
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 57","Miramichi",4,53,8,115,0,180,329
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 58","Newcastle",2,86,6,54,0,148,364
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 59","Miramichi",3,53,5,59,0,120,399
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 60","Miramichi",1,50,2,57,1,111,382
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 61","Miramichi",2,43,1,70,1,117,386
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 62","Miramichi",1,63,3,76,0,143,448
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 63","Miramichi",2,60,2,51,1,116,338
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 64","Miramichi",4,44,3,51,1,103,346
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 65","Miramichi",1,45,7,45,0,98,349
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 66","Kouchibouguac",6,79,4,64,0,153,234
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 67","Eel Ground 2",5,35,5,221,6,272,476
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 68","Miramichi",2,92,8,120,0,222,394
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 69","Miramichi",4,113,8,96,0,221,392
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 70","Miramichi",2,108,6,69,0,185,331
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 71","Nelson",0,81,2,41,0,124,250
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 72","Whitney",1,84,2,72,1,160,383
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 73","Whitney",3,79,4,48,0,134,374
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 74","Exmoor",1,48,1,48,0,98,253
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 74-1","Big Hole Tract 8 (North Half)",Combined with No./Résultats combinés à ceux du n°74,,,,,,26
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 74-2","Big Hole Tract 8 (South Half)",Combined with No./Résultats combinés à ceux du n°74,,,,,,14
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 75","Boom Road",2,66,2,48,1,119,306
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 76","Millerton--Derby Junction",4,122,3,54,0,183,312
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 77","South Esk",2,137,3,85,0,227,429
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 78","Williamstown",3,99,5,63,2,172,393
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 79","Barnaby River",1,87,2,65,2,157,274
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 80","East Collette",10,54,2,51,3,120,227
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 81","Collette",2,44,4,40,0,90,212
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 82","Acadieville",7,70,3,79,1,160,314
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 83","Acadieville",11,39,6,52,0,108,362
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 84","Rogersville",6,46,1,35,2,90,316
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 85","Rogersville",8,34,0,36,0,78,291
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 86","Rogersville",4,40,0,31,0,75,303
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 87","Rogersville",3,25,3,27,0,58,307
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 88","Rogersville",4,49,4,40,0,97,323
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 89","Warwick Settlement",0,45,4,17,0,66,217
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 90","Warwick Settlement",0,20,0,14,0,34,138
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 91","Miramichi River Valley",1,41,0,21,4,67,153
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 91-1","Red Bank 4",1,9,3,135,0,148,319
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 92","Matthews",2,74,5,36,0,117,311
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 93","Richibucto 15",2,4,0,83,0,89,340
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 94","Richibucto 15",0,4,2,106,1,113,395
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 95","Richibucto 15",3,2,1,136,0,142,442
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 96","Richibucto 15",1,4,2,103,1,111,450
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 97","South Branch--West Branch",6,52,3,49,0,110,322
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 98","Bass River",4,82,5,72,4,167,368
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 99","Ford Bank",2,57,1,48,2,110,271
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 100","Upper Derby",2,112,4,70,2,190,368
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 101","McKinleyville",2,99,4,34,0,139,265
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 102","White Rapids",4,121,3,70,0,198,383
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 102-1","Renous 12",Combined with No./Résultats combinés à ceux du n°102,,,,,,5
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 103","Renous--Barnettville",7,91,2,46,0,146,349
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 104","Renous",1,98,4,83,1,187,364
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 105","Beersville",7,86,8,69,3,173,367
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 106","Blackville",3,96,4,44,0,147,357
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 107","Blackville",4,128,2,40,1,175,406
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 108","Blackville",3,91,0,35,0,129,357
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 109","Upper Blackville",0,109,3,53,4,169,334
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 110","Harcourt",4,87,8,54,0,153,440
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 111","Blissfield",3,92,1,26,1,123,412
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 112","Storeytown",1,84,3,25,0,113,355
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 113","Blissfield",3,61,3,26,0,93,395
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 114","Carrolls Crossing",2,121,2,41,3,169,369
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 115","Holtville",2,74,1,15,1,93,438
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 116","Ludlow",0,85,3,24,1,113,296
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 117","Bloomfield Ridge",4,84,3,29,1,121,383
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 118A","Astle",2,90,6,30,0,128,390
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 118B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,31
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 119","Chipman",1,65,3,27,0,96,276
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 120","Chipman",1,64,7,19,0,91,317
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 121","Chipman",3,52,7,22,0,84,249
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 122","Northfield",5,52,2,24,0,83,284
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 123","Chipman",5,72,2,26,0,105,354
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 124","Chipman",4,58,1,28,2,93,298
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 125","Chipman",0,78,5,34,0,117,330
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 126","Cumberland Bay",14,135,12,50,1,212,379
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 127","Minto",6,67,1,30,0,104,274
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 128","Northfield",5,69,4,34,1,113,314
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 129","Minto",4,45,5,22,0,76,252
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 130","Minto",2,54,5,24,1,86,280
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 131","Minto",3,45,2,22,0,72,288
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 132","Minto",5,45,5,31,0,86,285
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 133","Minto",1,41,2,31,0,75,310
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 134","Minto",7,56,0,39,3,105,296
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 135","Newcastle Creek",6,65,6,45,1,123,366
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 136","Maugerville",1,44,0,26,0,71,320
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 137","Sheffield",2,123,6,74,1,206,397
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 138","Sheffield",6,140,7,53,2,208,359
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 139","Noonan",2,23,1,15,1,42,281
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 140","Noonan",0,36,1,17,1,55,325
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 141","Waterborough",8,89,10,32,0,139,448
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 142","Douglas Harbour",5,159,5,95,1,265,474
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 143","Sheffield",8,127,9,96,2,242,354
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 144","Maugerville",5,164,9,91,1,270,389
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,34
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,22
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,22
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 503","Mobile poll/Bureau itinérant",2,15,3,47,8,75,31
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 504","Neguac",Combined with No./Résultats combinés à ceux du n°8,,,,,,1
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,25
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,19
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 507","Mobile poll/Bureau itinérant",1,14,2,21,2,40,21
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 508","Mobile poll/Bureau itinérant",2,33,8,48,2,93,100
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 509","Miramichi",Combined with No./Résultats combinés à ceux du n°55,,,,,,1
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,10
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 511","Miramichi",7,33,2,39,2,83,167
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,45
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,10
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 514","Mobile poll/Bureau itinérant",4,7,1,38,5,55,28
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 515","Mobile poll/Bureau itinérant",3,15,2,16,0,36,29
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 516","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,30
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 518","Mobile poll/Bureau itinérant",1,18,2,22,0,43,40
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 600","Neguac",16,207,10,490,2,725,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 601","Esgenoôpetitj 14",Combined with No./Résultats combinés à ceux du n°600,,,,,,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 602","Alnwick",17,228,15,422,1,683,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 603","Tabusintac 9",Combined with No./Résultats combinés à ceux du n°602,,,,,,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 604","Newcastle",14,604,29,826,8,1481,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 605","Miramichi",20,560,37,891,9,1517,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 606","Miramichi",22,543,44,862,2,1473,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 607","Eel Ground 2",Combined with No./Résultats combinés à ceux du n°606,,,,,,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 608","Miramichi",4,225,3,189,0,421,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 609","Big Hole Tract 8 (South Half)",Combined with No./Résultats combinés à ceux du n°608,,,,,,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 610","Big Hole Tract 8 (North Half)",Combined with No./Résultats combinés à ceux du n°608,,,,,,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 611","Sunny Corner--Red Bank",10,508,10,370,1,899,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 612","Red Bank 4",Combined with No./Résultats combinés à ceux du n°608,,,,,,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 613","Miramichi",14,312,15,253,1,595,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 614","Baie-Sainte-Anne",15,362,13,318,15,723,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 615","Rogersville",38,334,32,698,7,1109,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 616","Renous 12",Combined with No./Résultats combinés à ceux du n°617,,,,,,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 617","Blackville",15,481,18,288,3,805,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 618","Blissfield--Doaktown",5,405,6,191,3,610,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 619","Upper Miramichi",8,458,15,152,5,638,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 620","Chipman",14,412,23,321,7,777,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 621","Sheffield",12,262,11,181,0,466,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 622","Minto",35,480,32,407,3,957,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 623","Cumberland Bay",5,125,11,127,0,268,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 624","Harcourt--Weldford",8,112,9,146,0,275,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 625","Weldford",3,76,2,74,0,155,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 626","Richibucto 15",4,11,0,412,6,433,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake",,Group 1/Groupe 1, 17,337,20,337,37,748,118
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake",,Group 2/Groupe 2, 30,901,34,1090,27,2082,
