Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Greg Kung,Jennifer Purdy,Moinuddin Siddiqui,Melissa Simon,Jenna Sudds,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35043,"Kanata/Kanata"," 98","Ottawa",34,1,0,6,94,0,135,477
35043,"Kanata/Kanata"," 99","Ottawa",44,2,0,0,62,0,108,344
35043,"Kanata/Kanata"," 100","Ottawa",53,3,0,8,101,0,165,364
35043,"Kanata/Kanata"," 101","Ottawa",23,0,0,3,48,0,74,321
35043,"Kanata/Kanata"," 102","Ottawa",61,6,0,8,150,1,226,528
35043,"Kanata/Kanata"," 103","Ottawa",78,2,0,15,137,2,234,574
35043,"Kanata/Kanata"," 104","Ottawa",55,1,3,5,65,2,131,329
35043,"Kanata/Kanata"," 105","Ottawa",57,4,0,8,94,1,164,393
35043,"Kanata/Kanata"," 106","Ottawa",58,4,0,3,84,0,149,445
35043,"Kanata/Kanata"," 107","Ottawa",68,2,0,6,76,2,154,376
35043,"Kanata/Kanata"," 108","Ottawa",60,2,0,4,116,0,182,509
35043,"Kanata/Kanata"," 109","Ottawa",45,2,0,6,85,2,140,558
35043,"Kanata/Kanata"," 110","Ottawa",70,1,0,7,92,1,171,508
35043,"Kanata/Kanata"," 111","Ottawa",54,4,0,7,77,0,142,474
35043,"Kanata/Kanata"," 112","Ottawa",53,3,0,2,81,0,139,503
35043,"Kanata/Kanata"," 113","Ottawa",41,3,0,2,128,0,174,633
35043,"Kanata/Kanata"," 114","Ottawa",44,1,0,3,68,1,117,409
35043,"Kanata/Kanata"," 115","Ottawa",55,1,0,3,81,0,140,472
35043,"Kanata/Kanata"," 116","Ottawa",73,2,0,5,88,2,170,470
35043,"Kanata/Kanata"," 117","Ottawa",69,7,0,13,137,1,227,550
35043,"Kanata/Kanata"," 118","Ottawa",66,1,0,14,80,1,162,497
35043,"Kanata/Kanata"," 119","Ottawa",38,1,0,3,68,0,110,319
35043,"Kanata/Kanata"," 120","Ottawa",40,2,0,7,104,0,153,343
35043,"Kanata/Kanata"," 121","Ottawa",52,1,0,4,112,0,169,433
35043,"Kanata/Kanata"," 122","Ottawa",45,1,0,5,87,1,139,449
35043,"Kanata/Kanata"," 123","Ottawa",55,3,0,3,108,0,169,464
35043,"Kanata/Kanata"," 124","Ottawa",42,1,0,0,54,1,98,298
35043,"Kanata/Kanata"," 125","Ottawa",68,2,0,1,106,0,177,535
35043,"Kanata/Kanata"," 126","Ottawa",89,2,0,4,77,0,172,463
35043,"Kanata/Kanata"," 127","Ottawa",103,0,1,11,111,1,227,603
35043,"Kanata/Kanata"," 128","Ottawa",84,3,0,3,94,0,184,454
35043,"Kanata/Kanata"," 129","Ottawa",48,0,0,1,39,0,88,227
35043,"Kanata/Kanata"," 130","Ottawa",138,2,1,6,118,0,265,585
35043,"Kanata/Kanata"," 131","Ottawa",46,0,0,2,33,0,81,201
35043,"Kanata/Kanata"," 132","Ottawa",45,2,0,7,60,0,114,473
35043,"Kanata/Kanata"," 133","Ottawa",73,4,0,8,103,0,188,417
35043,"Kanata/Kanata"," 134","Ottawa",33,1,0,3,67,0,104,353
35043,"Kanata/Kanata"," 135","Ottawa",50,2,0,5,101,0,158,461
35043,"Kanata/Kanata"," 136","Ottawa",54,2,0,5,77,2,140,427
35043,"Kanata/Kanata"," 137","Ottawa",57,2,1,7,107,2,176,603
35043,"Kanata/Kanata"," 138","Ottawa",35,3,1,1,105,0,145,385
35043,"Kanata/Kanata"," 139","Ottawa",59,3,0,6,116,1,185,401
35043,"Kanata/Kanata"," 140","Ottawa",63,4,0,2,66,0,135,354
35043,"Kanata/Kanata"," 141","Ottawa",55,1,0,2,75,0,133,370
35043,"Kanata/Kanata"," 142","Ottawa",68,2,0,5,77,0,152,391
35043,"Kanata/Kanata"," 143","Ottawa",47,4,0,2,56,1,110,386
35043,"Kanata/Kanata"," 144","Ottawa",51,2,0,7,79,1,140,414
35043,"Kanata/Kanata"," 145","Ottawa",29,0,0,5,31,0,65,235
35043,"Kanata/Kanata"," 146","Ottawa",65,1,0,4,50,0,120,383
35043,"Kanata/Kanata"," 147","Ottawa",57,1,0,8,76,3,145,447
35043,"Kanata/Kanata"," 148","Ottawa",70,0,2,6,91,0,169,440
35043,"Kanata/Kanata"," 149","Ottawa",72,6,0,9,125,1,213,596
35043,"Kanata/Kanata"," 150","Ottawa",71,4,0,0,97,0,172,510
35043,"Kanata/Kanata"," 151","Ottawa",76,3,0,4,94,2,179,458
35043,"Kanata/Kanata"," 152","Ottawa",45,4,1,2,109,0,161,444
35043,"Kanata/Kanata"," 153","Ottawa",86,1,3,9,115,1,215,617
35043,"Kanata/Kanata"," 154","Ottawa",91,2,0,8,111,0,212,541
35043,"Kanata/Kanata"," 155","Ottawa",96,0,0,6,115,1,218,597
35043,"Kanata/Kanata"," 156","Ottawa",43,4,0,9,89,1,146,459
35043,"Kanata/Kanata"," 157","Ottawa",95,3,0,7,121,1,227,592
35043,"Kanata/Kanata"," 158","Ottawa",58,1,0,5,63,1,128,374
35043,"Kanata/Kanata"," 159","Ottawa",32,0,0,0,55,1,88,403
35043,"Kanata/Kanata"," 160","Ottawa",25,1,0,1,35,0,62,373
35043,"Kanata/Kanata"," 161","Ottawa",85,2,0,8,100,0,195,485
35043,"Kanata/Kanata"," 162","Ottawa",67,3,0,6,108,1,185,451
35043,"Kanata/Kanata"," 163","Ottawa",51,1,0,0,92,0,144,428
35043,"Kanata/Kanata"," 164","Ottawa",68,1,0,6,80,0,155,457
35043,"Kanata/Kanata"," 165","Ottawa",45,1,0,7,90,0,143,408
35043,"Kanata/Kanata"," 166","Ottawa",56,1,1,1,120,0,179,462
35043,"Kanata/Kanata"," 167","Ottawa",44,2,0,1,68,0,115,321
35043,"Kanata/Kanata"," 168","Ottawa",100,2,0,4,142,1,249,618
35043,"Kanata/Kanata"," 169","Ottawa",60,2,1,9,84,0,156,333
35043,"Kanata/Kanata"," 170","Ottawa",62,1,0,9,49,0,121,336
35043,"Kanata/Kanata"," 171","Ottawa",76,0,2,11,93,0,182,509
35043,"Kanata/Kanata"," 172","Ottawa",63,2,0,7,94,1,167,470
35043,"Kanata/Kanata"," 173","Ottawa",68,1,2,4,58,0,133,400
35043,"Kanata/Kanata"," 174","Ottawa",69,6,0,4,151,3,233,661
35043,"Kanata/Kanata"," 175","Ottawa",57,2,0,2,95,2,158,419
35043,"Kanata/Kanata"," 176","Ottawa",91,3,0,17,98,5,214,572
35043,"Kanata/Kanata"," 177A","Ottawa",46,1,0,1,71,0,119,429
35043,"Kanata/Kanata"," 177B","Ottawa",66,0,0,4,54,0,124,380
35043,"Kanata/Kanata"," 178","Ottawa",60,3,0,4,100,0,167,478
35043,"Kanata/Kanata"," 179","Ottawa",101,5,0,12,185,7,310,618
35043,"Kanata/Kanata"," 180","Ottawa",67,0,0,8,99,0,174,509
35043,"Kanata/Kanata"," 181","Ottawa",109,4,1,16,110,1,241,682
35043,"Kanata/Kanata"," 182","Ottawa",73,2,0,6,62,0,143,462
35043,"Kanata/Kanata"," 183A","Ottawa",69,0,0,1,73,1,144,552
35043,"Kanata/Kanata"," 183B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,141
35043,"Kanata/Kanata"," 184","Ottawa",41,3,0,4,81,0,129,407
35043,"Kanata/Kanata"," 185","Ottawa",89,2,0,6,98,2,197,600
35043,"Kanata/Kanata"," 186","Ottawa",68,0,1,3,86,3,161,596
35043,"Kanata/Kanata"," 187","Ottawa",70,0,1,3,83,2,159,508
35043,"Kanata/Kanata"," 188","Ottawa",78,1,0,6,104,4,193,544
35043,"Kanata/Kanata"," 189","Ottawa",75,1,0,2,88,0,166,500
35043,"Kanata/Kanata"," 190","Ottawa",75,3,0,4,69,2,153,609
35043,"Kanata/Kanata"," 191","Ottawa",67,1,0,0,89,0,157,607
35043,"Kanata/Kanata"," 192","Ottawa",64,0,0,4,71,1,140,549
35043,"Kanata/Kanata"," 193","Ottawa",47,1,1,4,116,2,171,578
35043,"Kanata/Kanata"," 194","Ottawa",59,1,0,2,72,2,136,460
35043,"Kanata/Kanata"," 195","Ottawa",66,1,1,5,76,1,150,424
35043,"Kanata/Kanata"," 196A","Ottawa",67,1,1,2,67,1,139,390
35043,"Kanata/Kanata"," 196B","Ottawa",77,2,4,4,65,0,152,429
35043,"Kanata/Kanata"," 197","Ottawa",55,3,1,2,102,2,165,463
35043,"Kanata/Kanata"," 198","Ottawa",72,0,0,7,85,0,164,528
35043,"Kanata/Kanata"," 400","Ottawa",46,1,0,8,69,1,125,176
35043,"Kanata/Kanata"," 401","Ottawa",40,0,0,1,60,1,102,160
35043,"Kanata/Kanata"," 402","Ottawa",33,2,0,5,65,2,107,169
35043,"Kanata/Kanata"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,53
35043,"Kanata/Kanata"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,70
35043,"Kanata/Kanata"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,23
35043,"Kanata/Kanata"," 503","Mobile poll/Bureau itinérant",43,2,0,4,79,2,130,173
35043,"Kanata/Kanata"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,72
35043,"Kanata/Kanata"," 505","Mobile poll/Bureau itinérant",33,1,2,6,51,2,95,90
35043,"Kanata/Kanata"," 506","Mobile poll/Bureau itinérant",43,1,1,0,58,0,103,123
35043,"Kanata/Kanata"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,51
35043,"Kanata/Kanata"," 508","Mobile poll/Bureau itinérant",46,2,2,3,72,3,128,144
35043,"Kanata/Kanata"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,26
35043,"Kanata/Kanata"," 510","Mobile poll/Bureau itinérant",46,5,0,9,85,2,147,172
35043,"Kanata/Kanata"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,168
35043,"Kanata/Kanata"," 512","Mobile poll/Bureau itinérant",31,3,0,5,65,7,111,140
35043,"Kanata/Kanata"," 513","Mobile poll/Bureau itinérant",39,1,0,4,30,3,77,164
35043,"Kanata/Kanata"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,65
35043,"Kanata/Kanata"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,65
35043,"Kanata/Kanata"," 516","Mobile poll/Bureau itinérant",32,2,0,1,62,3,100,112
35043,"Kanata/Kanata"," 517","Mobile poll/Bureau itinérant",21,3,4,8,50,1,87,82
35043,"Kanata/Kanata"," 518","Mobile poll/Bureau itinérant",54,2,3,5,110,4,178,242
35043,"Kanata/Kanata"," 600","Ottawa",404,7,0,3,644,0,1058,
35043,"Kanata/Kanata"," 601","Ottawa",356,7,0,9,523,4,899,
35043,"Kanata/Kanata"," 602","Ottawa",494,15,8,23,984,7,1531,
35043,"Kanata/Kanata"," 603","Ottawa",663,5,5,34,1212,1,1920,
35043,"Kanata/Kanata"," 604","Ottawa",598,5,0,15,888,7,1513,
35043,"Kanata/Kanata"," 605","Ottawa",Combined with No./Résultats combinés à ceux du n°600,,,,,,,
35043,"Kanata/Kanata"," 606","Ottawa",870,14,1,36,1572,8,2501,
35043,"Kanata/Kanata"," 607","Ottawa",778,17,2,53,1252,10,2112,
35043,"Kanata/Kanata"," 608","Ottawa",478,8,2,19,797,6,1310,
35043,"Kanata/Kanata"," 609","Ottawa",349,4,1,13,890,1,1258,
35043,"Kanata/Kanata"," 610","Ottawa",383,15,0,31,1093,4,1526,
35043,"Kanata/Kanata"," 611","Ottawa",440,17,1,36,944,7,1445,
35043,"Kanata/Kanata"," 612","Ottawa",455,13,2,27,996,4,1497,
35043,"Kanata/Kanata"," 613","Ottawa",655,24,0,47,1064,8,1798,
35043,"Kanata/Kanata"," 614","Ottawa",487,8,0,23,1041,14,1573,
35043,"Kanata/Kanata"," 615","Ottawa",629,16,2,37,1494,6,2184,
35043,"Kanata/Kanata"," 616","Ottawa",728,12,3,26,1349,3,2121,
35043,"Kanata/Kanata"," 617","Ottawa",767,30,2,30,1743,6,2578,
35043,"Kanata/Kanata"," 618","Ottawa",435,22,1,37,795,3,1293,
35043,"Kanata/Kanata"," 619","Ottawa",328,15,1,30,703,3,1080,
35043,"Kanata/Kanata",,Group 1/Groupe 1, 523,19,3,46,1266,76,1933,726
35043,"Kanata/Kanata",,Group 2/Groupe 2, 2348,53,3,78,3739,85,6306,
