Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jim Boutsikakis,Chad Collins,Ned Kuruc,Nayla Mithani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 603","Hamilton",13,828,874,25,16,1756,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 604","Hamilton ",5,468,431,29,8,941,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 605","Hamilton",7,432,473,20,7,939,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 606","Hamilton ",17,485,317,52,20,891,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 607","Hamilton ",12,474,376,44,3,909,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 608","Hamilton ",12,515,337,32,9,905,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 609","Hamilton",13,879,572,52,1,1517,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 610","Hamilton",10,732,635,22,6,1405,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 611","Hamilton ",13,948,642,45,9,1657,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 612","Hamilton ",10,396,279,26,13,724,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 613","Hamilton",4,308,204,18,2,536,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 614","Hamilton",16,1015,801,68,9,1909,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 615","Hamilton",15,1333,1255,64,11,2678,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 616","Hamilton",10,721,665,43,13,1452,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 617","Hamilton",10,921,765,47,10,1753,
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek",,Group 1/Groupe 1, 3,355,220,26,46,650,217
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek",,Group 2/Groupe 2, 30,1981,2356,118,43,4528,
