Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Grant Jackson,Quentin Robinson,Ghazanfar Ali Tarar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46001,"Brandon--Souris/Brandon--Souris"," 42","Brandon",79,40,43,0,162,499
46001,"Brandon--Souris/Brandon--Souris"," 43","Brandon",99,35,54,1,189,517
46001,"Brandon--Souris/Brandon--Souris"," 44","Brandon",78,30,60,3,171,419
46001,"Brandon--Souris/Brandon--Souris"," 45","Brandon",73,34,42,3,152,446
46001,"Brandon--Souris/Brandon--Souris"," 46","Brandon",93,32,39,0,164,480
46001,"Brandon--Souris/Brandon--Souris"," 47","Brandon",82,17,34,4,137,361
46001,"Brandon--Souris/Brandon--Souris"," 48","Brandon",83,27,34,2,146,381
46001,"Brandon--Souris/Brandon--Souris"," 49","Brandon",91,30,56,0,177,532
46001,"Brandon--Souris/Brandon--Souris"," 50","Brandon",73,34,72,0,179,589
46001,"Brandon--Souris/Brandon--Souris"," 51","Brandon",66,25,33,0,124,454
46001,"Brandon--Souris/Brandon--Souris"," 52","Brandon",106,28,35,1,170,411
46001,"Brandon--Souris/Brandon--Souris"," 53","Brandon",79,23,39,0,141,409
46001,"Brandon--Souris/Brandon--Souris"," 54","Brandon",138,29,48,5,220,549
46001,"Brandon--Souris/Brandon--Souris"," 55","Brandon",103,18,44,1,166,497
46001,"Brandon--Souris/Brandon--Souris"," 56","Brandon",109,23,24,2,158,455
46001,"Brandon--Souris/Brandon--Souris"," 57","Brandon",73,23,42,0,138,426
46001,"Brandon--Souris/Brandon--Souris"," 58","Brandon",106,27,41,5,179,448
46001,"Brandon--Souris/Brandon--Souris"," 59","Alexander",152,35,53,4,244,416
46001,"Brandon--Souris/Brandon--Souris"," 60","Beresford",142,15,21,2,180,307
46001,"Brandon--Souris/Brandon--Souris"," 61","Cornwallis",45,33,46,1,125,351
46001,"Brandon--Souris/Brandon--Souris"," 62","Kemnay",147,27,36,3,213,455
46001,"Brandon--Souris/Brandon--Souris"," 63","Brandon",113,29,32,1,175,397
46001,"Brandon--Souris/Brandon--Souris"," 64","Brandon",85,37,38,1,161,485
46001,"Brandon--Souris/Brandon--Souris"," 65","Brandon",93,42,57,5,197,501
46001,"Brandon--Souris/Brandon--Souris"," 66","Brandon",73,30,48,1,152,491
46001,"Brandon--Souris/Brandon--Souris"," 67","Brandon",66,35,46,1,148,440
46001,"Brandon--Souris/Brandon--Souris"," 68","Brandon",102,67,41,1,211,451
46001,"Brandon--Souris/Brandon--Souris"," 69","Brandon",101,55,46,0,202,482
46001,"Brandon--Souris/Brandon--Souris"," 70","Brandon",90,30,54,1,175,398
46001,"Brandon--Souris/Brandon--Souris"," 71","Brandon",63,62,50,0,175,474
46001,"Brandon--Souris/Brandon--Souris"," 72","Brandon",111,34,48,0,193,429
46001,"Brandon--Souris/Brandon--Souris"," 73","Brandon",122,46,43,2,213,440
46001,"Brandon--Souris/Brandon--Souris"," 74","Brandon",95,42,52,1,190,458
46001,"Brandon--Souris/Brandon--Souris"," 75","Brandon",91,54,54,1,200,524
46001,"Brandon--Souris/Brandon--Souris"," 76","Brandon",89,39,44,1,173,473
46001,"Brandon--Souris/Brandon--Souris"," 77","Brandon",111,33,59,1,204,485
46001,"Brandon--Souris/Brandon--Souris"," 78","Brandon",98,23,38,2,161,449
46001,"Brandon--Souris/Brandon--Souris"," 79","Brandon",93,13,42,4,152,439
46001,"Brandon--Souris/Brandon--Souris"," 80","Brandon",72,38,40,0,150,457
46001,"Brandon--Souris/Brandon--Souris"," 81","Brandon",93,49,56,1,199,501
46001,"Brandon--Souris/Brandon--Souris"," 82","Brandon",73,40,50,1,164,532
46001,"Brandon--Souris/Brandon--Souris"," 83","Brandon",108,26,58,2,194,502
46001,"Brandon--Souris/Brandon--Souris"," 84","Brandon",118,49,43,1,211,491
46001,"Brandon--Souris/Brandon--Souris"," 85","Brandon",120,22,34,1,177,459
46001,"Brandon--Souris/Brandon--Souris"," 86","Brandon",85,40,34,0,159,508
46001,"Brandon--Souris/Brandon--Souris"," 87","Brandon",160,25,44,1,230,546
46001,"Brandon--Souris/Brandon--Souris"," 88","Brandon",85,40,48,1,174,471
46001,"Brandon--Souris/Brandon--Souris"," 89","Brandon",98,43,48,1,190,481
46001,"Brandon--Souris/Brandon--Souris"," 90","Brandon",104,35,55,4,198,578
46001,"Brandon--Souris/Brandon--Souris"," 91","Brandon",124,28,66,2,220,607
46001,"Brandon--Souris/Brandon--Souris"," 92","Brandon",67,36,48,1,152,410
46001,"Brandon--Souris/Brandon--Souris"," 93","Brandon",80,34,46,2,162,515
46001,"Brandon--Souris/Brandon--Souris"," 94","Cornwallis",148,21,43,1,213,363
46001,"Brandon--Souris/Brandon--Souris"," 95","Sprucewoods",179,33,62,1,275,483
46001,"Brandon--Souris/Brandon--Souris"," 96","North Cypress-Langford",153,25,57,0,235,519
46001,"Brandon--Souris/Brandon--Souris"," 97","Cornwallis",108,22,33,0,163,259
46001,"Brandon--Souris/Brandon--Souris"," 98","Sprucewoods",58,7,15,2,82,405
46001,"Brandon--Souris/Brandon--Souris"," 99","Cornwallis",75,16,27,3,121,435
46001,"Brandon--Souris/Brandon--Souris"," 100","Brandon Hills",125,19,38,0,182,353
46001,"Brandon--Souris/Brandon--Souris"," 101","Oak Lake",128,17,20,0,165,303
46001,"Brandon--Souris/Brandon--Souris"," 102","Griswold",116,11,15,1,143,359
46001,"Brandon--Souris/Brandon--Souris"," 103","Oak Lake Beach",171,5,23,0,199,351
46001,"Brandon--Souris/Brandon--Souris"," 104","Oak Lake Reserve",7,22,17,1,47,96
46001,"Brandon--Souris/Brandon--Souris"," 105","Pipestone",173,13,29,1,216,312
46001,"Brandon--Souris/Brandon--Souris"," 106","Pipestone",178,13,9,0,200,303
46001,"Brandon--Souris/Brandon--Souris"," 107","Deleau",162,10,18,1,191,350
46001,"Brandon--Souris/Brandon--Souris"," 108","Souris-Glenwood",134,19,29,3,185,445
46001,"Brandon--Souris/Brandon--Souris"," 109","Souris",125,29,23,2,179,439
46001,"Brandon--Souris/Brandon--Souris"," 110","Souris-Glenwood",138,23,33,3,197,519
46001,"Brandon--Souris/Brandon--Souris"," 111","Carroll",161,15,17,0,193,350
46001,"Brandon--Souris/Brandon--Souris"," 112","Sinclair",113,11,15,1,140,248
46001,"Brandon--Souris/Brandon--Souris"," 113","Methven",197,27,26,9,259,380
46001,"Brandon--Souris/Brandon--Souris"," 114","Wawanesa",221,16,68,4,309,458
46001,"Brandon--Souris/Brandon--Souris"," 115","Nesbitt",204,41,50,3,298,461
46001,"Brandon--Souris/Brandon--Souris"," 116","Stockton",147,12,27,0,186,448
46001,"Brandon--Souris/Brandon--Souris"," 117","Glenboro-South Cypress",119,24,31,1,175,441
46001,"Brandon--Souris/Brandon--Souris"," 117-1","Swan Lake 7A",Combined with No./Résultats combinés à ceux du n°117,,,,,15
46001,"Brandon--Souris/Brandon--Souris"," 118","Cypress River",191,12,20,2,225,411
46001,"Brandon--Souris/Brandon--Souris"," 119","Grande-Clairière",107,5,9,1,122,368
46001,"Brandon--Souris/Brandon--Souris"," 120","Holland",216,24,37,0,277,443
46001,"Brandon--Souris/Brandon--Souris"," 121","Argue",276,22,40,0,338,460
46001,"Brandon--Souris/Brandon--Souris"," 122","Elgin--Minto",233,28,30,1,292,442
46001,"Brandon--Souris/Brandon--Souris"," 123","Dunrea",174,9,21,1,205,329
46001,"Brandon--Souris/Brandon--Souris"," 124","Greenway",197,38,40,2,277,407
46001,"Brandon--Souris/Brandon--Souris"," 125","Belmont",227,28,55,2,312,470
46001,"Brandon--Souris/Brandon--Souris"," 126","Melita",132,8,28,0,168,403
46001,"Brandon--Souris/Brandon--Souris"," 127","Melita",119,7,11,2,139,361
46001,"Brandon--Souris/Brandon--Souris"," 128","Medora",154,13,17,0,184,362
46001,"Brandon--Souris/Brandon--Souris"," 129","Ninette",150,24,45,0,219,392
46001,"Brandon--Souris/Brandon--Souris"," 130","Pierson",207,13,21,2,243,424
46001,"Brandon--Souris/Brandon--Souris"," 131","Glenora",218,18,27,1,264,369
46001,"Brandon--Souris/Brandon--Souris"," 132","Deloraine-Winchester",207,15,51,1,274,427
46001,"Brandon--Souris/Brandon--Souris"," 133","Deloraine",193,28,54,7,282,429
46001,"Brandon--Souris/Brandon--Souris"," 134","Goodlands",186,18,21,0,225,323
46001,"Brandon--Souris/Brandon--Souris"," 135","Whitewater",112,7,15,1,135,258
46001,"Brandon--Souris/Brandon--Souris"," 136","Boissevain-Morton",154,18,33,0,205,444
46001,"Brandon--Souris/Brandon--Souris"," 137","Boissevain-Morton",95,15,27,0,137,348
46001,"Brandon--Souris/Brandon--Souris"," 138","Boissevain-Morton",112,10,23,2,147,413
46001,"Brandon--Souris/Brandon--Souris"," 139","Mountainside",97,14,12,2,125,232
46001,"Brandon--Souris/Brandon--Souris"," 140","Coulter--Wascada",150,6,23,2,181,281
46001,"Brandon--Souris/Brandon--Souris"," 141","Pilot Mound",162,7,14,0,183,277
46001,"Brandon--Souris/Brandon--Souris"," 142","Pilot Mound",145,41,65,3,254,449
46001,"Brandon--Souris/Brandon--Souris"," 143","Killarney",102,20,30,0,152,365
46001,"Brandon--Souris/Brandon--Souris"," 144","Killarney",121,20,35,0,176,399
46001,"Brandon--Souris/Brandon--Souris"," 145","Killarney",116,16,35,0,167,371
46001,"Brandon--Souris/Brandon--Souris"," 146","Killarney - Turtle Mountain",83,16,34,1,134,376
46001,"Brandon--Souris/Brandon--Souris"," 147","Killarney - Turtle Mountain",75,14,31,0,120,375
46001,"Brandon--Souris/Brandon--Souris"," 148","Ninga",142,10,20,5,177,431
46001,"Brandon--Souris/Brandon--Souris"," 149","St. Leon",149,12,26,0,187,427
46001,"Brandon--Souris/Brandon--Souris"," 150","Manitou",86,10,20,0,116,326
46001,"Brandon--Souris/Brandon--Souris"," 151","Manitou",105,5,17,0,127,300
46001,"Brandon--Souris/Brandon--Souris"," 152","Manitou",146,6,12,2,166,391
46001,"Brandon--Souris/Brandon--Souris"," 153","Cartwright",172,16,40,1,229,432
46001,"Brandon--Souris/Brandon--Souris"," 154","Cartwright-Roblin",96,3,7,9,115,262
46001,"Brandon--Souris/Brandon--Souris"," 155","La Rivière",90,15,24,0,129,374
46001,"Brandon--Souris/Brandon--Souris"," 156","Mather",104,16,37,0,157,266
46001,"Brandon--Souris/Brandon--Souris"," 157","Pembina",212,15,32,0,259,385
46001,"Brandon--Souris/Brandon--Souris"," 158","Crystal City",111,12,12,2,137,270
46001,"Brandon--Souris/Brandon--Souris"," 400","Brandon",60,16,24,5,105,137
46001,"Brandon--Souris/Brandon--Souris"," 401","Brandon",84,30,80,2,196,240
46001,"Brandon--Souris/Brandon--Souris"," 402","Brandon",28,14,28,5,75,124
46001,"Brandon--Souris/Brandon--Souris"," 403","Brandon",41,15,45,0,101,135
46001,"Brandon--Souris/Brandon--Souris"," 404","Brandon",47,26,28,5,106,164
46001,"Brandon--Souris/Brandon--Souris"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,23
46001,"Brandon--Souris/Brandon--Souris"," 501","Mobile poll/Bureau itinérant",37,3,8,4,52,28
46001,"Brandon--Souris/Brandon--Souris"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,55
46001,"Brandon--Souris/Brandon--Souris"," 503","Mobile poll/Bureau itinérant",14,8,9,0,31,6
46001,"Brandon--Souris/Brandon--Souris"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,18
46001,"Brandon--Souris/Brandon--Souris"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,71
46001,"Brandon--Souris/Brandon--Souris"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,62
46001,"Brandon--Souris/Brandon--Souris"," 507","Mobile poll/Bureau itinérant",41,16,18,0,75,99
46001,"Brandon--Souris/Brandon--Souris"," 508","Mobile poll/Bureau itinérant",31,14,17,0,62,97
46001,"Brandon--Souris/Brandon--Souris"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,13
46001,"Brandon--Souris/Brandon--Souris"," 510","Mobile poll/Bureau itinérant",41,9,7,0,57,41
46001,"Brandon--Souris/Brandon--Souris"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,23
46001,"Brandon--Souris/Brandon--Souris"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,17
46001,"Brandon--Souris/Brandon--Souris"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,22
46001,"Brandon--Souris/Brandon--Souris"," 514","Mobile poll/Bureau itinérant",30,3,4,1,38,25
46001,"Brandon--Souris/Brandon--Souris"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,20
46001,"Brandon--Souris/Brandon--Souris"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,33
46001,"Brandon--Souris/Brandon--Souris"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,7
46001,"Brandon--Souris/Brandon--Souris"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,15
46001,"Brandon--Souris/Brandon--Souris"," 519","Mobile poll/Bureau itinérant",32,5,5,0,42,13
46001,"Brandon--Souris/Brandon--Souris"," 520","Mobile poll/Bureau itinérant",27,9,10,3,49,16
46001,"Brandon--Souris/Brandon--Souris"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,58
46001,"Brandon--Souris/Brandon--Souris"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,19
46001,"Brandon--Souris/Brandon--Souris"," 523","Mobile poll/Bureau itinérant",30,8,15,2,55,49
46001,"Brandon--Souris/Brandon--Souris"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,24
46001,"Brandon--Souris/Brandon--Souris"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,1
46001,"Brandon--Souris/Brandon--Souris"," 600","Elkhorn--Wallace",302,34,33,0,369,
46001,"Brandon--Souris/Brandon--Souris"," 601","Elkhorn--Wallace",636,58,149,8,851,
46001,"Brandon--Souris/Brandon--Souris"," 602","Oak Lake 59",Combined with No./Résultats combinés à ceux du n°601,,,,,
46001,"Brandon--Souris/Brandon--Souris"," 603","Sioux Valley Dakota Nation",2,1,0,0,3,
46001,"Brandon--Souris/Brandon--Souris"," 604","Souris",450,49,135,6,640,
46001,"Brandon--Souris/Brandon--Souris"," 605","Whitehead",707,233,410,5,1355,
46001,"Brandon--Souris/Brandon--Souris"," 606","Brandon",380,159,292,9,840,
46001,"Brandon--Souris/Brandon--Souris"," 607","Brandon",409,141,277,5,832,
46001,"Brandon--Souris/Brandon--Souris"," 608","Brandon",440,195,334,10,979,
46001,"Brandon--Souris/Brandon--Souris"," 609","Brandon",585,244,414,6,1249,
46001,"Brandon--Souris/Brandon--Souris"," 610","Brandon",868,276,496,11,1651,
46001,"Brandon--Souris/Brandon--Souris"," 611","Brandon",653,180,350,13,1196,
46001,"Brandon--Souris/Brandon--Souris"," 612","Carberry",152,24,63,2,241,
46001,"Brandon--Souris/Brandon--Souris"," 613","Glenboro",268,30,67,2,367,
46001,"Brandon--Souris/Brandon--Souris"," 614","Swan Lake 7A",Combined with No./Résultats combinés à ceux du n°613,,,,,
46001,"Brandon--Souris/Brandon--Souris"," 615","Melita",329,25,62,4,420,
46001,"Brandon--Souris/Brandon--Souris"," 616","Deloraine--Boissevain-Morton",388,55,124,0,567,
46001,"Brandon--Souris/Brandon--Souris"," 617","Killarney-Turtle Mountain",550,70,204,6,830,
46001,"Brandon--Souris/Brandon--Souris"," 618","Pilot Mound",276,30,98,1,405,
46001,"Brandon--Souris/Brandon--Souris"," 619","Manitou",256,22,101,2,381,
46001,"Brandon--Souris/Brandon--Souris",,Group 1/Groupe 1, 1512,365,669,0,2546,200
46001,"Brandon--Souris/Brandon--Souris",,Group 2/Groupe 2, 884,264,458,44,1650,
