Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Marc Allaire,Pascal Bapfou Vozang Siewe,Vanessa Gordon,Érica Poirier,Gabriel Ste-Marie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"Joliette--Manawan/Joliette--Manawan"," 102","Saint-Charles-Borromée",34,11,4,2,78,0,129,357
24029,"Joliette--Manawan/Joliette--Manawan"," 103","Saint-Charles-Borromée",24,18,5,2,63,3,115,399
24029,"Joliette--Manawan/Joliette--Manawan"," 104","Saint-Charles-Borromée",42,18,3,2,116,1,182,475
24029,"Joliette--Manawan/Joliette--Manawan"," 105","Saint-Charles-Borromée",19,8,1,0,29,0,57,191
24029,"Joliette--Manawan/Joliette--Manawan"," 106","Saint-Charles-Borromée",36,15,3,2,59,5,120,402
24029,"Joliette--Manawan/Joliette--Manawan"," 107","Saint-Charles-Borromée",38,39,5,2,65,2,151,365
24029,"Joliette--Manawan/Joliette--Manawan"," 108","Saint-Charles-Borromée",57,24,2,3,87,1,174,497
24029,"Joliette--Manawan/Joliette--Manawan"," 109","Joliette",28,24,3,1,54,1,111,408
24029,"Joliette--Manawan/Joliette--Manawan"," 110","Joliette",49,30,6,3,81,5,174,530
24029,"Joliette--Manawan/Joliette--Manawan"," 111","Joliette",29,9,5,2,85,3,133,401
24029,"Joliette--Manawan/Joliette--Manawan"," 112","Joliette",31,21,7,4,83,2,148,431
24029,"Joliette--Manawan/Joliette--Manawan"," 113","Joliette",40,12,6,4,58,2,122,458
24029,"Joliette--Manawan/Joliette--Manawan"," 114","Joliette",15,10,5,2,29,3,64,351
24029,"Joliette--Manawan/Joliette--Manawan"," 115","Joliette",20,19,0,3,39,1,82,370
24029,"Joliette--Manawan/Joliette--Manawan"," 116","Joliette",22,15,9,2,52,0,100,336
24029,"Joliette--Manawan/Joliette--Manawan"," 117","Joliette",22,15,0,1,49,6,93,317
24029,"Joliette--Manawan/Joliette--Manawan"," 118","Joliette",22,16,5,4,57,1,105,371
24029,"Joliette--Manawan/Joliette--Manawan"," 119","Joliette",24,18,5,4,79,4,134,379
24029,"Joliette--Manawan/Joliette--Manawan"," 120","Joliette",28,22,9,1,69,6,135,340
24029,"Joliette--Manawan/Joliette--Manawan"," 121","Joliette",27,14,4,3,45,1,94,344
24029,"Joliette--Manawan/Joliette--Manawan"," 122","Joliette",27,22,4,4,52,2,111,325
24029,"Joliette--Manawan/Joliette--Manawan"," 123","Joliette",35,20,1,1,68,3,128,409
24029,"Joliette--Manawan/Joliette--Manawan"," 124","Joliette",46,14,3,4,59,2,128,362
24029,"Joliette--Manawan/Joliette--Manawan"," 125","Joliette",36,12,3,3,43,2,99,407
24029,"Joliette--Manawan/Joliette--Manawan"," 126","Joliette",32,16,4,3,68,4,127,365
24029,"Joliette--Manawan/Joliette--Manawan"," 127","Joliette",21,18,7,3,37,4,90,456
24029,"Joliette--Manawan/Joliette--Manawan"," 128","Rawdon",43,28,2,2,55,2,132,429
24029,"Joliette--Manawan/Joliette--Manawan"," 129","Rawdon",38,32,7,4,76,5,162,438
