Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,David Annis,Peter Fragiskatos,Stephen Gallant,Mary Ann Hodge,Bruce Lamb,Dirka Prout,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35053,"London Centre/London-Centre"," 129B","London",4,34,36,1,0,23,1,99,271
35053,"London Centre/London-Centre"," 130","London",3,57,36,5,0,26,3,130,482
35053,"London Centre/London-Centre"," 131","London",5,99,67,5,1,21,0,198,506
35053,"London Centre/London-Centre"," 132","London",0,82,46,0,0,14,0,142,303
35053,"London Centre/London-Centre"," 133","London",2,71,36,1,0,31,1,142,340
35053,"London Centre/London-Centre"," 134A","London",2,38,43,3,1,10,0,97,255
35053,"London Centre/London-Centre"," 134B","London",0,55,32,2,0,17,0,106,271
35053,"London Centre/London-Centre"," 135","London",1,46,49,1,1,27,0,125,333
35053,"London Centre/London-Centre"," 136","London",0,49,24,3,0,26,0,102,400
35053,"London Centre/London-Centre"," 137","London",4,133,73,8,0,24,1,243,479
35053,"London Centre/London-Centre"," 138","London",1,68,31,2,0,13,0,115,354
35053,"London Centre/London-Centre"," 139","London",3,93,53,3,0,19,1,172,401
35053,"London Centre/London-Centre"," 140","London",1,75,47,2,0,21,0,146,481
35053,"London Centre/London-Centre"," 141","London",3,99,49,2,1,26,1,181,386
35053,"London Centre/London-Centre"," 142","London",0,86,32,3,0,12,1,134,422
35053,"London Centre/London-Centre"," 143A","London",0,54,43,0,0,13,1,111,258
35053,"London Centre/London-Centre"," 143B","London",2,59,43,5,0,16,1,126,267
35053,"London Centre/London-Centre"," 144","London",2,94,60,2,0,25,0,183,466
35053,"London Centre/London-Centre"," 145","London",1,96,57,6,0,26,0,186,481
35053,"London Centre/London-Centre"," 146","London",3,57,39,2,0,16,0,117,396
35053,"London Centre/London-Centre"," 147","London",1,86,40,3,0,10,0,140,247
35053,"London Centre/London-Centre"," 148","London",0,53,56,2,0,13,1,125,332
35053,"London Centre/London-Centre"," 149","London",1,104,74,5,0,12,0,196,428
35053,"London Centre/London-Centre"," 150A","London",3,110,76,5,0,34,0,228,197
35053,"London Centre/London-Centre"," 150B","London",0,97,48,3,1,21,0,170,174
35053,"London Centre/London-Centre"," 150C","London",6,105,89,2,0,20,1,223,187
35053,"London Centre/London-Centre"," 151","London",1,52,36,0,0,10,0,99,286
35053,"London Centre/London-Centre"," 152","London",2,56,13,2,1,21,0,95,279
35053,"London Centre/London-Centre"," 153","London",5,89,42,7,0,12,0,155,281
35053,"London Centre/London-Centre"," 154","London",2,79,36,0,0,19,0,136,266
35053,"London Centre/London-Centre"," 155A","London",0,52,31,2,0,10,0,95,248
35053,"London Centre/London-Centre"," 155B","London",2,38,32,2,1,7,1,83,201
35053,"London Centre/London-Centre"," 156","London",0,47,42,3,0,26,2,120,408
35053,"London Centre/London-Centre"," 157","London",1,91,78,2,0,20,2,194,542
35053,"London Centre/London-Centre"," 158A","London",0,58,30,2,1,11,0,102,302
35053,"London Centre/London-Centre"," 158B","London",1,50,29,1,0,5,0,86,256
35053,"London Centre/London-Centre"," 159","London",0,96,41,1,0,8,2,148,469
35053,"London Centre/London-Centre"," 160A","London",1,60,17,1,0,18,0,97,272
35053,"London Centre/London-Centre"," 160B","London",2,60,21,2,0,18,0,103,280
35053,"London Centre/London-Centre"," 161","London",4,68,60,1,0,26,0,159,366
35053,"London Centre/London-Centre"," 162A","London",1,85,70,0,0,14,0,170,133
35053,"London Centre/London-Centre"," 162B","London",3,83,50,3,1,23,3,166,129
35053,"London Centre/London-Centre"," 162C","London",4,89,66,1,1,21,1,183,152
35053,"London Centre/London-Centre"," 162D","London",3,83,47,1,0,31,1,166,142
35053,"London Centre/London-Centre"," 163","London",0,96,49,5,0,12,0,162,467
35053,"London Centre/London-Centre"," 164","London",3,102,72,4,0,25,1,207,464
35053,"London Centre/London-Centre"," 165","London",2,62,34,3,0,30,0,131,372
35053,"London Centre/London-Centre"," 166","London",2,76,33,4,0,18,1,134,363
35053,"London Centre/London-Centre"," 167","London",1,66,38,5,1,17,0,128,387
35053,"London Centre/London-Centre"," 168","London",0,109,63,1,0,19,0,192,401
35053,"London Centre/London-Centre"," 169","London",2,61,17,4,0,5,1,90,334
35053,"London Centre/London-Centre"," 170","London",3,82,63,2,0,11,1,162,317
35053,"London Centre/London-Centre"," 171","London",1,91,40,3,0,25,1,161,434
35053,"London Centre/London-Centre"," 172","London",1,87,52,1,2,30,1,174,449
35053,"London Centre/London-Centre"," 173A","London",1,63,44,2,0,15,0,125,278
35053,"London Centre/London-Centre"," 173B","London",2,53,37,1,1,14,0,108,260
35053,"London Centre/London-Centre"," 174","London",1,73,72,4,1,13,2,166,427
35053,"London Centre/London-Centre"," 175A","London",1,53,16,2,0,7,0,79,241
35053,"London Centre/London-Centre"," 175B","London",1,61,15,1,0,14,0,92,268
35053,"London Centre/London-Centre"," 176","London",0,132,35,2,0,13,0,182,433
35053,"London Centre/London-Centre"," 177","London",0,82,32,2,0,11,0,127,321
35053,"London Centre/London-Centre"," 178","London",2,127,59,3,0,14,0,205,475
35053,"London Centre/London-Centre"," 179","London",2,134,36,2,0,13,0,187,452
35053,"London Centre/London-Centre"," 180","London",5,111,65,2,1,11,0,195,453
35053,"London Centre/London-Centre"," 181","London",1,144,43,1,1,15,1,206,415
35053,"London Centre/London-Centre"," 182","London",0,108,53,2,0,13,0,176,407
35053,"London Centre/London-Centre"," 183","London",2,72,58,3,0,16,0,151,407
35053,"London Centre/London-Centre"," 184","London",0,67,50,3,0,18,3,141,417
35053,"London Centre/London-Centre"," 185","London",6,80,46,1,1,7,0,141,358
35053,"London Centre/London-Centre"," 186","London",0,95,33,5,0,18,0,151,372
35053,"London Centre/London-Centre"," 187","London",0,80,29,5,0,11,1,126,299
35053,"London Centre/London-Centre"," 188","London",0,102,57,4,0,17,0,180,481
35053,"London Centre/London-Centre"," 189","London",0,68,75,0,0,14,0,157,394
35053,"London Centre/London-Centre"," 190","London",3,114,40,2,0,15,1,175,473
35053,"London Centre/London-Centre"," 191","London",2,108,44,2,0,23,2,181,490
35053,"London Centre/London-Centre"," 192A","London",2,62,56,1,0,7,0,128,359
35053,"London Centre/London-Centre"," 192B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,31
35053,"London Centre/London-Centre"," 193","London",0,98,39,1,0,5,0,143,454
35053,"London Centre/London-Centre"," 194","London",2,60,41,2,0,11,0,116,400
35053,"London Centre/London-Centre"," 195","London",1,69,56,0,1,1,0,128,411
35053,"London Centre/London-Centre"," 196","London",2,73,55,2,0,12,0,144,430
35053,"London Centre/London-Centre"," 400","London",3,57,23,7,0,25,1,116,244
35053,"London Centre/London-Centre"," 401","London",Combined with No./Résultats combinés à ceux du n°63,,,,,,,,7
35053,"London Centre/London-Centre"," 402","London",Combined with No./Résultats combinés à ceux du n°84,,,,,,,,20
35053,"London Centre/London-Centre"," 403","London",Combined with No./Résultats combinés à ceux du n°65,,,,,,,,17
35053,"London Centre/London-Centre"," 404A","London",Combined with No./Résultats combinés à ceux du n°150A,,,,,,,,106
35053,"London Centre/London-Centre"," 404B","London",Combined with No./Résultats combinés à ceux du n°150B,,,,,,,,69
35053,"London Centre/London-Centre"," 404C","London",Combined with No./Résultats combinés à ceux du n°150C,,,,,,,,90
35053,"London Centre/London-Centre"," 405A","London",Combined with No./Résultats combinés à ceux du n°150A,,,,,,,,78
35053,"London Centre/London-Centre"," 405B","London",Combined with No./Résultats combinés à ceux du n°150B,,,,,,,,50
35053,"London Centre/London-Centre"," 405C","London",Combined with No./Résultats combinés à ceux du n°150C,,,,,,,,90
35053,"London Centre/London-Centre"," 406A","London",Combined with No./Résultats combinés à ceux du n°150A,,,,,,,,78
35053,"London Centre/London-Centre"," 406B","London",Combined with No./Résultats combinés à ceux du n°150B,,,,,,,,81
35053,"London Centre/London-Centre"," 406C","London",Combined with No./Résultats combinés à ceux du n°150C,,,,,,,,76
35053,"London Centre/London-Centre"," 407A","London",Combined with No./Résultats combinés à ceux du n°162A,,,,,,,,84
35053,"London Centre/London-Centre"," 407B","London",Combined with No./Résultats combinés à ceux du n°162B,,,,,,,,58
35053,"London Centre/London-Centre"," 407C","London",Combined with No./Résultats combinés à ceux du n°162C,,,,,,,,62
35053,"London Centre/London-Centre"," 407D","London",Combined with No./Résultats combinés à ceux du n°162D,,,,,,,,45
35053,"London Centre/London-Centre"," 408A","London",Combined with No./Résultats combinés à ceux du n°150A,,,,,,,,57
35053,"London Centre/London-Centre"," 408B","London",Combined with No./Résultats combinés à ceux du n°150B,,,,,,,,60
35053,"London Centre/London-Centre"," 408C","London",Combined with No./Résultats combinés à ceux du n°150C,,,,,,,,73
35053,"London Centre/London-Centre"," 409A","London",Combined with No./Résultats combinés à ceux du n°162A,,,,,,,,44
35053,"London Centre/London-Centre"," 409B","London",Combined with No./Résultats combinés à ceux du n°162B,,,,,,,,33
35053,"London Centre/London-Centre"," 409C","London",Combined with No./Résultats combinés à ceux du n°162C,,,,,,,,36
35053,"London Centre/London-Centre"," 409D","London",Combined with No./Résultats combinés à ceux du n°162D,,,,,,,,52
35053,"London Centre/London-Centre"," 410A","London",Combined with No./Résultats combinés à ceux du n°162A,,,,,,,,57
35053,"London Centre/London-Centre"," 410B","London",Combined with No./Résultats combinés à ceux du n°162B,,,,,,,,63
35053,"London Centre/London-Centre"," 410C","London",Combined with No./Résultats combinés à ceux du n°162C,,,,,,,,40
35053,"London Centre/London-Centre"," 410D","London",Combined with No./Résultats combinés à ceux du n°162D,,,,,,,,69
35053,"London Centre/London-Centre"," 411A","London",Combined with No./Résultats combinés à ceux du n°155A,,,,,,,,72
35053,"London Centre/London-Centre"," 411B","London",Combined with No./Résultats combinés à ceux du n°155B,,,,,,,,71
35053,"London Centre/London-Centre"," 412A","London",Combined with No./Résultats combinés à ceux du n°162A,,,,,,,,58
35053,"London Centre/London-Centre"," 412B","London",Combined with No./Résultats combinés à ceux du n°162B,,,,,,,,60
35053,"London Centre/London-Centre"," 412C","London",Combined with No./Résultats combinés à ceux du n°162C,,,,,,,,52
35053,"London Centre/London-Centre"," 412D","London",Combined with No./Résultats combinés à ceux du n°162D,,,,,,,,59
35053,"London Centre/London-Centre"," 413A","London",Combined with No./Résultats combinés à ceux du n°162A,,,,,,,,50
35053,"London Centre/London-Centre"," 413B","London",Combined with No./Résultats combinés à ceux du n°162B,,,,,,,,68
35053,"London Centre/London-Centre"," 413C","London",Combined with No./Résultats combinés à ceux du n°162C,,,,,,,,70
35053,"London Centre/London-Centre"," 413D","London",Combined with No./Résultats combinés à ceux du n°162D,,,,,,,,64
35053,"London Centre/London-Centre"," 414A","London",Combined with No./Résultats combinés à ceux du n°162A,,,,,,,,68
35053,"London Centre/London-Centre"," 414B","London",Combined with No./Résultats combinés à ceux du n°162B,,,,,,,,63
35053,"London Centre/London-Centre"," 414C","London",Combined with No./Résultats combinés à ceux du n°162C,,,,,,,,52
35053,"London Centre/London-Centre"," 414D","London",Combined with No./Résultats combinés à ceux du n°162D,,,,,,,,50
35053,"London Centre/London-Centre"," 415A","London",Combined with No./Résultats combinés à ceux du n°162A,,,,,,,,22
35053,"London Centre/London-Centre"," 415B","London",Combined with No./Résultats combinés à ceux du n°162B,,,,,,,,31
35053,"London Centre/London-Centre"," 415C","London",Combined with No./Résultats combinés à ceux du n°162C,,,,,,,,27
35053,"London Centre/London-Centre"," 415D","London",Combined with No./Résultats combinés à ceux du n°162D,,,,,,,,38
35053,"London Centre/London-Centre"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,56
35053,"London Centre/London-Centre"," 501","Mobile poll/Bureau itinérant",0,120,25,3,0,2,3,153,138
35053,"London Centre/London-Centre"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,64
35053,"London Centre/London-Centre"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,77
35053,"London Centre/London-Centre"," 504","Mobile poll/Bureau itinérant",1,57,35,0,0,6,0,99,133
35053,"London Centre/London-Centre"," 505","Mobile poll/Bureau itinérant",5,47,31,5,1,6,7,102,167
35053,"London Centre/London-Centre"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,158
35053,"London Centre/London-Centre"," 507","London",Combined with No./Résultats combinés à ceux du n°112,,,,,,,,47
35053,"London Centre/London-Centre"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,31
35053,"London Centre/London-Centre"," 509","Mobile poll/Bureau itinérant",3,50,20,3,0,19,1,96,205
35053,"London Centre/London-Centre"," 510A","London",Combined with No./Résultats combinés à ceux du n°155A,,,,,,,,56
35053,"London Centre/London-Centre"," 510B","London",Combined with No./Résultats combinés à ceux du n°155B,,,,,,,,45
35053,"London Centre/London-Centre"," 511","Mobile poll/Bureau itinérant",2,31,15,3,0,5,4,60,66
35053,"London Centre/London-Centre"," 512","Mobile poll/Bureau itinérant",5,88,48,6,4,27,5,183,213
35053,"London Centre/London-Centre"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,118
35053,"London Centre/London-Centre"," 514","Mobile poll/Bureau itinérant",1,96,64,2,0,13,2,178,168
35053,"London Centre/London-Centre"," 515","London",Combined with No./Résultats combinés à ceux du n°133,,,,,,,,21
35053,"London Centre/London-Centre"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,104
35053,"London Centre/London-Centre"," 517","Mobile poll/Bureau itinérant",2,81,38,12,0,19,1,153,221
35053,"London Centre/London-Centre"," 518","Mobile poll/Bureau itinérant",0,53,26,7,1,15,4,106,104
35053,"London Centre/London-Centre"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,47
35053,"London Centre/London-Centre"," 600","London",11,1235,619,20,0,81,1,1967,
35053,"London Centre/London-Centre"," 601","London",17,616,512,16,1,128,10,1300,
35053,"London Centre/London-Centre"," 602","London",7,449,288,9,0,69,8,830,
35053,"London Centre/London-Centre"," 603","London",6,1155,483,8,1,84,5,1742,
35053,"London Centre/London-Centre"," 604","London",6,930,520,13,0,65,2,1536,
35053,"London Centre/London-Centre"," 605","London",4,702,230,11,0,104,7,1058,
35053,"London Centre/London-Centre"," 606","London",3,827,254,7,5,63,1,1160,
35053,"London Centre/London-Centre"," 607","London",12,625,405,14,4,107,7,1174,
35053,"London Centre/London-Centre"," 608","London",8,657,279,16,2,118,10,1090,
35053,"London Centre/London-Centre"," 609","London",12,508,305,9,1,137,5,977,
35053,"London Centre/London-Centre"," 610","London",5,772,236,20,0,101,3,1137,
35053,"London Centre/London-Centre"," 611","London",11,575,242,17,3,120,0,968,
35053,"London Centre/London-Centre"," 612","London",16,835,351,9,0,141,2,1354,
35053,"London Centre/London-Centre"," 613","London",3,754,285,18,0,110,5,1175,
35053,"London Centre/London-Centre"," 614","London",7,1146,264,25,4,129,4,1579,
35053,"London Centre/London-Centre"," 615","London",14,722,257,10,1,116,0,1120,
35053,"London Centre/London-Centre"," 616","London",6,1317,376,13,2,107,1,1822,
35053,"London Centre/London-Centre",,Group 1/Groupe 1, 12,709,270,22,4,85,66,1168,681
