Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Élisabeth Brière,Jean-Pierre Fortier,Alexandre Lépine,Kevin McKenna,Esteban Méndez-Hord,Pierre-Étienne Rouillard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Sherbrooke/Sherbrooke"," 66","Sherbrooke",116,10,3,2,36,59,3,229,478
24072,"Sherbrooke/Sherbrooke"," 67","Sherbrooke",86,3,1,5,24,71,2,192,445
24072,"Sherbrooke/Sherbrooke"," 68","Sherbrooke",80,9,2,6,35,42,4,178,435
24072,"Sherbrooke/Sherbrooke"," 69","Sherbrooke",129,3,0,3,22,48,2,207,430
24072,"Sherbrooke/Sherbrooke"," 70","Sherbrooke",111,13,2,2,62,59,2,251,497
24072,"Sherbrooke/Sherbrooke"," 71","Sherbrooke",76,11,1,6,31,61,1,187,465
24072,"Sherbrooke/Sherbrooke"," 72","Sherbrooke",73,17,5,8,27,60,0,190,423
24072,"Sherbrooke/Sherbrooke"," 73","Sherbrooke",65,13,7,7,20,39,1,152,399
24072,"Sherbrooke/Sherbrooke"," 74","Sherbrooke",81,8,0,1,17,42,0,149,355
24072,"Sherbrooke/Sherbrooke"," 75","Sherbrooke",89,14,1,10,17,50,3,184,394
24072,"Sherbrooke/Sherbrooke"," 76","Sherbrooke",124,3,1,1,16,24,2,171,407
24072,"Sherbrooke/Sherbrooke"," 77","Sherbrooke",67,9,0,8,14,35,0,133,336
24072,"Sherbrooke/Sherbrooke"," 78","Sherbrooke",78,3,0,5,16,42,0,144,333
24072,"Sherbrooke/Sherbrooke"," 79","Sherbrooke",51,15,2,8,23,39,4,142,418
24072,"Sherbrooke/Sherbrooke"," 80","Sherbrooke",75,16,2,5,15,58,1,172,364
24072,"Sherbrooke/Sherbrooke"," 81","Sherbrooke",72,22,3,9,36,68,0,210,412
24072,"Sherbrooke/Sherbrooke"," 82","Sherbrooke",38,4,0,0,26,32,1,101,430
24072,"Sherbrooke/Sherbrooke"," 83","Sherbrooke",32,8,3,9,25,18,2,97,388
24072,"Sherbrooke/Sherbrooke"," 84","Sherbrooke",35,13,0,6,10,35,1,100,357
24072,"Sherbrooke/Sherbrooke"," 85","Sherbrooke",35,2,2,1,30,14,1,85,381
24072,"Sherbrooke/Sherbrooke"," 86","Sherbrooke",46,2,1,3,17,25,0,94,459
24072,"Sherbrooke/Sherbrooke"," 87","Sherbrooke",78,8,0,4,33,45,3,171,505
24072,"Sherbrooke/Sherbrooke"," 88A","Sherbrooke",51,2,0,1,15,26,2,97,307
24072,"Sherbrooke/Sherbrooke"," 88B","Sherbrooke",146,2,1,2,9,17,4,181,238
24072,"Sherbrooke/Sherbrooke"," 89","Sherbrooke",44,5,1,5,21,28,0,104,378
24072,"Sherbrooke/Sherbrooke"," 90","Sherbrooke",90,15,0,14,13,43,3,178,408
24072,"Sherbrooke/Sherbrooke"," 91","Sherbrooke",83,10,3,9,20,51,2,178,452
24072,"Sherbrooke/Sherbrooke"," 92","Sherbrooke",68,19,2,6,6,34,3,138,383
24072,"Sherbrooke/Sherbrooke"," 93","Sherbrooke",99,15,0,10,9,42,2,177,428
24072,"Sherbrooke/Sherbrooke"," 94","Sherbrooke",90,13,1,2,13,40,2,161,391
24072,"Sherbrooke/Sherbrooke"," 95","Sherbrooke",61,29,2,10,14,39,3,158,397
24072,"Sherbrooke/Sherbrooke"," 96","Sherbrooke",70,10,2,1,25,33,2,143,413
24072,"Sherbrooke/Sherbrooke"," 97","Sherbrooke",128,8,0,3,26,52,0,217,597
24072,"Sherbrooke/Sherbrooke"," 98","Sherbrooke",131,11,3,3,13,54,0,215,467
24072,"Sherbrooke/Sherbrooke"," 99","Sherbrooke",99,13,0,1,17,49,4,183,505
24072,"Sherbrooke/Sherbrooke"," 100","Sherbrooke",114,3,5,3,39,46,4,214,537
24072,"Sherbrooke/Sherbrooke"," 101","Sherbrooke",137,1,2,4,18,35,3,200,330
24072,"Sherbrooke/Sherbrooke"," 102","Sherbrooke",102,6,1,3,28,45,2,187,504
24072,"Sherbrooke/Sherbrooke"," 103","Sherbrooke",97,9,1,3,19,51,4,184,470
24072,"Sherbrooke/Sherbrooke"," 104","Sherbrooke",80,4,1,1,9,30,2,127,522
24072,"Sherbrooke/Sherbrooke"," 105","Sherbrooke",97,7,1,4,36,53,4,202,597
24072,"Sherbrooke/Sherbrooke"," 106","Sherbrooke",75,6,3,0,32,46,2,164,413
24072,"Sherbrooke/Sherbrooke"," 107","Sherbrooke",65,6,3,2,37,40,1,154,493
24072,"Sherbrooke/Sherbrooke"," 108","Sherbrooke",59,11,5,0,22,43,0,140,386
24072,"Sherbrooke/Sherbrooke"," 109","Sherbrooke",75,10,1,5,25,43,2,161,412
24072,"Sherbrooke/Sherbrooke"," 110","Sherbrooke",116,14,1,5,19,47,2,204,448
24072,"Sherbrooke/Sherbrooke"," 111","Sherbrooke",144,9,1,4,27,35,1,221,494
24072,"Sherbrooke/Sherbrooke"," 112","Sherbrooke",92,8,0,2,19,48,2,171,447
24072,"Sherbrooke/Sherbrooke"," 113","Sherbrooke",63,11,1,2,33,39,0,149,512
24072,"Sherbrooke/Sherbrooke"," 114","Sherbrooke",69,16,4,5,16,27,3,140,500
24072,"Sherbrooke/Sherbrooke"," 115","Sherbrooke",45,13,1,5,24,37,2,127,400
24072,"Sherbrooke/Sherbrooke"," 116","Sherbrooke",60,7,0,7,30,43,2,149,461
24072,"Sherbrooke/Sherbrooke"," 117","Sherbrooke",55,7,3,2,17,38,2,124,379
24072,"Sherbrooke/Sherbrooke"," 118","Sherbrooke",67,11,4,5,26,47,4,164,472
24072,"Sherbrooke/Sherbrooke"," 119","Sherbrooke",73,13,0,5,14,60,1,166,438
24072,"Sherbrooke/Sherbrooke"," 120","Sherbrooke",71,12,0,2,21,53,5,164,414
24072,"Sherbrooke/Sherbrooke"," 121","Sherbrooke",50,14,1,5,50,49,2,171,403
24072,"Sherbrooke/Sherbrooke"," 122","Sherbrooke",82,12,4,3,28,53,1,183,503
24072,"Sherbrooke/Sherbrooke"," 123","Sherbrooke",96,10,1,4,21,59,1,192,463
24072,"Sherbrooke/Sherbrooke"," 124","Sherbrooke",53,18,6,4,15,68,1,165,446
24072,"Sherbrooke/Sherbrooke"," 125","Sherbrooke",56,23,0,3,16,38,3,139,337
24072,"Sherbrooke/Sherbrooke"," 126","Sherbrooke",26,6,1,6,16,16,3,74,369
24072,"Sherbrooke/Sherbrooke"," 127","Sherbrooke",40,15,1,9,16,31,3,115,312
24072,"Sherbrooke/Sherbrooke"," 128","Sherbrooke",48,19,1,5,10,42,2,127,362
24072,"Sherbrooke/Sherbrooke"," 129","Sherbrooke",44,14,1,4,11,44,1,119,334
24072,"Sherbrooke/Sherbrooke"," 130","Sherbrooke",33,11,5,7,22,48,2,128,343
24072,"Sherbrooke/Sherbrooke"," 131","Sherbrooke",59,9,0,7,23,42,3,143,332
24072,"Sherbrooke/Sherbrooke"," 132","Sherbrooke",77,17,3,4,15,43,1,160,369
24072,"Sherbrooke/Sherbrooke"," 133","Sherbrooke",88,16,2,5,17,51,1,180,339
24072,"Sherbrooke/Sherbrooke"," 134","Sherbrooke",66,9,3,9,12,37,1,137,403
24072,"Sherbrooke/Sherbrooke"," 135","Sherbrooke",74,10,0,7,22,38,0,151,471
24072,"Sherbrooke/Sherbrooke"," 136","Sherbrooke",47,8,2,8,21,44,1,131,349
24072,"Sherbrooke/Sherbrooke"," 137","Sherbrooke",70,10,1,3,25,37,0,146,445
24072,"Sherbrooke/Sherbrooke"," 138","Sherbrooke",65,11,1,2,23,40,3,145,393
24072,"Sherbrooke/Sherbrooke"," 139","Sherbrooke",66,5,1,0,18,27,2,119,438
24072,"Sherbrooke/Sherbrooke"," 140","Sherbrooke",76,3,1,1,27,36,3,147,364
24072,"Sherbrooke/Sherbrooke"," 141","Sherbrooke",58,12,1,2,32,23,2,130,358
24072,"Sherbrooke/Sherbrooke"," 142","Sherbrooke",101,6,3,5,28,53,4,200,414
24072,"Sherbrooke/Sherbrooke"," 143","Sherbrooke",67,11,0,7,55,36,1,177,394
24072,"Sherbrooke/Sherbrooke"," 144","Sherbrooke",41,11,2,4,26,29,2,115,435
24072,"Sherbrooke/Sherbrooke"," 145","Sherbrooke",21,11,0,5,9,16,0,62,287
24072,"Sherbrooke/Sherbrooke"," 146","Sherbrooke",55,23,3,11,12,32,0,136,368
24072,"Sherbrooke/Sherbrooke"," 147","Sherbrooke",68,23,4,16,14,41,6,172,459
24072,"Sherbrooke/Sherbrooke"," 148","Sherbrooke",42,15,0,9,7,28,1,102,295
24072,"Sherbrooke/Sherbrooke"," 149","Sherbrooke",33,21,2,6,16,41,0,119,399
24072,"Sherbrooke/Sherbrooke"," 150","Sherbrooke",58,19,2,6,6,42,1,134,446
24072,"Sherbrooke/Sherbrooke"," 151","Sherbrooke",26,9,2,7,14,27,2,87,320
24072,"Sherbrooke/Sherbrooke"," 152","Sherbrooke",53,19,3,10,20,36,4,145,467
24072,"Sherbrooke/Sherbrooke"," 153","Sherbrooke",52,20,1,4,17,45,2,141,440
24072,"Sherbrooke/Sherbrooke"," 154","Sherbrooke",46,9,2,3,26,37,4,127,382
24072,"Sherbrooke/Sherbrooke"," 155","Sherbrooke",38,10,0,3,10,31,1,93,401
24072,"Sherbrooke/Sherbrooke"," 156","Sherbrooke",59,18,2,2,17,45,4,147,362
24072,"Sherbrooke/Sherbrooke"," 157","Sherbrooke",72,20,0,11,20,57,2,182,483
24072,"Sherbrooke/Sherbrooke"," 158","Sherbrooke",42,16,1,7,20,44,3,133,384
24072,"Sherbrooke/Sherbrooke"," 159A","Sherbrooke",53,14,1,8,21,31,3,131,361
24072,"Sherbrooke/Sherbrooke"," 159B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,26
24072,"Sherbrooke/Sherbrooke"," 160","Sherbrooke",45,16,0,4,21,27,3,116,382
24072,"Sherbrooke/Sherbrooke"," 161","Sherbrooke",53,10,8,6,30,48,2,157,475
24072,"Sherbrooke/Sherbrooke"," 162","Sherbrooke",58,16,0,14,21,37,4,150,433
24072,"Sherbrooke/Sherbrooke"," 163","Sherbrooke",66,14,7,6,27,36,1,157,411
24072,"Sherbrooke/Sherbrooke"," 164","Sherbrooke",41,14,6,11,23,29,5,129,346
24072,"Sherbrooke/Sherbrooke"," 165","Sherbrooke",32,19,2,4,27,39,0,123,418
24072,"Sherbrooke/Sherbrooke"," 166","Sherbrooke",72,9,1,5,32,34,4,157,528
24072,"Sherbrooke/Sherbrooke"," 167","Sherbrooke",40,17,1,4,22,14,1,99,389
24072,"Sherbrooke/Sherbrooke"," 168","Sherbrooke",65,12,1,4,25,37,4,148,436
24072,"Sherbrooke/Sherbrooke"," 169","Sherbrooke",81,13,0,5,33,30,5,167,498
24072,"Sherbrooke/Sherbrooke"," 170","Sherbrooke",51,13,3,8,32,42,4,153,428
24072,"Sherbrooke/Sherbrooke"," 171","Sherbrooke",81,6,4,4,22,51,2,170,446
24072,"Sherbrooke/Sherbrooke"," 172","Sherbrooke",79,8,3,8,32,44,4,178,395
24072,"Sherbrooke/Sherbrooke"," 173","Sherbrooke",83,13,1,2,28,46,2,175,417
24072,"Sherbrooke/Sherbrooke"," 174","Sherbrooke",105,10,1,3,20,68,2,209,486
24072,"Sherbrooke/Sherbrooke"," 175","Sherbrooke",65,16,3,3,18,40,2,147,349
24072,"Sherbrooke/Sherbrooke"," 176","Sherbrooke",64,26,3,9,23,55,7,187,359
24072,"Sherbrooke/Sherbrooke"," 177","Sherbrooke",60,15,2,8,5,33,3,126,346
24072,"Sherbrooke/Sherbrooke"," 178","Sherbrooke",36,11,4,4,21,36,3,115,365
24072,"Sherbrooke/Sherbrooke"," 179","Sherbrooke",39,10,1,5,17,37,0,109,363
24072,"Sherbrooke/Sherbrooke"," 180","Sherbrooke",49,7,1,10,11,33,1,112,354
24072,"Sherbrooke/Sherbrooke"," 181","Sherbrooke",34,9,0,8,13,27,1,92,336
24072,"Sherbrooke/Sherbrooke"," 182","Sherbrooke",52,4,2,3,14,40,0,115,335
24072,"Sherbrooke/Sherbrooke"," 183","Sherbrooke",87,8,4,4,37,55,2,197,466
24072,"Sherbrooke/Sherbrooke"," 184","Sherbrooke",103,7,1,2,31,55,2,201,562
24072,"Sherbrooke/Sherbrooke"," 185","Sherbrooke",103,10,1,3,26,64,1,208,462
24072,"Sherbrooke/Sherbrooke"," 186","Sherbrooke",71,8,2,5,44,40,3,173,448
24072,"Sherbrooke/Sherbrooke"," 187","Sherbrooke",70,10,1,4,31,33,2,151,390
24072,"Sherbrooke/Sherbrooke"," 188","Sherbrooke",80,19,2,1,26,44,3,175,410
24072,"Sherbrooke/Sherbrooke"," 189","Sherbrooke",81,15,2,2,29,40,6,175,452
24072,"Sherbrooke/Sherbrooke"," 190","Sherbrooke",63,15,5,2,30,45,5,165,391
24072,"Sherbrooke/Sherbrooke"," 191","Sherbrooke",95,15,1,5,46,54,3,219,542
24072,"Sherbrooke/Sherbrooke"," 192","Sherbrooke",82,16,2,8,41,43,1,193,443
24072,"Sherbrooke/Sherbrooke"," 193","Sherbrooke",103,13,3,5,54,59,2,239,498
24072,"Sherbrooke/Sherbrooke"," 194","Sherbrooke",113,9,5,1,23,52,0,203,418
24072,"Sherbrooke/Sherbrooke"," 195","Sherbrooke",136,6,0,3,49,75,1,270,606
24072,"Sherbrooke/Sherbrooke"," 196","Sherbrooke",126,10,1,7,45,68,0,257,503
24072,"Sherbrooke/Sherbrooke"," 197","Sherbrooke",157,9,1,5,48,73,1,294,527
24072,"Sherbrooke/Sherbrooke"," 198","Sherbrooke",113,10,5,8,54,67,2,259,520
24072,"Sherbrooke/Sherbrooke"," 199","Sherbrooke",114,7,3,7,33,63,1,228,435
24072,"Sherbrooke/Sherbrooke"," 200","Sherbrooke",142,20,3,5,46,87,2,305,583
24072,"Sherbrooke/Sherbrooke"," 400","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°404,,,,,,,,90
24072,"Sherbrooke/Sherbrooke"," 401","Sherbrooke",133,5,4,0,11,35,13,201,356
24072,"Sherbrooke/Sherbrooke"," 402","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°412,,,,,,,,144
24072,"Sherbrooke/Sherbrooke"," 403","Mobile poll/Bureau itinérant",115,3,1,0,6,14,8,147,47
24072,"Sherbrooke/Sherbrooke"," 404","Mobile poll/Bureau itinérant",47,3,0,2,5,13,3,73,102
24072,"Sherbrooke/Sherbrooke"," 405","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°419,,,,,,,,84
24072,"Sherbrooke/Sherbrooke"," 406","Sherbrooke",86,2,3,1,5,30,4,131,180
24072,"Sherbrooke/Sherbrooke"," 407","Sherbrooke",64,0,0,0,1,21,1,87,65
24072,"Sherbrooke/Sherbrooke"," 408","Sherbrooke",Combined with No./Résultats combinés à ceux du n°407,,,,,,,,60
24072,"Sherbrooke/Sherbrooke"," 409","Sherbrooke",55,0,0,0,2,18,1,76,64
24072,"Sherbrooke/Sherbrooke"," 410","Sherbrooke",Combined with No./Résultats combinés à ceux du n°409,,,,,,,,67
24072,"Sherbrooke/Sherbrooke"," 411","Sherbrooke",Combined with No./Résultats combinés à ceux du n°111,,,,,,,,109
24072,"Sherbrooke/Sherbrooke"," 412","Mobile poll/Bureau itinérant",33,5,0,0,6,4,0,48,193
24072,"Sherbrooke/Sherbrooke"," 413","Sherbrooke",162,8,1,1,6,45,9,232,290
24072,"Sherbrooke/Sherbrooke"," 414","Sherbrooke",112,5,2,1,15,41,7,183,118
24072,"Sherbrooke/Sherbrooke"," 415","Sherbrooke",Combined with No./Résultats combinés à ceux du n°414,,,,,,,,176
24072,"Sherbrooke/Sherbrooke"," 416","Sherbrooke",225,3,2,1,5,51,8,295,372
24072,"Sherbrooke/Sherbrooke"," 417","Sherbrooke",Combined with No./Résultats combinés à ceux du n°138,,,,,,,,104
24072,"Sherbrooke/Sherbrooke"," 418","Sherbrooke",Combined with No./Résultats combinés à ceux du n°133,,,,,,,,179
24072,"Sherbrooke/Sherbrooke"," 419","Mobile poll/Bureau itinérant",20,2,2,1,2,13,0,40,142
24072,"Sherbrooke/Sherbrooke"," 420","Sherbrooke",Combined with No./Résultats combinés à ceux du n°132,,,,,,,,138
24072,"Sherbrooke/Sherbrooke"," 421","Sherbrooke",Combined with No./Résultats combinés à ceux du n°140,,,,,,,,173
24072,"Sherbrooke/Sherbrooke"," 422","Sherbrooke",Combined with No./Résultats combinés à ceux du n°176,,,,,,,,110
24072,"Sherbrooke/Sherbrooke"," 423","Sherbrooke",Combined with No./Résultats combinés à ceux du n°101,,,,,,,,110
24072,"Sherbrooke/Sherbrooke"," 424","Sherbrooke",Combined with No./Résultats combinés à ceux du n°101,,,,,,,,136
24072,"Sherbrooke/Sherbrooke"," 425","Sherbrooke",Combined with No./Résultats combinés à ceux du n°176,,,,,,,,98
24072,"Sherbrooke/Sherbrooke"," 426","Sherbrooke",Combined with No./Résultats combinés à ceux du n°427,,,,,,,,86
24072,"Sherbrooke/Sherbrooke"," 427","Sherbrooke",51,3,2,1,12,29,4,102,94
24072,"Sherbrooke/Sherbrooke"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,25
24072,"Sherbrooke/Sherbrooke"," 501","Mobile poll/Bureau itinérant",26,3,0,1,3,11,6,50,71
24072,"Sherbrooke/Sherbrooke"," 502","Mobile poll/Bureau itinérant",38,2,1,1,3,11,6,62,57
24072,"Sherbrooke/Sherbrooke"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,12
24072,"Sherbrooke/Sherbrooke"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,33
24072,"Sherbrooke/Sherbrooke"," 505","Sherbrooke",Combined with No./Résultats combinés à ceux du n°80,,,,,,,,6
24072,"Sherbrooke/Sherbrooke"," 506","Sherbrooke",Combined with No./Résultats combinés à ceux du n°36A,,,,,,,,33
24072,"Sherbrooke/Sherbrooke"," 507","Mobile poll/Bureau itinérant",30,2,5,2,7,25,12,83,78
24072,"Sherbrooke/Sherbrooke"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,46
24072,"Sherbrooke/Sherbrooke"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,28
24072,"Sherbrooke/Sherbrooke"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,37
24072,"Sherbrooke/Sherbrooke"," 511","Sherbrooke",Combined with No./Résultats combinés à ceux du n°148,,,,,,,,37
24072,"Sherbrooke/Sherbrooke"," 512","Mobile poll/Bureau itinérant",17,3,2,1,4,8,0,35,47
24072,"Sherbrooke/Sherbrooke"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,69
24072,"Sherbrooke/Sherbrooke"," 514","Mobile poll/Bureau itinérant",24,1,0,0,6,7,0,38,50
24072,"Sherbrooke/Sherbrooke"," 515","Mobile poll/Bureau itinérant",45,2,2,0,4,26,6,85,59
24072,"Sherbrooke/Sherbrooke"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,71
24072,"Sherbrooke/Sherbrooke"," 517","Mobile poll/Bureau itinérant",75,3,2,2,11,17,4,114,30
24072,"Sherbrooke/Sherbrooke"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,69
24072,"Sherbrooke/Sherbrooke"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°403,,,,,,,,109
24072,"Sherbrooke/Sherbrooke"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,0
24072,"Sherbrooke/Sherbrooke"," 600","Sherbrooke",671,30,7,11,176,342,6,1243,
24072,"Sherbrooke/Sherbrooke"," 601","Sherbrooke",861,37,4,18,175,419,19,1533,
24072,"Sherbrooke/Sherbrooke"," 602","Sherbrooke",732,44,10,9,161,334,10,1300,
24072,"Sherbrooke/Sherbrooke"," 603","Sherbrooke",708,39,13,16,147,428,10,1361,
