Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Chad Eggerman,Naomi Hunter,Rachel Loewen Walker,Brad Redekopp,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon West/Saskatoon-Ouest"," 22","Saskatoon",29,0,24,82,1,136,413
47011,"Saskatoon West/Saskatoon-Ouest"," 23","Saskatoon",47,2,23,88,0,160,481
47011,"Saskatoon West/Saskatoon-Ouest"," 24","Saskatoon",34,1,36,87,1,159,403
47011,"Saskatoon West/Saskatoon-Ouest"," 25","Saskatoon",32,1,29,74,0,136,408
47011,"Saskatoon West/Saskatoon-Ouest"," 26","Saskatoon",36,1,27,78,0,142,391
47011,"Saskatoon West/Saskatoon-Ouest"," 27","Saskatoon",32,0,18,87,2,139,489
47011,"Saskatoon West/Saskatoon-Ouest"," 28","Saskatoon",42,1,34,108,0,185,509
47011,"Saskatoon West/Saskatoon-Ouest"," 29","Saskatoon",39,2,16,70,0,127,458
47011,"Saskatoon West/Saskatoon-Ouest"," 30","Saskatoon",36,1,38,91,5,171,440
47011,"Saskatoon West/Saskatoon-Ouest"," 31","Saskatoon",46,1,40,116,3,206,498
47011,"Saskatoon West/Saskatoon-Ouest"," 32","Saskatoon",34,0,17,75,2,128,411
47011,"Saskatoon West/Saskatoon-Ouest"," 33","Saskatoon",60,3,36,93,0,192,492
47011,"Saskatoon West/Saskatoon-Ouest"," 34","Saskatoon",19,2,17,56,0,94,368
47011,"Saskatoon West/Saskatoon-Ouest"," 35","Saskatoon",30,1,19,58,0,108,471
47011,"Saskatoon West/Saskatoon-Ouest"," 36","Saskatoon",62,1,23,107,0,193,634
47011,"Saskatoon West/Saskatoon-Ouest"," 37","Saskatoon",46,3,25,73,4,151,526
47011,"Saskatoon West/Saskatoon-Ouest"," 38","Saskatoon",27,0,27,52,1,107,340
47011,"Saskatoon West/Saskatoon-Ouest"," 39","Saskatoon",48,0,21,52,1,122,499
47011,"Saskatoon West/Saskatoon-Ouest"," 40","Saskatoon",27,2,21,45,0,95,321
47011,"Saskatoon West/Saskatoon-Ouest"," 41","Saskatoon",27,1,11,45,0,84,372
47011,"Saskatoon West/Saskatoon-Ouest"," 42","Saskatoon",42,4,28,85,2,161,473
47011,"Saskatoon West/Saskatoon-Ouest"," 43","Saskatoon",32,0,30,73,0,135,406
47011,"Saskatoon West/Saskatoon-Ouest"," 44","Saskatoon",20,1,14,43,1,79,346
47011,"Saskatoon West/Saskatoon-Ouest"," 45","Saskatoon",71,2,21,107,3,204,533
47011,"Saskatoon West/Saskatoon-Ouest"," 46","Saskatoon",40,0,14,117,0,171,468
47011,"Saskatoon West/Saskatoon-Ouest"," 47","Saskatoon",47,2,37,99,2,187,484
47011,"Saskatoon West/Saskatoon-Ouest"," 48","Saskatoon",47,0,20,99,0,166,483
47011,"Saskatoon West/Saskatoon-Ouest"," 49","Saskatoon",25,2,20,71,1,119,446
47011,"Saskatoon West/Saskatoon-Ouest"," 50","Saskatoon",63,0,13,84,4,164,476
47011,"Saskatoon West/Saskatoon-Ouest"," 51","Saskatoon",34,0,25,101,1,161,429
47011,"Saskatoon West/Saskatoon-Ouest"," 52","Saskatoon",46,0,29,92,4,171,458
47011,"Saskatoon West/Saskatoon-Ouest"," 53","Saskatoon",32,1,14,99,2,148,408
47011,"Saskatoon West/Saskatoon-Ouest"," 54","Saskatoon",70,4,20,126,3,223,713
47011,"Saskatoon West/Saskatoon-Ouest"," 55","Saskatoon",58,2,44,89,1,194,456
47011,"Saskatoon West/Saskatoon-Ouest"," 56","Saskatoon",58,0,43,72,1,174,408
47011,"Saskatoon West/Saskatoon-Ouest"," 57","Saskatoon",69,3,100,84,1,257,592
47011,"Saskatoon West/Saskatoon-Ouest"," 58","Saskatoon",22,0,20,91,0,133,390
47011,"Saskatoon West/Saskatoon-Ouest"," 59","Saskatoon",13,0,21,42,1,77,342
47011,"Saskatoon West/Saskatoon-Ouest"," 60","Saskatoon",31,1,21,35,1,89,408
47011,"Saskatoon West/Saskatoon-Ouest"," 61","Saskatoon",39,2,28,76,1,146,433
47011,"Saskatoon West/Saskatoon-Ouest"," 62","Saskatoon",34,1,20,69,2,126,365
47011,"Saskatoon West/Saskatoon-Ouest"," 63","Saskatoon",42,3,28,55,3,131,428
47011,"Saskatoon West/Saskatoon-Ouest"," 64","Saskatoon",53,1,25,76,5,160,468
47011,"Saskatoon West/Saskatoon-Ouest"," 65","Saskatoon",46,1,22,67,1,137,472
47011,"Saskatoon West/Saskatoon-Ouest"," 66","Saskatoon",26,0,13,106,1,146,351
47011,"Saskatoon West/Saskatoon-Ouest"," 67","Saskatoon",49,3,23,88,3,166,511
47011,"Saskatoon West/Saskatoon-Ouest"," 68","Saskatoon",45,4,28,77,3,157,395
47011,"Saskatoon West/Saskatoon-Ouest"," 69","Saskatoon",33,1,23,87,5,149,422
47011,"Saskatoon West/Saskatoon-Ouest"," 70","Saskatoon",36,3,32,66,0,137,442
47011,"Saskatoon West/Saskatoon-Ouest"," 71","Saskatoon",43,0,26,68,0,137,479
47011,"Saskatoon West/Saskatoon-Ouest"," 72","Saskatoon",32,6,46,52,0,136,370
47011,"Saskatoon West/Saskatoon-Ouest"," 73","Saskatoon",58,2,47,68,0,175,398
47011,"Saskatoon West/Saskatoon-Ouest"," 74","Saskatoon",34,0,40,46,1,121,320
47011,"Saskatoon West/Saskatoon-Ouest"," 75","Saskatoon",31,0,49,37,1,118,388
47011,"Saskatoon West/Saskatoon-Ouest"," 76","Saskatoon",57,3,26,74,1,161,358
47011,"Saskatoon West/Saskatoon-Ouest"," 77","Saskatoon",64,0,37,47,0,148,370
47011,"Saskatoon West/Saskatoon-Ouest"," 78","Saskatoon",62,2,39,53,0,156,442
47011,"Saskatoon West/Saskatoon-Ouest"," 79","Saskatoon",80,1,41,52,1,175,392
47011,"Saskatoon West/Saskatoon-Ouest"," 80","Saskatoon",86,2,54,79,3,224,440
47011,"Saskatoon West/Saskatoon-Ouest"," 81","Saskatoon",33,2,27,71,4,137,427
47011,"Saskatoon West/Saskatoon-Ouest"," 82","Saskatoon",30,5,37,73,1,146,510
47011,"Saskatoon West/Saskatoon-Ouest"," 83","Saskatoon",21,2,23,31,1,78,415
47011,"Saskatoon West/Saskatoon-Ouest"," 84","Saskatoon",31,2,23,37,1,94,483
47011,"Saskatoon West/Saskatoon-Ouest"," 85","Saskatoon",50,4,44,86,4,188,505
47011,"Saskatoon West/Saskatoon-Ouest"," 86","Saskatoon",71,2,58,46,0,177,377
47011,"Saskatoon West/Saskatoon-Ouest"," 87","Saskatoon",32,1,72,53,0,158,407
47011,"Saskatoon West/Saskatoon-Ouest"," 88","Saskatoon",60,2,43,139,1,245,540
47011,"Saskatoon West/Saskatoon-Ouest"," 89","Saskatoon",47,2,25,81,0,155,420
47011,"Saskatoon West/Saskatoon-Ouest"," 90","Saskatoon",61,0,39,53,0,153,489
47011,"Saskatoon West/Saskatoon-Ouest"," 91","Saskatoon",46,1,30,28,0,105,329
47011,"Saskatoon West/Saskatoon-Ouest"," 92","Saskatoon",55,1,21,65,0,142,400
47011,"Saskatoon West/Saskatoon-Ouest"," 93","Saskatoon",43,1,38,60,1,143,409
47011,"Saskatoon West/Saskatoon-Ouest"," 94","Saskatoon",13,0,13,24,0,50,488
47011,"Saskatoon West/Saskatoon-Ouest"," 95","Saskatoon",61,3,35,126,1,226,624
47011,"Saskatoon West/Saskatoon-Ouest"," 96","Saskatoon",22,1,18,73,2,116,384
47011,"Saskatoon West/Saskatoon-Ouest"," 97","Saskatoon",57,0,31,110,0,198,467
47011,"Saskatoon West/Saskatoon-Ouest"," 98","Saskatoon",33,0,19,63,1,116,465
47011,"Saskatoon West/Saskatoon-Ouest"," 99","Saskatoon",27,2,30,89,3,151,399
47011,"Saskatoon West/Saskatoon-Ouest"," 100","Saskatoon",10,0,25,44,2,81,363
47011,"Saskatoon West/Saskatoon-Ouest"," 101","Saskatoon",28,4,19,97,3,151,398
47011,"Saskatoon West/Saskatoon-Ouest"," 102","Saskatoon",36,0,28,81,1,146,410
47011,"Saskatoon West/Saskatoon-Ouest"," 103","Saskatoon",52,2,34,89,1,178,501
47011,"Saskatoon West/Saskatoon-Ouest"," 104","Saskatoon",34,3,14,90,1,142,371
47011,"Saskatoon West/Saskatoon-Ouest"," 105","Saskatoon",27,2,23,70,1,123,489
47011,"Saskatoon West/Saskatoon-Ouest"," 106","Saskatoon",36,0,17,24,1,78,520
47011,"Saskatoon West/Saskatoon-Ouest"," 107","Saskatoon",19,0,30,40,0,89,451
47011,"Saskatoon West/Saskatoon-Ouest"," 108","Saskatoon",43,3,32,52,0,130,497
47011,"Saskatoon West/Saskatoon-Ouest"," 109","Saskatoon",23,4,37,31,1,96,424
47011,"Saskatoon West/Saskatoon-Ouest"," 110","Saskatoon",28,2,18,47,0,95,541
47011,"Saskatoon West/Saskatoon-Ouest"," 111","Saskatoon",27,3,8,39,0,77,357
47011,"Saskatoon West/Saskatoon-Ouest"," 112","Saskatoon",34,0,18,36,0,88,468
47011,"Saskatoon West/Saskatoon-Ouest"," 113","Saskatoon",41,1,14,44,1,101,470
47011,"Saskatoon West/Saskatoon-Ouest"," 114","Saskatoon",38,0,27,80,0,145,383
47011,"Saskatoon West/Saskatoon-Ouest"," 115","Saskatoon",44,0,23,62,2,131,420
47011,"Saskatoon West/Saskatoon-Ouest"," 116","Saskatoon",37,1,22,71,1,132,551
47011,"Saskatoon West/Saskatoon-Ouest"," 117","Saskatoon",47,1,20,96,1,165,478
47011,"Saskatoon West/Saskatoon-Ouest"," 118","Saskatoon",34,3,19,45,1,102,432
47011,"Saskatoon West/Saskatoon-Ouest"," 119","Saskatoon",32,3,37,80,0,152,400
47011,"Saskatoon West/Saskatoon-Ouest"," 120","Saskatoon",60,1,18,42,1,122,431
47011,"Saskatoon West/Saskatoon-Ouest"," 121","Saskatoon",43,0,21,44,0,108,437
47011,"Saskatoon West/Saskatoon-Ouest"," 122","Saskatoon",32,1,16,29,0,78,298
47011,"Saskatoon West/Saskatoon-Ouest"," 123","Saskatoon",68,1,16,44,0,129,377
47011,"Saskatoon West/Saskatoon-Ouest"," 124","Saskatoon",51,1,9,43,2,106,356
47011,"Saskatoon West/Saskatoon-Ouest"," 125","Saskatoon",53,4,21,68,2,148,490
47011,"Saskatoon West/Saskatoon-Ouest"," 126","Saskatoon",35,1,33,142,1,212,445
47011,"Saskatoon West/Saskatoon-Ouest"," 127","Saskatoon",31,1,26,129,0,187,385
47011,"Saskatoon West/Saskatoon-Ouest"," 128","Saskatoon",31,3,24,32,0,90,417
47011,"Saskatoon West/Saskatoon-Ouest"," 129","Saskatoon",23,7,25,52,1,108,432
47011,"Saskatoon West/Saskatoon-Ouest"," 130","Saskatoon",29,2,49,54,2,136,438
47011,"Saskatoon West/Saskatoon-Ouest"," 131","Saskatoon",43,4,48,68,1,164,517
47011,"Saskatoon West/Saskatoon-Ouest"," 132","Saskatoon",34,1,50,120,1,206,372
47011,"Saskatoon West/Saskatoon-Ouest"," 133","Saskatoon",42,4,24,124,2,196,386
47011,"Saskatoon West/Saskatoon-Ouest"," 134","Saskatoon",57,2,21,152,3,235,397
47011,"Saskatoon West/Saskatoon-Ouest"," 135","Saskatoon",36,2,13,71,6,128,560
47011,"Saskatoon West/Saskatoon-Ouest"," 136","Saskatoon",14,0,18,43,1,76,345
47011,"Saskatoon West/Saskatoon-Ouest"," 137","Saskatoon",37,3,29,67,0,136,360
47011,"Saskatoon West/Saskatoon-Ouest"," 138","Saskatoon",30,3,41,73,1,148,417
47011,"Saskatoon West/Saskatoon-Ouest"," 139","Saskatoon",23,0,11,46,0,80,359
47011,"Saskatoon West/Saskatoon-Ouest"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,105
47011,"Saskatoon West/Saskatoon-Ouest"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,62
47011,"Saskatoon West/Saskatoon-Ouest"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,59
47011,"Saskatoon West/Saskatoon-Ouest"," 503","Mobile poll/Bureau itinérant",47,5,52,89,4,197,146
47011,"Saskatoon West/Saskatoon-Ouest"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,76
47011,"Saskatoon West/Saskatoon-Ouest"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,49
47011,"Saskatoon West/Saskatoon-Ouest"," 506","Saskatoon",Combined with No./Résultats combinés à ceux du n°72,,,,,,16
47011,"Saskatoon West/Saskatoon-Ouest"," 507","Mobile poll/Bureau itinérant",30,0,15,43,2,90,97
47011,"Saskatoon West/Saskatoon-Ouest"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,60
47011,"Saskatoon West/Saskatoon-Ouest"," 509","Mobile poll/Bureau itinérant",34,6,26,42,3,111,223
47011,"Saskatoon West/Saskatoon-Ouest"," 510","Mobile poll/Bureau itinérant",53,4,44,41,2,144,128
47011,"Saskatoon West/Saskatoon-Ouest"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,59
47011,"Saskatoon West/Saskatoon-Ouest"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,74
47011,"Saskatoon West/Saskatoon-Ouest"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,49
47011,"Saskatoon West/Saskatoon-Ouest"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,51
47011,"Saskatoon West/Saskatoon-Ouest"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,33
47011,"Saskatoon West/Saskatoon-Ouest"," 516","Mobile poll/Bureau itinérant",42,4,31,58,1,136,104
47011,"Saskatoon West/Saskatoon-Ouest"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,98
47011,"Saskatoon West/Saskatoon-Ouest"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,101
47011,"Saskatoon West/Saskatoon-Ouest"," 519","Mobile poll/Bureau itinérant",87,4,35,96,6,228,141
47011,"Saskatoon West/Saskatoon-Ouest"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,84
47011,"Saskatoon West/Saskatoon-Ouest"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,88
47011,"Saskatoon West/Saskatoon-Ouest"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,83
47011,"Saskatoon West/Saskatoon-Ouest"," 600","Saskatoon",252,10,188,798,9,1257,
47011,"Saskatoon West/Saskatoon-Ouest"," 601","Saskatoon",280,3,145,954,12,1394,
47011,"Saskatoon West/Saskatoon-Ouest"," 602","Saskatoon",276,8,224,817,3,1328,
47011,"Saskatoon West/Saskatoon-Ouest"," 603","Saskatoon",302,9,212,764,7,1294,
47011,"Saskatoon West/Saskatoon-Ouest"," 604","Saskatoon",314,9,139,739,5,1206,
47011,"Saskatoon West/Saskatoon-Ouest"," 605","Saskatoon",310,5,185,794,6,1300,
47011,"Saskatoon West/Saskatoon-Ouest"," 606","Saskatoon",208,5,155,599,3,970,
47011,"Saskatoon West/Saskatoon-Ouest"," 607","Saskatoon",316,11,255,798,15,1395,
47011,"Saskatoon West/Saskatoon-Ouest"," 608","Saskatoon",235,7,327,312,3,884,
47011,"Saskatoon West/Saskatoon-Ouest"," 609","Saskatoon",407,12,205,284,0,908,
47011,"Saskatoon West/Saskatoon-Ouest"," 610","Saskatoon",306,10,357,385,7,1065,
47011,"Saskatoon West/Saskatoon-Ouest"," 611","Saskatoon",202,5,210,496,9,922,
47011,"Saskatoon West/Saskatoon-Ouest",,Group 1/Groupe 1, 345,23,196,208,77,849,412
47011,"Saskatoon West/Saskatoon-Ouest",,Group 2/Groupe 2, 518,22,362,868,62,1832,
