Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Caroline Desrochers,Mathieu Doyon,Yves Levesque,Yan Patry,Matthew Sévigny,David Turcotte,René Villemure,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Trois-Rivières/Trois-Rivières"," 519","Trois-Rivières",Combined with No./Résultats combinés à ceux du n°140,,,,,,,,,151
24075,"Trois-Rivières/Trois-Rivières"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,,86
24075,"Trois-Rivières/Trois-Rivières"," 521","Mobile poll/Bureau itinérant",50,3,20,1,2,0,8,4,88,139
24075,"Trois-Rivières/Trois-Rivières"," 522","Mobile poll/Bureau itinérant",11,1,7,0,0,0,6,5,30,61
24075,"Trois-Rivières/Trois-Rivières"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,,35
24075,"Trois-Rivières/Trois-Rivières"," 524","Mobile poll/Bureau itinérant",21,1,20,0,0,0,8,1,51,54
24075,"Trois-Rivières/Trois-Rivières"," 525","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24075,"Trois-Rivières/Trois-Rivières"," 526","Mobile poll/Bureau itinérant",24,0,12,1,0,1,7,3,48,49
24075,"Trois-Rivières/Trois-Rivières"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,,,24
24075,"Trois-Rivières/Trois-Rivières"," 528","Trois-Rivières",Combined with No./Résultats combinés à ceux du n°113,,,,,,,,,19
24075,"Trois-Rivières/Trois-Rivières"," 529","Trois-Rivières",Combined with No./Résultats combinés à ceux du n°403B,,,,,,,,,78
24075,"Trois-Rivières/Trois-Rivières"," 530","Mobile poll/Bureau itinérant",19,1,17,0,0,1,8,6,52,62
24075,"Trois-Rivières/Trois-Rivières"," 531","Trois-Rivières",Combined with No./Résultats combinés à ceux du n°185,,,,,,,,,11
24075,"Trois-Rivières/Trois-Rivières"," 532","Trois-Rivières",Combined with No./Résultats combinés à ceux du n°188,,,,,,,,,6
24075,"Trois-Rivières/Trois-Rivières"," 533","Mobile poll/Bureau itinérant",22,0,17,0,0,1,8,3,51,180
24075,"Trois-Rivières/Trois-Rivières"," 534","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°533,,,,,,,,,139
24075,"Trois-Rivières/Trois-Rivières"," 535","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24075,"Trois-Rivières/Trois-Rivières"," 536","Trois-Rivières",Combined with No./Résultats combinés à ceux du n°193,,,,,,,,,23
24075,"Trois-Rivières/Trois-Rivières"," 537","Mobile poll/Bureau itinérant",104,1,30,0,3,0,22,4,164,143
24075,"Trois-Rivières/Trois-Rivières"," 538","Trois-Rivières",Combined with No./Résultats combinés à ceux du n°179,,,,,,,,,7
24075,"Trois-Rivières/Trois-Rivières"," 539","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24075,"Trois-Rivières/Trois-Rivières"," 540","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°537,,,,,,,,,115
24075,"Trois-Rivières/Trois-Rivières"," 541","Trois-Rivières",Combined with No./Résultats combinés à ceux du n°195,,,,,,,,,51
24075,"Trois-Rivières/Trois-Rivières"," 542","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,,54
