Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nathalie Bresse,Marianne Dandurand,Valérie Laliberté,Paul Lehmann,Jacques Painchaud,Sébastien Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Compton--Stanstead/Compton--Stanstead"," 56B","Saint-Herménégilde",54,70,1,2,50,8,3,188,284
24019,"Compton--Stanstead/Compton--Stanstead"," 57","Dixville",32,63,6,7,47,5,2,162,334
24019,"Compton--Stanstead/Compton--Stanstead"," 58","Dixville",41,95,7,4,53,4,2,206,329
24019,"Compton--Stanstead/Compton--Stanstead"," 59","Coaticook",39,78,8,6,59,4,2,196,483
24019,"Compton--Stanstead/Compton--Stanstead"," 60","Coaticook",42,87,7,4,45,4,3,192,509
24019,"Compton--Stanstead/Compton--Stanstead"," 61","Coaticook",58,76,3,2,66,6,3,214,476
24019,"Compton--Stanstead/Compton--Stanstead"," 62","Coaticook",55,50,7,3,46,6,2,169,480
24019,"Compton--Stanstead/Compton--Stanstead"," 63","Coaticook",51,74,7,3,38,2,3,178,495
24019,"Compton--Stanstead/Compton--Stanstead"," 64","Coaticook",41,70,4,3,39,5,1,163,537
24019,"Compton--Stanstead/Compton--Stanstead"," 65A","Coaticook",37,93,3,5,41,9,5,193,507
24019,"Compton--Stanstead/Compton--Stanstead"," 65B","Mobile poll/Bureau itinérant",5,8,0,0,2,1,0,16,48
24019,"Compton--Stanstead/Compton--Stanstead"," 66","Coaticook",57,63,8,5,53,8,2,196,560
24019,"Compton--Stanstead/Compton--Stanstead"," 67","Coaticook",45,99,3,4,47,4,5,207,442
24019,"Compton--Stanstead/Compton--Stanstead"," 68A","Coaticook",74,110,9,2,62,3,5,265,509
24019,"Compton--Stanstead/Compton--Stanstead"," 68B","Coaticook",Combined with No./Résultats combinés à ceux du n°67,,,,,,,,70
24019,"Compton--Stanstead/Compton--Stanstead"," 69","Coaticook",44,90,3,2,53,1,2,195,418
24019,"Compton--Stanstead/Compton--Stanstead"," 70","Coaticook",50,105,5,5,39,3,2,209,480
24019,"Compton--Stanstead/Compton--Stanstead"," 71","Coaticook",37,106,3,3,77,5,3,234,491
24019,"Compton--Stanstead/Compton--Stanstead"," 72","Coaticook--Baldwin's Mill",30,61,5,2,51,0,4,153,284
24019,"Compton--Stanstead/Compton--Stanstead"," 73","Barnston-Ouest",41,98,4,1,34,2,3,183,312
24019,"Compton--Stanstead/Compton--Stanstead"," 74","Barnston-Ouest",29,92,8,4,50,4,1,188,336
24019,"Compton--Stanstead/Compton--Stanstead"," 75","Stanstead-Est",26,49,4,4,53,8,3,147,326
24019,"Compton--Stanstead/Compton--Stanstead"," 76","Stanstead-Est",23,46,3,3,52,4,3,134,422
24019,"Compton--Stanstead/Compton--Stanstead"," 77","Stanstead",8,70,3,0,36,3,2,122,452
24019,"Compton--Stanstead/Compton--Stanstead"," 78","Stanstead",10,65,11,2,62,0,4,154,536
24019,"Compton--Stanstead/Compton--Stanstead"," 79","Stanstead",20,57,9,2,46,3,0,137,487
24019,"Compton--Stanstead/Compton--Stanstead"," 80","Stanstead",16,62,5,2,64,4,0,153,483
24019,"Compton--Stanstead/Compton--Stanstead"," 81","Ogden",16,61,6,0,62,0,1,146,458
24019,"Compton--Stanstead/Compton--Stanstead"," 82","Ogden",24,101,3,0,61,1,1,191,382
24019,"Compton--Stanstead/Compton--Stanstead"," 83","Stanstead",13,93,3,1,35,1,0,146,317
24019,"Compton--Stanstead/Compton--Stanstead"," 84","Stanstead",37,103,7,0,54,1,1,203,354
24019,"Compton--Stanstead/Compton--Stanstead"," 85","Stanstead",35,93,1,3,39,3,2,176,307
24019,"Compton--Stanstead/Compton--Stanstead"," 86","Ayer's Cliff",43,68,6,1,53,1,4,176,459
24019,"Compton--Stanstead/Compton--Stanstead"," 87","Ayer's Cliff",21,80,6,2,58,3,0,170,441
24019,"Compton--Stanstead/Compton--Stanstead"," 88","Ayer's Cliff",29,78,5,0,38,0,2,152,380
24019,"Compton--Stanstead/Compton--Stanstead"," 89","Hatley",24,99,4,3,55,5,1,191,358
24019,"Compton--Stanstead/Compton--Stanstead"," 90","Compton",46,59,7,3,63,5,4,187,369
24019,"Compton--Stanstead/Compton--Stanstead"," 91","Compton",45,73,5,11,40,1,0,175,407
24019,"Compton--Stanstead/Compton--Stanstead"," 92","Compton",44,61,7,1,60,4,3,180,368
24019,"Compton--Stanstead/Compton--Stanstead"," 93","Compton",47,69,7,8,44,4,2,181,405
24019,"Compton--Stanstead/Compton--Stanstead"," 94","Compton",61,59,6,2,77,6,4,215,437
24019,"Compton--Stanstead/Compton--Stanstead"," 95","Compton",53,73,3,1,43,5,5,183,422
24019,"Compton--Stanstead/Compton--Stanstead"," 96","Waterville",44,79,16,4,52,9,0,204,422
24019,"Compton--Stanstead/Compton--Stanstead"," 97A","Waterville",27,57,13,2,39,8,6,152,326
24019,"Compton--Stanstead/Compton--Stanstead"," 97B","Waterville",25,55,13,1,41,16,1,152,159
24019,"Compton--Stanstead/Compton--Stanstead"," 98A","Waterville",33,39,10,3,36,8,2,131,367
24019,"Compton--Stanstead/Compton--Stanstead"," 98B","Waterville",Combined with No./Résultats combinés à ceux du n°97B,,,,,,,,112
24019,"Compton--Stanstead/Compton--Stanstead"," 99A","Waterville",37,88,4,3,34,6,1,173,442
24019,"Compton--Stanstead/Compton--Stanstead"," 99B","Waterville",Combined with No./Résultats combinés à ceux du n°97B,,,,,,,,98
24019,"Compton--Stanstead/Compton--Stanstead"," 100","Hatley",33,86,5,2,26,4,3,159,385
24019,"Compton--Stanstead/Compton--Stanstead"," 101A","Hatley",54,61,7,1,34,1,0,158,386
24019,"Compton--Stanstead/Compton--Stanstead"," 101B","Hatley",Combined with No./Résultats combinés à ceux du n°105B,,,,,,,,105
24019,"Compton--Stanstead/Compton--Stanstead"," 102","Hatley",44,63,4,3,38,4,3,159,366
24019,"Compton--Stanstead/Compton--Stanstead"," 103A","Hatley",17,79,2,5,25,7,1,136,352
24019,"Compton--Stanstead/Compton--Stanstead"," 103B","Hatley",Combined with No./Résultats combinés à ceux du n°105B,,,,,,,,96
24019,"Compton--Stanstead/Compton--Stanstead"," 104","Hatley",35,58,7,3,32,7,3,145,365
24019,"Compton--Stanstead/Compton--Stanstead"," 105A","North Hatley",28,85,5,0,23,3,1,145,373
24019,"Compton--Stanstead/Compton--Stanstead"," 105B","North Hatley",26,75,5,3,20,4,1,134,177
24019,"Compton--Stanstead/Compton--Stanstead"," 106A","Sainte-Catherine-de-Hatley",44,70,2,1,39,8,0,164,392
24019,"Compton--Stanstead/Compton--Stanstead"," 106B","Sainte-Catherine-de-Hatley",Combined with No./Résultats combinés à ceux du n°109B,,,,,,,,92
24019,"Compton--Stanstead/Compton--Stanstead"," 107A","Sainte-Catherine-de-Hatley",54,54,4,0,22,2,1,137,368
24019,"Compton--Stanstead/Compton--Stanstead"," 107B","Sainte-Catherine-de-Hatley",Combined with No./Résultats combinés à ceux du n°109B,,,,,,,,76
24019,"Compton--Stanstead/Compton--Stanstead"," 108A","Sainte-Catherine-de-Hatley",54,55,4,0,49,5,2,169,383
24019,"Compton--Stanstead/Compton--Stanstead"," 108B","Sainte-Catherine-de-Hatley",Combined with No./Résultats combinés à ceux du n°109B,,,,,,,,66
24019,"Compton--Stanstead/Compton--Stanstead"," 109A","Sainte-Catherine-de-Hatley",53,59,6,1,49,1,0,169,374
24019,"Compton--Stanstead/Compton--Stanstead"," 109B","Sainte-Catherine-de-Hatley",50,54,5,6,38,2,5,160,103
24019,"Compton--Stanstead/Compton--Stanstead"," 110A","Sainte-Catherine-de-Hatley",50,53,6,1,39,4,3,156,403
24019,"Compton--Stanstead/Compton--Stanstead"," 110B","Sainte-Catherine-de-Hatley",Combined with No./Résultats combinés à ceux du n°109B,,,,,,,,41
24019,"Compton--Stanstead/Compton--Stanstead"," 111A","Sherbrooke",54,84,3,1,27,1,1,171,346
24019,"Compton--Stanstead/Compton--Stanstead"," 111B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°113B,,,,,,,,111
24019,"Compton--Stanstead/Compton--Stanstead"," 112A","Sherbrooke",73,83,4,0,31,5,1,197,376
24019,"Compton--Stanstead/Compton--Stanstead"," 112B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°113B,,,,,,,,114
24019,"Compton--Stanstead/Compton--Stanstead"," 113A","Sherbrooke",44,81,3,4,29,4,1,166,313
24019,"Compton--Stanstead/Compton--Stanstead"," 113B","Sherbrooke",47,92,9,3,32,2,3,188,121
24019,"Compton--Stanstead/Compton--Stanstead"," 114A","Sherbrooke",49,64,2,3,51,5,0,174,417
24019,"Compton--Stanstead/Compton--Stanstead"," 114B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°166B,,,,,,,,90
24019,"Compton--Stanstead/Compton--Stanstead"," 115","Sherbrooke",47,80,9,2,32,2,2,174,414
24019,"Compton--Stanstead/Compton--Stanstead"," 116A","Sherbrooke",54,58,2,3,22,1,2,142,420
24019,"Compton--Stanstead/Compton--Stanstead"," 116B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°166B,,,,,,,,49
24019,"Compton--Stanstead/Compton--Stanstead"," 117A","Sherbrooke",63,56,6,2,25,3,6,161,379
24019,"Compton--Stanstead/Compton--Stanstead"," 117B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°166B,,,,,,,,69
24019,"Compton--Stanstead/Compton--Stanstead"," 118","Sherbrooke",60,63,5,4,45,1,7,185,446
24019,"Compton--Stanstead/Compton--Stanstead"," 119","Sherbrooke",60,53,8,3,50,2,0,176,449
24019,"Compton--Stanstead/Compton--Stanstead"," 120A","Sherbrooke",49,72,6,1,21,1,1,151,374
24019,"Compton--Stanstead/Compton--Stanstead"," 120B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°156B,,,,,,,,51
24019,"Compton--Stanstead/Compton--Stanstead"," 121A","Sherbrooke",45,67,5,3,29,3,2,154,360
24019,"Compton--Stanstead/Compton--Stanstead"," 121B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°146B,,,,,,,,118
24019,"Compton--Stanstead/Compton--Stanstead"," 122","Sherbrooke",52,58,15,2,46,6,3,182,399
24019,"Compton--Stanstead/Compton--Stanstead"," 123A","Sherbrooke",48,72,13,2,53,1,3,192,404
24019,"Compton--Stanstead/Compton--Stanstead"," 123B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°125B,,,,,,,,54
24019,"Compton--Stanstead/Compton--Stanstead"," 124A","Sherbrooke",37,80,9,1,40,5,1,173,389
24019,"Compton--Stanstead/Compton--Stanstead"," 124B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°125B,,,,,,,,51
24019,"Compton--Stanstead/Compton--Stanstead"," 125A","Sherbrooke",32,110,5,0,31,1,2,181,342
24019,"Compton--Stanstead/Compton--Stanstead"," 125B","Sherbrooke",41,100,6,2,31,5,3,188,150
24019,"Compton--Stanstead/Compton--Stanstead"," 126A","Sherbrooke",41,80,3,0,35,1,4,164,363
24019,"Compton--Stanstead/Compton--Stanstead"," 126B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°125B,,,,,,,,110
24019,"Compton--Stanstead/Compton--Stanstead"," 127A","Sherbrooke",54,62,3,2,49,2,2,174,372
24019,"Compton--Stanstead/Compton--Stanstead"," 127B","Sherbrooke",75,65,2,2,26,2,0,172,97
24019,"Compton--Stanstead/Compton--Stanstead"," 128A","Sherbrooke",47,70,7,1,25,1,1,152,309
24019,"Compton--Stanstead/Compton--Stanstead"," 128B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°127B,,,,,,,,82
24019,"Compton--Stanstead/Compton--Stanstead"," 129A","Sherbrooke",54,56,15,3,32,4,2,166,322
24019,"Compton--Stanstead/Compton--Stanstead"," 129B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°127B,,,,,,,,90
24019,"Compton--Stanstead/Compton--Stanstead"," 130A","Sherbrooke",57,68,10,3,18,2,2,160,337
24019,"Compton--Stanstead/Compton--Stanstead"," 130B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°127B,,,,,,,,67
24019,"Compton--Stanstead/Compton--Stanstead"," 131A","Sherbrooke",32,62,4,0,29,1,1,129,367
24019,"Compton--Stanstead/Compton--Stanstead"," 131B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°135B,,,,,,,,81
24019,"Compton--Stanstead/Compton--Stanstead"," 132A","Sherbrooke",37,84,2,2,25,3,1,154,446
24019,"Compton--Stanstead/Compton--Stanstead"," 132B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°135B,,,,,,,,75
24019,"Compton--Stanstead/Compton--Stanstead"," 133A","Sherbrooke",46,60,14,3,31,4,2,160,380
24019,"Compton--Stanstead/Compton--Stanstead"," 133B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°135B,,,,,,,,41
24019,"Compton--Stanstead/Compton--Stanstead"," 134A","Sherbrooke",45,92,4,1,34,1,1,178,447
24019,"Compton--Stanstead/Compton--Stanstead"," 134B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°135B,,,,,,,,49
24019,"Compton--Stanstead/Compton--Stanstead"," 135A","Sherbrooke",42,97,4,1,37,2,1,184,405
24019,"Compton--Stanstead/Compton--Stanstead"," 135B","Sherbrooke",30,72,9,1,37,8,5,162,109
24019,"Compton--Stanstead/Compton--Stanstead"," 136A","Sherbrooke",41,94,7,0,34,0,1,177,343
24019,"Compton--Stanstead/Compton--Stanstead"," 136B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°135B,,,,,,,,40
24019,"Compton--Stanstead/Compton--Stanstead"," 137A","Sherbrooke",50,91,8,0,31,3,1,184,364
24019,"Compton--Stanstead/Compton--Stanstead"," 137B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°141B,,,,,,,,97
24019,"Compton--Stanstead/Compton--Stanstead"," 138A","Sherbrooke",55,66,5,2,34,1,2,165,333
24019,"Compton--Stanstead/Compton--Stanstead"," 138B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°141B,,,,,,,,76
24019,"Compton--Stanstead/Compton--Stanstead"," 139A","Sherbrooke",52,72,10,5,45,7,3,194,430
24019,"Compton--Stanstead/Compton--Stanstead"," 139B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°141B,,,,,,,,85
24019,"Compton--Stanstead/Compton--Stanstead"," 140","Sherbrooke",50,61,11,3,36,3,1,165,472
24019,"Compton--Stanstead/Compton--Stanstead"," 141A","Sherbrooke",47,70,2,1,19,2,3,144,353
24019,"Compton--Stanstead/Compton--Stanstead"," 141B","Sherbrooke",51,79,4,0,24,2,3,163,107
24019,"Compton--Stanstead/Compton--Stanstead"," 142","Sherbrooke",45,63,9,3,30,5,1,156,469
24019,"Compton--Stanstead/Compton--Stanstead"," 143","Sherbrooke",34,60,4,1,38,4,1,142,471
24019,"Compton--Stanstead/Compton--Stanstead"," 144","Sherbrooke",54,82,6,2,38,2,1,185,506
24019,"Compton--Stanstead/Compton--Stanstead"," 145","Sherbrooke",35,70,9,3,62,2,2,183,428
24019,"Compton--Stanstead/Compton--Stanstead"," 146A","Sherbrooke",43,37,4,2,39,2,1,128,374
24019,"Compton--Stanstead/Compton--Stanstead"," 146B","Sherbrooke",49,42,11,10,25,3,2,142,152
24019,"Compton--Stanstead/Compton--Stanstead"," 147A","Sherbrooke",34,49,6,1,22,7,1,120,380
24019,"Compton--Stanstead/Compton--Stanstead"," 147B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°146B,,,,,,,,91
24019,"Compton--Stanstead/Compton--Stanstead"," 148","Sherbrooke",35,83,9,2,53,1,2,185,411
24019,"Compton--Stanstead/Compton--Stanstead"," 149A","Sherbrooke",35,65,5,3,46,3,1,158,395
24019,"Compton--Stanstead/Compton--Stanstead"," 149B","Sherbrooke",44,61,6,0,25,4,5,145,281
24019,"Compton--Stanstead/Compton--Stanstead"," 150","Sherbrooke",44,90,4,2,36,3,3,182,395
24019,"Compton--Stanstead/Compton--Stanstead"," 151","Sherbrooke",62,78,5,0,59,1,0,205,431
24019,"Compton--Stanstead/Compton--Stanstead"," 152","Sherbrooke",76,70,8,2,44,6,3,209,494
24019,"Compton--Stanstead/Compton--Stanstead"," 153A","Sherbrooke",57,82,6,0,41,0,0,186,402
24019,"Compton--Stanstead/Compton--Stanstead"," 153B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°156B,,,,,,,,85
24019,"Compton--Stanstead/Compton--Stanstead"," 154A","Sherbrooke",43,70,5,1,29,0,1,149,360
24019,"Compton--Stanstead/Compton--Stanstead"," 154B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°156B,,,,,,,,63
24019,"Compton--Stanstead/Compton--Stanstead"," 155A","Sherbrooke",43,74,12,0,44,4,3,180,388
24019,"Compton--Stanstead/Compton--Stanstead"," 155B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°156B,,,,,,,,70
24019,"Compton--Stanstead/Compton--Stanstead"," 156A","Sherbrooke",42,62,4,0,36,1,4,149,341
24019,"Compton--Stanstead/Compton--Stanstead"," 156B","Sherbrooke",54,67,5,1,44,4,1,176,102
24019,"Compton--Stanstead/Compton--Stanstead"," 157A","Sherbrooke",41,61,9,2,50,4,5,172,437
24019,"Compton--Stanstead/Compton--Stanstead"," 157B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°166B,,,,,,,,49
24019,"Compton--Stanstead/Compton--Stanstead"," 158","Sherbrooke",44,80,3,1,62,5,3,198,447
24019,"Compton--Stanstead/Compton--Stanstead"," 159A","Sherbrooke",46,62,6,3,42,3,3,165,485
24019,"Compton--Stanstead/Compton--Stanstead"," 159B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°163B,,,,,,,,54
24019,"Compton--Stanstead/Compton--Stanstead"," 160A","Sherbrooke",48,58,10,3,37,1,3,160,367
24019,"Compton--Stanstead/Compton--Stanstead"," 160B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°179B,,,,,,,,123
24019,"Compton--Stanstead/Compton--Stanstead"," 161A","Sherbrooke",49,55,9,3,59,4,1,180,390
24019,"Compton--Stanstead/Compton--Stanstead"," 161B","Sherbrooke",Combined with No./Résultats combinés à ceux du n°163B,,,,,,,,88
