Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jason McCormick,Jill McKnight,Jessy Sahota,Natasa Sirotic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59011,"Delta/Delta"," 155","Delta",15,100,55,2,0,172,502
59011,"Delta/Delta"," 156","Delta",12,94,93,1,0,200,456
59011,"Delta/Delta"," 157","Delta",17,179,131,3,4,334,761
59011,"Delta/Delta"," 158","Delta",12,73,87,0,0,172,466
59011,"Delta/Delta"," 159","Delta",0,86,66,1,0,153,405
59011,"Delta/Delta"," 160","Delta",5,85,97,3,0,190,441
59011,"Delta/Delta"," 161","Delta",5,76,86,1,1,169,357
59011,"Delta/Delta"," 162","Delta",6,83,67,5,0,161,399
59011,"Delta/Delta"," 163","Delta",7,99,73,0,0,179,607
59011,"Delta/Delta"," 164","Delta",2,132,107,0,1,242,576
59011,"Delta/Delta"," 165","Delta",3,101,42,0,0,146,475
59011,"Delta/Delta"," 166","Delta",8,66,74,1,0,149,475
59011,"Delta/Delta"," 167","Delta",11,58,38,3,0,110,505
59011,"Delta/Delta"," 168","Delta",2,68,60,1,3,134,536
59011,"Delta/Delta"," 169","Delta",6,69,37,0,0,112,504
59011,"Delta/Delta"," 170","Delta",6,64,45,2,0,117,448
59011,"Delta/Delta"," 171","Delta",3,90,59,1,0,153,446
59011,"Delta/Delta"," 172","Delta",4,65,69,0,0,138,493
59011,"Delta/Delta"," 173","Delta",3,72,70,5,0,150,482
59011,"Delta/Delta"," 174","Delta",4,98,45,2,0,149,440
59011,"Delta/Delta"," 175","Delta",7,98,86,2,0,193,446
59011,"Delta/Delta"," 176","Delta",7,118,89,5,1,220,453
59011,"Delta/Delta"," 177","Delta",9,116,72,4,1,202,439
59011,"Delta/Delta"," 178","Delta",8,87,81,2,0,178,439
59011,"Delta/Delta"," 179","Delta",4,112,73,2,0,191,453
59011,"Delta/Delta"," 180","Delta",4,180,144,3,2,333,655
59011,"Delta/Delta"," 181","Delta",7,114,78,1,1,201,443
59011,"Delta/Delta"," 400","Delta",5,28,37,1,6,77,312
59011,"Delta/Delta"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,28
59011,"Delta/Delta"," 501","Mobile poll/Bureau itinérant",10,26,12,2,2,52,47
59011,"Delta/Delta"," 502","Mobile poll/Bureau itinérant",14,70,23,1,3,111,109
59011,"Delta/Delta"," 503","Mobile poll/Bureau itinérant",12,29,18,0,1,60,50
59011,"Delta/Delta"," 504","Mobile poll/Bureau itinérant",10,27,26,3,1,67,83
59011,"Delta/Delta"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,10
59011,"Delta/Delta"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,64
59011,"Delta/Delta"," 507","Mobile poll/Bureau itinérant",9,94,27,1,5,136,110
59011,"Delta/Delta"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,48
59011,"Delta/Delta"," 600","Delta",82,961,705,16,4,1768,
59011,"Delta/Delta"," 601","Musqueam 4",Combined with No./Résultats combinés à ceux du n°600,,,,,,
59011,"Delta/Delta"," 602","Tsawwassen",19,393,343,7,0,762,
59011,"Delta/Delta"," 603","Delta",26,937,643,9,2,1617,
59011,"Delta/Delta"," 604","Delta",18,613,426,4,0,1061,
59011,"Delta/Delta"," 605","Delta",58,1050,618,7,8,1741,
59011,"Delta/Delta"," 606","Delta",48,1233,645,24,7,1957,
59011,"Delta/Delta"," 607","Delta",88,1056,642,15,5,1806,
59011,"Delta/Delta"," 608","Delta",60,1051,649,7,3,1770,
59011,"Delta/Delta"," 609","Delta",45,756,638,4,5,1448,
59011,"Delta/Delta"," 610","Delta",58,618,443,5,2,1126,
59011,"Delta/Delta"," 611","Delta",52,720,592,11,8,1383,
59011,"Delta/Delta"," 612","Delta",85,545,543,7,8,1188,
59011,"Delta/Delta"," 613","Delta",89,774,743,4,3,1613,
59011,"Delta/Delta"," 614","Delta",79,767,796,4,17,1663,
59011,"Delta/Delta"," 615","Delta",81,1030,844,10,7,1972,
59011,"Delta/Delta"," 616","Delta",60,566,574,4,5,1209,
59011,"Delta/Delta"," 617","Delta",57,882,813,9,10,1771,
59011,"Delta/Delta"," 618","Delta",47,818,673,10,4,1552,
59011,"Delta/Delta"," 619","Surrey",32,761,686,2,5,1486,
59011,"Delta/Delta",,Group 1/Groupe 1, 36,498,284,4,33,855,388
59011,"Delta/Delta",,Group 2/Groupe 2, 91,1959,1113,13,51,3227,
